UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
80IN00014,1972011753,72,2,P1753,,49,17,,1,,,0,,,,80,,,,,,,0,0,6,,02,,01,0325,,014804,*,,012004,01,,1980
80IN00015,1972011888,72,2,P1888,,76,04,,2,,,0,,,,75,,,,,,,0,0,6,,02,,01,0325,,000004,*,,008204,01,,1980
80IN00016,1972011903,72,2,P1903,,,04,,2,,3,0,,,,75,,,,,3,,149,0,3,,02,,01,0616,,000004,K,,090404,93,,1980
80IN00017,1972011967,72,2,P1967,,49,03,,2,,,0,,,,75,,,,,,,0,0,6,,02,,01,0303,,000004,*,,007504,01,,1980
80IN00018,1973012011,73,2,P2011,,49,17,,1,,,0,,,,70,,492,, 7,, 2,172,164,,,02,,01,,,000904,3,,006904,,,1980
80IN00019,1973012173,73,2,P2173,,76,16,,1,2,,0,,,,70,,202,,,, 3,162,164,2,,02,,01,0918,,011504,8,,326104,92,,1980
80IN00020,1973012236,73,2,P2236,,49,16,,1,,,0,,,,70,,493,, 8,, 2,145,140,,,02,,01,,,011504,3,,101704,,,1980
80IN00021,1973012268,73,2,P2268,,49,15,,1,,,0,,,,70,,491,, 6,, 2,151,160,,,02,,01,,,169704,2,,090404,,,1980
80IN00022,1973012269,73,2,P2269,,49,15,,1,,,0,,,,70,,492,, 7,, 2,145,143,,,02,,01,,,169704,3,,090404,,,1980
80IN00023,1973012292,73,2,P2292,,49,17,,1,,,0,,,,70,,493,, 8,, 2,140,151,,,02,,01,,,000904,2,,084504,,,1980
80IN00024,1973012509,73,2,P2509,,76,17,0,1,,,0,,,,70,,013,,,, 4,171,208,,174,02,,01,,,000904,8,,327104,,,1980
80IN00025,1973012588,73,2,P2588,,,15,,1,3,3,0,,,,70,,,,,2, 9,202,201,3,,02,,01,0929,,169704,K,,008404,93,,1980
80IN00026,1973012600,73,2,P2600,,76,551,,1,,,0,,,,70,,001,,,, 2,191,206,,210,02,,01,,,144004,8,,142104,,1,1980
80IN00027,1973012694,73,2,P2694,,,05,,2,3,3,0,,,,65,,,,,2, 2,170,169,3,,02,,01,0929,,144004,K,,017804,93,,1980
80IN00028,1974012870,74,2,P2870,,49,17,,1,,,0,,,,60,,491,, 6,, 2,178,178,,,02,,01,,,149004,3,,112504,,,1980
80IN00029,1974013023,74,2,P3023,,49,17,,1,,,0,,,,60,,492,, 7,, 9,162,155,,,02,,01,,,149004,1,,097704,,,1980
80IN00030,1974013080,74,2,P3080,,49,15,,1,3,,0,,,,60,,,,,,12,155,157,3,,02,,01,0929,,190404,3,,001804,93,,1980
80IN00031,1974013127,74,2,P3127,,76,17,,1,3,,0,,,,60,,,,,, 2,160,164,3,,02,,01,0929,,149004,8,,122904,93,,1980
80IN00032,1974013135,74,2,P3135,,49,17,,1,,,0,,,,60,,493,, 8,, 9,146,156,,,02,,01,,,149004,1,,071504,,,1980
80IN00033,1974013161,74,2,P3161,,49,15,,1,,,0,,,,60,,491,, 6,, 2,172,161,,,02,,01,,,190404,2,,001604,,,1980
80IN00034,1974013191,74,2,P3191,,49,17,,1,,,0,,,,60,,492,, 7,, 2,165,181,,,02,,01,,,149004,3,,075604,,,1980
80IN00035,1974013235,74,2,P3235,,,16,,1,3,3,0,,,,60,,,,,1, 1,210,212,3,,02,,01,0929,,248604,K,,013804,93,,1980
80IN00036,1974013256,74,2,P3256,,49,15,,1,,,0,,,,60,,493,, 8,, 3,144,158,,,02,,01,,,190404,1,,008404,,,1980
80IN00037,1968103303,68,2,U3303,,,15,,2,,3,0,,,,,,,,,4,,0,0,3,,02,,10,0630,,000004,*,,081204,93,,1980
80IN00038,1974013573,74,2,P3573,,49,02,,2,,,0,,,,55,,491,, 6,, 2,133,140,,,02,,01,,,000004,2,,142104,,,1980
80IN00039,1974013624,74,2,P3624,,49,02,,2,,,0,,,,55,,493,, 8,, 2,122,125,,,02,,01,,,000004,3,,080304,,,1980
80IN00040,1975013651,75,2,P3651,,76,06,,1,3,,0,,,,50,,003,,,,11,156,170,4,,02,,01,,,320204,8,,171704,,,1980
80IN00041,1975013734,75,2,P3734,,49,04,,1,,,0,,,,50,,491,, 6,, 2,162,175,,,02,,01,,,144004,2,,013804,,,1980
80IN00042,1975013847,75,2,P3847,,76,06,,1,3,,0,,,,50,,,,,,11,133,144,3,,02,,01,0929,,320204,8,,001804,93,,1980
80IN00043,1975013883,75,2,P3883,,49,05,,1,3,,0,,,,50,,,,,,12,144,160,4,,02,,01,,,149004,1,,229204,,,1980
80IN00044,1975013884,75,2,P3884,,49,04,,1,,,0,,,,50,,,,,,,110,0,6,,02,,01,0705,,144004,3,,231304,01,,1980
80IN00045,1975013890,75,2,P3890,,76,04,,1,,,0,,,,50,,,,,,,144,0,7,,02,,01,0912,,144004,8,,316104,97,,1980
80IN00046,1975013919,75,2,P3919,,76,05,,1,3,,0,,,,50,,,,,,11,155,173,4,,02,,01,,,149004,8,,308004,,,1980
80IN00047,1975013923,75,2,P3923,,49,06,,1,3,,0,,,,50,,,,,,12,133,133,4,,02,,01,,,320204,2,,013704,,,1980
80IN00048,1975013931,75,2,P3931,,49,06,,1,,,0,,,,50,,,,,,,116,0,7,,02,,01,0912,,320204,3,,133004,97,,1980
80IN00049,1975013957,75,2,P3957,,49,05,,1,,,0,,,,50,,492,, 7,, 2,123,136,,,02,,01,,,149004,2,,182604,,,1980
80IN00050,1975013990,75,2,P3990,,76,04,,1,,,0,,,,50,,492,, 7,, 2,149,148,,,02,,01,,,144004,8,,079104,,,1980
80IN00051,1975014052,75,2,P4052,,76,06,1,1,,,0,,,,50,,005,,,, 2,187,178,,186,02,,01,,,320204,8,,009404,,,1980
80IN00052,1975014055,75,2,P4055,,76,06,,1,,,0,,,,50,,005,,,, 2,165,185,,172,02,,01,,,320204,8,,223604,,1,1980
80IN00053,1975014067,75,2,P4067,,49,04,,1,,,0,,,,50,,,,,,,156,0,6,,02,,01,0717,,144004,2,,000804,05,,1980
80IN00054,1975014086,75,2,P4086,,76,05,,1,,,0,,,,50,,001,,,, 2,188,200,,193,02,,01,,,149004,8,,118804,,,1980
80IN00055,1975014148,75,2,P4148,,49,05,,1,,,0,,,,50,,492,, 7,, 2,172,175,,,02,,01,,,149004,2,,073304,,,1980
80IN00056,1975014194,75,2,P4194,,49,06,,1,,,0,,,,50,,493,, 8,, 2,150,166,,,02,,01,,,320204,3,,123004,,,1980
80IN00057,1975014216,75,2,P4216,,,04,,1,,3,0,,,,50,,,,,4,,0,0,3,,02,,01,0630,,144004,*,,012004,93,,1980
80IN00058,1975014229,75,2,P4229,,49,05,,1,,,0,,,,50,,491,, 6,, 2,129,138,,,02,,01,,,149004,2,,140504,,,1980
80IN00059,1975014389,75,2,P4389,,49,02,,2,,,0,,,,45,,491,, 6,, 3,164,156,,,02,,01,,,000004,3,,215204,,,1980
80IN00060,1975014432,75,2,P4432,,76,03,,2,,,0,,,,45,,006,,,, 2,122,146,,164,02,,01,,,000004,8,,357304,,1,1980
80IN00061,1975014472,75,2,P4472,,49,03,,2,,,0,,,,45,,491,, 6,, 2,144,170,,,02,,01,,,000004,2,,009404,,,1980
80IN00062,1975014504,75,2,P4504,,49,03,,2,,,0,,,,45,,493,, 8,, 2,146,148,,,02,,01,,,000004,3,,111004,,,1980
80IN00063,1976014645,76,2,P4645,,49, 02,,1,,,0,,,,40,,492,, 7,, 2,139,150,,,02,,01,,,248604,2,,302304,,,1980
80IN00064,1976014647,76,2,P4647,,76, 02,,1,,,0,,,,40,,007,,,, 1,147,158,,185,02,,01,,,248604,8,,001804,,1,1980
80IN00065,1976014668,76,2,P4668,,49, 01,,1,,,0,,,,40,,492,, 7,, 4,125,157,,,02,,01,,,351804,3,,013804,,,1980
80IN00066,1976014842,76,2,P4842,,49, 02,,1,,,0,,,,40,,493,, 8,, 4,118,128,,,02,,01,,,248604,3,,229004,,,1980
80IN00067,1976014869,76,2,P4869,,49, 01,,1,,,0,,,,40,,491,, 6,, 2,145,147,,,02,,01,,,351804,3,,201104,,,1980
80IN00068,1976014915,76,2,P4915,,76, 01,,1,,,0,,,,40,,492,, 7,, 2,126,149,,,02,,01,,,351804,8,,320504,,,1980
80IN00069,1976014946,76,2,P4946,,49, 02,,1,,,0,,,,40,,,,,, 3,146,140,6,,02,,01,1001,,248604,3,,226804,10,,1980
80IN00070,1976015009,76,2,P5009,,76, 01,,1,2,,0,,,,40,,202,,,, 4,152,160,2,,02,,01,0918,,351804,8,,192204,92,,1980
80IN00071,1976015057,76,2,P5057,,49, 03,,1,,,0,,,,40,,493,, 8,, 2,131,138,,,02,,01,,,320204,2,,140504,,,1980
80IN00072,1976015179,76,2,P5179,,76, 33,,1,3,,0,,,,40,,,,,, 2,125,114,7,,02,,01,0911,,298604,8,,319104,97,,1980
80IN00073,1976015248,76,2,P5248,,76, 02,,2,,,0,,,,35,,009,,,, 3,170,178,,198,02,,01,,,000004,8,,231304,,1,1980
80IN00074,1976015272,76,2,P5272,,76, 02,1,2,,,0,,,,35,,005,,,, 3,143,161,,152,02,,01,,,000004,8,,152704,,,1980
80IN00075,1977015616,77,2,P5616,,49, 16,,1,,,0,,,,30,,491,, 6,, 2,149,169,,,02,,01,,,351804,2,,000804,,,1980
80IN00076,1977015630,77,2,P5630,,76, 14,,1,,,0,,,,30,,492,, 7,, 2,138,156,,,02,,01,,,460704,8,,223604,,,1980
80IN00077,1977015758,77,2,P5758,,49, 15,,1,,,0,,,,30,,493,, 8,, 3,136,134,,,02,,01,,,413204,3,,373704,,,1980
80IN00078,1977015767,77,2,P5767,,49, 13,,1,,,0,,,,30,,491,, 6,, 2,128,156,,,02,,01,,,472404,2,,323504,,,1980
80IN00079,1977015768,77,2,P5768,,49, 13,,1,,,0,,,,30,,492,, 7,, 2,120,149,,,02,,01,,,472404,1,,323504,,,1980
80IN00080,1977015796,77,2,P5796,,76, 15,,1,,,0,,,,30,,,,,, 2,145,162,,,02,,01,,,413204,8,,011404,,,1980
80IN00081,1977015817,77,2,P5817,,49, 14,,1,3,,0,,,,30,,,,,,12,133,147,3,,02,,01,0929,,460704,1,,227604,93,,1980
80IN00082,1977015826,77,2,P5826,,49, 13,,1,,,0,,,,30,,491,, 6,, 3,145,166,,,02,,01,,,472404,2,,447204,,,1980
80IN00083,1977015833,77,2,P5833,,49, 15,,1,,,0,,,,30,,492,, 7,, 2,135,145,,,02,,01,,,413204,3,,229004,,,1980
80IN00084,1977015850,77,2,P5850,,76, 15,,1,,,0,,,,30,,010,,,, 2,152,172,,196,02,,01,,,413204,8,,395704,,1,1980
80IN00085,1977015859,77,2,P5859,,49, 16,,1,,,0,,,,30,,493,, 8,, 2,119,130,,,02,,01,,,351804,2,,392304,,,1980
80IN00086,1977015865,77,2,P5865,,76, 15,,1,,,0,,,,30,,491,, 6,, 1,155,172,,,02,,01,,,413204,8,,418304,,,1980
80IN00087,1977015915,77,2,P5915,,49, 16,,1,3,,0,,,,30,,,,,,12,147,159,4,,02,,01,,,351804,2,,389004,,,1980
80IN00088,1977015945,77,2,P5945,,, 16,,1,,3,0,,,,30,,,,,4,,0,0,3,,02,,01,0630,,351804,*,,260004,93,,1980
80IN00089,1977015946,77,2,P5946,,76, 16,,1,,,0,,,,30,,010,,,,,165,0,7,,02,,01,0912,,351804,8,,260004,97,,1980
80IN00090,1977016003,77,2,P6003,,49, 16,,1,,,0,,,,30,,492,, 7,, 2,141,155,,,02,,01,,,351804,2,,144804,,,1980
80IN00091,1977016038,77,2,P6038,,76, 13,,1,,,0,,,,30,,491,, 6,, 2,161,167,,,02,,01,,,472404,8,,152704,,,1980
80IN00092,1977016041,77,2,P6041,,49, 15,,1,,,0,,,,30,,492,, 7,, 4,154,172,,,02,,01,,,413204,2,,157604,,,1980
80IN00093,1977016050,77,2,P6050,,49, 15,,1,,,0,,,,30,,,,,,,156,0,6,,02,,01,0526,,413204,2,,175304,14,,1980
80IN00094,1977016060,77,2,P6060,,76, 16,1,1,,,0,,,,30,,005,,,, 5,161,181,,182,02,,01,,,351804,8,,313204,,,1980
80IN00095,1977016118,77,2,P6118,,49, 16,,1,,,0,,,,30,,493,, 8,, 2,129,143,,,02,,01,,,351804,2,,230004,,,1980
80IN00096,1977016120,77,2,P6120,,49, 13,,1,,,0,,,,30,,491,, 6,, 2,160,188,,,02,,01,,,472404,2,,464704,,,1980
80IN00097,1977016166,77,1,P6166,,76, 14,,1,2,,0,,,,30,,,,,,,166,188,,,02,,01,,,460704,M,,302304,,,1980
80IN00098,1977016221,77,2,P6221,,49, 07,,2,,,0,,,,25,,493,, 8,, 2,126,136,,,02,,01,,,000004,3,,449802,,,1980
80IN00099,1977016226,77,2,P6226,,49, 09,,2,,,0,,,,25,,491,, 6,, 2,125,149,,,02,,01,,,000004,3,,477002,,,1980
80IN00100,1977016229,77,2,P6229,,76, 07,,2,2,,0,,,,25,,201,,,, 2,135,150,2,,02,,01,0918,,000004,8,,524804,92,,1980
80IN00101,1977016236,77,2,P6236,,49, 07,,2,,,0,,,,25,,491,, 6,, 2,119,148,,,02,,01,,,000004,2,,226804,,,1980
80IN00102,1977016238,77,2,P6238,,49, 07,,2,,,0,,,,25,,,,,,,111,0,6,,02,,01,0810,,000004,3,,000804,11,,1980
80IN00103,1977016247,77,2,P6247,,76, 09,,2,,,0,,,,25,,493,, 8,, 2,118,128,,,02,,01,,,000004,8,,484504,,,1980
80IN00104,1977016250,77,2,P6250,,49, 09,,2,,,0,,,,25,,493,, 8,, 2,120,137,,,02,,01,,,000004,1,,464704,,,1980
80IN00105,1977016251,77,2,P6251,,76, 08,,2,,,0,,,,25,,006,,,, 3,148,180,3,,02,,01,0929,,000004,8,,152304,93,,1980
80IN00106,1978016402,78,2,P6402,,76,012,1,1,,,0,,,,20,,006,,,, 2,120,141,,147,02,,01,,,368304,8,,226904,,,1980
80IN00107,1978016423,78,1,P6423,,76,013,,1,2,,0,,,,20,,,,,,,214,243,,,02,,01,,,435204,M,,367302,,,1980
80IN00108,1978016424,78,2,P6424,,76,013,,1,,,0,,,,20,,491,, 6,, 1,152,162,,,02,,01,,,435204,8,,367302,,,1980
80IN00109,1978016433,78,2,P6433,,49,012,,1,,,0,,,,20,,492,, 7,, 2,100,121,6,,02,,01,1107,,368304,2,,494604,01,,1980
80IN00110,1978016508,78,2,P6508,,76,013,0,1,,,0,,,,20,,013,,,, 3,146,170,,151,02,,01,,,435204,8,,260004,,,1980
80IN00111,1978016530,78,2,P6530,,49,012,,1,,,0,,,,20,,492,, 7,, 2,132,151,,,02,,01,,,368304,3,,013804,,,1980
80IN00112,1978016575,78,2,P6575,,76,012,,1,2,,0,,,,20,,201,,,, 2,164,174,2,,02,,01,0918,,368304,8,,287004,92,,1980
80IN00113,1978016640,78,2,P6640,,76,012,,1,,,0,,,,20,,003,,,, 1,124,142,,156,02,,01,,,368304,8,,443204,,1,1980
80IN00114,1978016660,78,2,P6660,,49,013,,1,,,0,,,,20,,,,,,,0,0,6,,02,,01,0529,,435204,*,,320504,01,,1980
80IN00115,1978016667,78,2,P6667,,76,012,,1,,,0,,,,20,,008,,,, 2,121,147,,167,02,,01,,,368304,8,,365104,,1,1980
80IN00116,1978016710,78,2,P6710,,76,013,,1,,,0,,,,20,,,,,,,0,0,6,,02,,01,0311,,435204,*,,140504,01,,1980
80IN00117,1978016722,78,2,P6722,,76,012,,1,,,0,,,,20,,005,,,, 2,98,129,,140,02,,01,,,368304,8,,384704,,1,1980
80IN00118,1978016740,78,2,P6740,,49,012,,1,,,0,,,,20,,,,,,,0,0,7,,02,,01,0610,,368304,*,,450404,97,,1980
80IN00119,1978016742,78,2,P6742,,76,013,,1,,,0,,,,20,,007,,,, 2,143,155,,189,02,,01,,,435204,8,,330304,,1,1980
80IN00120,1978016748,78,2,P6748,,76,013,,1,,,0,,,,20,,491,, 6,, 2,125,144,,,02,,01,,,435204,8,,404804,,,1980
80IN00121,1978016764,78,2,P6764,,49,012,,1,3,,0,,,,20,,,,,,12,126,132,3,,02,,01,0929,,368304,3,,313504,93,,1980
80IN00122,1978016771,78,2,P6771,,76,013,,1,,,0,,,,20,,493,, 8,, 2,152,142,,,02,,01,,,435204,8,,312704,,,1980
80IN00123,1978016772,78,2,P6772,,76,013,,1,,,0,,,,20,,493,, 8,, 2,157,161,,,02,,01,,,435204,7,,312704,,,1980
80IN00124,1978016794,78,2,P6794,,76,013,,1,,,0,,,,20,,,,,,,131,0,3,,02,,01,0616,,435204,8,,017804,93,,1980
80IN00125,1978016814,78,2,P6814,,49,012,,1,,,0,,,,20,,492,, 7,, 2,147,149,,,02,,01,,,368304,3,,325604,,,1980
80IN00126,1978016842,78,2,P6842,,76,013,,1,2,,0,,,,20,,,,,, 2,150,161,3,,02,,01,0929,,435204,8,,357304,93,,1980
80IN00127,1978016860,78,2,P6860,,76,012,0,1,,,0,,,,20,,013,,,, 2,131,164,,150,02,,01,,,368304,8,,486904,,,1980
80IN00128,1978016871,78,1,P6871,,76,012,,1,2,,0,,,,20,,,,,,,171,192,,,02,,01,,,368304,M,,405204,,,1980
80IN00129,1978016872,78,2,P6872,,49,012,,1,,,0,,,,20,,492,, 7,, 2,113,147,,,02,,01,,,368304,2,,405204,,,1980
80IN00130,1978016351,78,2,P6351,,76,011,1,1,,,0,,,,20,,005,,,, 2,194,221,,188,32,,01,,,479407,8,,250904,,,1980
80IN00131,1978016632,78,2,P6632,,76,011,,1,,,0,,,,20,,012,,,, 1,110,133,,154,32,,01,,,479407,7,,196704,,2,1980
80IN00132,1978016633,78,2,P6633,,76,011,,1,,,0,,,,20,,001,,,, 5,125,149,,173,32,,01,,,479407,8,,196704,,1,1980
80IN00133,1978016648,78,2,P6648,,76,011,,1,,,0,,,,20,,005,,,, 2,132,153,,176,32,,01,,,479407,8,,122904,,2,1980
80IN00134,1978016654,78,2,P6654,,76,011,,1,,,0,,,,20,,006,,,, 2,140,159,,183,32,,01,,,479407,8,,373404,,1,1980
80IN00135,1978016663,78,2,P6663,,76,011,,1,,,0,,,,20,,007,,,, 3,164,182,,224,32,,01,,,479407,8,,406704,,2,1980
80IN00136,1978016682,78,1,P6682,,76,011,,1,3,,0,,,,20,,,,,,,146,171,3,,32,,01,0728,,479407,M,,393104,93,,1980
80IN00137,1978016683,78,2,P6683,,76,011,,1,,,0,,,,20,,009,,,, 5,137,153,,168,32,,01,,,479407,8,,393104,,1,1980
80IN00138,1978016691,78,2,P6691,,76,011,,1,,,0,,,,20,,011,,,, 2,158,170,,205,32,,01,,,479407,8,,157104,,2,1980
80IN00139,1978016696,78,1,P6696,,76,011,,1,2,,0,,,,20,,356,,,,,205,221,2,,32,,01,0918,,479407,M,,071504,92,,1980
80IN00140,1978016697,78,2,P6697,,76,011,,1,,,0,,,,20,,011,,,, 2,132,151,,168,32,,01,,,479407,8,,071504,,1,1980
80IN00141,1978016700,78,2,P6700,,76,011,,1,,,0,,,,20,,012,,,, 2,159,174,,206,32,,01,,,479407,8,,118804,,2,1980
80IN00142,1978016712,78,2,P6712,,76,011,,1,,,0,,,,20,,001,,,, 1,152,160,,170,32,,01,,,479407,7,,419404,,1,1980
80IN00143,1978016713,78,2,P6713,,76,011,,1,,,0,,,,20,,003,,,, 1,144,142,,189,32,,01,,,479407,8,,419404,,2,1980
80IN00144,1978016738,78,2,P6738,,76,011,,1,,,0,,,,20,,006,,,, 2,155,160,,178,32,,01,,,479407,8,,362404,,1,1980
80IN00145,1978016745,78,2,P6745,,76,011,,1,3,,0,,,,20,,008,,,,12,159,178,3,,32,,01,0929,,479407,7,,011404,93,,1980
80IN00146,1978016746,78,2,P6746,,76,011,,1,,,0,,,,20,,009,,,, 1,158,172,,185,32,,01,,,479407,8,,217304,,2,1980
80IN00147,1978016751,78,1,P6751,,76,011,,1,2,,0,,,,20,,356,,,,,200,226,2,,32,,01,0918,,479407,M,,142104,92,,1980
80IN00148,1978016805,78,2,P6805,,76,011,,1,3,,0,,,,20,,,,,,11,139,158,3,,32,,01,0929,,479407,8,,384204,93,,1980
80IN00149,1978016806,78,2,P6806,,76,011,,1,,,0,,,,20,,012,,,, 1,132,158,,175,32,,01,,,479407,8,,502904,,1,1980
80IN00150,1978016868,78,2,P6868,,76,011,,1,2,,0,,,,20,,168,,,, 2,123,128,2,,32,,01,0918,,479407,3,,167201,92,,1980
80IN00151,1978016978,78,2,P6978,,76,011,,1,,,0,,,,20,,011,,,, 2,124,138,,176,32,,01,,,479407,8,,422004,,2,1980
80IN00152,1978017150,78,2,P7150,,76,707,,1,,,0,,,,20,,010,,,, 2,144,143,,163,32,,01,,,539907,8,,591504,,1,1980
80IN00153,1978017200,78,2,P7200,,76,015,,1,,,0,,,,20,,001,,,, 1,115,136,,141,32,,01,,,541307,8,,524804,,2,1980
80IN00154,1978017321,78,2,P7321,,76,707,,1,,,0,,,,20,,003,,,, 1,120,140,,156,32,,01,,,539907,8,,600304,,1,1980
80IN00155,1978017336,78,2,P7336,,76,015,1,1,,,0,,,,20,,006,,,, 2,151,194,,167,32,,01,,,541307,8,,226804,,,1980
80IN00156,1978017337,78,2,P7337,,76,015,,1,,,0,,,,20,,005,,,, 4,134,150,,194,32,,01,,,541307,8,,226804,,2,1980
80IN00157,1978017509,78,2,P7509,,76, 12,,2,,,0,,,,15,,006,,,, 1,102,113,,121,32,,01,,,619407,8,,393104,,1,1980
80IN00158,1979017538,79,2,P7538,,76, 02,,1,,,0,,,,10,,007,,,, 2,112,125,,169,32,,01,,,648207,7,,223604,,2,1980
80IN00159,1979017580,79,1,P7580,,76, 11,,1,2,,0,,,,10,,354,,,,,146,171,2,,32,,01,0918,,541307,Y,,226804,92,,1980
80IN00160,1979017622,79,2,P7622,,76, 11,,1,,,0,,,,10,,010,,,, 2,112,142,,138,32,,01,,,541307,7,,625104,,1,1980
80IN00161,1979017634,79,2,P7634,,76, 10,,1,,,0,,,,10,,009,,,, 1,125,143,,185,32,,01,,,479407,7,,581704,,2,1980
80IN00162,1979017636,79,2,P7636,,76, 10,,1,,,0,,,,10,,008,,,, 1,122,136,,153,32,,01,,,479407,7,,464704,,1,1980
80IN00163,1979017637,79,2,P7637,,76, 10,,1,,,0,,,,10,,011,,,, 2,132,147,,200,32,,01,,,479407,8,,464704,,2,1980
80IN00164,1979017642,79,2,P7642,,76, 10,,1,,,0,,,,10,,012,,,, 1,126,135,,152,32,,01,,,479407,7,,325604,,1,1980
80IN00165,1979017661,79,2,P7661,,76, 11,,1,,,0,,,,10,,001,,,, 1,113,130,,162,32,,01,,,541307,7,,365104,,2,1980
80IN00166,1979017675,79,2,P7675,,76, 10,,1,,,0,,,,10,,003,,,, 2,140,157,,175,32,,01,,,479407,8,,600304,,1,1980
80IN00167,1979017676,79,2,P7676,,76, 11,,1,,,0,,,,10,,005,,,, 2,105,118,,161,32,,01,,,541307,7,,438904,,2,1980
80IN00168,1979017679,79,2,P7679,,76, 10,,1,2,,0,,,,10,,168,,,, 2,122,134,2,,32,,01,0918,,479407,2,,404804,92,,1980
80IN00169,1979017684,79,1,P7684,,76, 10,,1,2,,0,,,,10,,354,,,,,188,213,2,,32,,01,0918,,479407,Y,,142104,92,,1980
80IN00170,1979017685,79,1,P7685,,76, 10,,1,2,,0,,,,10,,355,,,,,162,180,2,,32,,01,0918,,479407,Y,,142104,92,,1980
80IN00171,1979017686,79,2,P7686,,76, 10,,1,,,0,,,,10,,006,,,, 1,141,146,,175,32,,01,,,479407,8,,142104,,1,1980
80IN00172,1979017693,79,2,P7693,,76, 10,,1,,,0,,,,10,,007,,,, 1,109,117,,164,32,,01,,,479407,7,,188804,,2,1980
80IN00173,1979017700,79,2,P7700,,76, 10,,1,,,0,,,,10,,008,,,, 2,116,134,,156,32,,01,,,479407,7,,493502,,1,1980
80IN00174,1979017726,79,1,P7726,,76, 10,,1,2,,0,,,,10,,353,,,,,168,188,2,,32,,01,0918,,479407,Y,,152704,92,,1980
80IN00175,1979017727,79,2,P7727,,76, 10,,1,,,0,,,,10,,009,,,, 9,112,123,,159,32,,01,,,479407,7,,152704,,2,1980
80IN00176,1979017728,79,2,P7728,,76, 10,,1,,,0,,,,10,,012,,,, 2,113,120,,148,32,,01,,,479407,7,,152704,,1,1980
80IN00177,1979017740,79,2,P7740,,76, 10,,1,,,0,,,,10,,011,,,, 1,125,135,,176,32,,01,,,479407,7,,422904,,2,1980
80IN00178,1979017746,79,2,P7746,,76, 11,,1,,,0,,,,10,,010,,,, 2,112,127,,134,32,,01,,,541307,7,,367302,,1,1980
80IN00179,1979017755,79,2,P7755,,76, 10,,1,,,0,,,,10,,001,,,, 2,104,120,,158,32,,01,,,479407,7,,152304,,2,1980
80IN00180,1979017758,79,1,P7758,,76, 10,,1,3,,0,,,,10,,,,,,,147,179,3,,32,,01,0801,,479407,Y,,226904,93,,1980
80IN00181,1979017778,79,2,P7778,,76, 10,,1,,,0,,,,10,,003,,,, 2,120,141,,155,32,,01,,,479407,1,,582604,,1,1980
80IN00182,1979017792,79,2,P7792,,76, 11,,1,,,0,,,,10,,005,,,, 2,123,142,,181,32,,01,,,541307,7,,201104,,2,1980
80IN00183,1979017800,79,2,P7800,,76, 10,,1,,,0,,,,10,,006,,,, 2,99,117,,132,32,,01,,,479407,7,,313504,,1,1980
