UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
74IN00050,1972011854,72,2,P1854,1,,30,,1,,,,30,,2,07,,,33,,,,103,142,,,,,01,,,,013501,,,389901,,,1974
74IN00051,1972011926,72,2,P1926,1,,02,,2,,,,,,2,07,,, 35,,, 1,108,142,2,,,,01,0926,,,,1,,012601,92,,1974
74IN00052,1972011956,72,2,P1956,1,,02,,2,,,,,,2,07,,, 35,,, 1,117,161,2,,,,01,0926,,,,,,290001,92,,1974
74IN00053,1972011957,72,2,P1957,1,,02,,2,,,,,,2,07,,, 34,,, 1,98,139,2,,,,01,0926,,,,,,290001,92,,1974
74IN00054,1972011962,72,2,P1962,1,,01,,2,,,,,,2,07,,, 32,,,,100,121,2,,,,01,0926,,,,,,012701,92,,1974
74IN00055,1972011979,72,2,P1979,1,,01,,2,,,,25,,2,07,,,32,,,,99,147,,,,,01,,,,,,,266401,,,1974
74IN00056,1973012116,73,2,P2116,1,,11,,1,,,,,,1,07,,, 29,,,,96,122,2,,,,01,0926,,,121301,,,3875 1,92,,1974
74IN00057,1973012146,73,2,P2146,1,,12,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,126101,,,0332 1,93,,1974
74IN00058,1973012158,73,2,P2158,1,,12,,1,,,,20,,1,07,,,33,,,,106,132,,,,,01,,,,126101,,,3861 1,,,1974
74IN00059,1973012161,73,2,P2161,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,0059 1,93,,1974
74IN00060,1973012210,73,2,P2210,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,0852 1,93,,1974
74IN00061,1973012216,73,2,P2216,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,0096 1,93,,1974
74IN00062,1973012245,73,2,P2245,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,1258 1,93,,1974
74IN00063,1973012246,73,2,P2246,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,0073 1,93,,1974
74IN00064,1973012277,73,2,P2277,1,,12,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,126101,,,4122 1,93,,1974
74IN00065,1973012306,73,2,P2306,1,,30,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,145501,,,4385 1,93,,1974
74IN00066,1973012307,73,2,P2307,1,,11,,1,,,,,,1,07,,, 31,,, 2,119,144,2,,,,01,0926,,,121301,,,3684 1,92,,1974
74IN00067,1973012334,73,1,P2334,1,,13,,1,,,,,2,,07,,,,,,,,,7,,,,01,0601,,,032101,,,4315 1,97,,1974
74IN00068,1973012335,73,2,P2335,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,4315 1,93,,1974
74IN00069,1973012337,73,2,P2337,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,3667 1,93,,1974
74IN00070,1973012339,73,2,P2339,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,2918 1,93,,1974
74IN00071,1973012353,73,2,P2353,1,,12,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,126101,,,2850 1,93,,1974
74IN00072,1973012362,73,2,P2362,1,,12,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,126101,,,0095 1,93,,1974
74IN00073,1973012422,73,2,P2422,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,4193 1,93,,1974
74IN00074,1973012484,73,2,P2484,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,2641 1,93,,1974
74IN00075,1973012488,73,2,P2488,1,,11,,1,,,,20,,1,07,,,32,,,,108,137,,,,,01,,,,121301,,,3262 1,,,1974
74IN00076,1973012511,73,2,P2511,1,,31,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,025701,,,0137 1,93,,1974
74IN00077,1973012515,73,2,P2515,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,4017 1,93,,1974
74IN00078,1973012541,73,2,P2541,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,1122 1,93,,1974
74IN00079,1973012542,73,2,P2542,1,,11,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,1122 1,93,,1974
74IN00080,1973012565,73,2,P2565,1,,112,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,121301,,,1366 1,93,,1974
74IN00081,1973012603,73,2,P2603,1,,30,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,145501,,,0229 1,93,,1974
74IN00082,1973012604,73,2,P2604,1,,30,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,145501,,,0229 1,93,,1974
74IN00083,1973012606,73,2,P2606,1,,31,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,025701,,,1185 1,93,,1974
74IN00084,1973012637,73,2,P2637,1,,31,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,025701,,,4342 1,93,,1974
74IN00085,1967102641,67,2,U2641,1,,,,1,,,,,,7,07,,,05,,,,127,,7,,,,10,1030,,,,,,,97,,1974
74IN00086,1973012652,73,2,P2652,1,,13,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,032101,,,1197 1,93,,1974
74IN00087,1967102657,67,2,U2657,1,,,,1,,,,80,,7,07,,,04,,, 2,113,136,,,,,10,,,,,,,,,,1974
74IN00088,1973012661,73,2,P2661,1,,31,,1,,,,,,1,07,,,,,,,,,3,,,,01,0304,,,025701,,,2900 1,93,,1974
74IN00089,1967102664,67,2,U2664,1,,,,,,3,,,,7,07,,,,,, 2,152,159,4,,,,10,,,,,,,,,,1974
74IN00090,1973012670,73,2,P2670,1,,01,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,032101,,,179801,93,,1974
74IN00091,1973012685,73,2,P2685,1,,01,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,032101,,,180201,93,,1974
74IN00092,1973012700,73,3,P2700,1,,01,,2,,,,,,,07,,,,,,,,,3,,,,01,0429,,,032101,,,197901,93,,1974
74IN00093,1973012701,73,2,P2701,1,,01,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,032101,,,197901,93,,1974
74IN00094,1973012704,73,2,P2704,1,,02,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,126101,,,168601,93,,1974
74IN00095,1973012707,73,2,P2707,1,,01,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,032101,,,185401,93,,1974
74IN00096,1973012712,73,2,P2712,1,,03,,2,,,,15,,1,07,,,33,,,,78,108,,,,,01,,,,177401,,,007301,,,1974
74IN00097,1973012713,73,2,P2713,1,,03,,2,,,,15,,1,07,,,32,,,,79,110,,,,,01,,,,177401,,,007301,,,1974
74IN00098,1973012727,73,2,P2727,1,,03,,2,,,,,,1,07,,,,,,,,,6,,,,01,0101,,,177401,,,002901,21,,1974
74IN00099,1973012742,73,2,P2742,1,,03,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,177401,,,033201,93,,1974
74IN00100,1973012763,73,2,P2763,1,,02,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,197801,,,264101,93,,1974
74IN00101,1973012764,73,2,P2764,1,,02,,2,,,,,,1,07,,,,,,,,,3,,,,01,0429,,,197801,,,264101,93,,1974
74IN00102,1968102850,68,2,U2850,1,,,,1,,,,,,6,07,,,,,,,144,,6,,,,10,0719,,,,,,,01,,1974
74IN00103,1968102895,68,2,U2895,1,,,,,,3,,,,6,07,,,,,, 3,142,160,4,,,,10,,,,,,,,,,1974
74IN00104,1968102900,68,2,U2900,1,,,,1,,,,70,,6,07,,,32,,,,146,169,,,,,10,,,,,,,,,,1974
74IN00105,1968102919,68,2,U2919,1,,,,1,,,,,,6,07,,, 44,,, 3,123,150,2,,,,10,0926,,,,1,,,92,,1974
74IN00106,1968103262,68,2,U3262,1,,,,1,,,,,,6,07,,, 45,,, 3,140,152,2,,,,10,0926,,,,1,,,92,,1974
74IN00107,1965813684,65,2,Y3684,1,,,,,,3,,,,9,09,,,,,, 2,142,156,4,,,,81,,,,,1,,,,,1974
74IN00108,1965813861,65,2,Y3861,1,,,,1,,,,,,9,08,,,04,,,,139,,7,,,,81,1030,,,,,,,97,,1974
74IN00109,1965813875,65,2,Y3875,1,,,,,,3,,,,9,09,,,,,, 3,156,191,4,,,,81,,,,,1,,,,,1974
74IN00110,1965813901,65,2,Y3901,1,,,,,,3,,,,9,07,,,,,,,139,156,4,,,,81,,,,,,,,,,1974
74IN00111,1965813982,65,2,Y3982,1,,,,1,,,,,,9,07,,,,,,,143,163,3,,,,81,0930,,,,,,,93,,1974
74IN00112,1965814122,65,2,Y4122,1,,,,1,,,,,,9,09,,,,,,,,,6,,,,81,0318,,,,,,,01,,1974
74IN00113,1965814193,65,2,Y4193,1,,,,1,,,,,,9,09,,, 49,,,,145,155,2,,,,81,0926,,,,,,,92,,1974
74IN00114,1965814315,65,2,Y4315,1,,,,1,,,,,,9,09,,,,,,,146,159,7,,,,81,1030,,,,,,,97,,1974
74IN00115,1965814342,65,2,Y4342,1,,,,,,3,,,,9,09,,,,,,,142,150,4,,,,81,,,,,,,,,,1974
74IN00116,1965814383,65,2,Y4383,1,,,,,,3,,,,,07,,,,,,,121,,3,,,,81,0826,,,,,,,93,,1974
74IN00117,1969340004,69,2,40004,4,,15,,1,,,,,,5,02,,,04,,,,127,,7,,,,34,1030,,,,,,061484,97,,1974
74IN00118,1969340008,69,2,40008,4,,15,,1,,,,60,,5,02,,,04,,,,124,145,,,,,34,,,,,,,,,,1974
74IN00119,1969340014,69,2,40014,4,,15,,1,,,,,,5,02,,,,,,,,,6,,,,34,0124,,,,,,,15,,1974
74IN00120,1969340016,69,2,40016,4,,15,,1,,,,,,5,02,,,05,,,,165,,7,,,,34,1030,,,,,,,97,,1974
74IN00121,1969340018,69,2,40018,4,,15,,1,,,,60,,5,02,,,06,,,,153,173,,,,,34,,,,,,,,,,1974
74IN00122,1969340026,69,2,40026,4,,15,,1,,,,60,,5,02,,,05,,,,140,158,,,,,34,,,,,,,,,,1974
74IN00123,1969340031,69,2,40031,4,,15,,1,,,,,,5,02,,,,,,,,,7,,,,34,0601,,,,,,,97,,1974
74IN00124,1969340043,69,2,40043,4,,15,,1,,,,60,,5,02,,,06,,,,152,179,,,,,34,,,,,,,,,,1974
74IN00125,1969340059,69,2,40059,4,,15,,1,,,,,,5,02,,,,,,,,,6,,,,34,0309,,,,,,,17,,1974
74IN00126,1969340069,69,2,40069,4,,15,,,,3,,,,,02,,,,,,,174,,3,,,,34,0826,,,,,,,93,,1974
74IN00127,1969340075,69,2,40075,4,,15,,1,,,,60,,5,02,,,32,,,,131,146,,,,,34,,,,,,,,,,1974
74IN00128,1969340079,69,2,40079,4,,15,,1,,,,60,,5,02,,,04,,, 3,161,164,,,,,34,,,,,,,,,,1974
74IN00129,1969340082,69,2,40082,4,,15,,2,,,,55,,5,02,,,05,,,,111,143,,,,,34,,,,,,,,,,1974
74IN00130,1969340083,69,2,40083,4,,15,,2,,,,55,,5,02,,,06,,,,156,181,,,,,34,,,,,,,,,,1974
74IN00131,1969340084,69,2,40084,4,,15,,2,,,,55,,5,02,,,04,,,,121,140,,,,,34,,,,,,,,,,1974
74IN00132,1970340094,70,2,40094,4,,16,,1,,,,50,,4,02,,,06,,,,140,152,,,,,34,,,,,,,,,,1974
74IN00133,1970340114,70,2,40114,4,,26,,1,,,,50,,4,02,,,06,,,,146,175,,,,,34,,,,,,,,,,1974
74IN00134,1970340119,70,2,40119,4,,16,,1,,,,50,,4,02,,,06,,,,125,149,,,,,34,,,,,,,,,,1974
74IN00135,1970340120,70,2,40120,4,,16,,1,,,,50,,4,02,,,04,,,,164,181,,,,,34,,,,,,,,,,1974
74IN00136,1970340123,70,2,40123,4,,15,,1,,,,50,,4,02,,,32,,,,165,186,,,,,34,,,,,,,,,,1974
74IN00137,1970340137,70,2,40137,4,,26,,1,,,,50,,4,02,,,06,,,,144,156,,,,,34,,,,,,,,,,1974
74IN00138,1970340138,70,2,40138,4,,15,,1,,,,50,,4,02,,,04,,,,125,144,,,,,34,,,,,,,,,,1974
74IN00139,1970340142,70,2,40142,4,,16,,1,,,,50,,4,02,,,06,,,,138,166,,,,,34,,,,,,,,,,1974
74IN00140,1970340177,70,2,40177,4,,15,,1,,,,50,,4,02,,,32,,,,144,176,,,,,34,,,,,,,,,,1974
74IN00141,1970340178,70,2,40178,4,,16,,1,,,,50,,4,02,,,04,,,,159,180,,,,,34,,,,,,,,,,1974
74IN00142,1970340219,70,2,40219,4,,04,,2,,,,45,,4,02,,,04,,,,138,169,,,,,34,,,,,,,,,,1974
74IN00143,1970340229,70,2,40229,4,,03,,2,,,,,,4,02,,, 23,,,,97,125,2,,,,34,0926,,,,,,,92,,1974
74IN00144,1970340231,70,2,40231,4,,05,,2,,,,,,4,02,,,,,,,,,6,,,,34,0205,,,,,,,15,,1974
74IN00145,1970340234,70,2,40234,4,,04,,,,3,,,,,02,,,,,,,99,,3,,,,34,0701,,,,,,,93,,1974
74IN00146,1970340238,70,2,40238,4,,05,,2,,,,45,,4,02,,,33,,,,119,153,,,,,34,,,,,,,,,,1974
74IN00147,1964840519,64,2,N0519,4,,,,1,,,,,,0,02,,,,,, 4,121,140,3,,,,84,0930,,,,3,,,93,,1974
74IN00148,1971010565,71,2,P0565,7,,,,,,3,,,,,30,,,,127,, 2,127,143,4,,,,01,,,,,,,,,,1974
74IN00149,1971010583,71,2,P0583,4,,16,,1,,,,40,,3,02,,,04,,,,96,127,,,,,01,,,,011804,,,065604,,,1974
74IN00150,1971010593,71,2,P0593,4,,16,,1,,,, 1,,3,02,,, 22,,,,105,129,2,,,,01,0926,,,011804,,,013304,92,,1974
74IN00151,1971010615,71,2,P0615,4,,15,,1,,,,40,,3,02,,,06,,,,96,126,,,,,01,,,,011504,,,051904,,,1974
74IN00152,1964840630,64,2,N0630,4,,,,1,,,,,,0,02,,,,,,,137,157,3,,,,84,0930,,,,,,,93,,1974
74IN00153,1971010661,71,2,P0661,4,,17,,1,,,,40,,3,02,,,05,,,,120,160,,,,,01,,,,000904,,,059404,,,1974
74IN00154,1964840684,64,2,N0684,4,,,,,,3,,,,0,03,,,,,,,152,151,4,,,,84,,,,,,,,,,1974
74IN00155,1971010692,71,2,P0692,4,,17,,,,3,,,,,02,,,,,,,149,,3,,,,01,0826,,,000904,,,008304,93,,1974
74IN00156,1971010715,71,2,P0715,4,,17,,1,,,,40,,3,02,,,04,,,,126,156,,,,,01,,,,000904,,,063904,,,1974
74IN00157,1971010733,71,2,P0733,4,,17,,1,,,,40,,3,02,,,05,,,,129,162,,,,,01,,,,000904,,,072404,,,1974
74IN00158,1964840756,64,2,N0756,4,,,,1,,,,,,0,02,,,,,,,108,132,3,,,,84,1111,,,,,,,93,,1974
74IN00159,1971010786,71,2,P0786,4,,15,,1,,,,,,3,02,,, 22,,,,120,145,2,,,,01,0926,,,011504,,,056504,92,,1974
74IN00160,1971010791,71,2,P0791,4,,16,,1,,,,40,,3,02,,,04,,,,128,163,,,,,01,,,,011804,,,095704,,,1974
74IN00161,1971010798,71,2,P0798,4,,16,,,,3,,,,3,02,,,,,,,139,170,4,,,,01,,,,011804,,,052404,,,1974
74IN00162,1964840801,64,2,N0801,4,,,,1,,,,,,0,02,,,,,,,,,6,,,,84,0516,,,,,,,01,,1974
74IN00163,1964840803,64,2,N0803,4,,,,1,,,,,,0,03,,,,,,,160,165,3,,,,84,1111,,,,,,,93,,1974
74IN00164,1964840845,64,2,N0845,4,,,,1,,,,,,0,03,,,,,,,,,7,,,,84,0601,,,,,,,97,,1974
74IN00165,1964840904,64,2,N0904,4,,,,1,,,,-0,,0,02,,,06,,,,119,132,,,,,84,,,,,,,,,,1974
74IN00166,1971010908,71,2,P0908,4,,16,,1,,,,40,,3,02,,,04,,,,100,126,,,,,01,,,,011804,,,104504,,,1974
74IN00167,1964840940,64,2,N0940,4,,,,1,,,,,,0,02,,,,,, 5,109,134,3,,,,84,0930,,,,3,,,93,,1974
74IN00168,1971010977,71,2,P0977,4,,17,,1,,,,40,,3,02,,,05,,,,109,125,,,,,01,,,,000904,,,067404,,,1974
74IN00169,1964840989,64,2,N0989,4,,,,1,,,,,,0,02,,,,,,,163,160,,,,,84,,,,,,,,,,1974
74IN00170,1964841010,64,2,N1010,4,,,,1,,,,,,0,03,,,,,,,,,7,,,,84,0601,,,,,,,97,,1974
74IN00171,1964841017,64,2,N1017,4,,,,,,3,,,,,02,,,,,, 2,131,150,3,,,,84,0930,,,,,,,93,,1974
74IN00172,1964841036,64,2,N1036,4,,,,1,,,,,,0,01,,,,,,,121,149,3,,,,84,1111,,,,,,,93,,1974
74IN00173,1971011045,71,2,P1045,4,,17,,,,3,,,,,02,,,,,,,,,6,,,,01,0219,,,000904,,,054204,28,,1974
74IN00174,1971011110,71,2,P1110,4,,17,,1,,,,40,,3,02,,,32,,,,110,151,,,,,01,,,,000904,,,101004,,,1974
74IN00175,1971011125,71,2,P1125,4,,16,,1,,,,40,,3,02,,,04,,,,100,117,,,,,01,,,,011804,,,009604,,,1974
74IN00176,1971011172,71,2,P1172,4,,02,,2,,,,35,,3,01,,,05,,,,103,139,,,,,01,,,,000001,,,014204,,,1974
74IN00177,1971011186,71,2,P1186,4,,05,,2,,,,35,,3,02,,,05,,,,89,112,,,,,01,,,,000004,,,330304,,,1974
74IN00178,1971011188,71,2,P1188,4,,05,,2,,,,35,,3,02,,,05,,,,115,155,,,,,01,,,,000004,,,011404,,,1974
74IN00179,1971011218,71,2,P1218,4,,05,,2,,,,35,,3,02,,,05,,,,104,131,,,,,01,,,,000004,,,000704,,,1974
74IN00180,1971011229,71,2,P1229,4,,04,,2,,,,35,,3,02,,,06,,,,106,116,,,,,01,,,,000004,,,090404,,,1974
74IN00181,1971011230,71,2,P1230,4,,04,,2,,,,35,,3,02,,,06,,,,107,130,,,,,01,,,,000004,,,090404,,,1974
74IN00182,1972011330,72,2,P1330,4,,16,,1,,,,30,,2,02,,,06,,,,135,153,,,,,01,,,,011504,,,067404,,,1974
74IN00183,1972011389,72,2,P1389,4,,15,,1,,,,,,2,02,,,,,,,,,6,,,,01,0124,,,009104,,,013804,15,,1974
74IN00184,1972011399,72,2,P1399,4,,15,,1,,,,30,,2,02,,,04,,,,101,159,,,,,01,,,,009104,,,086204,,,1974
74IN00185,1972011405,72,2,P1405,4,,17,,1,,,,30,,2,02,,,05,,, 1,132,139,,,,,01,,,,014804,,,009404,,,1974
74IN00186,1972011421,72,2,P1421,4,,17,,1,,,,30,,2,02,,,33,,,,115,155,,,,,01,,,,014804,,,103604,,,1974
74IN00187,1972011440,72,1,P1440,4,,16,,1,1,,,,,,02,,2,,,09,,208,216,,,108,,01,,196,5,011504,,,098904,,,1974
74IN00188,1972011448,72,2,P1448,4,,16,,1,,,,30,,2,02,,,33,,,,110,159,,,,,01,,,,011504,,,327104,,,1974
74IN00189,1972011487,72,2,P1487,4,,16,,1,,,,30,,2,02,,,06,,,,105,153,,,,,01,,,,011504,,,006904,,,1974
74IN00190,1972011490,72,1,P1490,4,,17,,1,1,,,,,,02,,1,,,07,,200,209,,,111,,01,,160,5,014804,,,007904,,,1974
74IN00191,1972011510,72,2,P1510,4,,15,,1,,,,30,,2,02,,,32,,,,103,154,,,,,01,,,,009104,,,094004,,,1974
74IN00192,1972011523,72,2,P1523,4,,15,,1,,,,30,,2,02,,,04,,,,114,146,,,,,01,,,,009104,,,104504,,,1974
74IN00193,1972011527,72,2,P1527,4,,15,,1,,,,30,,2,02,,,33,,,,110,151,,,,,01,,,,009104,,,326104,,,1974
74IN00194,1972011571,72,2,P1571,4,,16,,1,,,,30,,2,02,,,06,,, 1,124,163,,,,,01,,,,011504,8,,080104,,,1974
74IN00195,1972011576,72,2,P1576,4,,17,,1,,,,30,,2,02,,,05,,,,107,135,,,,,01,,,,014804,,,080304,,,1974
74IN00196,1972011598,72,2,P1598,4,,17,,1,,,,30,,2,02,,,06,,,,111,136,,,,,01,,,,014804,,,095104,,,1974
74IN00197,1972011696,72,2,P1696,4,,17,,1,,,,30,,2,02,,,04,,, 2,120,145,,,,,01,,,,014804,,,329804,,,1974
