UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,ADAM,RMK,AGE,YRREC
92IN00019,1985631520,K1520,63,85,2,60,1,06,604,034363,914162,7,,,3,30A,3,185,151,2,,,,93,1102,,,,,70,XAGE,7.0,1992
92IN00020,1985631536,K1536,63,85,2,60,1,06,602,062163,869562,,,,3,,1,171,165,4,,,,93,1102,,,,,70,X.TEETH,7.0,1992
92IN00021,1985631552,K1552,63,85,2,63,1,06,634,067563,941262,,,,1,,*,0,0,0,,,,80,0402,,,,,70,"FLT,RF.LAME",7.0,1992
92IN00022,1985631582,K1582,63,85,2,63,1,06,632,023563,014063,,,,2,,2,187,172,3,,,,92,0924,,,,,70,,7.0,1992
92IN00023,1985631604,K1604,63,85,2,63,1,06,633,026563,956562,,,,3,LAR,2,167,164,2,,,X,95,1008,,LAR,,,70,X.NONDESCRIP,7.0,1992
92IN00024,1985631605,K1605,63,85,2,63,1,06,633,026563,956562,,,,2,,1,195,186,3,,,,92,0924,,,,,70,TENDER,7.0,1992
92IN00025,1985631609,K1609,63,85,2,61,1,06,612,118363,752862,,,,3,,1,159,165,2,,,,93,1005,,,,,70,X.NONDESCRIP,7.0,1992
92IN00026,1985631639,K1639,63,85,2,60,1,06,604,034363,824862,,,,3,,2,173,165,12,,,,93,1102,,,,,70,,7.0,1992
92IN00027,1985631664,K1664,63,85,2,60,1,06,601,047363,034763,7,,,3,31D,3,171,157,2,,,,93,1102,,,,,70,XAGE,7.0,1992
92IN00028,1985631673,K1673,63,85,2,61,1,06,611,089963,012963,,,,3,,2,202,187,2,,,,93,1102,,,,,70,X.?FXEWE,7.0,1992
92IN00029,1985631702,K1702,63,85,2,61,1,06,611,089963,812662,7,,,1,30B,3,180,0,0,,,,48,0406,,,,,70,,7.0,1992
92IN00030,1985631719,K1719,63,85,2,61,1,06,614,083163,954762,,,,6,TOB,X,171,0,0,,,X,95,0918,,,,,70,DYSTOCIA,7.0,1992
92IN00031,1985631723,K1723,63,85,2,68,1,06,005,000063,117763,,,,3,,2,211,211,2,,,,93,1102,,,,,70,X.LTS,7.0,1992
92IN00032,1985631725,K1725,63,85,2,63,1,06,632,023563,856862,,,,3,,1,184,183,2,,,,93,1102,,,,,70,X.TEETH,7.0,1992
92IN00033,1985631759,K1759,63,85,2,68,1,06,006,000063,077863,,,,2,,1,190,178,2,,,,92,0924,,,,,70,,7.0,1992
92IN00034,1985631778,K1778,63,85,2,68,1,06,006,000063,076963,,,,3,,1,208,185,3,,,,93,1102,,,,,70,X.LTS,7.0,1992
92IN00035,1985631781,K1781,63,85,2,68,1,06,005,000063,117663,,,,1,,*,0,0,0,,,,16,0124,,,,,70,,7.0,1992
92IN00036,1986631801,K1801,63,86,2,68,1,06,  6,000063,125363,,,,1,,*,0,0,0,,,,50,0311,,,,,60,ATAXIC,6.0,1992
92IN00037,1986631823,K1823,63,86,2,60,1,06,601,090063,020463,,,,1,,1,168,0,0,,,,04,0604,,,,,60,,6.0,1992
92IN00038,1986631830,K1830,63,86,2,61,1,06,613,147563,099963,,,,1,,2,147,152,2,,,,,,M,601,3,1,60,,6.0,1992
92IN00039,1986631831,K1831,63,86,2,61,1,06,613,147563,099963,,,,1,,1,149,147,2,,,,,,C,803,3,1,60,ABT.3/11/91,6.0,1992
92IN00040,1986631840,K1840,63,86,2,63,1,06,634,076763,947062,7,,,3,30A,3,156,162,1,,,,93,1102,,,,,60,X.PROD.CULLY,6.0,1992
92IN00041,1986631848,K1848,63,86,2,61,1,06,614,164863,822662,,,,1,,1,179,176,2,,,2,,,H,751,2,A,60,L.EYE.CONJ.,6.0,1992
92IN00042,1986631849,K1849,63,86,2,61,1,06,613,147563,045563,,,,1,,1,173,168,2,,,,,,M,602,3,1,60,,6.0,1992
92IN00043,1986631864,K1864,63,86,2,63,1,06,631,087263,012563,7,,,1,32C,*,0,0,0,,,,97,0215,,,,,60,,6.0,1992
92IN00044,1986631868,K1868,63,86,2,61,1,06,614,164863,102663,,,,6,TOB,X,175,0,0,,,X,95,0918,,,,,60,"FLT,ENTR",6.0,1992
92IN00045,1986631869,K1869,63,86,2,61,1,06,614,164863,102663,,,,3,,1,198,179,2,,,,93,1102,,,,,60,X.WOOL,6.0,1992
92IN00046,1986631880,K1880,63,86,2,60,1,06,601,090063,847362,,,,1,,1,168,162,2,,,,,,M,603,3,1,60,FLTS,6.0,1992
92IN00047,1986631882,K1882,63,86,2,61,1,06,614,164863,045263,,,,1,,1,180,172,2,,,,,,C,813,4,1,60,,6.0,1992
92IN00048,1986631883,K1883,63,86,2,60,1,06,602,118363,949462,,,,1,,2,175,184,2,,,,,,C,823,3,1,60,ULCER.R.EYE,6.0,1992
92IN00049,1986631884,K1884,63,86,2,60,1,06,602,118363,949462,,,,1,,1,166,168,2,,,3,,,H,751,3,A,60,,6.0,1992
92IN00050,1986631907,K1907,63,86,2,61,1,06,614,164863,930662,,,,1,,2,157,156,2,,,2,,,H,338,3,A,60,,6.0,1992
92IN00051,1986631910,K1910,63,86,2,63,1,06,631,087263,117263,7,,,1,29C,3,173,162,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00052,1986631919,K1919,63,86,2,63,1,06,631,087263,897262,,,,1,,1,171,160,2,,,,,,M,604,2,1,60,,6.0,1992
92IN00053,1986631923,K1923,63,86,2,68,1,06,  6,000063,141063,,,,1,,1,180,177,1,,,,,,M,601,3,1,60,,6.0,1992
92IN00054,1986631939,K1939,63,86,2,63,1,06,634,076763,038163,,,,1,,1,172,186,3,,,,,,C,833,3,1,60,BIG BAG,6.0,1992
92IN00055,1986631942,K1942,63,86,2,60,1,06,601,090063,043363,7,,,1,30A,3,178,155,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00056,1986631949,K1949,63,86,2,60,1,06,601,090063,017863,7,,,1,29A,3,184,156,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00057,1986631950,K1950,63,86,2,60,1,06,601,090063,017863,,,,1,,2,176,180,2,,,,,,M,602,3,1,60,,6.0,1992
92IN00058,1986631966,K1966,63,86,2,68,1,06,  6,000063,144363,7,,,1,32C,3,132,136,1,,,,,,C,843,3,1,60,,6.0,1992
92IN00059,1986631971,K1971,63,86,2,60,1,06,604,101563,013563,,,,1,,2,173,186,2,,,,,,C,853,2,1,60,,6.0,1992
92IN00060,1986631980,K1980,63,86,2,60,1,06,603,079263,976462,,,,7,,1,166,0,0,,,,97,0916,,,,,60,,6.0,1992
92IN00061,1986631997,K1997,63,86,2,60,1,06,601,090063,031263,,,,1,,1,176,164,2,,,3,,,H,338,3,A,60,,6.0,1992
92IN00062,1986632001,K2001,63,86,2,61,1,06,612,151963,054063,,,,1,,1,200,190,2,,,,,,M,603,4,1,60,,6.0,1992
92IN00063,1986632005,K2005,63,86,2,61,1,06,611,151363,027263,,,,1,,1,139,148,3,,,,,,C,863,2,1,60,,6.0,1992
92IN00064,1986632016,K2016,63,86,2,60,1,06,601,090063,080563,,,,1,,1,178,166,2,,,,,,M,604,2,1,60,,6.0,1992
92IN00065,1986632021,K2021,63,86,2,60,1,06,602,118363,021563,7,,,3,34D,3,158,155,11,,,,93,1102,,,,,60,,6.0,1992
92IN00066,1986632030,K2030,63,86,2,63,1,06,634,076763,051363,,,,1,,2,221,213,2,,,2,,,H,290,3,A,60,AB.REAR,6.0,1992
92IN00067,1986632038,K2038,63,86,2,60,1,06,602,118363,882162,7,,,1,35C,3,160,0,0,,,,76,0513,,,,,60,,6.0,1992
92IN00068,1986632042,K2042,63,86,2,60,1,06,601,090063,101663,2,,,3,OVX,T,160,0,0,,,X,,,,,,,60,OVX.EWE,6.0,1992
92IN00069,1986632056,K2056,63,86,2,61,1,06,614,164863,966162,,,,1,,2,193,185,3,,,3,,,H,290,2,A,60,,6.0,1992
92IN00070,1986632057,K2057,63,86,2,61,1,06,613,147563,030063,7,,,1,30B,3,161,156,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00071,1986632067,K2067,63,86,2,60,1,06,602,118363,993962,7,,,1,30A,3,186,166,3,,,,,,,-Z-,2,L,60,SW.BAG,6.0,1992
92IN00072,1986632084,K2084,63,86,2,60,1,06,603,079263,105663,,,,3,,1,201,191,3,,,,93,1102,,,,,60,X.LTS.WOOL,6.0,1992
92IN00073,1986632091,K2091,63,86,2,68,1,06,  6,000063,145663,,,,3,,2,196,180,2,,,,93,1102,,,,,60,X.SICK,6.0,1992
92IN00074,1986632099,K2099,63,86,2,68,1,06,  7,000063,150763,,,,1,,2,187,191,2,,,,,,M,602,3,1,60,,6.0,1992
92IN00075,1986632103,K2103,63,86,2,63,1,06,631,087263,997862,,,,3,,X,178,0,0,,,,93,0526,,,,,60,,6.0,1992
92IN00076,1986632117,K2117,63,86,2,68,1,06,  7,000063,130463,,,,1,,1,171,169,2,,,,,,C,873,3,1,60,,6.0,1992
92IN00077,1986632123,K2123,63,86,2,63,1,06,633,103163,941262,,,,1,,1,186,172,2,,,,,,M,601,3,1,60,,6.0,1992
92IN00078,1986632144,K2144,63,86,2,61,1,06,612,151963,861562,7,,,1,32A,3,201,0,0,,,,01,0622,,,,,60,LT'S,6.0,1992
92IN00079,1986632145,K2145,63,86,2,61,1,06,612,151963,861562,,,,1,,1,163,160,2,,,,,,M,603,3,1,60,,6.0,1992
92IN00080,1986632161,K2161,63,86,2,63,1,06,631,087263,946062,,,,1,,1,166,165,3,,,,,,C,883,2,1,60,"LT,4TEATS",6.0,1992
92IN00081,1986632166,K2166,63,86,2,60,1,06,604,101563,022163,7,,,1,31B,3,188,174,2,,,,,,,-Z-,3,L,60,,6.0,1992
92IN00082,1986632185,K2185,63,86,2,60,1,06,602,118363,912962,7,,,3,29C,3,192,176,1,,,,93,1102,,,,,60,"X.PROD,DRY",6.0,1992
92IN00083,1986632188,K2188,63,86,2,68,1,06,  7,000063,139263,2,,,3,OVX,T,196,0,0,,,X,95,1023,,,,,60,OVX.EWE,6.0,1992
92IN00084,1986632196,K2196,63,86,2,61,1,06,611,151363,976262,,,,1,,2,194,177,3,,,,,,C,893,3,1,60,SW.BAG,6.0,1992
92IN00085,1986632224,K2224,63,86,2,63,1,06,632,075363,020763,,,,1,,1,173,180,2,,,2,,,H,201,4,A,60,,6.0,1992
92IN00086,1986632228,K2228,63,86,2,61,1,06,612,151963,992062,7,,,1,29A,3,170,154,2,,,3,,,H,201,2,A,60,,6.0,1992
92IN00087,1986632232,K2232,63,86,2,63,1,06,632,075363,047263,7,,,3,35A,3,157,123,2,,,,93,1102,,,,,60,THIN.X,6.0,1992
92IN00088,1986632248,K2248,63,86,2,61,1,06,611,151363,005163,,,,1,,2,173,174,3,,,,,,M,604,3,1,60,,6.0,1992
92IN00089,1986632253,K2253,63,86,2,68,1,06,  7,000063,172563,7,,,3,34D,3,170,159,2,,,,93,1102,,,,,60,X.LTS.PROD,6.0,1992
92IN00090,1986632265,K2265,63,86,2,68,1,06,  7,000063,143363,,,,1,,1,163,157,3,,,,,,M,603,2,1,60,SW.BAG4TEATS,6.0,1992
92IN00091,1986632281,K2281,63,86,2,61,1,06,611,151363,032063,,,,1,,1,163,166,3,,,,,,C,903,3,1,60,,6.0,1992
92IN00092,1986632282,K2282,63,86,2,61,1,06,614,164863,942362,,,,1,,1,179,189,3,,,2,,,H,751,3,A,60,SW.BAG,6.0,1992
92IN00093,1986632313,K2313,63,86,2,63,1,06,631,087263,935762,,,,1,,2,192,204,2,,,,,,M,601,3,1,60,,6.0,1992
92IN00094,1986632340,K2340,63,86,2,63,1,06,633,103163,869362,,,,1,,2,212,180,3,,,,,,C,913,2,1,60,,6.0,1992
92IN00095,1986632362,K2362,63,86,2,68,1,06,  7,000063,137463,,,,1,,1,179,193,3,,,,,,C,803,2,1,60,,6.0,1992
92IN00096,1986632364,K2364,63,86,2,68,1,06,  7,000063,148763,,,,1,,*,0,0,0,,,,16,0301,,,,,60,,6.0,1992
92IN00097,1986632386,K2386,63,86,2,68,1,06,  7,000063,149363,2,,,3,OVX,T,186,0,0,,,X,,,,,,,60,OVX.EWE,6.0,1992
92IN00098,1986632400,K2400,63,86,2,68,1,06,  7,000063,160563,7,,,3,31D,3,167,163,2,,,,93,1102,,,,,60,X.RUPTURE,6.0,1992
92IN00099,1986632403,K2403,63,86,2,68,1,06,  6,000063,124463,7,,,1,34D,3,189,128,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00100,1986632405,K2405,63,86,2,68,1,06,  6,000063,155263,7,,,1,31B,3,166,161,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00101,1986632406,K2406,63,86,2,68,1,06,  7,000063,149663,7,,,1,30B,3,190,170,2,,,,,,,-Z-,2,L,60,,6.0,1992
92IN00102,1987632427,K2427,63,87,2,60,1,06,601,151363,933762,,,,3,,2,172,173,2,,,,93,1102,,,,,50,X.COARSE!,5.0,1992
92IN00103,1987632440,K2440,63,87,2,68,1,06,601,151363,037563,,,,1,,1,171,167,2,,,,,,M,602,3,1,50,,5.0,1992
92IN00104,1987632448,K2448,63,87,2,60,1,06,601,151363,993762,,,,1,,2,198,171,2,,,,,,C,813,3,1,50,,5.0,1992
92IN00105,1987632457,K2457,63,87,2,61,1,06,614,216063,030063,7,,,1,30A,3,178,166,2,,,,,,M,601,3,1,50,,5.0,1992
92IN00106,1987632459,K2459,63,87,2,68,1,06,604,154663,126663,2,,,3,OVX,T,176,0,0,,,X,95,1023,,,,,50,OVX.EWE,5.0,1992
92IN00107,1987632461,K2461,63,87,2,60,1,06,602,151963,148563,,,,1,,1,157,168,2,,,3,,,H,751,3,A,50,LRG TEATS,5.0,1992
92IN00108,1987632464,K2464,63,87,2,63,1,06,633,164863,961162,,,,1,,1,185,182,2,,,2,,,H,751,4,A,50,,5.0,1992
92IN00109,1987632466,K2466,63,87,2,63,1,06,633,164863,102563,7,,,1,35A,3,179,148,2,,,,,,,-Z-,3,L,50,,5.0,1992
92IN00110,1987632470,K2470,63,87,2,60,1,06,604,154663,091363,,,,1,,2,173,186,2,,,,,,M,604,3,1,50,SLOWEWE,5.0,1992
92IN00111,1987632476,K2476,63,87,2,60,1,06,604,154663,093763,,,,1,,1,191,194,2,,,,,,C,823,4,1,50,,5.0,1992
92IN00112,1987632482,K2482,63,87,2,63,1,06,634,148863,816062,2,,,3,OVX,T,156,0,0,,,X,,,,,,,50,OVX.EWE,5.0,1992
92IN00113,1987632488,K2488,63,87,2,61,1,06,613,221563,021263,7,,,1,31B,3,150,125,2,,,,,,,-Z-,1,L,50,,5.0,1992
92IN00114,1987632514,K2514,63,87,2,61,1,06,612,203963,061763,,,,1,,1,164,0,0,,,,05,0519,,,,,50,,5.0,1992
92IN00115,1987632516,K2516,63,87,2,63,1,06,633,164863,039963,,,,1,,1,201,190,3,,,,,,M,602,3,1,50,"LTS, ENTR",5.0,1992
92IN00116,1987632521,K2521,63,87,2,63,1,06,632,168063,997862,,,,1,,1,207,198,2,,,,,,C,833,3,1,50,"VLT,WORN TAG",5.0,1992
92IN00117,1987632531,K2531,63,87,2,61,1,06,611,215863,122763,7,,,1,34D,3,164,138,2,,,,19,1030,,-Z-,0,L,50,,5.0,1992
92IN00118,1987632532,K2532,63,87,2,63,1,06,634,148863,831562,7,,,7,34D,3,172,0,0,,,,97,0929,,,,,50,,5.0,1992
92IN00119,1987632536,K2536,63,87,2,68,1,06,612,203963,960062,7,,,1,29A,X,110,0,0,,,,76,0513,,,,,50,,5.0,1992
92IN00120,1987632537,K2537,63,87,2,60,1,06,604,154663,013463,,,,3,,1,175,156,5,,,,93,1102,,,,,50,X.5BAG,5.0,1992
92IN00121,1987632540,K2540,63,87,2,63,1,06,633,164863,047263,,,,1,,1,193,189,2,,,3,,,H,751,4,A,50,,5.0,1992
92IN00122,1987632552,K2552,63,87,2,61,1,06,614,216063,966062,,,,1,,1,181,174,2,,,,,,C,843,3,1,50,,5.0,1992
92IN00123,1987632554,K2554,63,87,2,63,1,06,634,148863,122663,,,,1,,1,153,142,2,,,,,,M,603,2,1,50,,5.0,1992
92IN00124,1987632560,K2560,63,87,2,68,1,06,611,215863,175163,,,,1,,1,212,195,2,,,,,,C,853,4,1,50,LTS,5.0,1992
92IN00125,1987632565,K2565,63,87,2,68,1,06,604,154663,094263,2,,,3,OVX,T,136,0,0,,,X,,,,,,,50,OVX.EWE,5.0,1992
92IN00126,1987632570,K2570,63,87,2,63,1,06,633,164863,996962,,,,1,,2,212,199,2,,,,,,C,863,3,1,50,DYS.BREECH,5.0,1992
92IN00127,1987632602,K2602,63,87,2,68,1,06,603,125663,036563,7,,,1,35A,3,187,174,2,,,2,,,H,338,3,A,50,,5.0,1992
92IN00128,1987632611,K2611,63,87,2,61,1,06,613,221563,150163,7,,,1,34D,3,176,172,2,,,,,,,-Z-,2,L,50,,5.0,1992
92IN00129,1987632613,K2613,63,87,2,63,1,06,632,168063,072463,,,,3,,1,215,204,1,,,,93,1102,,,,,50,X.LT'S.PROD,5.0,1992
92IN00130,1987632619,K2619,63,87,2,60,1,06,601,151363,152063,,,,1,29A,3,113,0,0,,,,01,0810,,,,,50,SICK 3/10/92,5.0,1992
92IN00131,1987632624,K2624,63,87,2,60,1,06,602,151963,151163,,,,1,,1,175,169,2,,,3,,,H,290,3,A,50,LTS&CAKED,5.0,1992
92IN00132,1987632626,K2626,63,87,2,68,1,06,633,164863,142663,7,,,1,29A,3,165,171,2,,,,,,,-Z-,4,L,50,,5.0,1992
92IN00133,1987632639,K2639,63,87,2,63,1,06,632,168063,020263,,,,1,,2,307,220,5,,,2,,,H,290,3,A,50,R.EYE9-11-91,5.0,1992
92IN00134,1987632648,K2648,63,87,2,68,1,06,631,134963,079163,,,,1,,2,187,195,3,,,,,,M,604,3,1,50,LT'S,5.0,1992
92IN00135,1987632657,K2657,63,87,2,63,1,06,631,134963,946062,,,,3,,1,202,206,2,,,,93,1102,,,,,50,X.EWECOLOR3,5.0,1992
92IN00136,1987632685,K2685,63,87,2,60,1,06,602,151963,004163,,,,1,,2,177,183,2,,,,,,M,601,3,1,50,,5.0,1992
92IN00137,1987632688,K2688,63,87,2,68,1,06,614,216063,909362,7,,,7,34A,3,188,0,0,,,,97,0929,,,,,50,DYSTOCIA,5.0,1992
92IN00138,1987632698,K2698,63,87,2,61,1,06,613,221563,086963,,,,1,,1,188,188,2,,,3,,,H,338,3,A,50,,5.0,1992
92IN00139,1987632702,K2702,63,87,2,63,1,06,631,134963,939862,,,,3,,2,212,216,2,,,,93,1102,,,,,50,SLOW EWE.X.RP,5.0,1992
92IN00140,1987632715,K2715,63,87,2,60,1,06,601,151363,979862,,,,1,,1,184,186,2,,,,,,C,873,3,1,50,,5.0,1992
92IN00141,1987632721,K2721,63,87,2,60,1,06,601,151363,033863,,,,1,,1,179,167,2,,,2,,,H,201,3,A,50,,5.0,1992
92IN00142,1987632723,K2723,63,87,2,63,1,06,633,164863,907962,7,,,1,29C,3,184,172,2,,,,,,,-Z-,3,L,50,,5.0,1992
92IN00143,1987632725,K2725,63,87,2,63,1,06,634,148863,935762,,,,1,,*,0,0,0,,,,01,0319,,,,,50,FLTS4TEATS,5.0,1992
92IN00144,1987632760,K2760,63,87,2,63,1,06,631,134963,124463,7,,,1,CO+,3,189,150,2,,,,,,M,602,2,1,50,LF.LAME,5.0,1992
92IN00145,1987632762,K2762,63,87,2,61,1,06,611,215863,106363,,,,1,,X,110,0,0,,,,76,0512,,,,,50,,5.0,1992
92IN00146,1987632770,K2770,63,87,2,68,1,06,603,125663,968162,7,,,1,32A,3,163,146,2,,,,,,,-Z-,3,L,50,,5.0,1992
92IN00147,1987632776,K2776,63,87,2,61,1,06,613,221563,067963,7,,,3,31B,3,206,192,1,,,,93,1102,,,,,50,X.PROD,5.0,1992
92IN00148,1987632779,K2779,63,87,2,61,1,06,614,216063,032663,7,,,1,31B,3,196,178,2,,,,,,,-Z-,3,L,50,,5.0,1992
92IN00149,1987632784,K2784,63,87,2,61,1,06,611,215863,130363,,,,1,,1,197,207,2,,,,,,M,603,4,1,50,,5.0,1992
92IN00150,1987632794,K2794,63,87,2,61,1,06,612,203963,090563,,,,1,,X,100,0,0,,,,76,0514,,,,,50,,5.0,1992
92IN00151,1987632798,K2798,63,87,2,63,1,06,631,134963,011063,,,,1,,2,187,190,2,,,,,,C,883,3,1,50,,5.0,1992
92IN00152,1987632808,K2808,63,87,2,63,1,06,633,164863,044363,,,,1,,2,152,164,2,,,3,,,H,290,3,A,50,,5.0,1992
92IN00153,1987632809,K2809,63,87,2,63,1,06,633,164863,044363,7,,,1,31D,3,192,161,2,,,,,,,-Z-,3,L,50,,5.0,1992
92IN00154,1987632846,K2846,63,87,2,68,1,06,601,151363,100363,,,,1,,1,175,194,2,,,,,,C,893,4,1,50,,5.0,1992
92IN00155,1987632852,K2852,63,87,2,63,1,06,631,134963,008263,7,,,1,30B,3,159,160,2,,,,,,M,604,3,1,50,,5.0,1992
92IN00156,1987632868,K2868,63,87,2,60,1,06,603,125663,044063,,,,1,,1,184,178,2,,,,,,M,601,4,1,50,,5.0,1992
92IN00157,1987632891,K2891,63,87,2,61,1,06,614,216063,165063,2,,,3,OVX,T,166,0,0,,,X,,,,,,,50,OVX.EWE,5.0,1992
92IN00158,1987632899,K2899,63,87,2,63,1,06,632,168063,160463,,,,3,,1,203,201,2,,,,93,1102,,,,,50,X.PROD,5.0,1992
92IN00159,1987632913,K2913,63,87,2,61,1,06,614,216063,120363,,,,1,,2,182,0,0,,,,05,0618,,,,,50,,5.0,1992
92IN00160,1987632916,K2916,63,87,2,61,1,06,612,203963,005063,7,,,1,35C,3,165,139,2,,,,,,,-Z-,2,L,50,,5.0,1992
92IN00161,1987632924,K2924,63,87,2,61,1,06,612,203963,042563,,,,1,,1,197,194,2,,,,,,C,903,3,1,50,DYSTOCIA,5.0,1992
92IN00162,1987632936,K2936,63,87,2,68,1,06,613,221563,136263,,,,1,,1,215,227,2,,,2,,,H,751,3,A,50,,5.0,1992
92IN00163,1987632949,K2949,63,87,2,61,1,06,611,215863,947862,,,,3,,X,133,0,0,,,,93,0526,,,,,50,SICK 3/10/92,5.0,1992
92IN00164,1987632970,K2970,63,87,2,63,1,06,  1,151263,179163,,,,3,XTB,X,182,0,0,,,X,93,1102,,XTB,,,50,X.PROD,5.0,1992
92IN00165,1987632978,K2978,63,87,2,63,1,06,632,168063,038163,,,,1,,1,207,214,2,,,,,,C,913,4,1,50,,5.0,1992
92IN00166,1987632987,K2987,63,87,2,63,1,06,632,168063,016463,,,,1,,1,206,196,2,,,3,,,H,338,3,A,50,,5.0,1992
92IN00167,1987632994,K2994,63,87,2,61,1,06,612,203963,148263,,,,1,,*,0,0,0,,,,76,0501,,,,,50,,5.0,1992
92IN00168,1987633010,K3010,63,87,2,63,1,06,634,148863,852962,,,,1,,1,198,191,2,,,,,,M,602,3,1,50,,5.0,1992
92IN00169,1987633035,K3035,63,87,2,63,1,06,  5,184163,191063,,,,1,,1,187,189,2,,,,,,C,803,3,1,50,L.EYE CLOUDY,5.0,1992
92IN00170,1987633053,K3053,63,87,2,60,1,06,  6,229863,197163,,,,1,,1,180,184,2,,,,,,C,813,3,1,50,DYSTOCIA,5.0,1992
92IN00171,1988633062,K3062,63,88,2,60,1,06,603,229863,843162,,,,1,,2,179,178,2,,,2,,,H,751,3,A,40,,4.0,1992
92IN00172,1988633066,K3066,63,88,2,60,1,06,604,183963,194963,7,,,1,30B,3,200,180,1,,,,,,,-Z-,3,L,40,,4.0,1992
92IN00173,1988633070,K3070,63,88,2,61,1,06,614,244363,119563,,,,1,,1,204,201,2,,,3,,,H,751,3,A,40,,4.0,1992
92IN00174,1988633072,K3072,63,88,2,60,1,06,604,183963,979862,7,,,1,30A,3,200,179,1,,,,,,,-Z-,3,L,40,,4.0,1992
92IN00175,1988633084,K3084,63,88,2,63,1,06,633,194563,020163,,,,1,,1,214,196,3,,,2,,,H,338,3,A,40,,4.0,1992
92IN00176,1988633093,K3093,63,88,2,61,1,06,612,285463,170263,,,,1,,1,186,182,2,,,,,,M,603,4,1,40,AB.NOSE,4.0,1992
92IN00177,1988633096,K3096,63,88,2,63,1,06,634,192263,111563,,,,1,,2,186,184,2,,,,,,M,604,3,1,40,,4.0,1992
92IN00178,1988633098,K3098,63,88,2,61,1,06,502,182563,250863,7,,,1,30B,3,170,159,2,,,,,,C,823,2,1,40,,4.0,1992
