UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV05,DEC17,IDZ65
02EW00068,A9275,81,,103,1,none,91,e13,Green,94,104,0
02EW00069,A9814,84,,100,1,none,88,e11,Green,94,107,0
02EW00070,A9817,82,,100,1,none,96,e11,Green,97,110,0
02EW00071,A9841,84,,121,1,none,97,e13,Green,110,119,0
02EW00072,A9885,81,,101,1,none,95,e12,Green,104,124,0
02EW00073,A9887,81,,109,1,none,105,e13,Green,111,120,0
02EW00074,A9891,83,4TEATS,112,1,none,107,e10,Green,118,133,0
02EW00075,A9898,81,,115,1,none,99,e11,Green,107,112,0
02EW00076,A9899,81,,111,1,none,85,e12,Green,88,94,0
02EW00077,A9876,83,,103,1,none,85,e12,Green,88,91,0
02EW00078,A9910,84,,110,1,none,96,e10,Green,99,101,0
02EW00079,A9916,84,,114,1,none,88,e13,Green,106,126,0
02EW00080,A9940,84,4TEATS,108,1,none,90,e10,Green,97,103,0
02EW00081,A9964,83,4TEATS,109,1,none,89,e12,Green,92,105,0
02EW00082,A9962,82,,116,1,none,85,e11,Green,87,98,0
02EW00083,A9969,84,,100,1,none,93,e12,Green,96,110,0
02EW00084,A9927,84,PNEU.,107,1,none,97,e13,Green,116,136,0
02EW00085,A9981,84,,102,1,none,91,e13,Green,96,106,0
02EW00086,A9991,81,ENTR,117,1,none,99,e10,Green,112,125,0
02EW00087,A9993,84,,115,1,none,88,e11,Green,99,112,0
02EW00088,A9974,84,,106,1,none,86,e10,Green,95,105,0
02EW00089,A9715,81,,112,1,none,95,e11,Green,104,117,0
02EW00090,A9716,81,,113,1,none,94,e12,Green,100,110,0
02EW00091,A9718,84,,113,1,none,90,e13,Green,96,102,0
02EW00092,A9736,83,,119,1,none,90,e10,Green,100,115,0
02EW00093,A9761,83,,123,1,none,94,e13,Green,103,109,0
02EW00094,A9781,84,,113,1,none,98,e12,Green,109,123,0
02EW00095,A9792,84,,104,1,none,90,e11,Green,100,113,0
02EW00096,A9772,81,,106,1,none,93,e10,Green,98,110,0
02EW00097,K2111,68,ENTR,110,1,none,120,e.6,Green,137,155,0
02EW00098,K2116,68,,109,1,none,111,e.7,Green,121,134,0
02EW00099,K2112,68,4TEATS,114,1,none,126,e.7,Green,130,146,0
02EW00100,K2117,68,,105,1,none,112,e.6,Green,120,133,0
02EW00101,K2105,00,,0,1,none,95,e.5,Green,102,115,0
02EW00102,K2108,68,,99,1,none,112,e.6,Green,129,140,0
02EW00103,K2138,68,ENTR,107,1,none,113,e.5,Green,122,137,0
02EW00104,K2137,68,,91,1,none,102,e.7,Green,129,143,0
02EW00105,K2144,68,,107,1,none,113,e.6,Green,125,141,0
02EW00106,K2149,68,4TEATS,98,1,none,106,e.5,Green,112,123,0
02EW00107,K2154,00,4TEATS,0,1,none,107,e.7,Green,123,132,0
02EW00108,K2162,00,,0,1,none,114,e.7,Green,116,127,0
02EW00109,K2124,68,ENTR,104,1,none,110,e.5,Green,115,129,0
02EW00110,K2122,68,,112,1,none,110,e.7,Green,125,138,0
02EW00111,K2128,68,,98,1,none,108,e.7,Green,122,131,0
02EW00112,K2183,68,4TEATS,102,1,none,107,e.6,Green,118,134,0
02EW00113,K2182,68,4TEATS,100,1,none,111,e.5,Green,121,132,0
02EW00114,K2188,68,NICE,109,1,none,121,e.5,Green,139,154,0
02EW00115,K2190,68,,96,1,none,99,e.6,Green,106,119,0
02EW00116,K2199,68,,111,1,none,122,e.6,Green,130,142,0
02EW00117,K2197,00,,0,1,none,118,e.7,Green,133,142,0
02EW00118,K2174,68,,107,1,none,103,e.6,Green,109,119,0
02EW00119,K2175,68,,110,1,none,111,e.7,Green,132,150,0
02EW00120,K2062,68,4TEATS,108,1,none,123,e.6,Green,139,155,0
02EW00121,K2068,68,,106,1,none,110,e.6,Green,132,145,0
02EW00122,K2080,68,4TEATS,96,1,none,115,e.6,Green,135,155,0
02EW00123,K2085,00,4TEATS,0,1,none,106,e.7,Green,125,129,0
02EW00124,K2089,68,,104,1,none,120,e.6,Green,130,138,0
02EW00125,K2078,68,,109,1,none,118,e.6,Green,134,148,0
02EW00126,K2316,68,,100,1,none,110,e.7,Green,115,117,0
02EW00127,K2300,68,4TEATS,103,1,none,108,e.5,Green,109,132,0
02EW00128,K2306,00,NICE,0,1,none,99,e.5,Green,101,121,0
02EW00129,K2333,68,,104,1,none,103,e.6,Green,112,125,0
02EW00130,K2335,68,,109,1,none,111,e.7,Green,118,124,0
02EW00131,K2337,68,F2,116,1,none,120,e.6,Green,131,145,0
02EW00132,K2341,68,NICE,116,1,none,115,e.7,Green,120,122,0
02EW00133,K2340,68,NICE,114,1,none,121,e.5,Green,129,137,0
02EW00134,K2353,68,,109,1,none,110,e.7,Green,128,131,0
02EW00135,K2355,68,,103,1,none,95,e.6,Green,103,106,0
02EW00136,K2358,68,SPECKLED,117,1,none,121,e.5,Green,130,146,0
02EW00137,K2364,68,,99,1,none,100,e.7,Green,104,106,0
02EW00138,K2366,68,,100,1,none,108,e.7,Green,118,124,0
02EW00139,K2369,68,NICE,117,1,none,127,e.7,Green,133,145,0
02EW00140,K2326,68,,102,1,none,103,e.5,Green,108,119,0
02EW00141,K2383,68,4TEATS,106,1,none,108,e.5,Green,119,132,0
02EW00142,K2384,68,,104,1,none,100,e.6,Green,122,144,0
02EW00143,K2385,68,4TEATS,112,1,none,112,e.5,Green,127,145,0
02EW00144,K2397,68,,107,1,none,107,e.7,Green,114,125,0
02EW00145,K2374,68,NICE,100,1,none,101,e.5,Green,124,136,0
02EW00146,K2372,68,SL.ENTR,115,1,none,117,e.5,Green,130,146,0
02EW00147,K2414,68,,103,1,none,111,e.5,Green,134,155,0
02EW00148,K2418,68,ENTR,112,1,none,121,e.7,Green,132,142,0
02EW00149,K2400,68,4TEATS,117,1,none,112,e.7,Green,132,140,0
02EW00150,K2440,68,,103,1,none,108,e.6,Green,116,126,0
02EW00151,K2421,68,ENTR,110,1,none,105,e.5,Green,126,140,0
02EW00152,K2480,68,4TEATS,108,1,none,118,e.5,Green,124,141,0
02EW00153,K2483,68,,115,1,none,116,e.6,Green,126,138,0
02EW00154,K2489,68,,103,1,none,103,e.7,Green,109,115,0
02EW00155,K2495,68,,106,1,none,112,e.6,Green,129,140,0
02EW00156,K2473,68,,104,1,none,103,e.7,Green,123,137,0
02EW00157,K2504,68,NICE,126,1,none,124,e.5,Green,130,143,0
02EW00158,K2502,68,4TEATS,99,1,none,109,e.5,Green,129,145,0
02EW00159,K2533,68,,107,1,none,105,e.6,Green,123,140,0
02EW00160,K2547,68,ENTR,115,1,none,120,e.5,Green,124,135,0
02EW00161,K2550,68,,116,1,none,122,e.7,Green,130,144,0
02EW00162,K2521,68,SL.ENTR,112,1,none,111,e.6,Green,121,136,0
02EW00163,K2523,68,,100,1,none,101,e.6,Green,114,126,0
02EW00164,K2587,68,,111,1,none,120,e.7,Green,130,147,0
02EW00165,K2591,68,,109,1,none,103,e.5,Green,105,112,0
02EW00166,K2572,68,,104,1,none,95,e.6,Green,105,120,0
02EW00167,K2578,68,ENTR,110,1,none,109,e.7,Green,119,127,0
02EW00168,K2579,68,,98,1,none,104,e.5,Green,108,122,0
02EW00169,K2577,68,,123,1,none,120,e.6,Green,137,152,0
02EW00170,K2616,68,,98,1,none,102,e.7,Green,118,134,0
02EW00171,K2603,68,4TEATS,116,1,none,124,e.6,Green,136,147,0
02EW00172,K2631,68,4TEATS,109,1,none,114,e.7,Green,125,138,0
02EW00173,K2643,68,,110,1,none,100,e.6,Green,104,119,0
02EW00174,K2644,68,4TEATS,117,1,none,113,e.6,Green,116,132,0
02EW00175,K2649,68,,123,1,none,121,e.7,Green,121,131,0
02EW00176,K2653,68,ENTR,119,1,none,119,e.5,Green,136,155,0
02EW00177,K2655,68,,108,1,none,108,e.7,Green,118,130,0
02EW00178,K2624,68,,104,1,none,103,e.5,Green,115,130,0
02EW00179,K2622,68,NICE,102,1,none,109,e.7,Green,113,122,0
02EW00180,K2679,68,,106,1,none,104,e.6,Green,122,135,0
02EW00181,K2677,68,4TEATS,103,1,none,94,e.6,Green,100,108,0
02EW00182,K2211,00,,0,1,none,103,e.7,Green,114,119,0
02EW00183,K2214,68,4TEATS,107,1,none,117,e.7,Green,132,143,0
02EW00184,K2201,68,4TEATS,97,1,none,102,e.5,Green,124,134,0
02EW00185,K2200,68,,116,1,none,129,e.7,Green,145,160,0
02EW00186,K2204,00,,0,1,none,125,e.5,Green,126,135,0
02EW00187,K2205,68,4TEATS,95,1,none,104,e.6,Green,122,133,0
02EW00188,K2208,68,,114,1,none,120,e.5,Green,122,138,0
02EW00189,K2230,68,,93,1,none,105,e.5,Green,107,123,0
02EW00190,K2246,68,4TEATS,103,1,none,101,e.6,Green,117,128,0
02EW00191,K2242,68,4TEATS,112,1,none,126,e.7,Green,127,133,0
02EW00192,K2247,68,,111,1,none,114,e.7,Green,130,142,0
02EW00193,K2251,68,ENTR,103,1,none,105,e.5,Green,112,119,0
02EW00194,K2255,68,,101,1,none,109,e.6,Green,121,128,0
02EW00195,K2258,68,4TEATS,106,1,none,120,e.5,Green,129,155,0
02EW00196,K2265,68,,98,1,none,102,e.6,Green,124,133,0
02EW00197,K2266,68,,97,1,none,101,e.5,Green,116,133,0
02EW00198,K2262,68,ENTR,125,1,none,126,e.5,Green,150,159,0
02EW00199,K2220,68,4TEATS,106,1,none,116,e.6,Green,136,148,0
02EW00200,K2229,00,,0,1,none,95,e.6,Green,107,120,0
02EW00201,K2281,68,,95,1,none,105,e.5,Green,126,142,0
02EW00202,K2297,00,NICE,0,1,none,118,e.7,Green,140,159,0
02EW00203,K2276,68,,102,1,none,106,e.6,Green,118,133,0
02EW00204,K2279,68,ENTR,103,1,none,102,e.6,Green,119,130,0
02EW00205,K2277,68,,105,1,none,106,e.5,Green,129,144,0
02EW00206,K2717,68,,114,1,none,102,e.7,Green,128,141,0
02EW00207,K2708,68,ENTR,112,1,none,117,e.5,Green,125,135,0
02EW00208,K2707,68,,120,1,none,124,e.5,Green,146,163,0
02EW00209,K2731,68,NICE,116,1,none,114,e.7,Green,140,152,0
02EW00210,K2734,68,NICE,124,1,none,116,e.6,Green,143,166,0
02EW00211,K2745,68,ENTR,109,1,none,102,e.5,Green,111,122,0
02EW00212,K2728,68,F4+,119,1,none,111,e.5,Green,129,149,0
02EW00213,P0149,81,,100,1,none,89,e10,Green,106,118,0
02EW00214,P0151,81,,106,1,none,86,e11,Green,93,102,0
02EW00215,P0164,84,,105,1,none,91,e11,Green,100,112,0
02EW00216,P0120,82,,106,1,none,89,e13,Green,95,102,0
02EW00217,P0195,84,,110,1,none,88,e11,Green,89,107,0
02EW00218,P0176,84,,105,1,none,93,e12,Green,107,116,0
02EW00219,P0016,82,,97,1,none,88,e13,Green,88,101,0
02EW00220,P0034,81,,121,1,none,94,e12,Green,100,114,0
02EW00221,P0035,84,,128,1,none,93,e12,Green,107,120,0
02EW00222,P0050,83,,100,1,none,105,e13,Green,108,117,0
02EW00223,P0026,84,,106,1,none,91,e11,Green,96,103,0
02EW00224,P0028,81,,117,1,none,98,e11,Green,110,119,0
02EW00225,P0027,81,,114,1,none,95,e10,Green,100,113,0
02EW00226,P0083,83,,104,1,none,93,e10,Green,96,103,0
02EW00227,P0097,84,,106,1,none,93,e12,Green,101,116,0
02EW00228,P0075,83,,110,1,none,104,e13,Green,104,122,0
02EW00229,P0076,83,,106,1,none,90,e10,Green,93,103,0
02EW00230,P0078,82,4TEATS,124,1,none,101,e11,Green,118,141,0
02EW00231,P0311,81,NICE,101,1,none,92,e10,Green,96,114,0
02EW00232,P0316,84,,123,1,none,80,e11,Green,90,94,0
02EW00233,P0317,84,,123,1,none,85,e12,Green,87,95,0
02EW00234,P0336,82,,115,1,none,97,e10,Green,105,118,0
02EW00235,P0363,84,,106,1,none,90,e10,Green,97,105,0
02EW00236,P0323,83,"OK,COARSE",106,1,none,94,e13,Green,98,114,0
02EW00237,P0204,84,,116,1,none,92,e12,Green,99,109,0
02EW00238,P0208,81,,118,1,none,93,e13,Green,100,111,0
02EW00239,P0231,84,,101,1,none,101,e13,Green,114,127,0
02EW00240,P0235,82,FOUND 11/05,87,1,none,75,e12,Green,77,85,0
02EW00241,P0241,82,,114,1,none,90,e11,Green,93,103,0
02EW00242,P0247,83,,113,1,none,91,e12,Green,106,125,0
02EW00243,P0260,83,,106,1,none,96,e13,Green,109,126,0
02EW00244,P0263,81,,104,1,none,93,e10,Green,100,111,0
02EW00245,P0267,83,,104,1,none,91,e11,Green,100,113,0
02EW00246,P0228,82,PNEU.,97,1,none,100,e10,Green,104,121,0
02EW00247,P0284,83,,106,1,none,103,e12,Green,114,135,0
02EW00248,P0289,81,FOUND 10/30,97,1,none,78,e13,Green,83,89,0
02EW00249,P0001,81,,105,1,none,86,e12,Green,93,100,0
02EW00250,P0006,84,,112,1,none,92,e10,Green,107,112,0
02EW00251,R3112,18,,106,1,none,93,e.4,Green,110,133,0
02EW00252,R3101,18,,101,1,none,99,e.3,Green,108,126,0
02EW00253,R3100,18,,107,1,none,101,e.2,Green,116,126,0
02EW00254,R3104,18,,106,1,none,96,e.1,Green,104,115,0
02EW00255,R3131,18,,99,1,none,91,e.2,Green,106,123,0
02EW00256,R3132,18,ENTR,101,1,none,101,e.3,Green,105,114,0
02EW00257,R3137,18,,107,1,none,101,e.4,Green,111,125,0
02EW00258,R3148,18,4TEATS,112,1,none,100,e.0,Green,117,137,0
02EW00259,R3150,18,,101,1,none,89,e.1,Green,91,99,0
02EW00260,R3158,18,,102,1,none,97,e.3,Green,111,132,0
02EW00261,R3157,18,ENTR,115,1,none,111,e.2,Green,120,139,0
02EW00262,R3163,18,,103,1,none,100,e.4,Green,109,122,0
02EW00263,R3165,18,"HAIRY, check",100,1,none,87,e.0,Green,111,136,0
02EW00264,R3120,18,NICE,96,1,none,92,e.0,Green,104,111,0
02EW00265,R3125,18,ENTR,100,1,none,91,e.1,Green,98,117,0
02EW00266,R3191,18,"HAIRY, check",102,1,none,100,e.2,Green,114,129,0
02EW00267,R3194,18,"HAIRY, check",101,1,none,101,e.3,Green,108,118,0
02EW00268,R3195,18,,109,1,none,104,e.4,Green,124,142,0
02EW00269,R3198,18,,101,1,none,91,e.0,Green,101,111,0
02EW00270,R3178,18,,109,1,none,104,e.1,Green,106,112,0
02EW00271,R3013,18,,103,1,none,91,e.2,Green,100,110,0
02EW00272,R3019,18,,98,1,none,90,e.4,Green,102,111,0
02EW00273,R3017,18,"HAIRY, check",101,1,none,90,e.3,Green,92,100,0
02EW00274,R3001,18,,95,1,none,93,e.1,Green,98,109,0
02EW00275,R3003,18,,109,1,none,114,e.2,Green,125,145,0
02EW00276,R3006,18,,102,1,none,91,e.0,Green,104,115,0
02EW00277,R3030,18,"HAIRY, check",107,1,none,101,e.2,Green,103,114,0
02EW00278,R3034,18,,108,1,none,98,e.3,Green,107,117,0
02EW00279,R3037,18,ENTR,101,1,none,95,e.0,Green,98,102,0
02EW00280,R3041,18,,98,1,none,94,e.4,Green,96,109,0
02EW00281,R3042,18,,96,1,none,99,e.0,Green,108,121,0
02EW00282,R3053,18,4TEATS,99,1,none,90,e.4,Green,92,104,0
02EW00283,R3063,18,ENTR,104,1,none,88,e.0,Green,93,106,0
02EW00284,R3066,18,ENTR,95,1,none,99,e.1,Green,110,121,0
02EW00285,R3068,18,,102,1,none,97,e.4,Green,106,123,0
02EW00286,R3067,18,"HAIRY, check",100,1,none,89,e.2,Green,93,103,0
02EW00287,R3026,18,,105,1,none,94,e.0,Green,103,110,0
02EW00288,R3028,18,"HAIRY, check",110,1,none,102,e.1,Green,111,127,0
02EW00289,R3084,18,,116,1,none,117,e.4,Green,134,158,0
02EW00290,R3085,18,4TEATS,103,1,none,92,e.1,Green,99,117,0
02EW00291,R3082,18,,114,1,none,108,e.3,Green,116,127,0
02EW00292,R3090,18,,114,1,none,112,e.0,Green,125,138,0
02EW00293,R3094,18,,103,1,none,98,e.0,Green,107,112,0
02EW00294,R3099,18,,101,1,none,97,e.1,Green,103,118,0
02EW00295,R3076,18,,97,1,none,98,e.1,Green,109,128,0
02EW00296,R3078,18,,117,1,none,105,e.2,Green,120,141,0
02EW00297,R3316,18,NICE,109,1,none,101,e.4,Green,112,137,0
02EW00298,R3312,18,,97,1,none,86,e.3,Green,93,95,0
02EW00299,R3303,18,,110,1,none,111,e.1,Green,114,121,0
02EW00300,R3304,18,WEAK,106,1,none,98,e.2,Green,100,106,0
02EW00301,R3331,18,,98,1,none,96,e.1,Green,110,127,0
02EW00302,R3330,18,,120,1,none,121,e.0,Green,124,136,0
02EW00303,R3338,18,,105,1,none,90,e.2,Green,97,116,0
02EW00304,R3343,18,,105,1,none,101,e.3,Green,113,125,0
02EW00305,R3350,18,,101,1,none,95,e.4,Green,111,135,0
02EW00306,R3354,18,,100,1,none,97,e.1,Green,103,118,0
02EW00307,R3355,18,,100,1,none,106,e.2,Green,110,128,0
02EW00308,R3352,18,,115,1,none,108,e.0,Green,120,140,0
02EW00309,R3358,18,KEEP,114,1,none,116,e.3,Green,127,144,0
02EW00310,R3361,18,"HAIRY, check",109,1,none,100,e.4,Green,109,120,0
02EW00311,R3383,18,,93,1,none,91,e.4,Green,91,105,0
02EW00312,R3393,18,,101,1,none,100,e.2,Green,105,122,0
02EW00313,R3373,18,,113,1,none,107,e.2,Green,125,145,0
02EW00314,R3374,18,,97,1,none,99,e.0,Green,118,138,0
02EW00315,R3376,18,,99,1,none,94,e.1,Green,96,108,0
02EW00316,R3379,18,,97,1,none,94,e.3,Green,101,119,0
02EW00317,R3377,18,,97,1,none,94,e.2,Green,95,100,0
02EW00318,R3415,18,,109,1,none,103,e.3,Green,121,145,0
02EW00319,R3417,18,,103,1,none,93,e.4,Green,117,141,0
02EW00320,R3400,18,,105,1,none,93,e.0,Green,105,116,0
02EW00321,R3404,18,,104,1,none,105,e.1,Green,116,135,0
02EW00322,R3409,18,"HAIRY, check",94,1,none,94,e.2,Green,97,104,0
02EW00323,R3433,18,ENTR,100,1,none,93,e.3,Green,93,104,0
02EW00324,R3432,18,,104,1,none,98,e.2,Green,105,125,0
02EW00325,R3448,18,4TEATS,110,1,none,99,e.4,Green,112,115,0
02EW00326,R3452,18,,106,1,none,88,e.0,Green,99,108,0
02EW00327,R3458,18,,98,1,none,96,e.1,Green,106,121,0
02EW00328,R3457,18,,116,1,none,101,e.0,Green,120,138,0
02EW00329,R3420,18,,98,1,none,92,e.4,Green,100,115,0
02EW00330,R3425,18,,107,1,none,96,e.0,Green,96,119,0
02EW00331,R3429,18,,109,1,none,104,e.1,Green,121,137,0
02EW00332,R3484,18,,110,1,none,93,e.4,Green,101,119,0
02EW00333,R3490,18,4TEATS,113,1,none,96,e.0,Green,105,130,0
02EW00334,R3495,18,ENTR,109,1,none,89,e.1,Green,107,118,0
02EW00335,R3497,18,4TEATS,112,1,none,98,e.2,Green,110,124,0
02EW00336,R3474,18,,125,1,none,114,e.3,Green,115,137,0
02EW00337,R3472,18,,106,1,none,101,e.2,Green,109,122,0
02EW00338,R3511,18,,112,1,none,99,e.3,Green,105,131,0
02EW00339,R3513,18,,107,1,none,101,e.4,Green,113,133,0
02EW00340,R3508,18,4TEATS,108,1,none,87,e.1,Green,97,108,0
02EW00341,R3535,18,,113,1,none,101,e.1,Green,103,110,0
02EW00342,R3546,18,"ENTR,4TEATS",117,1,none,108,e.2,Green,123,140,0
02EW00343,R3542,18,,91,1,none,92,e.2,Green,96,117,0
02EW00344,R3549,18,,97,1,none,90,e.0,Green,94,101,0
02EW00345,R3555,18,,112,1,none,107,e.3,Green,120,138,0
02EW00346,R3565,18,,105,1,none,98,e.4,Green,101,122,0
02EW00347,R3522,18,,109,1,none,100,e.4,Green,114,126,0
02EW00348,R3527,18,,109,1,none,103,e.0,Green,120,140,0
02EW00349,R3581,18,NICE,97,1,none,92,e.0,Green,105,125,0
02EW00350,R3592,18,,122,1,none,104,e.1,Green,110,122,0
02EW00351,R3598,18,BITE LR LEG,110,1,none,101,e.2,Green,108,129,0
02EW00352,R3599,18,DAISY @ TEATS,113,1,none,90,e.3,Green,103,115,0
02EW00353,R3613,18,4TEATS,100,1,none,92,e.0,Green,92,105,0
02EW00354,R3600,18,FAT,106,1,none,100,e.4,Green,114,141,0
02EW00355,R3603,18,,103,1,none,92,e.1,Green,107,121,0
02EW00356,R3604,18,NICE,109,1,none,98,e.2,Green,107,124,0
02EW00357,R3645,18,"HAIRY, check",113,1,none,104,e.2,Green,111,120,0
02EW00358,R3646,18,ENTR,107,1,none,108,e.3,Green,121,134,0
02EW00359,R3651,18,"HAIRY, check",113,1,none,104,e.4,Green,111,134,0
02EW00360,R3664,18,,116,1,none,102,e.1,Green,104,119,0
02EW00361,R3662,18,4TEATS,104,1,none,88,e.0,Green,90,99,0
02EW00362,R3667,18,,101,1,none,90,e.2,Green,96,103,0
02EW00363,R3625,18,,107,1,none,88,e.1,Green,92,97,0
02EW00364,R3680,18,SL.ENTR,111,1,none,101,e.0,Green,106,121,0
02EW00365,R3671,18,,115,1,none,97,e.4,Green,105,124,0
02EW00366,R3670,18,,105,1,none,91,e.3,Green,97,112,0
02EW00367,R3678,18,,109,1,none,95,e.3,Green,103,120,0
02EW00368,R3214,18,,102,1,none,101,e.2,Green,105,117,0
02EW00369,R3216,18,,106,1,none,95,e.1,Green,101,110,0
02EW00370,R3231,18,ENTR,104,1,none,90,e.4,Green,95,104,0
02EW00371,R3236,18,,100,1,none,95,e.0,Green,102,108,0
02EW00372,R3237,18,,107,1,none,91,e.1,Green,93,102,0
02EW00373,R3241,18,,121,1,none,112,e.1,Green,114,126,0
02EW00374,R3243,18,,112,1,none,97,e.2,Green,109,125,0
02EW00375,R3249,18,,105,1,none,97,e.3,Green,104,118,0
02EW00376,R3247,18,,100,1,none,89,e.4,Green,101,109,0
02EW00377,R3250,18,,104,1,none,101,e.4,Green,107,115,0
02EW00378,R3254,18,,113,1,none,96,e.0,Green,98,115,0
02EW00379,R3260,18,4TEATS,107,1,none,94,e.1,Green,101,117,0
02EW00380,R3262,18,,99,1,none,99,e.2,Green,106,118,0
02EW00381,R3268,18,,118,1,none,113,e.3,Green,117,136,0
02EW00382,R3269,18,,111,1,none,106,e.0,Green,110,117,0
02EW00383,R3222,18,,101,1,none,96,e.2,Green,106,112,0
02EW00384,R3227,18,,106,1,none,93,e.3,Green,95,104,0
02EW00385,R3285,18,,110,1,none,103,e.0,Green,113,125,0
02EW00386,R3286,18,ENTR,100,1,none,89,e.1,Green,98,106,0
02EW00387,R3288,18,,101,1,none,91,e.3,Green,107,125,0
02EW00388,R3287,18,,109,1,none,111,e.2,Green,117,132,0
02EW00389,R3291,18,,106,1,none,94,e.1,Green,96,111,0
02EW00390,R3294,18,FOUND,113,1,none,114,e.4,Green,139,158,0
02EW00391,R3295,18,,99,1,none,99,e.0,Green,112,123,0
02EW00392,R3271,18,H2,110,1,none,107,e.4,Green,114,127,0
02EW00393,R3811,18,,99,1,none,104,e.1,Green,109,119,0
02EW00394,R3814,18,,105,1,none,106,e.2,Green,108,115,0
