UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
15EW00236,T5984,,TerminalOnly,1,96,e12,W,114,1125,130,0205,2.2,3,1,Open,,1,02
15EW00237,T5986,,1ST,1,87,56,W,95,1125,120,0205,2.6,3,1,Preg,,1,02
15EW00238,T5999,,NICE LAMB,1,98,e13,W,117,1125,129,0205,2.6,4+,1,Preg,,1,02
15EW00239,T6002,,.,1,92,59,W,94,1125,108,0205,2.9,4,1,Open,,1,02
15EW00240,T6003,,.,1,95,e12,W,116,1125,130,0205,2.2,3-,1,Preg,,1,02
15EW00241,T6019,,NICE LAMB,1,116,58,W,139,1125,136,0205,2.5,3,1,Open,,1,02
15EW00242,T6020,,.,1,91,55,W,95,1125,106,0205,2.4,3,1,Open,,1,02
15EW00243,T6026,,TerminalOnly,1,87,60,W,98,1125,107,0205,2.7,3-,1,Open,,1,02
15EW00244,T6034,,HAIRY,1,90,59,W,99,1125,109,0205,3.0,3,1,Open,,1,02
15EW00245,T6048,,NICE LAMB,1,102,e12,W,112,1125,136,0205,3.0,3+,1,Preg,,1,02
15EW00246,T6065,,2ND,1,92,e12,W,109,1125,118,0205,2.2,3-,1,Open,,1,02
15EW00247,T6073,,.,1,92,57,W,,,0,,,,,,,1,02
15EW00248,T6083,,1ST,1,99,e13,W,101,1125,112,0205,2.7,3,1,Open,,1,02
15EW00249,T6090,,.,1,85,58,W,92,1125,109,0205,2.6,3-,1,Preg,,1,02
15EW00250,T6092,,2ND H,1,113,e12,W,138,1125,136,0205,3.1,3,1,Open,,1,02
15EW00251,T6099,,NICE LAMB,1,118,61,W,128,1125,135,0205,2.8,3,1,Open,,1,02
15EW00252,T6106,,PINK,1,91,57,W,102,1125,118,0205,2.4,4-,1,Open,,1,02
15EW00253,T6110,,.,1,96,e12,W,101,1125,117,0205,2.5,3,1,Preg,,1,02
15EW00254,T6128,,HAIRY,1,85,e13,W,105,1125,110,0205,2.8,4,1,Open,,1,02
15EW00255,T6144,,.,1,101,58,W,113,1125,121,0205,2.4,3-,1,Open,,1,02
15EW00256,T6148,,1ST,1,97,57,W,100,1125,116,0205,2.6,3,1,Open,,1,02
15EW00257,T6163,,.,1,91,e13,W,108,1125,122,0205,2.8,3-,1,Open,,1,02
15EW00258,T6181,,HAIRY,1,90,e13,W,109,1125,119,0205,2.8,3,1,Open,,1,02
15EW00259,T6185,,NiceForTerm,1,118,e12,W,121,1125,124,0205,2.4,3,1,Open,,1,02
15EW00260,T6197,,.,1,91,54,W,94,1125,101,0205,2.5,3,1,Open,,1,02
15EW00261,T6202,,.,1,100,e12,W,108,1125,111,0205,2.6,3,1,Open,,1,02
15EW00262,T6203,,.,1,88,e12,W,103,1125,108,0205,2.2,3,1,Preg,,1,02
15EW00263,T6205,,TerminalOnly,1,98,60,W,103,1125,122,0205,2.0,3+,1,Preg,,1,02
15EW00264,T6208,,.,1,95,56,W,101,1125,119,0205,2.6,4+,1,Preg,,1,02
15EW00265,T6209,,.,1,111,60,W,113,1125,127,0205,2.4,3,1,Preg,,1,02
15EW00266,T6224,,TerminalOnly,1,95,e13,W,109,1125,116,0205,2.6,3-,1,Open,,1,02
15EW00267,T6226,,TerminalOnly,1,89,e13,W,94,1125,108,0205,2.6,4+,1,Preg,,1,02
15EW00268,T6234,,.,1,112,e12,W,119,1125,130,0205,2.6,3-,1,Open,,1,02
15EW00269,T6238,,2ND,1,99,54,W,100,1125,111,0205,2.5,3,1,Preg,,1,02
15EW00270,T6239,,NICE LAMB,1,113,61,W,113,1125,136,0205,2.4,4-,1,Preg,,1,02
15EW00271,T6240,,NICE LAMB,1,129,e12,W,146,1125,145,0205,3.0,3,1,Open,,1,02
15EW00272,T6243,,TerminalOnly,1,88,e13,W,100,1125,114,0205,2.4,3,1,Preg,,1,02
15EW00273,T6249,,.,1,94,55,W,105,1125,114,0205,2.1,3,1,Open,,1,02
15EW00274,T6254,,TerminalOnly,1,91,e12,W,103,1125,103,0205,2.4,3,1,Open,,1,02
15EW00275,T6257,,HAIRY,1,101,e12,W,130,1125,145,0205,2.8,3-,1,Preg,,1,02
15EW00276,T6259,,PINK,1,89,61,W,97,1125,110,0205,2.2,3,1,Open,,1,02
15EW00277,T6271,,NiceForTerm,1,124,57,W,112,1125,129,0205,3.0,3,1,Open,,1,02
15EW00278,T6274,,TerminalOnly,1,94,e13,W,110,1125,116,0205,2.2,3,1,Open,,1,02
15EW00279,T6284,,TerminalOnly,1,89,56,W,97,1125,111,0205,2.4,3,1,Open,,1,02
15EW00280,T6291,,.,1,91,58,W,103,1125,112,0205,2.6,3,1,Open,,1,02
15EW00281,Z2675,,Nice,1,128,e3,W,133,1125,151,0205,,1,1,Preg,,6,97
15EW00282,Z2676,,.,1,111,e3,W,128,1125,124,0205,,1-,1,Preg,,6,97
15EW00283,Z2684,,.,1,116,BL,W,120,1125,112,0205,,,,Open,,9,BL
15EW00284,Z2689,,.,1,119,e4,W,123,1125,140,0205,,1,1,Preg,,6,97
15EW00285,Z2699,,NICE LAMB,1,150,e3,W,144,1125,165,0205,,1,1,Open,,6,97
15EW00286,Z2702,,Nice,1,154,e3,W,166,1125,188,0205,,1,1,Preg,,6,97
15EW00287,Z2708,,.,1,89,38,W,92,1125,102,0205,2.6,3,1,Open,,1,08
15EW00288,Z2710,,NICE LAMB,1,124,e3,W,125,1125,140,0205,,1,1,Preg,,6,97
15EW00289,Z2738,,.,1,127,e4,W,144,1125,163,0205,,1,1,Preg,,6,97
15EW00290,Z2739,,.,1,86,56,W,99,1125,119,0205,2.5,4+,1,Open,,1,01
15EW00291,Z2740,,.,1,90,40,W,109,1125,140,0205,2.4,3,1,Preg,,1,01
15EW00292,Z2749,,.,1,95,57,W,92,1125,114,0205,2.6,3,1,Open,,1,08
15EW00293,Z2762,,.,1,85,e4,W,90,1125,105,0205,,1,1,Preg,,6,97
15EW00294,Z2763,,.,1,113,e4,W,121,1125,145,0205,,1,1,Preg,,6,97
15EW00295,Z2769,,2ND,1,102,35,W,117,1125,122,0205,2.6,3+,1,Open,,1,08
15EW00296,Z2771,,.,1,118,37,W,116,1125,141,0205,2.8,3,1,Open,,1,08
15EW00297,Z2776,,2ND,1,125,e4,W,131,1125,144,0205,,1,1,Preg,,6,97
15EW00298,Z2778,,.,1,90,58,W,99,1125,112,0205,2.4,3,1,Open,,1,08
15EW00299,Z2785,,.,1,98,e4,W,108,1125,113,0205,,1,1,Open,,6,97
15EW00300,Z2792,,.,1,92,e4,W,96,1125,102,0205,,1,1,Open,,6,97
15EW00301,Z2794,,.,1,101,e4,W,84,1125,0,,,,,,,6,97
15EW00302,Z2799,,.,1,83,BL,W,98,1125,112,0205,,,,Preg,,9,BL
15EW00303,Z2805,,.,1,116,36,W,125,1125,145,0205,2.8,3,1,Preg,,1,08
15EW00304,Z2817,,BR.L.EYE,1,91,34,W,99,1125,111,0205,2.2,4+,1,Open,,2,08
15EW00305,Z2820,,HAIRY,1,119,38,W,125,1125,135,0205,3.0,3,1,Preg,,1,01
15EW00306,Z2825,,TooWoolyHead,1,112,e3,W,120,1125,134,0205,,1-,1,Preg,,6,97
15EW00307,Z2831,,.,1,114,e3,W,121,1125,143,0205,,1-,1,Preg,,6,97
15EW00308,Z2832,,.,1,94,56,W,97,1125,107,0205,2.8,5,1,Open,,1,08
15EW00309,Z2834,,.,1,97,34,W,112,1125,129,0205,2.8,3-,1,Preg,,1,01
15EW00310,Z2849,,.,1,92,37,W,90,1125,112,0205,2.6,2+,1,Preg,,1,01
15EW00311,Z2853,,2ND.BR.EAR.TI,1,95,39,W,105,1125,119,0205,2.2,3,1,Open,,2,01
15EW00312,Z2857,,BR.EAR.TIPS,1,111,54,W,122,1125,135,0205,2.8,4+,1,Preg,,2,08
15EW00313,Z2859,,.,1,106,e4,W,113,1125,124,0205,,1,1,Open,,6,97
15EW00314,Z2864,,.,1,107,e3,W,113,1125,120,0205,,1,1,Preg,,6,97
15EW00315,Z2871,,.,1,92,58,W,103,1125,120,0205,2.4,3,1,Preg,,1,01
15EW00316,Z2874,,HAIRY,1,85,39,W,97,1125,113,0205,2.2,3,1,Preg,,1,08
15EW00317,Z2879,,.,1,136,e3,W,145,1125,167,0205,,1,1,Preg,,6,97
15EW00318,Z2885,,.,1,107,e3,W,109,1125,123,0205,,1,1,Open,,6,97
15EW00319,Z2886,,.,1,99,e3,W,112,1125,130,0205,,1,1,Preg,,6,97
15EW00320,Z2892,,.,1,91,61,W,110,1125,124,0205,2.4,3,1,Open,,1,08
15EW00321,Z2893,,HAIRY,1,81,55,W,90,1125,102,0205,3.0,3,1,Open,,1,01
15EW00322,Z2894,,HAIRY,1,78,61,W,90,1125,102,0205,3.1,3,1,Preg,,1,01
15EW00323,Z2906,,.,1,89,41,W,85,1125,95,0205,2.0,3,1,Open,,1,08
15EW00324,Z2907,,.,1,112,e4,W,108,1125,125,0205,,1-,1,Preg,,6,97
15EW00325,Z2908,,.,1,122,e4,W,130,1125,146,0205,,1,1,Preg,,6,97
15EW00326,Z2915,,.,1,123,e3,W,133,1125,132,0205,,1,1,Preg,,6,97
15EW00327,Z2933,,.,1,101,BL,W,111,1125,127,0205,,,,Preg,,9,BL
15EW00328,Z2937,,.,1,128,e4,W,134,1125,158,0205,,1,1,Preg,,6,97
15EW00329,Z2938,,.,1,114,e4,W,123,1125,150,0205,,1-,1,Preg,,6,97
15EW00330,Z2944,,.,1,102,60,W,112,1125,134,0205,2.4,3,1,Open,,1,08
15EW00331,Z2948,,.,1,108,35,W,118,1125,133,0205,2.9,3,1,Preg,,1,01
15EW00332,Z2951,,.,1,136,e3,W,141,1125,158,0205,,1,1,Preg,,6,97
15EW00333,Z2958,,.,1,97,BL,W,105,1125,98,0205,,,,Open,,9,BL
15EW00334,Z2971,,NICE LAMB,1,124,e4,W,132,1125,149,0205,,1,1,Preg,,6,97
15EW00335,Z2973,,.,1,108,e4,W,119,1125,127,0205,,1,1,Preg,,6,97
15EW00336,Z2974,,.,1,103,e4,W,119,1125,134,0205,,1,1,Preg,,6,97
15EW00337,Z2975,,.,1,119,e3,W,122,1125,138,0205,,1,1,Preg,,6,97
15EW00338,Z2980,,.,1,106,e3,W,105,1125,119,0205,,1,1,Open,,6,97
15EW00339,Z2995,,STUCK@SHOULDE,1,118,BL,W,131,1125,138,0205,,,,Preg,,9,BL
15EW00340,Z2996,,.,1,84,40,0,,,0,,,,,,,1,08
15EW00341,Z3004,,.,1,107,59,W,116,1125,136,0205,3.1,3+,1,Preg,,1,01
15EW00342,Z3007,,50WHITE,1,98,BL,W,113,1125,117,0205,,,,Open,,9,BL
15EW00343,Z3009,,.,1,92,59,W,111,1125,130,0205,3.7,3+,1,Preg,,1,08
15EW00344,Z3064,,.,1,85,60,W,94,1125,106,0205,2.4,3,1,Open,,1,01
15EW00345,Z3081,,BR.L.EAR.TIP,1,100,57,W,95,1125,113,0205,2.4,3+,1,Open,,2,01
15EW00346,Z3083,,2ND,1,84,36,W,91,1125,105,0205,2.3,3,1,Open,,1,01
15EW00347,Z3153,,.,1,105,54,W,111,1125,125,0205,2.6,3,1,Preg,,1,01
