UID,ETAG,LINE,RMK,IDX,PD,PTRT,CUWT,BPEN,BRAND,NOV03,DEC16
98EW00061,A5329,73,4TEATS,98,1,,83,L-8,Green,99,103
98EW00062,A5335,81,HAIRY,105,1,,84,e.9,Green,98,105
98EW00063,A5340,82,4TEATS,106,1,,91,e.8,Green,108,131
98EW00064,A5345,81,,106,1,,88,e.9,Green,102,111
98EW00065,A5347,73,,100,1,,83,L-7,Green,94,109
98EW00066,A5354,81,,110,1,,87,e.8,Green,104,119
98EW00067,A5355,82,,101,1,,93,e.9,Green,110,126
98EW00068,A5364,81,,112,1,,108,e.8,Green,124,142
98EW00069,A5365,81,,107,1,,97,e.9,Green,121,138
98EW00070,A5370,81,4TEATS,103,1,,90,e.8,Green,108,113
98EW00071,A5374,81,,107,1,,93,e.9,Green,118,135
98EW00072,A5378,82,,105,1,,91,e.8,Green,112,128
98EW00073,A5382,81,,106,1,,96,e.9,Green,109,122
98EW00074,A5383,81,,105,1,,90,e.8,Green,105,117
98EW00075,A5392,81,4TEATS,108,1,,94,e.9,Green,116,127
98EW00076,A5398,82,,111,1,,102,L-8,Green,124,143
98EW00077,A5405,82,,108,1,,78,e.8,Green,92,103
98EW00078,A5419,82,,105,1,,90,e.9,Green,108,120
98EW00079,A5427,81,,102,1,,88,e.8,Green,102,111
98EW00080,A5428,81,,102,1,,78,e.9,Green,92,107
98EW00081,A5429,82,,99,1,,93,e.8,Green,107,121
98EW00082,A5434,82,,109,1,,101,L-7,Green,116,130
98EW00083,A5442,81,4TEATS,108,1,,95,e.9,Green,111,121
98EW00084,A5450,73,,104,1,,95,e.9,Green,102,112
98EW00085,A5463,82,,103,1,,90,e.8,Green,99,114
98EW00086,A5467,82,,108,1,,96,e.9,Green,117,126
98EW00087,A5473,81,,108,1,,91,e.9,Green,110,117
98EW00088,A5484,82,4TEATS,100,1,,88,e.8,Green,102,115
98EW00089,A5498,81,,106,1,,93,e.9,Green,110,121
98EW00090,A5500,82,,94,1,,82,e.8,Green,103,117
98EW00091,A5501,82,,93,1,,79,e.9,Green,96,104
98EW00092,A5517,81,"NICE,4TEATS",123,1,,120,e.8,Green,137,160
98EW00093,A5522,81,,105,1,,96,e.9,Green,116,128
98EW00094,A5524,82,,114,1,,90,e.8,Green,113,128
98EW00095,A5529,82,NICE,101,1,,94,e.9,Green,108,119
98EW00096,A5542,81,,117,1,,99,e.8,Green,116,134
98EW00097,A5566,82,,104,1,,80,e.9,Green,101,108
98EW00098,A5578,81,,106,1,,86,e.8,Green,99,109
98EW00099,A5587,81,4TEATS,104,1,,88,e.8,Green,98,108
98EW00100,A5589,82,,102,1,,98,e.9,Green,110,123
98EW00101,A5594,81,,103,1,,95,e.9,Green,112,124
98EW00102,A5597,82,,112,1,,114,L-8,Green,138,159
98EW00103,A5600,82,,103,1,,85,e.8,Green,113,128
98EW00104,A5605,82,,102,1,,95,e.9,Green,116,128
98EW00105,A5606,82,,103,1,,92,e.8,Green,110,124
98EW00106,A5610,81,,104,1,,90,e.9,Green,106,119
98EW00107,A5617,81,,109,1,,83,e.8,Green,104,113
98EW00108,A5620,82,BIG NAVEL,104,1,,99,e.9,Green,116,136
98EW00109,A5632,81,,105,1,,91,e.8,Green,109,125
98EW00110,A5634,81,CHUNKY,101,1,,113,e.8,Green,131,144
98EW00111,A5645,82,,102,1,,84,e.9,Green,103,121
98EW00112,A5673,82,,105,1,,82,e.8,Green,102,112
98EW00113,A5674,82,,106,1,,91,e.9,Green,109,127
98EW00114,A5680,81,,103,1,,91,e.8,Green,110,120
98EW00115,A5681,81,,103,1,,93,e.9,Green,113,125
98EW00116,A5683,81,,104,1,,85,e.8,Green,98,110
98EW00117,A5695,82,,101,1,,84,e.9,Green,101,114
98EW00118,A5698,81,,108,1,,93,e.8,Green,105,116
98EW00119,A5699,81,4TEATS,107,1,,83,e.9,Green,99,110
98EW00120,A5703,81,,104,1,,78,e.8,Green,90,95
98EW00121,A5710,82,,104,1,,89,e.9,Green,106,118
98EW00122,A5711,82,BRN.FOOT,100,1,,89,e.8,Green,105,122
98EW00123,A5729,88,,99,1,,90,L-8,Green,113,128
98EW00124,A5731,73,,102,1,,89,e.8,Green,99,106
98EW00125,A5732,73,,105,1,,88,e.9,Green,105,113
98EW00126,K0005,61,,102,1,,112,e.7,Green,125,142
98EW00127,K0017,00,,0,1,,84,e10,Green,106,122
98EW00128,K0018,61,,94,1,,115,e.7,Green,137,152
98EW00129,K0025,00,,0,1,,101,e10,Green,117,138
98EW00130,K0038,61,,110,1,,116,e.7,Green,145,170
98EW00131,K0039,61,TEST333LB,104,1,,111,L-5,Green,132,333
98EW00132,K0055,62,,106,1,,101,e.6,Green,125,146
98EW00133,K0056,62,,112,1,,107,L-6,Green,123,139
98EW00134,K0064,61,4TEATS,105,1,,103,L-6,Green,132,150
98EW00135,K0065,61,4TEATS,106,1,,106,e.7,Green,129,150
98EW00136,K0080,61,,100,1,,112,e.6,Green,131,152
98EW00137,K0087,60,,102,1,,115,e.7,Green,137,155
98EW00138,K0091,00,"CHK.BUTT,CC?",0,1,,101,e10,Green,125,150
98EW00139,K0101,62,,102,1,,98,L-5,Green,119,131
98EW00140,K0102,62,,101,1,,97,L-6,Green,121,132
98EW00141,K0104,60,,114,1,,112,L-5,Green,136,141
98EW00142,K0108,60,,109,1,,101,e.7,Green,119,136
98EW00143,K0115,00,4TEATS,0,1,,108,e10,Green,122,144
98EW00144,K0118,61,4TEATS,100,1,,98,e.6,Green,118,133
98EW00145,K0121,00,,0,1,,115,e10,Green,133,162
98EW00146,K0122,61,4TEATS,96,1,,119,e.6,Green,140,168
98EW00147,K0123,60,,104,1,,101,e.7,Green,121,141
98EW00148,K0124,60,,107,1,,110,e.7,Green,129,141
98EW00149,K0126,62,,99,1,,100,e.6,Green,114,130
98EW00150,K0130,60,,113,1,,113,L-6,Green,131,145
98EW00151,K0131,60,4TEATS,107,1,,101,L-5,Green,123,139
98EW00152,K0135,60,,98,1,,125,e.7,Green,144,148
98EW00153,K0138,62,"DEAD, GOK",95,6,,109,e.6,Green,116,0
98EW00154,K0145,60,4TEATS,105,1,,114,L-5,Green,132,146
98EW00155,K0159,62,4TEATS,105,1,,113,L-6,Green,134,148
98EW00156,K0169,62,,101,1,,116,e.6,Green,133,170
98EW00157,K0170,60,,106,1,,109,e.7,Green,132,134
98EW00158,K0173,61,,107,1,,105,e.6,Green,131,156
98EW00159,K0174,60,4TEATS,97,1,,100,e.7,Green,119,131
98EW00160,K0177,60,,96,1,,98,e.7,Green,117,138
98EW00161,K0180,60,,103,1,,99,e.7,Green,111,130
98EW00162,K0187,61,4TEATS,95,1,,104,L-6,Green,124,138
98EW00163,K0196,00,,0,1,,99,e10,Green,117,132
98EW00164,K0211,60,,106,1,,102,e.7,Green,127,135
98EW00165,K0213,62,,112,1,,100,e.6,Green,117,134
98EW00166,K0214,62,BLK.TEAT,114,1,,103,e.6,Green,126,144
98EW00167,K0230,62,,102,1,,96,L-5,Green,124,136
98EW00168,K0238,61,ENTR,98,1,,97,e.6,Green,116,135
98EW00169,K0239,61,DEAD 12/11,101,6,,101,L-6,Green,122,0
98EW00170,K0241,60,,102,1,,103,e.7,Green,124,134
98EW00171,K0242,00,,0,1,,117,e10,Green,130,142
98EW00172,K0244,61,,111,1,,111,L-6,Green,130,140
98EW00173,K0249,60,,109,1,,117,e.7,Green,137,145
98EW00174,K0251,60,,107,1,,111,e.7,Green,119,132
98EW00175,K0252,60,,105,1,,110,e.7,Green,125,137
98EW00176,K0254,62,,102,1,,109,L-5,Green,137,150
98EW00177,K0260,60,4TEATS,98,1,,98,e.7,Green,117,132
98EW00178,K0263,00,,0,1,,98,e10,Green,124,150
98EW00179,K0265,62,4TEATS,94,1,,101,L-6,Green,123,136
98EW00180,K0270,00,"ENTR,4TEATS",0,1,,91,e10,Green,106,131
98EW00181,K0273,61,,99,1,,84,L-5,Green,109,121
98EW00182,K0275,60,4TEATS,111,1,,111,e.7,Green,134,154
98EW00183,K0276,60,4TEATS,114,1,,114,L-6,Green,143,163
98EW00184,K0280,61,,98,1,,99,L-5,Green,121,133
98EW00185,K0281,61,,98,1,,85,e.6,Green,100,117
98EW00186,K0283,00,4TEATS,0,1,,110,e10,Green,139,161
98EW00187,K0287,61,,98,1,,96,e.6,Green,111,124
98EW00188,K0288,00,WEAK,0,1,,89,e10,Green,111,131
98EW00189,K0289,60,4TEATS,104,1,,107,e.7,Green,124,133
98EW00190,K0292,62,BRN.R.HIP,102,1,,106,e.6,Green,129,146
98EW00191,K0297,61,,109,1,,106,L-6,Green,123,139
98EW00192,K0300,61,,101,1,,99,L-5,Green,118,132
98EW00193,K0307,60,4TEATS,108,1,,101,L-5,Green,130,135
98EW00194,K0315,61,,99,1,,94,L-5,Green,113,121
98EW00195,K0316,62,,101,1,,116,e.6,Green,147,173
98EW00196,K0317,62,4TEATS,100,1,,107,e.6,Green,123,140
98EW00197,K0318,00,,0,1,,97,e10,Green,117,129
98EW00198,K0325,00,4TEATS,0,1,,113,e10,Green,137,155
98EW00199,K0333,62,,107,1,,89,e.6,Green,108,125
98EW00200,K0342,62,"ENTR,4TEATS",103,1,,102,e.6,Green,119,144
98EW00201,K0357,61,4TEATS,101,1,,99,L-6,Green,122,142
98EW00202,K0361,61,,110,1,,129,L-6,Green,156,172
98EW00203,K0366,60,4TEATS,102,1,,99,L-5,Green,115,124
98EW00204,K0372,61,4TEATS,101,1,,109,e.6,Green,131,154
98EW00205,K0374,62,4TEATS,98,1,,98,e.6,Green,119,135
98EW00206,K0377,62,,108,1,,112,e.6,Green,130,149
98EW00207,K0379,60,,101,1,,97,e.7,Green,120,133
98EW00208,K0380,62,4TEATS,106,1,,88,L-6,Green,113,134
98EW00209,K0381,62,4TEATS,116,1,,94,e.6,Green,112,135
98EW00210,K0382,62,4TEATS,112,1,,103,e.6,Green,126,139
98EW00211,K0383,60,,101,1,,94,e.7,Green,108,133
98EW00212,K0384,60,,112,1,,105,L-5,Green,122,130
98EW00213,K0395,00,4TEATS,0,1,,102,e10,Green,119,140
98EW00214,K0405,61,,105,1,,113,e.7,Green,141,155
98EW00215,K0406,60,,119,1,,131,e.7,Green,160,175
98EW00216,K0408,60,4TEATS,107,1,,116,L-6,Green,144,162
98EW00217,K0413,62,,99,1,,90,e.6,Green,111,127
98EW00218,K0422,61,,108,1,,113,e.6,Green,137,152
98EW00219,K0423,60,4TEATS,95,1,,99,L-5,Green,112,126
98EW00220,K0431,60,,109,1,,109,e.7,Green,133,143
98EW00221,K0432,60,,109,1,,109,e.7,Green,129,139
98EW00222,K0434,60,4TEATS,104,1,,103,e.7,Green,128,144
98EW00223,K0437,61,,105,1,,110,L-5,Green,134,144
98EW00224,K0440,61,4TEATS,96,1,,103,L-6,Green,125,136
98EW00225,K0441,00,,0,1,,111,e10,Green,133,155
98EW00226,K0444,60,4TEATS,115,1,,109,L-6,Green,139,164
98EW00227,K0448,00,,0,1,,104,e10,Green,123,140
98EW00228,K0450,61,,106,1,,101,e.6,Green,122,142
98EW00229,K0451,61,,106,1,,100,e.7,Green,123,144
98EW00230,K0458,62,,112,1,,123,e.6,Green,145,164
98EW00231,K0462,62,4TEATS,107,1,,125,e.6,Green,135,151
98EW00232,K0465,62,,106,1,,108,e.6,Green,120,136
98EW00233,K0471,00,,0,1,,116,e10,Green,146,174
98EW00234,K0474,61,4TEATS,98,1,,97,e.7,Green,113,129
98EW00235,K0476,61,,98,1,,110,L-5,Green,125,133
98EW00236,K0483,62,4TEATS,106,1,,104,e.6,Green,117,134
98EW00237,K0495,60,,97,1,,93,L-5,Green,109,118
98EW00238,K0497,60,,105,1,,100,L-6,Green,123,137
98EW00239,K0504,61,4TEATS,97,1,,89,e.7,Green,118,132
98EW00240,K0511,62,,106,1,,103,L-6,Green,117,129
98EW00241,K0520,62,,97,1,,90,e.6,Green,101,117
98EW00242,K0532,62,4TEATS,98,1,,94,e.6,Green,107,123
98EW00243,K0538,60,,105,1,,101,e.7,Green,109,118
98EW00244,K0545,61,4TEATS,99,1,,100,e.7,Green,116,124
98EW00245,K0550,60,4TEATS,109,1,,104,L-6,Green,134,153
98EW00246,K0563,62,,100,1,,89,e.6,Green,114,134
98EW00247,K0573,60,4TEATS,108,1,,111,L-6,Green,130,144
98EW00248,K0575,60,4TEATS,95,1,,105,L-5,Green,124,134
98EW00249,S8998,12,HAIRY,114,1,,119,e.0,Green,134,151
98EW00250,S8999,11,,110,1,,115,e.1,Green,129,149
98EW00251,S9003,11,,105,1,,99,e.2,Green,118,130
98EW00252,S9005,11,,103,1,,100,e.3,Green,118,127
98EW00253,S9011,10,HAIRY,107,1,,107,e.0,Green,115,122
98EW00254,S9016,12,,102,1,,99,e.1,Green,115,129
98EW00255,S9018,10,4TEATS,104,1,,95,e.3,Green,112,128
98EW00256,S9020,12,,87,1,,91,e.2,Green,112,125
98EW00257,S9022,12,,102,1,,101,e.0,Green,108,116
98EW00258,S9024,11,ENTR mixpen,107,1,,97,e.1,Green,109,125
98EW00259,S9029,12,,87,1,,92,e.2,Green,109,129
98EW00260,S9036,11,,112,1,,110,e.3,Green,119,127
98EW00261,S9041,10,F4-,108,1,,109,e.0,Green,127,142
98EW00262,S9057,12,,98,1,,92,e.1,Green,110,126
98EW00263,S9061,10,NICE,110,1,,116,e.3,Green,147,168
98EW00264,S9063,13,,100,1,,90,e.2,Green,111,135
98EW00265,S9066,12,,101,1,,84,e.0,Green,100,106
98EW00266,S9073,11,,115,1,,108,e.1,Green,130,149
98EW00267,S9084,11,,109,1,,100,e.2,Green,111,124
98EW00268,S9090,13,4TEATS,107,1,,92,e.0,Green,106,117
98EW00269,S9099,11,,106,1,,91,e.3,Green,116,132
98EW00270,S9102,11,HAIRY,108,1,,100,e.1,Green,120,136
98EW00271,S9108,12,,98,1,,91,e.2,Green,106,117
98EW00272,S9112,12,,93,1,,86,e.3,Green,103,116
98EW00273,S9116,11,ENTR,110,1,,98,e.1,Green,130,152
98EW00274,S9121,12,,103,1,,94,e.0,Green,115,126
98EW00275,S9124,13,WEAK LR LEG,114,1,,101,e.2,Green,116,134
98EW00276,S9125,11,,109,1,,99,e.3,Green,115,131
98EW00277,S9133,11,,105,1,,94,e.1,Green,104,121
98EW00278,S9139,13,,108,1,,89,e.0,Green,105,127
98EW00279,S9140,13,4TEATS,109,1,,97,e.2,Green,115,127
98EW00280,S9141,13,REAR LEGS ??,101,1,,103,e.0,Green,113,125
98EW00281,S9145,10,,105,1,,104,e.3,Green,121,132
98EW00282,S9167,10,,106,1,,95,e.0,Green,105,113
98EW00283,S9169,12,4TEATS,110,1,,97,e.2,Green,122,140
98EW00284,S9175,10,,104,1,,107,e.3,Green,118,130
98EW00285,S9179,11,4TEATS,103,1,,81,e.1,Green,97,109
98EW00286,S9181,12,4TEATS,91,1,,91,e.0,Green,104,122
98EW00287,S9183,10,,113,1,,85,e.3,Green,101,115
98EW00288,S9192,12,,93,1,,97,e.2,Green,112,123
98EW00289,S9193,10,4TEATS,106,1,,113,e.0,Green,131,154
98EW00290,S9196,12,,101,1,,93,e.1,Green,109,116
98EW00291,S9202,13,,113,1,,101,e.2,Green,118,135
98EW00292,S9203,13,,101,1,,80,e.0,Green,106,127
98EW00293,S9206,13,4TEATS,90,1,,83,e.1,Green,99,115
98EW00294,S9209,11,4TEATS,110,1,,99,e.3,Green,116,124
98EW00295,S9210,10,4TEATS,104,1,,87,e.3,Green,104,109
98EW00296,S9211,10,,116,1,,96,e.0,Green,117,125
98EW00297,S9214,10,,105,1,,91,e.3,Green,105,104
98EW00298,S9215,10,,102,1,,98,e.0,Green,109,119
98EW00299,S9219,11,,114,7,,87,e.2,Green,0,0
98EW00300,S9225,10,,109,1,,101,e.3,Green,121,125
98EW00301,S9228,13,,97,1,,85,e.1,Green,97,111
98EW00302,S9230,12,,96,1,,89,e.2,Green,107,118
98EW00303,S9231,11,ENTR,103,1,,93,e.1,Green,105,117
98EW00304,S9233,11,,105,1,,97,e.2,Green,106,123
98EW00305,S9234,11,,103,1,,93,e.1,Green,106,121
98EW00306,S9236,13,,98,1,,82,e.0,Green,102,113
98EW00307,S9237,13,,100,1,,106,e.2,Green,124,132
98EW00308,S9242,10,,111,1,,113,e.3,Green,125,132
98EW00309,S9246,12,,100,1,,89,e.0,Green,107,118
98EW00310,S9254,13,SCOURS,88,1,,82,e.1,Green,98,114
98EW00311,S9256,10,,103,1,,95,e.3,Green,109,119
98EW00312,S9257,12,,102,1,,77,e.2,Green,100,117
98EW00313,S9268,13,,103,1,,86,e.0,Green,103,120
98EW00314,S9269,13,,108,1,,92,e.1,Green,110,130
98EW00315,S9278,12,,99,1,,110,e.2,Green,124,126
98EW00316,S9279,10,,111,1,,94,e.3,Green,113,126
98EW00317,S9290,10,,100,1,,101,e.0,Green,114,126
98EW00318,S9291,13,"DEAD,GOK,299",111,6,,86,e.1,Green,0,0
98EW00319,S9292,13,,108,1,,92,e.2,Green,108,118
98EW00320,S9293,11,,102,1,,93,e.3,Green,105,113
98EW00321,S9294,11,,102,1,,95,e.1,Green,103,112
98EW00322,S9298,11,,108,1,,96,e.2,Green,118,141
98EW00323,S9299,11,HAIRY,106,1,,89,e.3,Green,101,113
98EW00324,S9310,11,,110,1,,97,e.1,Green,110,124
98EW00325,S9314,13,,99,1,,78,e.0,Green,101,116
98EW00326,S9315,13,,101,1,,84,e.2,Green,100,118
98EW00327,S9319,13,,92,1,,94,e.2,Green,114,127
98EW00328,S9320,13,F4-,95,1,,96,e.0,Green,117,134
98EW00329,S9322,10,4TEATS,101,1,,96,e.0,Green,112,121
98EW00330,S9332,10,,107,1,,97,e.3,Green,111,128
98EW00331,S9333,10,OK,108,1,,105,e.0,Green,133,150
98EW00332,S9334,10,,105,1,,104,e.3,Green,121,132
98EW00333,S9340,12,ENTR,106,1,,103,e.1,Green,119,140
98EW00334,S9341,12,,99,1,,87,e.3,Green,106,120
98EW00335,S9345,12,4TEATS,101,1,,99,e.1,Green,120,131
98EW00336,S9349,10,4TEATS,106,7,,92,e.0,Green,0,0
98EW00337,S9350,12,4TEATS,100,1,,95,e.2,Green,113,125
98EW00338,S9352,13,ENTR,100,1,,93,e.1,Green,112,127
98EW00339,S9354,11,HAIRY,105,1,,89,e.3,Green,107,117
98EW00340,S9356,13,,102,1,,95,e.2,Green,114,127
98EW00341,S9377,11,,102,1,,89,e.1,Green,104,115
98EW00342,S9382,11,,105,1,,89,e.2,Green,115,127
98EW00343,S9384,12,,104,1,,90,e.0,Green,107,117
98EW00344,S9385,10,H3,104,1,,94,e.3,Green,108,120
98EW00345,S9387,12,4TEATS,99,1,,88,e.0,Green,106,123
98EW00346,S9390,12,,102,1,,94,e.1,Green,120,128
98EW00347,S9391,12,,99,1,,79,e.2,Green,95,113
98EW00348,S9393,11,,105,1,,85,e.3,Green,101,110
98EW00349,S9399,13,,99,1,,93,e.0,Green,115,127
98EW00350,S9403,13,,105,1,,99,e.1,Green,134,154
98EW00351,S9412,13,,104,1,,81,e.2,Green,101,106
98EW00352,S9416,10,NICE,106,1,,103,e.3,Green,123,140
98EW00353,S9421,11,,104,1,,95,e.1,Green,111,133
98EW00354,S9423,11,,101,1,,92,e.2,Green,100,117
98EW00355,S9426,12,,99,1,,91,e.0,Green,109,125
98EW00356,S9428,11,,107,1,,91,e.3,Green,107,118
98EW00357,S9429,11,,115,1,,102,e.1,Green,119,139
98EW00358,S9437,10,4TEATS,106,1,,103,e.0,Green,123,134
98EW00359,S9440,12,,110,1,,99,e.2,Green,114,131
98EW00360,S9447,12,,100,1,,70,e.3,Green,87,104
98EW00361,S9450,10,4TEATS,118,1,,99,e.0,Green,116,131
98EW00362,S9453,10,MS.BIG,111,1,,105,e.3,Green,121,141
98EW00363,S9455,13,,112,1,,99,e.1,Green,122,144
98EW00364,S9462,13,,102,1,,91,e.2,Green,119,139
98EW00365,S9473,10,,107,1,,103,e.0,Green,115,124
98EW00366,S9476,10,SPRING CREEK,89,7,,71,e.3,Green,0,0
98EW00367,S9478,12,4TEATS,93,1,,89,e.1,Green,99,119
98EW00368,S9479,12,4TEATS,100,1,,96,e.2,Green,116,138
98EW00369,S9482,11,SPRING CREEK,104,1,,87,e.1,Green,107,116
98EW00370,S9492,12,,95,1,,89,e.1,Green,99,121
98EW00371,S9497,13,ENTR,94,1,,84,e.2,Green,96,110
98EW00372,S9499,12,,103,1,,88,e.3,Green,108,119
98EW00373,S9501,13,,90,1,,85,e.0,Green,94,107
98EW00374,S9503,10,,105,1,,87,e.3,Green,101,114
98EW00375,S9507,12,,94,1,,82,e.1,Green,101,113
98EW00376,S9510,13,,102,1,,89,e.2,Green,110,119
98EW00377,S9511,10,4TEATS,105,1,,95,e.0,Green,107,121
98EW00378,S9513,11,"ENTR,4TEATS",110,1,,101,e.1,Green,123,146
98EW00379,S9522,12,,105,1,,95,e.2,Green,117,125
98EW00380,S9535,11,"HAIRY,4TEATS",117,1,,102,e.3,Green,120,132
98EW00381,S9540,10,SCURS,117,1,,111,e.0,Green,131,143
98EW00382,S9555,13,4TEATS,105,1,,100,e.1,Green,110,120
98EW00383,S9558,11,,102,1,,93,e.2,Green,110,119
98EW00384,S9565,13,,97,1,,97,e.0,Green,120,138
98EW00385,S9566,13,,93,1,,87,e.1,Green,112,132
98EW00386,S9570,13,4TEATS,96,1,,81,e.2,Green,96,109
98EW00387,S9574,13,,117,1,,92,e.0,Green,107,122
98EW00388,S9581,10,4TEATS,102,1,,101,e.3,Green,124,137
98EW00389,S9585,12,,92,1,,73,e.3,Green,97,109
98EW00390,S9588,10,,111,1,,98,e.3,Green,122,136
98EW00391,S9596,12,"ENTR,4TEATS",99,1,,84,e.1,Green,98,113
98EW00392,S9601,10,,105,1,,80,e.0,Green,90,101
98EW00393,S9602,10,4TEATS,112,1,,96,e.3,Green,122,137
98EW00394,S9604,13,,102,1,,87,e.2,Green,106,129
98EW00395,S9613,11,,109,1,,98,e.1,Green,121,137
98EW00396,S9615,13,,97,1,,91,e.2,Green,103,119
98EW00397,S9620,11,PINK,105,1,,97,e.1,Green,114,122
98EW00398,S9629,10,HAIRY,122,1,,106,e.0,Green,136,147
98EW00399,S9630,10,,116,1,,101,e.3,Green,121,144
98EW00400,S9634,10,ENTR,102,1,,95,e.0,Green,109,116
98EW00401,S9638,10,HAIRY,103,1,,90,e.3,Green,109,121
98EW00402,S9646,13,,104,1,,90,e.2,Green,104,123
98EW00403,S9647,13,,98,1,,79,e.1,Green,95,111
98EW00404,S9648,12,,97,1,,95,e.2,Green,116,137
98EW00405,S9653,10,,117,1,,109,e.0,Green,122,134
98EW00406,S9658,13,,101,1,,91,e.1,Green,111,129
98EW00407,S9671,11,,101,1,,94,e.2,Green,107,113
98EW00408,S9673,11,,104,1,,90,e.3,Green,111,134
98EW00409,S9674,11,H3,102,1,,89,e.1,Green,104,114
98EW00410,S9680,12,,101,1,,102,e.0,Green,120,131
98EW00411,S9682,10,BRN.L.EAR,108,1,,102,e.3,Green,110,131
98EW00412,S9685,13,,99,1,,88,e.2,Green,113,136
98EW00413,S9687,12,,106,1,,87,e.0,Green,106,119
98EW00414,S9689,13,,99,1,,101,e.1,Green,123,141
98EW00415,S9706,11,,110,1,,91,e.2,Green,112,123
98EW00416,S9708,11,ENTR,111,1,,89,e.3,Green,113,123
98EW00417,S9709,11,,114,1,,105,e.1,Green,114,122
98EW00418,S9759,12,,106,1,,85,e.0,Green,101,110
98EW00419,S9761,10,,107,1,,95,e.3,Green,111,118
98EW00420,S9768,12,,105,1,,96,e.2,Green,116,130
98EW00421,S9778,12,,102,1,,89,e.0,Green,111,124
98EW00422,S9784,13,,117,1,,100,e.1,Green,107,124
98EW00423,S9794,12,,103,1,,90,e.2,Green,104,117
