UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1018,W1207,IDZ65,CLR,STM,DIETPEN
10EW00045,L0078,,.,,1,,76,e12,,,,81,,5,PC,
10EW00046,R8092,,.,,1,,77,e16,,,,87,,1,07,
10EW00047,T2856,,.,,1,,99,,,,,131,,1,02,
10EW00048,H5725,,.,,1,,83,e28,,,,106,,1,30,
10EW00049,T3358,,.,,1,,97,,,,,119,,1,02,
10EW00050,H5752,,.,,1,,77,e26,,,,104,,1,30,
10EW00051,T3008,,HAIRY,,1,,80,,,,,,,1,02,
10EW00052,L0044,,4TEATS,,1,,120,e13,,,,137,,5,PC,
10EW00053,X9020,,SLIGHTLY.H,,1,,90,e26,,,,99,,1,R3,
10EW00054,R8403,,4T E L EYE,,1,,69,e25,,,,88,,1,07,
10EW00055,H5979,,4 N RED DOT,,1,,101,e24,,,,136,,1,30,
10EW00056,T2885,,4TEATS,,1,,87,,,,,108,,1,02,
10EW00057,T3400,,.,,1,,78,,,,,92,,1,02,
10EW00058,H6454,,4TEATS,,1,,70,e24,,,,89,,1,30,
10EW00059,R8540,,.,,1,,78,e26,,,,109,,2,07,
10EW00060,H6055,,.,,1,,75,e28,,,,95,,1,30,
10EW00061,H6062,,.,,1,,90,e20,,,,105,,1,30,
10EW00062,X8957,,E L EYE,,1,,93,e6,,,,103,,5,SC,
10EW00063,T3330,,3TEATS,,1,,90,,,,,96,,1,02,
10EW00064,R8073,,.,,1,,89,e15,,,,111,,1,07,
10EW00065,H6209,,.,,1,,87,e27,,,,104,,1,30,
10EW00066,X8983,,HAIRY NICE LA,,1,,112,e5,,,,136,,1,CM,
10EW00067,X9214,,VERY HAIRY,,1,,92,e25,,,,104,,1,R3,
10EW00068,X8937,,LgBlkspotneck,,1,,80,e26,,,,96,,1,R3,
10EW00069,X9515,,.,,1,,64,e26,,,,83,,1,R3,
10EW00070,T3054,,.,,1,,83,,,,,108,,1,02,
10EW00071,X9034,,HAIRY,,1,,73,e25,,,,94,,1,R3,
10EW00072,X8606,,E2E,,1,,135,e11,,,,152,,5,S3,
10EW00073,L0106,,.,,1,,82,e14,,,,92,,5,PC,
10EW00074,R8296,,.,,1,,82,e17,,,,97,,1,07,
10EW00075,L0080,,BadLFleg; to,,1,,87,e14,,,,110,,5,PC,
10EW00076,T2986,,3 TEATS,,1,,86,,,,,113,,1,02,
10EW00077,X9019,,3RD.H,,1,,73,e27,,,,85,,1,R3,
10EW00078,L0096,,4 E2E,,1,,107,e12,,,,123,,5,PC,
10EW00079,R8084,,.,,1,,73,e19,,,,90,,1,07,
10EW00080,H5741,,.,,1,,59,e23,,,,73,,1,30,
10EW00081,T3034,,4TEATS,,1,,117,,,,,140,,1,02,
10EW00082,R8243,,4T WEAK,,1,,72,e28,,,,86,,1,07,
10EW00083,H5685,,1ST,,1,,78,e22,,,,103,,1,30,
10EW00084,L0170,,4TEATS,,1,,71,e13,,,,77,,5,PC,
10EW00085,T3443,,.,,1,,80,,,,,81,,1,02,
10EW00086,T3064,,3 TEATS,,1,,105,,,,,128,,1,02,
10EW00087,H6066,,ORANGE DOT,,1,,59,e22,,,,78,,1,30,
10EW00088,X8599,,.,,1,,115,e4,,,,142,,9,BL,
10EW00089,T2853,,.,,1,,92,,,,,119,,1,02,
10EW00090,R8130,,.,,1,,68,e25,,,,73,,1,07,
10EW00091,R8321,,.,,1,,81,e19,,,,100,,1,07,
10EW00092,R8580,,3T,,1,,74,e27,,,,98,,1,07,
10EW00093,T2989,,Bald.pinknotT,,1,,100,,,,,,,1,02,
10EW00094,K4615,,.,,1,,84,e8,,,,101,,1,06,
10EW00095,L0086,,NICE LAMB,,1,,95,e12,,,,105,,5,PC,
10EW00096,X9332,,HAIRY,,1,,75,e28,,,,87,,2,R3,
10EW00097,X9547,,.,,1,,65,e26,,,,81,,1,R3,
10EW00098,X9048,,.,,1,,95,e11,,,,118,,5,S3,
10EW00099,H6289,,4TEATS,,1,,90,e21,,,,97,,1,30,
10EW00100,T3354,,4TEATS,,1,,82,,,,,101,,1,02,
10EW00101,R8250,,.,,1,,59,e16,,,,77,,1,07,
10EW00102,R8346,,ORANGE DOT,,1,,67,e19,,,,85,,1,07,
10EW00103,R8554,,.,,1,,72,e27,,,,104,,1,07,
10EW00104,T3363,,.,,1,,90,,,,,113,,1,02,
10EW00105,H5769,,.,,1,,90,e26,,,,118,,1,30,
10EW00106,X9566,,.,,1,,84,e27,,,,107,,1,R3,
10EW00107,H5816,,.,,1,,68,e24,,,,92,,1,30,
10EW00108,X9032,,E2E.H,,1,,89,e28,,,,108,,1,R3,
10EW00109,X8927,,.,,1,,92,e6,,,,105,,5,SC,
10EW00110,X8545,,4TEATS,,1,,92,e2,,,,125,,5,T3,
10EW00111,R8349,,.,,1,,57,e26,,,,74,,1,07,
10EW00112,R8317,,.,,1,,75,e17,,,,89,,1,07,
10EW00113,R8342,,.,,1,,68,e26,,,,89,,1,07,
10EW00114,R8333,,.,,1,,63,e26,,,,85,,1,07,
10EW00115,H6068,,.,,1,,66,e23,,,,83,,1,30,
10EW00116,R8292,,.,,1,,69,e27,,,,99,,1,07,
10EW00117,H5794,,.,,1,,81,e24,,,,104,,1,30,
10EW00118,R8556,,.,,1,,63,e15,,,,80,,1,07,
10EW00119,H5842,,.,,1,,86,e21,,,,101,,1,30,
10EW00120,R8119,,.,,1,,84,e17,,,,95,,1,07,
10EW00121,X9211,,.,,1,,74,e27,,,,102,,1,R3,
10EW00122,R8313,,.,,1,,69,e16,,,,87,,1,07,
10EW00123,T3437,,.,,1,,74,,,,,83,,1,02,
10EW00124,H6493,,.,,1,,80,e21,,,,102,,1,30,
10EW00125,T3065,,.,,1,,107,,,,,120,,1,02,
10EW00126,T2957,,2ND.,,1,,101,,,,,114,,1,02,
10EW00127,L0209,,SMUT,,1,,76,e13,,,,80,,5,PC,
10EW00128,H5711,,.,,1,,88,e26,,,,101,,1,30,
10EW00129,T2888,,.,,1,,103,,,,,135,,1,02,
10EW00130,T3431,,HAIRY,,1,,65,,,,,,,1,02,
10EW00131,H5813,,.,,1,,92,e27,,,,117,,1,30,
10EW00132,H5764,,HAIRY,,1,,86,e28,,,,89,,1,30,
10EW00133,K4712,,.,,1,,86,e8,,,,96,,1,06,
10EW00134,L0045,,.,,1,,86,e13,,,,104,,5,PC,
10EW00135,X8873,,.,,1,,99,e18,,,,123,,5,TS,
10EW00136,K4694,,4TEATS,,1,,99,e8,,,,124,,1,06,
10EW00137,T3225,,3 TEATS,,1,,90,,,,,107,,1,02,
10EW00138,X8701,,4TEATS,,1,,91,e11,,,,124,,5,S3,
10EW00139,X9025,,E1E,,1,,82,e3,,,,102,,1,CM,
10EW00140,L0214,,SMUT,,1,,86,e12,,,,102,,5,PC,
10EW00141,T3460,,WEAK LAMB,,1,,62,,,,,,,1,02,
10EW00142,R8246,,.,,1,,57,e17,,,,73,,1,07,
10EW00143,T3006,,E2E,,1,,90,,,,,105,,1,02,
10EW00144,T3320,,3T H,,1,,84,,,,,,,1,02,
10EW00145,H5557,,.,,1,,84,e22,,,,98,,1,30,
10EW00146,H5801,,.,,1,,78,e22,,,,99,,1,30,
10EW00147,H6231,,ORANGE DOT,,1,,93,e21,,,,116,,1,30,
10EW00148,H5802,,.,,1,,82,e20,,,,113,,1,30,
10EW00149,L0112,,.,,1,,95,e13,,,,97,,5,PC,
10EW00150,H6119,,.,,1,,93,e25,,,,116,,1,30,
10EW00151,H5771,,.,,1,,89,e28,,,,100,,1,30,
10EW00152,H5662,,4 H,,1,,77,e24,,,,99,,1,30,
10EW00153,H5797,,.,,1,,70,e20,,,,98,,1,30,
10EW00154,T2985,,4 H,,1,,111,,,,,,,1,02,
10EW00155,T3360,,.,,1,,68,,,,,108,,1,02,
10EW00156,X9004,,HAIRY,,1,,101,e27,,,,109,,2,R3,
10EW00157,T3029,,.,,1,,87,,,,,117,,1,02,
10EW00158,H6481,,SLIGHTLY H,,1,,101,e21,,,,112,,1,30,
10EW00159,X9381,,4T H,,1,,78,e27,,,,98,,1,R3,
10EW00160,T2961,,SLIGHTLY.H,,1,,89,,,,,,,1,02,
10EW00161,H6233,,.,,1,,71,e20,,,,88,,1,30,
10EW00162,T2849,,.,,1,,81,,,,,92,,1,02,
10EW00163,K4625,,.,,1,,81,e18,,,,92,,1,06,
10EW00164,H5748,,.,,1,,93,e25,,,,109,,1,30,
10EW00165,L0085,,E1E   NICE!,,1,,113,e12,,,,118,,5,PC,
10EW00166,X9538,,.,,1,,88,e25,,,,98,,1,R3,
10EW00167,H5674,,.,,1,,80,e23,,,,93,,1,30,
10EW00168,H6244,,.,,1,,99,e28,,,,111,,1,30,
10EW00169,R8572,,4TEATS,,1,,71,e16,,,,84,,1,07,
10EW00170,H5767,,.,,1,,71,e25,,,,82,,1,30,
10EW00171,H6221,,.,,1,,84,e20,,,,110,,1,30,
10EW00172,X9016,,.,,1,,100,e28,,,,104,,1,R3,
10EW00173,X8658,,4TPINKFUGLY,,1,,69,e3,,,,86,,1,CM,
10EW00174,T3269,,4TEATS,,1,,82,,,,,94,,1,02,
10EW00175,H5768,,.,,1,,76,e27,,,,94,,1,30,
10EW00176,X8637,,4 P,,1,,129,e1,,,,160,,1,C3,
10EW00177,X8608,,.,,1,,108,e11,,,,130,,5,S3,
10EW00178,H5686,,.,,1,,80,e26,,,,95,,1,30,
10EW00179,X9213,,2 HAIRYGOAT,,1,,76,e28,,,,90,,1,R3,
10EW00180,X9218,,VERYHAIRY,,1,,77,e27,,,,102,,1,R3,
10EW00181,H6058,,ORANGE DOT,,1,,71,e22,,,,88,,1,30,
10EW00182,H6201,,.,,1,,80,e23,,,,97,,1,30,
10EW00183,H5749,,.,,1,,81,e25,,,,79,,1,30,
10EW00184,R8312,,.,,1,,75,e17,,,,92,,1,07,
10EW00185,K4690,,4TEATS,,1,,90,e8,,,,116,,1,06,
10EW00186,L0049,,4TEATS,,1,,91,e14,,,,101,,5,PC,
10EW00187,R8131,,.,,1,,68,e26,,,,92,,1,07,
10EW00188,L0186,,SMUT.,,1,,104,e13,,,,115,,5,PC,
10EW00189,L0087,,4TEATS,,1,,74,e14,,,,95,,5,PC,
10EW00190,R8299,,.,,1,,103,e26,,,,117,,1,07,
10EW00191,H5812,,.,,1,,89,e27,,,,113,,1,30,
10EW00192,H5702,,.,,1,,82,e20,,,,101,,1,30,
10EW00193,H5554,,E L EYE,,1,,74,e20,,,,83,,1,30,
10EW00194,H5866,,4TEATS,,1,,75,e24,,,,92,,1,30,
10EW00195,R8579,,PINK,,1,,68,e28,,,,88,,1,07,
10EW00196,X9265,,HAIRY,,1,,71,e27,,,,88,,1,R3,
10EW00197,X9565,,PINK,,1,,80,e28,,,,102,,1,R3,
10EW00198,H5682,,4TEATS,,1,,80,e24,,,,105,,1,30,
10EW00199,T2995,,4TEATS,,1,,82,,,,,99,,1,02,
10EW00200,X8578,,WHITE.SPT.HEA,,1,,118,e4,,,,131,,9,BL,
10EW00201,X9382,,4T H,,1,,77,e25,,,,100,,1,R3,
10EW00202,H6135,,4TEATS,,1,,77,e23,,,,95,,1,30,
10EW00203,X8532,,.,,1,,118,e1,,,,150,,5,C3,
10EW00204,X9046,,HAIRY,,1,,82,e28,,,,103,,1,R3,
10EW00205,L0183,,SMUT.,,1,,93,e13,,,,112,,5,PC,
10EW00206,T3021,,.,,1,,90,,,,,103,,1,02,
10EW00207,X9407,,NICE LAMB,,1,,92,e27,,,,116,,1,R3,
10EW00208,T2879,,LARGE,,1,,86,,,,,86,,1,02,
10EW00209,T3406,,.,,1,,104,,,,,132,,1,02,
10EW00210,X9335,,.,,1,,72,e27,,,,92,,1,R3,
10EW00211,T3348,,.,,1,,97,,,,,126,,1,02,
10EW00212,T2873,,.,,1,,102,,,,,128,,1,02,
10EW00213,X8938,,SMOKY BROWN H,,1,,84,e27,,,,107,,4,R3,
10EW00214,H5677,,4TEATS,,1,,76,e24,,,,104,,1,30,
10EW00215,H5730,,.,,1,,82,e20,,,,107,,1,30,
10EW00216,T3259,,FUZZY,,1,,74,,,,,,,1,02,
10EW00217,H6223,,RED DOT,,1,,105,e23,,,,134,,1,30,
10EW00218,K4683,,4TEATS,,1,,105,e18,,,,117,,1,06,
10EW00219,R8341,,.,,1,,68,e27,,,,89,,1,07,
10EW00220,L0117,,NICE LAMB,,1,,100,e14,,,,118,,2,PC,
10EW00221,L0059,,WAS X8547,,1,,84,e14,,,,106,,5,PC,
10EW00222,X8974,,.,,1,,84,e5,,,,103,,1,CM,
10EW00223,L0055,,.,,1,,88,e14,,,,88,,1,PC,
10EW00224,H6064,,H6065 TAG LOS,,1,,58,e22,,,,79,,1,30,
10EW00225,X8565,,4TEATS POLY?,,1,,87,e5,,,,114,,1,CM,
10EW00226,R8055,,E2E,,1,,68,e16,,,,88,,1,07,
10EW00227,X8657,,4T NICE LAMB,,1,,103,e10,,,,106,,1,TC,
10EW00228,L0061,,4TEATS,,1,,103,e12,,,,124,,3,PC,
10EW00229,L0218,,NICE LAMB,,1,,81,e13,,,,89,,5,PC,
10EW00230,R8072,,.,,1,,74,e17,,,,94,,1,07,
10EW00231,T3326,,5TEATSE2E,,1,,108,,,,,131,,1,02,
10EW00232,L0065,,SMUT,,1,,91,e12,,,,109,,5,PC,
10EW00233,R8550,,.,,1,,77,e15,,,,109,,1,07,
10EW00234,T2973,,4TEATS,,1,,67,,,,,74,,1,02,
10EW00235,R8397,,.,,1,,75,e26,,,,102,,1,07,
10EW00236,T3308,,.,,1,,89,,,,,111,,1,02,
10EW00237,R8549,,.,,1,,91,e15,,,,107,,2,07,
10EW00238,X8944,,HAIRY,,1,,96,e27,,,,117,,1,R3,
10EW00239,H5712,,.,,1,,76,e23,,,,91,,1,30,
10EW00240,R8366,,SCOURS RED DO,,1,,81,e19,,,,101,,1,07,
10EW00241,X8506,,NICE LAMB,,1,,106,e6,,,,133,,5,SC,
10EW00242,R8331,,Scurs,,1,,74,e28,,,,90,,1,07,
10EW00243,H6457,,.,,1,,71,e20,,,,94,,1,30,
10EW00244,T2970,,E1E; Not T,,1,,81,,,,,98,,1,02,
10EW00245,X9261,,NICE LAMB,,1,,94,e10,,,,99,,1,TC,
10EW00246,R8404,,N ORANGE DOT,,1,,82,e19,,,,105,,1,07,
10EW00247,T2984,,.,,1,,80,,,,,115,,1,02,
10EW00248,T3099,,3TEATS,,1,,108,,,,,132,,1,02,
10EW00249,H6216,,2ND,,1,,67,e26,,,,78,,1,30,
10EW00250,X9575,,HAIRY,,1,,68,e28,,,,81,,1,R3,
10EW00251,T2987,,.,,1,,82,,,,,93,,1,02,
10EW00252,T3323,,.,,1,,104,,,,,111,,1,02,
10EW00253,R8253,,.,,1,,70,e27,,,,89,,1,07,
10EW00254,R8257,,.,,1,,71,e19,,,,89,,1,07,
10EW00255,H6154,,.,,1,,79,e27,,,,110,,1,30,
10EW00256,R8509,,4TEATS,,1,,79,e25,,,,61,,1,07,
10EW00257,T2865,,.,,1,,96,,,,,120,,1,02,
10EW00258,R8267,,H ORANGE DOT,,1,,51,e19,,,,73,,1,07,
10EW00259,X8535,,.,,1,,101,e4,,,,133,,9,BL,
10EW00260,X8598,,.,,1,,89,e11,,,,109,,5,S3,
10EW00261,X9267,,.,,1,,86,e25,,,,104,,1,R3,
10EW00262,T2964,,.,,1,,102,,,,,139,,1,02,
10EW00263,X9231,,HAIRY,,1,,80,e25,,,,97,,1,R3,
10EW00264,H6167,,.,,1,,112,e26,,,,122,,1,30,
10EW00265,X8539,,4TEATS 4&3DYS,,1,,91,e5,,,,118,,1,CM,
10EW00266,T3404,,.,,1,,70,,,,,99,,1,02,
10EW00267,R8295,,.,,1,,75,e16,,,,86,,1,07,
10EW00268,X8642,,WH SPOT H & T,,1,,106,e4,,,,140,,9,BL,
10EW00269,K4622,,.,,1,,82,e18,,,,82,,1,06,
10EW00270,R8325,,.,,1,,80,e16,,,,92,,1,07,
10EW00271,T2923,,.,,1,,99,,,,,135,,1,02,
10EW00272,K4623,,.,,1,,89,e8,,,,114,,1,06,
10EW00273,H6510,,NICE LAMB,,1,,86,e28,,,,98,,1,30,
10EW00274,L0102,,.,,1,,95,e12,,,,95,,2,PC,
10EW00275,T3427,,.,,1,,97,,,,,132,,1,02,
10EW00276,H5751,,.,,1,,77,e28,,,,91,,1,30,
10EW00277,H6094,,.,,1,,81,e27,,,,98,,1,30,
10EW00278,T2997,,4TEATS,,1,,97,,,,,127,,1,02,
10EW00279,T3060,,4TEATS,,1,,90,,,,,93,,1,02,
10EW00280,H6243,,.,,1,,91,e24,,,,120,,1,30,
10EW00281,X9346,,.,,1,,73,e28,,,,85,,1,R3,
10EW00282,T2910,,.,,1,,81,,,,,94,,1,02,
10EW00283,H6272,,.,,1,,77,e26,,,,94,,1,30,
10EW00284,T3356,,NICE LAMB,,1,,114,,,,,129,,1,02,
10EW00285,T3362,,2ND.E2E,,1,,91,,,,,104,,1,02,
10EW00286,X8521,,4TEATS,,1,,94,e3,,,,114,,1,CM,
10EW00287,R8069,,4TEATS,,1,,89,e17,,,,113,,1,07,
10EW00288,R8570,,4TEATS,,1,,81,e15,,,,100,,1,07,
10EW00289,H6056,,4T H,,1,,76,e25,,,,94,,1,30,
10EW00290,R8543,,.,,1,,63,e16,,,,71,,1,07,
10EW00291,L0046,,4TEATS,,1,,75,e13,,,,86,,5,PC,
10EW00292,T2912,,E1EYE,,1,,76,,,,,109,,1,02,
10EW00293,H6480,,.,,1,,83,e27,,,,106,,1,30,
10EW00294,X8587,,.,,1,,95,e11,,,,120,,5,S3,
10EW00295,X9217,,BRNNECKVHAIRY,,1,,65,e27,,,,84,,1,R3,
10EW00296,X8958,,.,,1,,89,e7,,,,114,,5,SC,
10EW00297,T3415,,Not T,,1,,81,,,,,,,1,02,
10EW00298,T2936,,E2E.,,1,,92,,,,,104,,1,02,
10EW00299,R8260,,ORANGE DOT,,1,,62,e19,,,,70,,1,07,
10EW00300,H6198,,.,,1,,84,e27,,,,114,,1,30,
10EW00301,T3376,,.,,1,,76,,,,,102,,1,02,
10EW00302,H6275,,4TEATS,,1,,88,e21,,,,110,,1,30,
10EW00303,R8364,,4T UGLY,,1,,77,e25,,,,97,,1,07,
10EW00304,T2852,,4TEATS,,1,,97,,,,,117,,1,02,
10EW00305,X9327,,.,,1,,87,e26,,,,112,,1,R3,
10EW00306,L0090,,4TEATS,,1,,93,e13,,,,112,,5,PC,
10EW00307,T2867,,.,,1,,94,,,,,123,,1,02,
10EW00308,R8086,,.,,1,,77,e19,,,,91,,1,07,
10EW00309,H6116,,.,,1,,88,e27,,,,100,,1,30,
10EW00310,R8076,,.,,1,,75,e19,,,,94,,1,07,
10EW00311,H5700,,.,,1,,64,e21,,,,83,,1,30,
10EW00312,T2883,,LARGE,,1,,79,,,,,96,,1,02,
10EW00313,L0154,,NICE LAMB,,1,,103,e13,,,,115,,2,PC,
10EW00314,H6246,,.,,1,,69,e23,,,,85,,1,30,
10EW00315,X9063,,H.,,1,,77,e26,,,,97,,2,R3,
10EW00316,R8067,,.,,1,,71,e15,,,,96,,1,07,
10EW00317,R8263,,.,,1,,73,e26,,,,81,,1,07,
10EW00318,X9062,,H.BRN.SPOTS,,1,,79,e28,,,,97,,3,R3,
10EW00319,H5605,,NICE LAMB,,1,,98,e24,,,,119,,1,30,
10EW00320,H6131,,.,,1,,66,e23,,,,93,,1,30,
10EW00321,H5696,,.,,1,,86,e21,,,,116,,1,30,
10EW00322,L0062,,4.E2EYES.SMUT,,1,,115,e12,,,,137,,3,PC,
10EW00323,K4626,,1ST.E.4,,1,,76,e8,,,,99,,1,06,
10EW00324,R8093,,.,,1,,82,e19,,,,103,,1,07,
10EW00325,T2872,,.,,1,,81,,,,,97,,1,02,
10EW00326,T3361,,1ST,,1,,93,,,,,125,,1,02,
10EW00327,R8251,,.,,1,,66,e15,,,,100,,1,07,
10EW00328,X9052,,.,,1,,75,e25,,,,94,,1,R3,
10EW00329,X9312,,HAIRY,,1,,84,e26,,,,101,,2,R3,
10EW00330,H6279,,4T ORANGE DOT,,1,,69,e21,,,,53,,1,30,
10EW00331,R8291,,.,,1,,105,e28,,,,98,,1,07,
10EW00332,X8949,,4 E L EYE,,1,,73,e3,,,,88,,1,CM,
10EW00333,X9303,,HAIRY,,1,,77,e28,,,,85,,1,R3,
10EW00334,L0088,,4 N,,1,,120,e13,,,,143,,5,PC,
10EW00335,H6496,,.,,1,,70,e24,,,,96,,1,30,
10EW00336,H6048,,2,,1,,91,e27,,,,119,,1,30,
10EW00337,X9604,,3T WAS L0232,,1,,88,e1,,,,106,,2,C3,
10EW00338,H6147,,.,,1,,86,e27,,,,109,,2,30,
10EW00339,H6105,,.,,1,,72,e24,,,,90,,1,30,
10EW00340,K4628,,CHEWED TAIL,,1,,136,e18,,,,140,,1,06,
10EW00341,T2971,,.,,1,,91,,,,,128,,1,02,
10EW00342,R8090,,RED DOT,,1,,91,e15,,,,125,,1,07,
10EW00343,H6057,,ORANGE DOT,,1,,91,e23,,,,99,,1,30,
10EW00344,L0192,,SMUT.NICE,,1,,105,e13,,,,118,,5,PC,
10EW00345,H5780,,RED DOT,,1,,78,e22,,,,80,,1,30,
10EW00346,R8268,,4TEATS,,1,,83,e27,,,,110,,1,07,
10EW00347,H6262,,.,,1,,74,e25,,,,86,,1,30,
10EW00348,R8153,,.,,1,,88,e19,,,,107,,1,07,
10EW00349,T3039,,4TEATS,,1,,70,,,,,96,,1,02,
10EW00350,H5784,,.,,1,,78,e21,,,,104,,1,30,
10EW00351,X8659,,PINK FUGLY,,1,,86,e3,,,,99,,1,CM,
10EW00352,T3318,,3T H,,1,,97,,,,,,,1,02,
10EW00353,K4627,,4.E1EYE,,1,,78,e8,,,,98,,1,06,
10EW00354,R8281,,ORANGE DOT,,1,,73,e19,,,,83,,1,07,
10EW00355,R8365,,4TEATS,,1,,69,e28,,,,86,,1,07,
10EW00356,T3351,,.,,1,,95,,,,,106,,1,02,
10EW00357,H6100,,.,,1,,80,e25,,,,92,,1,30,
10EW00358,H5703,,4TEATS,,1,,110,e28,,,,129,,1,30,
10EW00359,H6237,,ORANGE DOT,,1,,76,e22,,,,86,,1,30,
10EW00360,X9372,,3TVERYHAIRY,,1,,69,e28,,,,78,,1,R3,
10EW00361,X9510,,HAIRY,,1,,81,e26,,,,98,,1,R3,
10EW00362,H5684,,.,,1,,81,e25,,,,99,,1,30,
10EW00363,X9564,,HAIRY,,1,,87,e25,,,,99,,2,R3,
10EW00364,X8588,,E1E,,1,,101,e11,,,,132,,5,S3,
10EW00365,L0054,,4TEATS,,1,,96,e12,,,,107,,5,PC,
10EW00366,L0099,,BLKEYESFRECLI,,1,,103,e12,,,,107,,2,PC,
10EW00367,K4695,,4TEATS,,1,,84,e18,,,,91,,1,06,
10EW00368,H6150,,ORANGE DOT,,1,,64,e22,,,,68,,1,30,
10EW00369,X9067,,HAIRY,,1,,103,e28,,,,124,,1,R3,
10EW00370,T3094,,HAIRY,,1,,97,,,,,,,1,02,
10EW00371,H5706,,4TEATS,,1,,88,e24,,,,109,,1,30,
10EW00372,R8350,,.,,1,,60,e26,,,,81,,1,07,
10EW00373,H6085,,2ND.N RED DOT,,1,,78,e20,,,,94,,1,30,
10EW00374,T3053,,.,,1,,96,,,,,100,,1,02,
10EW00375,L0177,,.,,1,,91,e14,,,,84,,2,PC,
10EW00376,R8279,,.,,1,,80,e17,,,,93,,1,07,
10EW00377,T2980,,.,,1,,88,,,,,93,,1,02,
10EW00378,X9236,,H.4,,1,,78,e27,,,,107,,1,R3,
10EW00379,T3438,,.,,1,,70,,,,,80,,1,02,
10EW00380,H6106,,.,,1,,80,e22,,,,105,,1,30,
10EW00381,X8704,,.,,1,,107,e1,,,,137,,5,C3,
10EW00382,K4609,,4TEATS,,1,,103,e8,,,,122,,1,06,
10EW00383,L0123,,92,,1,,90,e14,,,,106,,2,PC,
10EW00384,R8507,,.,,1,,71,e15,,,,88,,1,07,
10EW00385,T3378,,.,,1,,91,,,,,111,,1,02,
10EW00386,X8991,,4TEATS,,1,,84,e9,,,,101,,1,TC,
10EW00387,X8977,,.,,1,,94,e11,,,,104,,5,S3,
10EW00388,X8494,,ENTROPION,,1,,89,e6,,,,109,,3,SC,
10EW00389,X8650,,4 E L EYE,,1,,75,e2,,,,99,,8,T3,
10EW00390,X8894,,HAIRY; BLK NO,,1,,123,e9,,,,141,,2,TC,
10EW00391,X8546,,.,,1,,98,e2,,,,118,,5,T3,
10EW00392,X8978,,.,,1,,99,e11,,,,123,,5,S3,
