UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGTEST,W1018,W1207,IDZ65,CLR,STM,DIETPEN
11EW00178,Z0095,,1ST SCOURS,0,1,,123,e16,,Preg,,118,0,5,CS,
11EW00179,L0399,,4T.BRITCHY,0,1,,106,e14,,Preg,,111,0,5,PC,
11EW00180,T3800,,4TEATS,0,1,,102,e26,,Open,,123,0,1,02,
11EW00181,T3804,,4T.NICE,0,1,,110,e26,,Open,,116,0,1,02,
11EW00182,L0401,,4T.NICE,0,1,,121,e13,,,,0,0,5,PC,
11EW00183,L0402,,BLKSPOTLFHOOF,0,3,,89,e14,,Open,,90,0,2,PC,
11EW00184,L0403,,.,0,1,,96,e13,,Open,,100,0,5,PC,
11EW00185,K4796,,4T.BLK.L.EYE,0,3,,92,e2,,Open,,98,0,2,06,
11EW00186,L0406,,E2E,0,1,,128,e13,,Open,,135,0,2,PC,
11EW00187,Z0103,,E2E  SCOURS,0,1,,131,e16,,Open,,129,0,5,CS,
11EW00188,T3809,,LTBRNLEGS,0,1,,87,,,,,,0,2,02,
11EW00189,T3810,,4T.UGLY,0,1,,107,e26,,Open,,129,0,1,02,
11EW00190,L0407,,BRNEARTIPS,0,1,,108,e13,,Preg,,117,0,2,PC,
11EW00191,L0409,,HAIRY,0,1,,109,e15,,Preg,,125,0,5,PC,
11EW00192,K4798,,4TEATS SCOURS,0,1,,83,e2,,Open,,89,0,1,06,
11EW00193,T3811,,HAIRY,0,1,,100,e26,,Open,,113,0,1,02,
11EW00194,L0411,,NICE LAMB,0,1,,139,e14,,Open,,154,0,5,PC,
11EW00195,T3814,,3T,0,1,,101,e21,,Preg,,114,0,1,02,
11EW00196,T3815,,HAIRY,0,1,,81,,,,,,0,1,02,
11EW00197,Z0106,,BLKEYESHAIRY,0,1,,120,e6,,Preg,,131,0,2,CM,
11EW00198,T3821,,.,0,1,,83,e22,,Open,,91,0,1,02,
11EW00199,T3828,,4T.BRITCHY,0,1,,98,e26,,Open,,117,0,1,02,
11EW00200,Z0110,,HAIRY,0,1,,93,e6,,Open,,94,0,2,CM,
11EW00201,Z0112,,NICE LAMBSCOU,0,1,,103,e4,,Preg,,99,0,6,97,
11EW00202,T3832,,BRITCHY,0,1,,126,e26,,Open,,148,0,1,02,
11EW00203,Z0115,,4T.HAIRY,0,1,,107,e6,,Open,,112,0,1,CM,
11EW00204,L0418,,4T.E2E,0,1,,128,e14,,Preg,,140,0,2,PC,
11EW00205,T3842,,4TEATS,0,1,,96,e26,,Open,,115,0,1,02,
11EW00206,T3843,,FUZZY,0,1,,66,,,Open,,,0,1,02,
11EW00207,Z0127,,4T.HAIRY,0,1,,117,e6,,Open,,130,0,1,CM,
11EW00208,Z0131,,4T.BRITCHY,0,1,,99,e3,,Preg,,103,0,2,C3,
11EW00209,T3845,,PINK.3T,0,1,,92,e23,,Preg,,105,0,1,02,
11EW00210,T3848,,4T.HAIRY,0,1,,91,e26,,Open,,108,0,1,02,
11EW00211,Z0134,,NICE,0,1,,119,e16,,Preg,,126,0,5,CS,
11EW00212,Z0135,,E2E.NICE,0,1,,120,e16,,Open,,122,0,5,CS,
11EW00213,Z0136,,1ST,0,1,,115,e16,,Open,,117,0,5,CS,
11EW00214,Z0137,,2ND  SCOURS,0,1,,117,e16,,Open,,116,0,5,CS,
11EW00215,L0428,,4TEATS,0,1,,91,e14,,Preg,,88,0,2,PC,
11EW00216,L0429,,.,0,1,,94,e14,,Open,,102,0,5,PC,
11EW00217,Z0139,,3T SCOURS,0,1,,106,e5,,Open,,100,0,4,97,
11EW00218,Z0140,,NICE SCOURS,0,1,,104,e5,,Preg,,115,0,6,97,
11EW00219,Z0144,,Bgrp 1,0,1,,123,13,,Preg,,126,0,9,BL,
11EW00220,T3853,,E2E.HAIRY,0,1,,92,e26,,Open,,104,0,1,02,
11EW00221,H6552,,E.R.EYE,0,1,,109,e9,,Preg,,127,0,1,30,
11EW00222,T3856,,.,0,1,,96,e26,,Open,,116,0,1,02,
11EW00223,T3857,,.,0,1,,81,,,,,,0,1,02,
11EW00224,Z0151,,.,0,3,,87,e16,,Open,,93,0,5,SC,
11EW00225,Z0152,,4TEATS,0,3,,91,e16,,Open,,88,0,5,SC,
11EW00226,K4802,,4TEATS,0,1,,98,e1,,Preg,,107,0,1,06,
11EW00227,T3865,,.,0,1,,103,e25,,Preg,,134,0,1,02,
11EW00228,T3868,,1ST.3T,0,1,,64,,,,,,0,1,02,
11EW00229,T3869,,2ND.3T.BRITCH,0,1,,100,e26,,Open,,115,0,1,02,
11EW00230,T3876,,2ND.PINK,0,1,,102,e26,,Open,,112,0,1,02,
11EW00231,T3878,,PINK,0,1,,92,e26,,Open,,106,0,1,02,
11EW00232,T3879,,FUZZY,0,1,,75,,,Open,,,0,1,02,
11EW00233,T3880,,FUZZY.PINK,0,1,,77,e26,,Open,,89,0,1,02,
11EW00234,Z0158,,BRITCHY,0,1,,107,e3,,,,0,0,2,C3,
11EW00235,T3881,,PINK.BRITCHY,0,1,,85,e26,,Open,,103,0,1,02,
11EW00236,T3883,,4TEATS,0,1,,104,e26,,Open,,113,0,1,02,
11EW00237,H6555,,HAIRY,0,1,,108,e8,,Preg,,108,0,1,30,
11EW00238,L0441,,E.R.EYE,0,1,,119,e13,,Preg,,122,0,5,PC,
11EW00239,T3889,,PINK.HAIRY,0,1,,87,e26,,Preg,,101,0,1,02,
11EW00240,L0448,,2ND.4T.H SCOU,0,1,,119,e13,,Preg,,128,0,5,PC,
11EW00241,L0452,,4T.HAIRY SCOU,0,1,,98,e14,,Preg,,108,0,2,PC,
11EW00242,T3896,,PINK,0,1,,103,e26,,Open,,120,0,1,02,
11EW00243,T3897,,3T,0,1,,94,e26,,Open,,110,0,1,02,
11EW00244,Z0174,,BRITCHY,0,1,,100,e7,,Preg,,101,0,5,S3,
11EW00245,T3898,,4T.PINK,0,1,,110,e24,,Preg,,113,0,1,02,
11EW00246,Z0178,,4T.NICE ELEYE,0,1,,127,e16,,Preg,,120,0,5,SC,
11EW00247,L0454,,4TEATS,0,1,,93,e13,,Open,,108,0,5,PC,
11EW00248,Z0182,,NICE LAMB,0,3,,109,e4,,Preg,,109,0,6,97,
11EW00249,Z0185,,4T.NICE,0,1,,116,e16,,Open,,128,0,5,CS,
11EW00250,T3900,,PINK,0,1,,101,e26,,Open,,114,0,1,02,
11EW00251,T3905,,PINK.HAIRY,0,1,,96,e21,,Open,,106,0,1,02,
11EW00252,T3906,,4T.HAIRY,0,1,,88,e25,,Open,,88,0,1,02,
11EW00253,T3908,,4T.PINK,0,1,,92,e26,,Open,,105,0,1,02,
11EW00254,T3910,,HAIRY,0,1,,106,e26,,Open,,111,0,1,02,
11EW00255,L0458,,3T.BRITCHY,0,1,,129,e15,,Preg,,139,0,5,PC,
11EW00256,L0459,,Bgrp 1,0,1,,123,13,,Preg,,104,0,9,PC,
11EW00257,L0461,,E2E.4T.NICE,0,1,,123,e14,,Preg,,134,0,5,PC,
11EW00258,L0462,,4T.NICE,0,1,,103,e14,,Preg,,105,0,5,PC,
11EW00259,T3912,,HAIRY,0,1,,73,,,,,,0,1,02,
11EW00260,Z0190,,NICE LAMB,0,1,,141,e7,,Preg,,136,0,5,S3,
11EW00261,Z0195,,.,0,1,,90,e3,,Preg,,88,0,5,C3,
11EW00262,Z0197,,4T.BRITCHY,0,1,,99,e7,,Preg,,98,0,5,S3,
11EW00263,T3913,,VERYHAIRY,0,1,,79,,,Open,,,0,1,02,
11EW00264,K4819,,4TEATS SCOURS,0,3,,86,e1,,Open,,90,0,1,06,
11EW00265,K4820,,3T.E2E,0,1,,90,e1,,Open,,93,0,1,06,
11EW00266,T3918,,4T.PINK.UGLY,0,1,,59,,,Open,,,0,1,02,
11EW00267,T3919,,3T.PINK.HAIRY,0,1,,88,e26,,Open,,105,0,1,02,
11EW00268,Z0202,,4T.BRITCHY,0,1,,100,e7,,Preg,,100,0,5,S3,
11EW00269,Z0203,,.,0,1,,124,e4,,Preg,,131,0,6,97,
11EW00270,L0467,,HAIRY.NICE,0,1,,125,e15,,Open,,142,0,2,PC,
11EW00271,T3923,,4T.FRLEGSWRAP,0,1,,89,e26,,Open,,103,0,1,02,
11EW00272,Z0207,,4T.BRITCHY.NI,0,1,,92,e16,,Preg,,94,0,5,CS,
11EW00273,Z0208,,HAIRY,0,1,,103,e16,,Preg,,113,0,5,CS,
11EW00274,L0468,,NICE LAMB SCO,0,1,,116,e13,,Open,,124,0,5,PC,
11EW00275,L0470,,4TEATS,0,1,,101,e14,,Preg,,95,0,5,PC,
11EW00276,H6563,,FUZZY,0,1,,89,e8,,Open,,98,0,1,30,
11EW00277,T3928,,PINK.BRITCHY,0,1,,103,e26,,Open,,119,0,1,02,
11EW00278,T3930,,PINK,0,1,,77,,,,,,0,1,02,
11EW00279,T3931,,4T.PINK,0,1,,99,e24,,Preg,,110,0,1,02,
11EW00280,T3933,,4T.HAIRY,0,1,,102,e21,,Open,,103,0,1,02,
11EW00281,Z0210,,.,0,1,,100,e16,,Open,,90,0,5,CS,
11EW00282,T3937,,PINK.HAIRY,0,1,,87,e26,,Open,,97,0,1,02,
11EW00283,T3940,,PINK,0,1,,60,,,Open,,,0,1,02,
11EW00284,Z0216,,HAIRY,0,1,,88,e6,,Open,,98,0,1,CM,
11EW00285,T3946,,BRITCHY  SCOU,0,1,,102,e26,,Open,,110,0,1,02,
11EW00286,T3953,,PINK,0,1,,109,e23,,Open,,125,0,1,02,
11EW00287,Z0220,,4T.HAIRY.NICE,0,1,,108,e6,,Open,,121,0,1,CM,
11EW00288,T3955,,E.L.EYE,0,1,,86,e26,,Open,,84,0,1,02,
11EW00289,T3957,,4T.PINK,0,1,,89,e23,,Preg,,106,0,1,02,
11EW00290,H6570,,HAIRY,0,1,,102,e8,,Preg,,107,0,1,30,
11EW00291,H6573,,HAIRY SCOURS,0,1,,96,e19,,Preg,,104,0,1,30,
11EW00292,Z0230,,P.VERYH SCOUR,0,1,,85,e20,,Preg,,100,0,1,R3,
11EW00293,T3964,,4T.HAIRY.NICE,0,1,,133,e26,,Open,,143,0,1,02,
11EW00294,H6575,,PINK,0,1,,97,e10,,Open,,116,0,1,30,
11EW00295,H6576,,4T.BRITCHY,0,1,,118,e8,,Preg,,120,0,1,30,
11EW00296,Z0231,,1ST.E2E,0,1,,94,e3,,Preg,,98,0,5,C3,
11EW00297,H6579,,.,0,1,,88,e9,,Preg,,110,0,1,30,
11EW00298,L0474,,.,0,1,,111,e15,,Open,,122,0,3,PC,
11EW00299,T3971,,.,0,1,,77,,,Open,,,0,1,02,
11EW00300,T3972,,.,0,1,,79,,,,,,0,1,02,
11EW00301,Z0239,,.,0,1,,73,e17,,Preg,,90,0,1,R3,
11EW00302,H6581,,.,0,1,,104,e18,,Preg,,120,0,1,30,
11EW00303,H6584,,4TEATS,0,1,,94,e19,,Preg,,102,0,1,30,
11EW00304,T3976,,.,0,1,,103,e22,,Open,,113,0,1,02,
11EW00305,Z0243,,HAIRY,0,1,,75,e18,,Open,,92,0,1,R3,
11EW00306,Z0244,,H.P,0,3,,81,e20,,Preg,,90,0,1,R3,
11EW00307,T3979,,2ND SCOURS,0,1,,109,e26,,Open,,117,0,1,02,
11EW00308,T3981,,AprlWtMissed,0,1,,97,e26,,Open,,111,0,1,02,
11EW00309,T3982,,.,0,1,,84,e26,,Open,,94,0,1,02,
11EW00310,T3984,,2ND,0,1,,74,,,Open,,,0,1,02,
11EW00311,H6590,,.,0,1,,96,e9,,Preg,,111,0,1,30,
11EW00312,Z0246,,.,0,1,,117,e6,,Preg,,124,0,3,CM,
11EW00313,T3989,,CK PARENTS,0,1,,85,e26,,Open,,112,0,1,02,
11EW00314,T3990,,CK PARENTS SC,0,1,,91,e26,,Open,,101,0,1,02,
11EW00315,H6597,,HAIRY,0,1,,82,e18,,Preg,,95,0,1,30,
11EW00316,Z0258,,4TEATS,0,1,,133,e16,,Open,,136,0,5,SC,
11EW00317,Z0261,,4.H SCOURS,0,1,,92,e18,,Preg,,106,0,1,R3,
11EW00318,H6601,,4TEATS,0,1,,104,e8,,Preg,,113,0,1,30,
11EW00319,T3997,,E1E,0,1,,109,e24,,Open,,138,0,1,02,
11EW00320,T3998,,.,0,1,,84,e22,,Open,,94,0,1,02,
11EW00321,H6608,,HAIRY,0,1,,86,e10,,Preg,,101,0,1,30,
11EW00322,K4826,,E1E.4,0,1,,89,e2,,Open,,100,0,1,06,
11EW00323,T3999,,.,0,1,,86,e26,,Open,,115,0,1,02,
11EW00324,Z0265,,HAIRY,0,1,,118,e19,,Preg,,113,0,1,R3,
11EW00325,T4003,,.,0,1,,85,e26,,Open,,97,0,1,02,
11EW00326,T4005,,.,0,1,,83,e26,,Open,,103,0,1,02,
11EW00327,T4006,,4TEATS,0,1,,84,e23,,Open,,100,0,1,02,
