UID,ETAG,LINE,RMK,IDX,PD,BRDGTRT,CUWT,BPEN,BRAND,OCT18,DEC14,IDZ65,DATEOUT,HGRP,MARKED,PREG,SETRT,RETRT,CLR,STM
05EW00056,03220,m3,,0,1,Marc,98, 7,Purple,125,144,0,2005-12-14,,,1,,,5,m3
05EW00057,03284,m3,,0,1,Marc,90, 4,Purple,104,124,0,2005-12-14,,,1,,,5,m3
05EW00058,03288,m3,,0,1,Marc,112, 8,Purple,137,158,0,2005-12-14,,,1,,,5,m3
05EW00059,03289,m3,,0,1,Marc,106, 3,Purple,125,139,0,2005-12-14,,,1,,,5,m3
05EW00060,03275,m3,,0,1,Marc,114, 7,Purple,148,174,0,2005-12-14,,,1,,,5,m3
05EW00061,H1393,88,,98,1,Usda,111,e24,Purple,112,136,0,2005-12-14,,,1,,,1,30
05EW00062,H1399,88,PNEU.,105,1,Tay.,105,e32,Blue,118,130,0,2005-11-14,2,Y,1,S,M,1,30
05EW00063,H1397,88,,99,1,Tay.,93,e31,Blue,101,103,0,2005-11-14,2,Y,0,,,1,30
05EW00064,H1412,88,,94,1,Tay.,89,e32,Blue,89,106,0,2005-12-14,5,N,1,,,1,30
05EW00065,H1408,88,HAIRY,92,1,Tay.,98,e32,Purple,101,117,0,2005-11-21,3,Y,1,C,M,1,30
05EW00066,H1431,88,,93,1,Tay.,93,e31,Purple,95,102,0,2005-11-07,1,Y,1,C,M,1,30
05EW00067,H1436,88,,100,1,Tay.,89,e31,Blue,90,95,0,2005-11-21,3,Y,0,,,1,30
05EW00068,H1443,88,,98,1,Tay.,90,e32,Purple,92,100,0,2005-11-21,3,Y,1,,,1,30
05EW00069,H1448,88,"SCOURS, PNEU.",100,1,Tay.,105,e32,Blue,108,123,0,2005-11-28,4,Y,1,C,R,1,30
05EW00070,H1451,88,,103,1,Tay.,98,e34,Purple,104,106,0,2005-11-07,1,Y,1,C,R,1,30
05EW00071,H1454,88,,96,1,Tay.,95,e33,Purple,93,116,0,2005-12-14,5,N,1,,,1,30
05EW00072,H1460,88,,106,1,Tay.,107,e34,Blue,109,110,0,2005-11-14,2,Y,1,C,M,1,30
05EW00073,H1462,88,,106,1,Tay.,108,e32,Purple,97,104,0,2005-11-07,1,Y,1,S,R,1,30
05EW00074,H1421,88,,102,1,Tay.,105,e33,Blue,104,122,0,2005-11-21,3,Y,1,S,M,1,30
05EW00075,H1425,88,HAIRY,94,1,Tay.,90,e34,Purple,100,108,0,2005-11-07,1,Y,1,S,M,1,30
05EW00076,H1426,88,WEAK LAMB,92,1,Tay.,92,e34,Blue,98,111,0,2005-11-14,2,Y,1,S,R,1,30
05EW00077,H1485,82,,105,1,Tay.,108,e33,Blue,108,109,0,2005-11-14,2,Y,0,,,1,30
05EW00078,H1490,83,SCOURS,104,1,Tay.,93,e33,Purple,95,107,0,2005-11-21,3,Y,1,S,R,1,30
05EW00079,H1492,83,,114,1,Usda,111,e23,Purple,110,131,0,2005-12-14,,,1,,,1,30
05EW00080,H1473,83,"IMM, WEAK",94,1,Tay.,96,e33,Blue,92,106,0,2005-12-14,5,N,1,,,1,30
05EW00081,H1474,83,"IMM, WEAK",92,1,Tay.,90,e34,Purple,92,94,0,2005-11-07,1,Y,1,S,R,1,30
05EW00082,H1478,88,,102,1,Tay.,98,e33,Purple,103,104,0,2005-11-07,1,Y,0,,,1,30
05EW00083,H1515,88,,102,1,Tay.,101,e34,Purple,103,108,0,2005-11-28,4,Y,1,S,M,1,30
05EW00084,H1518,88,,106,1,Tay.,108,e32,Blue,105,111,0,2005-11-14,2,Y,0,,,1,30
05EW00085,H1517,88,,118,1,Usda,110,e24,Purple,118,140,0,2005-12-14,,,1,,,1,30
05EW00086,H1500,88,HAIRY,97,1,Tay.,98,e34,Blue,100,109,0,2005-11-14,2,Y,1,S,R,1,30
05EW00087,H1530,88,,104,1,Tay.,91,e31,Blue,99,105,0,2005-11-14,2,Y,1,S,M,1,30
05EW00088,H1537,88,,104,1,Usda,75,e24,Purple,84,98,0,2005-12-14,,,1,,,1,30
05EW00089,H1543,83,4TEATS,105,1,Usda,86,e24,Purple,87,106,0,2005-12-14,,,1,,,1,30
05EW00090,H1544,83,,110,1,Tay.,87,e31,Purple,92,100,0,2005-11-07,1,Y,1,S,M,1,30
05EW00091,H1546,82,,104,1,Tay.,92,e33,Blue,101,106,0,2005-11-14,2,Y,1,S,M,1,30
05EW00092,H1549,88,,103,1,Tay.,104,e32,Blue,91,114,0,2005-12-14,5,N,1,,,1,30
05EW00093,H1547,83,,102,1,Tay.,97,e31,Blue,107,118,0,2005-11-28,4,Y,1,S,R,1,30
05EW00094,H1557,83,,94,1,Tay.,93,e34,Purple,102,103,0,2005-11-07,1,Y,1,S,M,1,30
05EW00095,H1561,88,,106,1,Tay.,103,e31,Purple,108,115,0,2005-11-07,1,Y,1,C,R,1,30
05EW00096,H1564,83,,95,1,Tay.,90,e32,Purple,96,101,0,2005-11-21,3,Y,1,C,R,1,30
05EW00097,H1562,82,,101,1,Usda,121,e23,Purple,123,130,0,2005-12-14,,,1,,,1,30
05EW00098,H1567,83,,85,1,Tay.,99,e31,Blue,92,95,0,2005-11-14,2,Y,1,C,R,1,30
05EW00099,H1520,83,,107,1,Usda,114,e23,Purple,123,138,0,2005-12-14,,,1,,,1,30
05EW00100,H1524,83,HAIRY,101,1,Tay.,87,e31,Purple,93,94,0,2005-11-07,1,Y,0,,,1,30
05EW00101,H1525,83,,105,1,Tay.,99,e32,Purple,108,118,0,2005-11-14,2,Y,1,C,R,1,30
05EW00102,H1526,82,,114,1,Usda,116,e23,Purple,119,140,0,2005-12-14,,,1,,,1,30
05EW00103,H1527,83,NICE LAMB,105,1,Tay.,99,e34,Blue,111,119,0,2005-11-14,2,Y,1,C,M,1,30
05EW00104,H1585,82,,96,1,Tay.,104,e32,Purple,107,115,0,2005-11-07,1,Y,1,C,M,1,30
05EW00105,H1591,88,,102,1,Tay.,93,e32,Blue,93,101,0,2005-11-14,2,Y,1,C,M,1,30
05EW00106,H1595,83,,107,1,Tay.,94,e34,Blue,98,106,0,2005-11-14,2,Y,1,C,M,1,30
05EW00107,H1571,82,,96,1,Usda,84,e24,Purple,87,109,0,2005-12-14,,,1,,,1,30
05EW00108,H1570,82,,98,1,Tay.,105,e33,Purple,111,113,0,2005-11-21,3,Y,1,S,R,1,30
05EW00109,H1573,88,,106,1,Usda,86,e23,Purple,90,106,0,2005-12-14,,,1,,,1,30
05EW00110,H1572,82,,98,1,Tay.,98,e31,Purple,108,119,0,2005-11-14,2,Y,1,C,R,1,30
05EW00111,H1578,83,,95,1,Tay.,92,e32,Blue,99,103,0,2005-11-14,2,Y,0,,,1,30
05EW00112,H1579,83,,97,1,Tay.,104,e33,Purple,112,131,0,2005-12-14,5,N,1,,,1,30
05EW00113,H1577,83,,95,1,Tay.,104,e33,Blue,102,107,0,2005-11-14,2,Y,1,S,R,1,30
05EW00114,H1610,83,,98,1,Tay.,100,e31,Purple,100,101,0,2005-11-07,1,Y,1,S,R,1,30
05EW00115,H1619,82,HAIRY,104,1,Tay.,105,e33,Blue,110,112,0,2005-11-14,2,Y,1,S,R,1,30
05EW00116,H1603,82,,107,1,Tay.,97,e32,Purple,101,111,0,2005-11-21,3,Y,1,C,R,1,30
05EW00117,H1606,88,,103,1,Tay.,104,e31,Blue,105,116,0,2005-11-28,4,Y,0,,,1,30
05EW00118,H1608,83,,94,1,Tay.,87,e34,Purple,82,94,0,2005-11-21,3,Y,1,C,M,1,30
05EW00119,H1633,82,,103,1,Usda,83,e23,Purple,85,105,0,2005-12-14,,,1,,,1,30
05EW00120,H1632,82,,105,1,Tay.,89,e33,Purple,95,103,0,2005-11-14,2,Y,1,,,1,30
05EW00121,H1640,88,,105,1,Tay.,86,e34,Purple,90,93,0,2005-11-07,1,Y,1,C,M,1,30
05EW00122,H1645,82,,97,1,Tay.,89,e31,Blue,94,99,0,2005-11-14,2,Y,1,C,R,1,30
05EW00123,H1648,83,HAIRY,105,1,Tay.,101,e33,Blue,108,112,0,2005-11-14,2,Y,1,S,M,1,30
05EW00124,H1651,83,,99,1,Usda,82,e24,Purple,81,98,0,2005-12-14,,,1,,,1,30
05EW00125,H1660,82,,103,1,Tay.,98,e33,Purple,95,95,0,2005-11-07,1,Y,1,C,R,1,30
05EW00126,H1665,83,,86,1,Tay.,99,e32,Blue,102,110,0,2005-11-14,2,Y,1,S,R,1,30
05EW00127,H1668,82,,97,1,Tay.,100,e34,Blue,99,112,0,2005-11-21,3,Y,1,S,M,1,30
05EW00128,H1626,82,,96,1,Tay.,90,e33,Purple,97,103,0,2005-11-07,1,Y,1,S,R,1,30
05EW00129,H1629,88,Save w/ Sale,119,1,Tay.,104,e33,Blue,111,122,0,2005-12-14,5,N,1,,,1,30
05EW00130,H1627,82,,95,1,Tay.,97,e34,Blue,98,100,0,2005-11-14,2,Y,1,S,M,1,30
05EW00131,H1680,82,,106,1,Usda,112,e24,Purple,103,124,0,2005-12-14,,,1,,,1,30
05EW00132,H1683,88,,111,1,Usda,85,e24,Purple,90,115,0,2005-12-14,,,1,,,1,30
05EW00133,H1684,88,,112,1,Tay.,91,e31,Purple,92,102,0,2005-11-14,2,Y,1,S,R,1,30
05EW00134,H1696,88,,102,1,Tay.,88,e31,Blue,96,99,0,2005-11-14,2,Y,1,C,M,1,30
05EW00135,H1698,82,4TEATS,112,1,Tay.,95,e31,Purple,104,115,0,2005-11-14,2,Y,1,C,M,1,30
05EW00136,H1699,82,,109,1,Tay.,93,e32,Purple,101,109,0,2005-11-07,1,Y,1,S,M,1,30
05EW00137,H1697,88,,102,1,Tay.,93,e33,Purple,101,104,0,2005-11-21,3,Y,0,,,1,30
05EW00138,H1674,83,HAIRY,114,1,Tay.,102,e33,Blue,115,127,0,2005-11-14,2,Y,0,,,1,30
05EW00139,H1672,83,,113,1,Tay.,102,e34,Purple,108,110,0,2005-11-14,2,Y,1,C,R,1,30
05EW00140,H1678,82,,107,1,Tay.,107,e34,Blue,103,110,0,2005-11-14,2,Y,1,,,1,30
05EW00141,H1810,83,,110,1,Tay.,97,e33,Purple,100,111,0,2005-11-21,3,Y,1,S,R,1,30
05EW00142,H1813,88,4TEATS,101,1,Tay.,93,e32,Purple,95,113,0,2005-11-21,3,Y,1,C,M,1,30
05EW00143,H1804,82,,104,1,Tay.,87,e34,Blue,92,94,0,2005-11-28,4,Y,0,,,1,30
05EW00144,H1806,82,,105,1,Tay.,86,e32,Blue,83,92,0,2005-11-14,2,Y,0,,,1,30
05EW00145,H1808,82,,102,1,Tay.,94,e33,Blue,90,114,0,2005-12-14,5,N,0,,,1,30
05EW00146,H1809,82,,105,1,Tay.,100,e34,Purple,103,106,0,2005-11-07,1,Y,1,S,R,1,30
05EW00147,H1807,82,,108,1,Tay.,95,e33,Purple,100,105,0,2005-11-07,1,Y,1,C,M,1,30
05EW00148,H1830,83,,98,1,Tay.,107,e31,Blue,100,123,0,2005-11-14,2,Y,0,,,1,30
05EW00149,H1839,83,,106,1,Tay.,95,e32,Purple,98,100,0,2005-11-07,1,Y,1,,,1,30
05EW00150,H1844,82,,98,1,Tay.,89,e32,Blue,94,108,0,2005-11-28,4,Y,1,C,M,1,30
05EW00151,H1847,83,,107,1,Tay.,101,e34,Blue,102,113,0,2005-11-14,2,Y,1,C,R,1,30
05EW00152,H1850,82,,111,1,Tay.,106,e33,Purple,112,127,0,2005-11-21,3,Y,0,,,1,30
05EW00153,H1855,83,,101,1,Tay.,101,e32,Purple,101,112,0,2005-11-21,3,Y,1,C,R,1,30
05EW00154,H1857,83,,94,1,Tay.,92,e33,Blue,91,113,0,2005-12-14,5,N,1,,,1,30
05EW00155,H1862,82,,94,1,Tay.,100,e34,Purple,104,106,0,2005-11-14,2,Y,1,C,M,1,30
05EW00156,H1869,82,,113,1,Tay.,100,e31,Purple,108,109,0,2005-11-07,1,Y,1,C,M,1,30
05EW00157,H1824,82,,121,1,Tay.,99,e32,Blue,106,120,0,2005-11-21,3,Y,1,S,M,1,30
05EW00158,H1822,82,4TEATS,118,1,Tay.,93,e31,Purple,106,118,0,2005-11-21,3,Y,1,S,R,1,30
05EW00159,H1828,88,,112,1,Tay.,99,e33,Blue,109,131,0,2005-11-14,2,Y,1,S,R,1,30
05EW00160,H1898,88,NICE LAMB,108,1,Tay.,100,e34,Blue,113,123,0,2005-11-28,4,Y,1,S,M,1,30
05EW00161,H1897,88,,116,1,Tay.,102,e32,Blue,108,124,0,2005-11-28,4,Y,1,S,R,1,30
05EW00162,H1870,83,,101,1,Tay.,105,e33,Purple,110,120,0,2005-11-28,4,Y,1,C,R,1,30
05EW00163,H1876,82,,95,1,Tay.,93,e33,Blue,85,91,0,2005-11-14,2,Y,1,,,1,30
05EW00164,H1915,88,HAIRY,109,1,Tay.,95,e31,Purple,104,107,0,2005-11-07,1,Y,1,C,R,1,30
05EW00165,H1916,88,,114,1,Usda,114,e24,Purple,117,141,0,2005-12-14,,,1,,,1,30
05EW00166,H1917,82,WEAK LAMB,100,1,Tay.,100,e33,Purple,95,101,0,2005-11-21,3,Y,0,,,1,30
05EW00167,H1903,88,,108,1,Tay.,91,e34,Purple,96,104,0,2005-11-28,4,Y,1,C,M,1,30
05EW00168,H1904,88,ENTROPION,115,1,Tay.,105,e31,Blue,114,124,0,2005-11-21,3,Y,1,,,1,30
05EW00169,H1930,88,HAIRY,113,1,Tay.,101,e33,Blue,101,102,0,2005-11-28,4,Y,1,S,M,1,30
05EW00170,H1943,82,,106,1,Tay.,94,e34,Purple,98,106,0,2005-11-21,3,Y,1,C,R,1,30
05EW00171,H1948,82,,98,1,Tay.,108,e34,Blue,111,118,0,2005-11-28,4,Y,1,S,R,1,30
05EW00172,H1956,83,,106,1,Tay.,92,e31,Blue,98,107,0,2005-11-21,3,Y,1,S,M,1,30
05EW00173,H1957,83,,104,1,Tay.,86,e32,Purple,93,111,0,2005-11-21,3,Y,1,S,R,1,30
05EW00174,H1960,82,4TEATS,112,1,Tay.,92,e34,Purple,89,101,0,2005-11-21,3,Y,1,C,M,1,30
05EW00175,H1968,83,4TEATS,113,1,Tay.,102,e34,Blue,105,109,0,2005-11-14,2,Y,0,,,1,30
05EW00176,H1921,88,,117,1,Tay.,105,e32,Blue,100,112,0,2005-11-28,4,Y,1,,,1,30
05EW00177,H1920,88,,108,1,Tay.,94,e32,Purple,92,98,0,2005-11-07,1,Y,1,S,R,1,30
05EW00178,H1922,88,,119,1,Tay.,107,e34,Blue,109,122,0,2005-11-14,2,Y,1,S,M,1,30
05EW00179,H1987,88,,105,1,Usda,81,e23,Purple,85,103,0,2005-12-14,,,1,,,1,30
05EW00180,H1991,82,,102,1,Tay.,95,e32,Blue,98,106,0,2005-11-21,3,Y,1,C,R,1,30
05EW00181,H1990,82,,107,1,Tay.,105,e31,Purple,109,119,0,2005-11-28,4,Y,1,C,M,1,30
05EW00182,H1970,83,,108,1,Tay.,92,e34,Purple,92,102,0,2005-11-21,3,Y,1,S,R,1,30
05EW00183,H1975,82,4TEATS,102,1,Tay.,97,e34,Blue,98,108,0,2005-11-21,3,Y,1,C,M,1,30
05EW00184,H1717,82,,111,1,Tay.,88,e31,Purple,98,110,0,2005-11-28,4,Y,0,,,1,30
05EW00185,H1701,88,,93,1,Tay.,91,e31,Blue,89,95,0,2005-11-14,2,Y,1,,,1,30
05EW00186,H1731,82,4TEATS,107,1,Tay.,88,e33,Blue,92,99,0,2005-11-21,3,Y,1,C,M,1,30
05EW00187,H1730,82,,108,1,Tay.,88,e32,Blue,91,96,0,2005-11-14,2,Y,1,S,M,1,30
05EW00188,H1733,82,,107,1,Tay.,86,e32,Purple,92,94,0,2005-11-07,1,Y,1,S,M,1,30
05EW00189,H1732,82,,107,1,Tay.,89,e34,Blue,93,100,0,2005-11-14,2,Y,1,C,M,1,30
05EW00190,H1747,82,,113,1,Usda,124,e24,Purple,129,149,0,2005-12-14,,,1,,,1,30
05EW00191,H1759,82,NICE,104,1,Usda,118,e24,Purple,119,129,0,2005-12-14,,,1,,,1,30
05EW00192,H1761,82,,93,1,Tay.,95,e31,Blue,101,113,0,2005-11-28,4,Y,1,S,M,1,30
05EW00193,H1764,88,,110,1,Tay.,102,e32,Blue,108,116,0,2005-11-14,2,Y,0,,,1,30
05EW00194,H1762,88,,109,1,Tay.,99,e34,Purple,107,109,0,2005-11-07,1,Y,1,C,R,1,30
05EW00195,H1767,83,FX. LEG EUTH.,96,1,Tay.,90,e31,Purple,97,0,0,,5,N,X,,,1,30
05EW00196,H1724,83,,93,1,Tay.,92,e34,Purple,105,106,0,2005-11-21,3,Y,1,S,M,1,30
05EW00197,H1725,82,,98,1,Usda,111,e24,Purple,122,146,0,2005-12-14,,,1,,,1,30
05EW00198,H1727,88,,117,1,Usda,111,e23,Purple,107,136,0,2005-12-14,,,1,,,1,30
05EW00199,H1782,88,,103,1,Usda,110,e23,Purple,112,132,0,2005-12-14,,,1,,,1,30
05EW00200,H1787,83,PINK,110,1,Tay.,97,e32,Purple,103,114,0,2005-11-21,3,Y,1,C,R,1,30
05EW00201,H1795,82,,99,1,Tay.,103,e33,Blue,109,115,0,2005-11-14,2,Y,1,S,M,1,30
05EW00202,H1799,82,HAIRY,96,1,Tay.,94,e31,Blue,97,111,0,2005-11-14,2,Y,0,,,1,30
05EW00203,H1770,88,,104,1,Tay.,96,e33,Purple,91,107,0,2005-11-21,3,Y,0,,,1,30
05EW00204,H1772,88,,105,1,Tay.,94,e31,Blue,97,108,0,2005-11-14,2,Y,0,,,1,30
05EW00205,H1778,83,,115,1,Tay.,103,e31,Purple,108,120,0,2005-11-21,3,Y,1,C,R,1,30
05EW00206,H2116,83,4TEATS,110,1,Tay.,93,e32,Purple,99,112,0,2005-11-21,3,Y,1,C,R,1,30
05EW00207,H2119,82,,112,1,Tay.,96,e31,Blue,97,107,0,2005-12-14,5,N,1,,,1,30
05EW00208,H2133,82,,106,1,Tay.,87,e31,Purple,96,101,0,2005-11-07,1,Y,1,,,1,30
05EW00209,H2136,82,,103,1,Tay.,94,e33,Blue,107,112,0,2005-11-28,4,Y,0,,,1,30
05EW00210,H2132,82,,103,1,Tay.,88,e34,Blue,92,96,0,2005-11-28,4,Y,1,S,R,1,30
05EW00211,H2149,82,,96,1,Tay.,97,e31,Blue,95,106,0,2005-11-28,4,Y,1,C,R,1,30
05EW00212,H2151,82,,111,1,Tay.,94,e31,Purple,102,107,0,2005-11-28,4,Y,1,S,R,1,30
05EW00213,H2150,82,,113,1,Tay.,98,e34,Purple,96,98,0,2005-11-07,1,Y,1,S,M,1,30
05EW00214,H2152,82,,109,1,Tay.,103,e34,Blue,110,117,0,2005-11-14,2,Y,1,C,R,1,30
05EW00215,H2158,82,HAIRY,119,1,Tay.,106,e32,Purple,112,126,0,2005-11-21,3,Y,1,S,M,1,30
05EW00216,H2163,82,,97,1,Tay.,91,e34,Purple,93,105,0,2005-11-28,4,Y,1,S,M,1,30
05EW00217,H2166,88,,105,1,Tay.,98,e33,Blue,110,119,0,2005-11-14,2,Y,1,,,1,30
05EW00218,H2162,82,,102,1,Tay.,95,e33,Purple,100,102,0,2005-11-14,2,Y,1,C,R,1,30
05EW00219,H2128,82,HAIRY,115,1,Tay.,95,e32,Blue,99,105,0,2005-11-14,2,Y,1,S,M,1,30
05EW00220,H2189,88,,104,1,Usda,84,e23,Purple,83,104,0,2005-12-14,,,1,,,1,30
05EW00221,H2187,83,,93,1,Tay.,91,e33,Blue,93,96,0,2005-11-14,2,Y,1,,,1,30
05EW00222,H2173,82,,97,1,Tay.,90,e32,Blue,94,103,0,2005-11-14,2,Y,1,S,R,1,30
05EW00223,H2175,82,,103,1,Tay.,99,e32,Purple,98,114,0,2005-11-21,3,Y,1,S,R,1,30
05EW00224,H2179,83,,103,1,Tay.,91,e33,Purple,93,103,0,2005-11-07,1,Y,1,S,R,1,30
05EW00225,H2014,82,,108,1,Tay.,101,e31,Blue,111,122,0,2005-11-14,2,Y,1,C,M,1,30
05EW00226,H2018,83,,92,1,Tay.,91,e31,Purple,89,100,0,2005-11-28,4,Y,1,C,M,1,30
05EW00227,H2034,82,,109,1,Usda,82,e23,Purple,91,120,0,2005-12-14,,,1,,,1,30
05EW00228,H2036,82,,104,1,Usda,82,e24,Purple,83,96,0,2005-12-14,,,1,,,1,30
05EW00229,H2045,88,,104,1,Tay.,86,e34,Purple,92,98,0,2005-11-21,3,Y,1,S,M,1,30
05EW00230,H2058,88,ENTROPION,108,1,Tay.,103,e31,Blue,109,116,0,2005-11-14,2,Y,0,,,1,30
05EW00231,H2063,88,,105,1,Tay.,89,e32,Purple,102,109,0,2005-11-07,1,Y,1,S,M,1,30
05EW00232,H2067,83,,101,1,Tay.,91,e32,Blue,91,107,0,2005-11-28,4,Y,1,S,M,1,30
05EW00233,H2091,88,,119,1,Usda,85,e23,Purple,93,104,0,2005-12-14,,,1,,,1,30
05EW00234,H2093,88,GAUNT,98,1,Tay.,87,e31,Purple,100,109,0,2005-11-07,1,Y,1,C,R,1,30
05EW00235,H2097,82,,98,1,Tay.,87,e33,Purple,83,105,0,2005-12-14,5,N,1,,,1,30
05EW00236,K3310,68,4TEATS,95,1,Usda,108,e11,Purple,108,121,0,2005-12-14,,,1,,,1,06
05EW00237,K3314,68,,84,1,Usda,84,e12,Purple,93,122,0,2005-12-14,,,1,,,1,06
05EW00238,K3301,68,"4TEATS, URI",100,1,Usda,102,e14,Purple,107,134,0,2005-12-14,,,0,,,1,06
05EW00239,K3305,68,,94,1,Usda,116,e11,Purple,124,141,0,2005-12-14,,,1,,,1,06
