UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,TIME,C5152,CADAM_25,SIRE,SB1,LBRD,IDX,LNDAM,TM,C67,BAND,ADG,BRWT,ABN,TIME_14,CADAM_12,TBRE,CTBR,TM2,DISP
59WN00016,59,2,2232,0,69,610,1968,0,10,,1,3,78,138,2,1,08,1,97,08,04,05,06,039,16,2,2,1,04,,3,5038,1,10,161,69,5,,1,623,110,,2,1,1,1,5,
59WN00017,59,2,2233,0,69,248,2028,0,10,,1,2,78,138,2,3,09,1,81,10,04,07,09,045,14,2,2,1,09,,2,4073,1,10,155,69,4,,1,510,106,,4,2,1,1,4,
59WN00018,59,1,2234,0,69,268,2035,0,10,,1,2,78,138,2,7,10,2,92,12,05,08,07,038,12,2,2,1,06,,2,3829,2,10,142,69,4,,1,580,120,,3,2,1,1,4,9
59WN00019,59,2,2235,0,69,550,1972,0,10,,1,3,77,137,1,1,08,2,91,11,10,07,05,044,14,2,2,1,04,,3,4899,1,10,120,69,5,,1,588,104,,2,1,1,1,5,2
59WN00020,59,1,2236,0,69,368,1691,0,10,,1,7,77,137,1,7,10,1,99,11,04,08,08,044,13,2,2,1,08,,5,2377,2,10,158,68,4,,1,645,106,,3,1,1,1,4,
59WN00021,59,2,2237,0,69,590,1712,0,10,,1,5,76,136,2,3,07,1,94,10,06,07,06,041,13,2,2,1,07,,4,4585,1,10,143,69,5,,1,610,110,1,3,1,1,1,5,3
59WN00022,59,1,2238,0,69,248,1655,0,10,,4,7,82,142,2,5,10,6,94,10,05,08,06,044,9,2,3,2,06,,5,4073,1,10,143,68,4,,2,592,100,,3,1,3,3,4,9
59WN00023,59,1,2239,0,69,248,1655,0,10,,3,7,76,136,2,7,12,2,104,12,06,08,07,041,16,2,4,3,01,,5,4073,1,10,147,68,4,,1,676,120,,1,1,3,3,4,9
59WN00024,59,1,2240,0,69,570,1828,0,10,,5,4,76,136,1,7,11,6,67,12,05,11,10,028,18,2,2,1,02,,4,5017,1,10,118,69,5,,1,425,92,,1,1,5,2,5,9
59WN00025,59,2,2241,0,69,570,1828,0,10,,5,4,76,136,1,3,08,2,61,11,04,10,08,045,13,2,2,1,05,,4,5017,1,10,132,69,5,,1,397,70,,2,1,5,2,5,2
59WN00026,59,1,2242,0,69,620,1966,0,10,,1,3,76,136,2,7,10,1,96,12,04,08,08,043,18,2,2,1,02,,3,4687,1,10,145,69,5,,1,628,106,,1,1,1,1,5,9
59WN00027,59,2,2243,0,69,508,2072,0,10,,1,2,75,135,1,3,09,1,75,11,04,09,08,036,12,1,1,1,07,,2,1705,2,10,137,69,4,,1,483,98,,3,2,1,1,4,2
59WN00028,59,2,2244,0,69,348,1688,0,10,,1,7,75,135,2,3,08,1,79,08,04,08,06,040,18,2,3,2,02,,5,4978,1,10,142,68,4,,1,501,114,,1,1,1,1,4,
59WN00029,59,1,2245,0,69,580,1919,0,10,,1,3,75,135,2,7,09,1,96,11,11,08,06,038,18,2,2,1,06,,3,4610,1,10,120,69,5,,1,612,134,,3,1,1,1,5,9
59WN00030,59,1,2246,0,69,518,2073,0,10,,1,2,75,135,2,7,10,2,86,13,06,09,07,042,14,2,2,1,06,,2,2374,2,10,132,69,4,,1,547,122,,3,2,1,1,4,9
59WN00031,59,2,2247,0,69,468,2003,0,10,,1,2,75,135,2,4,11,3,75,11,03,09,07,041,18,1,2,2,01,,2,1575,2,10,138,69,4,,1,481,100,,1,2,1,1,4,2
59WN00032,59,2,2248,0,69,550,1803,0,10,,1,4,75,135,2,3,08,1,93,08,04,07,05,045,13,2,2,1,04,,4,4899,1,10,160,69,5,,1,609,108,,2,1,1,1,5,
59WN00033,59,2,2249,0,69,630,1733,0,10,,5,5,74,134,2,1,08,1,83,10,04,05,07,044,13,2,2,1,07,,4,1857,2,10,156,69,5,,1,536,112,,3,1,5,2,5,
59WN00034,59,2,2250,0,69,630,1733,0,10,,5,5,74,134,3,1,10,1,57,12,04,13,11,033,12,2,2,1,08,,4,1857,2,10,124,69,5,,1,340,114,,3,1,5,2,5,2
59WN00035,59,1,2251,0,69,198,1778,0,10,,1,5,74,134,2,7,11,1,84,11,05,11,10,038,16,2,2,1,10,,4,4179,1,10,141,69,4,,1,533,126,,4,1,1,1,4,3
59WN00036,59,2,2252,0,69,610,1857,0,10,,1,4,74,134,2,3,08,1,88,10,04,07,06,045,14,2,3,2,05,,4,5038,1,10,149,69,5,,1,582,100,,2,1,1,1,5,
59WN00037,59,2,2253,0,69,650,1812,0,10,,5,4,74,134,3,1,10,1,78,09,04,09,08,036,13,2,2,1,04,,4,4033,2,10,153,69,5,,1,510,96,,2,1,5,2,5,
59WN00038,59,2,2254,0,69,650,1812,0,10,,5,4,74,134,1,1,09,1,72,08,04,09,08,045,16,2,2,1,07,,4,4033,2,10,159,69,5,,1,451,116,,3,1,5,2,5,
59WN00039,59,1,2255,0,69,458,2001,0,10,,1,2,74,134,1,7,08,1,96,08,05,09,07,038,12,2,2,1,02,,2,2926,2,10,165,69,4,,1,634,110,,1,2,1,1,4,9
59WN00040,59,2,2256,0,69,348,1935,0,10,,1,3,74,134,2,3,10,1,77,08,05,09,08,035,18,2,3,2,07,,3,4978,1,10,143,69,4,,1,500,100,,3,1,1,1,4,
59WN00041,59,2,2257,0,69,368,1962,0,10,,1,3,74,134,2,4,10,1,85,09,04,09,07,039,18,2,2,1,04,,3,2377,2,10,149,69,4,,1,561,98,,2,1,1,1,4,
59WN00042,59,1,2258,0,69,580,1817,0,10,,5,4,73,133,2,7,09,1,69,12,04,10,09,042,11,2,2,1,07,,4,4610,1,10,136,69,5,,1,429,120,,3,1,5,2,5,
59WN00043,59,1,2259,0,69,580,1817,0,10,,5,4,73,133,2,7,08,1,60,12,05,12,10,037,14,1,1,1,10,,4,4610,1,10,123,69,5,,1,373,104,,4,1,5,2,5,9
59WN00044,59,2,2260,0,69,268,1673,0,10,,5,7,73,133,2,4,09,1,74,10,04,07,07,038,14,1,2,2,01,,5,3829,2,10,139,68,4,,1,481,100,,1,1,5,2,4,2
59WN00045,59,2,2261,0,69,268,1673,0,10,,5,7,73,133,2,3,09,1,68,08,04,08,07,040,16,2,2,1,08,,5,3829,2,10,149,68,4,,1,445,88,,3,1,5,2,4,
59WN00046,59,1,2262,0,69,550,1893,0,10,,1,3,73,133,2,7,09,2,94,13,07,09,08,037,13,2,2,1,03,,3,4899,1,10,125,69,5,,1,602,140,,1,1,1,1,5,3
59WN00047,59,1,2263,0,69,258,1874,0,10,,1,4,73,133,2,7,09,1,86,11,04,11,09,044,16,2,2,1,10,,4,2805,2,10,149,69,4,,1,549,130,,4,1,1,1,4,9
59WN00048,59,1,2264,0,69,358,1952,0,10,,5,3,72,132,1,7,10,2,68,07,04,10,12,033,14,2,2,1,01,,3,3327,2,10,159,69,4,,1,447,90,,1,1,5,2,4,9
59WN00049,59,2,2265,0,69,358,1952,0,10,,5,3,72,132,2,3,08,1,71,10,04,10,07,041,16,2,2,1,05,,3,3327,2,10,143,69,4,,1,471,88,,2,1,5,2,4,
59WN00050,59,2,2266,0,69,448,1696,0,10,,1,7,72,132,2,1,10,1,101,11,11,07,04,037,14,2,2,1,02,,5,3776,2,10,117,68,4,,1,658,142,,1,1,1,1,4,2
59WN00051,59,2,2267,0,69,258,2031,0,10,,1,2,72,132,2,1,08,2,89,09,05,09,06,046,13,2,2,1,03,,2,2805,2,10,157,69,4,,1,595,104,,1,2,1,1,4,
59WN00052,59,1,2268,0,69,328,2041,0,10,,1,2,72,132,2,4,09,1,70,12,05,10,10,035,18,2,2,1,04,,2,4657,1,10,130,69,4,,1,455,100,,2,2,1,1,4,3
59WN00053,59,2,2269,0,69,600,1806,0,10,,1,4,71,131,1,4,09,1,75,11,10,09,08,048,12,2,2,1,10,,4,4668,1,10,117,69,5,,1,487,112,,4,1,1,1,5,2
59WN00054,59,2,2270,0,69,670,1931,0,10,,1,3,71,131,2,1,09,1,90,09,04,08,06,044,14,2,2,1,05,,3,2928,2,10,157,69,5,,1,597,118,,2,1,1,1,5,
59WN00055,59,2,2271,0,69,420,1751,0,10,,1,5,71,131,2,4,10,6,79,13,04,08,08,040,14,1,2,2,07,,4,3524,1,10,128,69,4,,1,501,134,,3,1,1,1,4,3
59WN00056,59,2,2272,0,69,478,2005,0,10,,1,2,71,131,2,3,09,1,66,12,04,09,08,041,14,2,3,2,02,,2,2461,2,10,125,69,4,,1,421,108,,1,2,1,1,4,2
59WN00057,59,2,2273,0,69,640,1867,0,10,,1,4,71,131,1,1,11,1,94,09,04,07,06,050,13,2,2,1,10,,4,3136,2,10,164,69,5,,1,614,136,,4,1,1,1,5,
59WN00058,59,2,2274,0,69,420,1731,0,10,,5,5,71,131,1,4,08,1,67,09,04,09,09,040,16,2,2,1,07,,4,3524,1,10,149,69,4,,1,435,100,,3,1,5,2,4,2
59WN00059,59,1,2275,0,69,620,1731,0,10,,5,5,71,131,2,7,10,6,63,09,04,12,12,038,12,2,2,1,10,,4,3524,1,10,151,69,4,,1,412,90,,4,1,5,2,4,9
59WN00060,59,1,2276,0,69,680,1844,0,10,,4,4,71,131,2,4,10,2,96,08,12,09,07,039,16,2,2,1,04,,4,3198,2,10,142,69,5,,1,667,86,,2,1,3,3,5,9
59WN00061,59,1,2277,0,69,680,1844,0,10,,3,4,71,131,2,6,10,1,84,09,05,10,08,040,18,2,2,1,05,,4,3198,2,10,155,69,5,,1,557,110,,2,1,3,3,5,9
59WN00062,59,1,2278,0,69,238,1653,0,10,,5,7,70,130,1,7,10,1,79,13,04,09,07,025,14,1,2,2,04,,5,0120,1,10,126,68,4,,1,522,112,,2,1,5,2,4,3
59WN00063,59,2,2279,0,69,238,1653,0,10,,5,7,70,130,2,2,10,1,77,12,11,09,08,030,18,2,3,2,01,,5,0120,1,10,106,68,4,,1,512,104,,1,1,5,2,4,2
59WN00064,59,1,2280,0,69,288,1676,0,10,,1,7,69,129,2,7,09,1,98,10,04,07,07,041,13,3,3,1,03,,5,2775,2,10,157,68,4,,1,629,168,,1,1,1,1,4,
59WN00065,59,2,2281,0,69,358,2047,0,10,,1,2,69,129,1,3,08,1,75,10,04,10,08,036,12,2,2,1,04,,2,3327,2,10,146,69,4,,1,501,104,,2,2,1,1,4,
59WN00066,59,1,2282,0,69,508,2017,0,10,,1,2,69,129,1,7,10,1,75,11,05,10,08,034,18,1,1,1,05,,2,1705,2,10,135,69,4,,1,495,112,,2,2,1,1,4,3
59WN00067,59,2,2283,0,69,478,2061,0,10,,1,2,69,129,1,2,10,2,74,08,04,08,07,035,13,2,2,1,08,,2,2461,2,10,151,69,4,,1,488,110,,3,2,1,1,4,
59WN00068,59,2,2284,0,69,560,1967,0,10,,1,3,69,129,3,3,07,1,65,09,05,09,08,043,12,1,2,2,07,,3,5028,1,10,134,69,5,,1,423,104,,3,1,1,1,5,2
59WN00069,59,1,2285,0,69,408,1999,0,10,,1,2,69,129,1,7,11,1,100,11,14,09,08,034,18,1,2,2,07,,2,3087,2,10,127,69,4,,1,674,130,,3,2,1,1,4,9
59WN00070,59,2,2286,0,69,478,1792,0,10,,4,6,68,128,1,2,09,1,71,11,08,11,09,035,14,2,2,1,10,,4,2461,2,10,121,68,4,,1,495,76,,4,1,3,3,4,2
59WN00071,59,1,2287,0,69,478,1792,0,10,,3,6,68,128,1,7,11,2,89,10,04,10,08,036,14,2,2,1,07,,4,2461,2,10,157,68,4,,1,628,86,,3,1,3,3,4,
59WN00072,59,2,2288,0,69,580,1710,0,10,,3,5,74,134,2,3,09,1,95,12,04,08,05,041,20,2,2,1,03,,4,4610,1,10,134,69,5,,2,643,88,,1,1,3,3,5,2
59WN00073,59,1,2290,0,69,690,1868,0,10,,5,4,68,128,2,6,11,2,85,08,05,09,09,039,13,2,2,1,10,,4,2933,2,10,168,69,5,,1,586,100,,4,1,5,2,5,9
59WN00074,59,1,2291,0,69,690,1868,0,10,,5,4,68,128,2,4,11,1,74,10,05,10,09,039,13,2,2,1,10,,4,2933,2,10,148,69,5,,1,503,96,,4,1,5,2,5,9
59WN00075,59,1,2292,0,69,498,1760,0,10,,5,5,74,134,1,7,13,1,69,11,04,12,10,031,13,2,2,1,09,,4,3253,2,10,128,69,4,,2,440,100,,4,1,5,2,4,3
59WN00076,59,2,2293,0,69,498,1760,0,10,,5,5,74,134,2,3,12,1,72,09,04,10,08,041,14,2,2,1,09,,4,3253,2,10,143,69,4,,2,473,86,,4,1,5,2,4,
59WN00077,59,2,2294,0,69,660,1822,0,10,,3,4,68,128,3,1,08,1,66,10,04,09,09,053,12,2,3,2,10,,4,3963,2,10,148,69,5,,1,447,88,,4,1,3,3,5,
59WN00078,59,2,2296,0,69,218,1781,0,10,,1,5,68,128,2,1,08,1,88,13,07,07,06,043,12,2,2,1,08,,4,4650,1,10,124,69,4,,1,597,116,,3,1,1,1,4,2
59WN00079,59,2,2297,0,69,378,1692,0,10,,1,7,68,128,2,3,08,6,83,08,04,08,07,041,16,2,3,2,02,,5,2427,2,10,153,68,4,,1,559,114,0,1,1,1,1,4,3
59WN00080,59,1,2298,0,69,228,1789,0,10,,1,5,67,127,2,7,11,1,98,08,08,08,06,035,13,2,2,1,03,,4,3843,2,10,146,69,4,,1,669,130,,1,1,1,1,4,9
59WN00081,59,1,2299,0,69,590,1821,0,10,,1,4,67,127,1,7,09,2,106,09,07,08,07,042,11,2,2,1,05,,4,4585,1,10,165,69,5,,1,737,124,,2,1,1,1,5,9
59WN00082,59,2,2300,0,69,498,2012,0,10,,1,2,67,127,2,4,09,1,68,10,06,10,08,037,16,1,2,2,08,,2,3253,2,10,133,69,4,,1,444,116,,3,2,1,1,4,2
59WN00083,59,2,2303,0,69,198,1644,0,10,,4,8,73,133,1,3,08,1,72,11,04,09,09,036,18,2,2,1,07,,5,4179,1,10,127,68,4,,2,486,74,,3,1,3,3,4,2
59WN00084,59,2,2304,0,69,640,1758,0,10,,5,5,73,133,2,1,12,1,74,09,04,11,08,036,13,2,2,1,07,,4,3136,2,10,142,69,5,,2,484,96,,3,1,5,2,5,
59WN00085,59,1,2305,0,69,640,1758,0,10,,5,5,73,133,1,2,11,2,77,10,04,10,09,037,14,2,2,1,04,,4,3136,2,10,143,69,5,,2,502,102,,2,1,5,2,5,3
59WN00086,59,1,2306,0,69,398,1694,0,10,,1,7,73,133,2,7,10,2,109,09,13,09,07,040,18,2,2,1,05,,5,0396,2,10,134,68,4,,2,726,124,,2,1,1,1,4,3
59WN00087,59,1,2308,0,69,408,1695,0,10,,3,7,72,132,2,7,12,2,97,10,05,09,08,037,12,2,2,1,01,,5,3087,2,10,148,68,4,,2,650,112,,1,1,3,3,4,9
59WN00088,59,1,2310,0,69,458,1697,0,10,,4,7,72,132,2,7,11,1,97,10,07,09,07,041,11,2,2,1,07,,5,2926,2,10,145,68,4,,2,653,108,,3,1,3,3,4,9
59WN00089,59,2,2311,0,69,218,1647,0,10,,1,8,72,132,1,1,08,1,75,11,04,08,06,051,11,2,2,1,06,,5,4650,1,10,128,68,4,,2,495,96,,3,1,1,1,4,2
59WN00090,59,2,2312,0,69,420,2075,0,10,,1,2,72,132,1,3,12,1,90,08,04,09,08,039,14,2,2,1,03,,2,3524,1,10,159,69,4,,2,595,114,,1,2,1,1,4,
59WN00091,59,1,2313,0,69,268,1887,0,10,,1,4,72,132,2,7,10,2,104,10,05,08,07,042,12,2,2,1,09,,4,3829,2,10,154,69,4,,2,692,126,,4,1,1,1,4,9
59WN00092,59,1,2314,0,69,700,1915,0,10,,1,3,72,132,1,7,09,2,79,11,11,09,09,034,13,1,2,2,08,,3,3891,2,10,103,69,5,,2,515,110,,3,1,1,1,5,3
59WN00093,59,1,2315,0,69,670,1724,0,10,,1,5,71,131,1,6,11,3,109,09,07,09,09,044,16,2,2,1,06,,4,2928,2,10,165,69,5,,2,716,152,,3,1,1,1,5,3
59WN00094,59,1,2316,0,69,420,1719,0,10,,3,5,71,131,2,7,11,6,101,09,04,09,09,036,16,2,2,1,07,,4,3524,1,10,167,69,4,,2,693,102,,3,1,3,3,4,3
59WN00095,59,1,2317,0,69,660,1719,0,10,,4,5,71,131,1,7,11,6,92,13,05,09,07,040,12,2,2,1,04,,4,3524,1,10,132,69,4,,2,621,106,,2,1,3,3,4,9
59WN00096,59,2,2318,0,69,590,1942,0,10,,5,3,71,131,1,3,07,1,76,08,04,08,06,050,9,8,9,2,09,,3,4585,1,10,154,69,5,,2,505,98,,4,1,5,2,5,2
59WN00097,59,1,2319,0,69,590,1942,0,10,,5,3,71,131,2,7,09,1,69,09,04,10,10,044,9,4,4,1,08,,3,4585,1,10,149,69,5,,2,463,84,,3,1,5,2,5,9
59WN00098,59,2,2320,0,69,378,1979,0,10,,5,3,71,131,1,3,10,1,76,09,04,08,07,039,11,2,2,1,09,,3,2427,2,10,144,69,4,,2,511,90,,4,1,5,2,4,
59WN00099,59,1,2321,0,69,378,1979,0,10,,5,3,71,131,2,7,09,2,69,10,04,12,12,035,11,2,2,1,04,,3,2427,2,10,143,69,4,,2,443,110,,2,1,5,2,4,9
59WN00100,59,2,2322,0,69,238,1869,0,10,,5,4,71,131,2,1,10,1,74,15,05,11,10,033,13,2,2,1,06,,4,0120,1,10,113,69,4,,2,501,84,,3,1,5,2,4,2
59WN00101,59,2,2323,0,69,238,1869,0,10,,5,4,71,131,1,4,10,1,73,11,09,10,08,037,16,1,2,2,04,,4,0120,1,10,115,69,4,,2,505,68,,2,1,5,2,4,2
59WN00102,59,1,2324,0,69,258,1666,0,10,,1,7,71,131,2,7,12,2,100,14,05,09,07,036,16,1,2,2,07,,5,2805,2,10,127,68,4,,2,669,124,,3,1,1,1,4,9
59WN00103,59,1,2325,0,69,600,1898,0,10,,1,3,70,130,3,7,10,2,92,09,05,10,09,041,16,2,2,1,06,,3,4668,1,10,154,69,5,,2,615,120,,3,1,1,1,5,3
59WN00104,59,1,2326,0,69,408,2053,0,10,,1,2,69,129,1,7,09,2,88,11,07,09,07,038,11,2,2,1,09,,2,3087,2,10,132,69,4,,2,591,118,,4,2,1,1,4,9
59WN00105,59,1,2327,0,69,358,1690,0,10,,3,7,69,129,2,7,10,1,113,13,11,10,05,040,14,2,2,1,05,,5,3327,2,10,127,68,4,,2,774,132,2,2,1,3,3,4,9
59WN00106,59,2,2328,0,69,398,2052,0,10,,1,2,69,129,2,1,09,1,86,09,04,10,06,045,16,2,2,1,04,,2,0396,2,10,155,69,4,,2,583,108,,2,2,1,1,4,
59WN00107,59,2,2329,0,69,498,2069,0,10,,1,2,69,129,1,3,12,1,80,09,07,10,07,033,14,2,2,1,06,,2,3253,2,10,132,69,4,,2,532,114,,3,2,1,1,4,2
59WN00108,59,1,2330,0,69,518,1762,0,10,,1,5,68,128,1,7,09,4,92,10,05,09,09,045,16,2,2,1,02,,4,2374,2,10,148,69,4,,2,619,128,,1,1,1,1,4,9
59WN00109,59,2,2331,0,69,248,1873,0,10,,5,4,68,128,2,3,12,1,74,09,04,11,08,038,13,2,2,1,02,,4,4073,1,10,142,69,4,,2,525,68,,1,1,5,2,4,
59WN00110,59,1,2332,0,69,248,1873,0,10,,5,4,68,128,1,4,09,1,79,10,06,10,09,032,14,2,2,1,05,,4,4073,1,10,137,69,4,,2,527,116,,2,1,5,2,4,9
59WN00111,59,2,2334,0,69,570,1953,0,10,,1,3,68,128,2,3,10,1,66,13,04,11,08,039,13,7,7,1,09,,3,5017,1,10,108,69,5,,2,441,96,,4,1,1,1,5,2
59WN00112,59,2,2335,0,69,398,1996,0,10,,1,2,67,127,2,3,08,1,69,10,04,09,09,046,14,2,2,1,04,,2,0396,2,10,142,69,4,,2,452,116,,2,2,1,1,4,
59WN00113,59,1,2336,0,69,378,2051,0,10,,1,2,66,126,2,7,08,1,80,09,04,09,09,039,14,2,2,1,05,,2,2427,2,10,154,69,4,,2,533,128,,2,2,1,1,4,9
59WN00114,59,2,2337,0,69,660,1914,0,10,,5,3,65,125,2,1,09,1,64,11,04,11,09,043,13,2,2,1,09,,3,3543,2,10,133,69,5,,2,443,86,,4,1,5,2,5,2
59WN00115,59,1,2338,0,69,660,1914,0,10,,5,3,65,125,2,4,10,1,65,11,04,10,09,040,10,2,2,1,08,,3,3543,2,10,132,69,5,,2,462,72,,3,1,5,2,5,9
59WN00116,59,1,2339,0,69,228,1650,0,10,,1,7,64,124,2,7,09,1,82,11,13,12,09,032,20,1,2,2,07,,5,3843,2,10,101,68,4,,2,555,132,6,3,1,1,1,4,9
59WN00117,59,2,2340,0,69,560,1854,0,10,,5,4,62,122,2,3,09,1,74,09,04,10,08,038,16,2,2,1,02,,4,5028,1,10,143,69,5,,3,533,90,,1,1,5,2,5,
59WN00118,59,2,2341,0,69,560,1854,0,10,,5,4,62,122,2,3,10,2,70,09,04,09,09,042,14,2,2,1,06,,4,5028,1,10,148,69,5,,3,497,94,,3,1,5,2,5,
59WN00119,59,1,2342,0,69,218,2023,0,10,,1,2,61,121,2,7,10,2,91,13,07,08,08,042,16,2,2,1,02,,2,4650,1,10,129,69,4,,3,668,102,,1,2,1,1,4,3
59WN00120,59,1,2343,0,69,238,2027,0,10,,1,2,61,121,2,7,09,1,91,12,05,09,09,029,16,2,2,1,04,,2,0120,1,10,139,69,4,,3,669,100,,2,2,1,1,4,3
59WN00121,59,2,2344,0,69,670,1827,0,10,,5,4,59,119,1,1,10,3,76,09,04,09,09,040,12,2,2,1,05,,4,2928,2,10,154,69,5,,3,548,108,,2,1,5,2,5,
59WN00122,59,2,2345,0,69,670,1827,0,10,,5,4,59,119,3,1,09,1,75,09,04,09,09,048,10,2,3,2,02,,4,2928,2,10,155,69,5,,3,545,102,,1,1,5,2,5,
59WN00123,59,2,2346,0,69,368,2048,0,10,,1,2,54,114,2,3,09,1,87,09,04,09,07,041,16,2,2,1,04,,2,2377,2,10,161,69,4,,3,658,120,,2,2,1,1,4,
59WN00124,59,2,5226,1,34,340,3971,1,11,41,1,6,78,138,2,4,09,1,78,11,04,08,06,044,14,2,2,1,03,35,4,4978,1,11,140,34,1,,1,501,88,,1,1,1,1,1,
59WN00125,59,1,5227,1,32,320,4893,1,11,20,1,2,79,139,2,2,10,1,71,12,05,10,09,036,14,2,2,1,03,27,2,4657,1,11,132,32,1,,1,442,96,,1,2,1,1,1,3
59WN00126,59,1,5229,1,21,210,3969,1,11,29,1,6,79,139,2,4,08,3,81,10,04,10,11,050,10,2,2,1,10,25,4,4650,1,11,165,21,1,,1,465,164,9,4,1,1,1,1,
59WN00127,59,1,5232,1,32,320,4679,1,11,24,1,3,79,139,2,2,09,4,85,13,04,09,08,041,14,2,2,1,04,25,3,4657,1,11,140,32,1,,1,541,98,,2,1,1,1,1,3
59WN00128,59,1,5233,1,27,270,4080,1,11,29,5,5,78,138,1,6,09,2,54,13,04,11,11,043,14,2,2,1,09,26,4,4585,1,11,129,27,1,,1,330,84,,4,1,5,2,1,
59WN00129,59,1,5234,1,27,270,4080,1,11,29,5,5,78,138,2,7,10,1,56,11,04,12,10,036,14,2,3,2,04,26,4,4585,1,11,135,27,1,,1,349,78,,2,1,5,2,1,
59WN00130,59,2,5235,1,32,320,4393,1,11,20,1,4,78,138,2,1,09,4,83,11,05,09,09,039,13,2,2,1,09,25,4,4657,1,11,146,32,1,,1,516,118,,4,1,1,1,1,
59WN00131,59,2,5236,1,32,320,4284,1,11,18,1,5,78,138,2,1,09,2,69,10,04,09,09,039,13,2,2,1,01,25,4,4657,1,11,138,32,1,,1,442,80,,1,1,1,1,1,
59WN00132,59,2,5237,1,20,200,4505,1,11,38,1,4,77,137,2,2,08,1,69,10,06,09,09,036,13,1,2,2,06,30,4,4610,1,11,134,20,1,,1,435,94,,3,1,1,1,1,
59WN00133,59,2,5238,1,34,340,3828,1,11,41,1,6,77,137,1,3,09,1,65,10,05,11,10,034,18,2,2,1,08,35,4,4978,1,11,137,34,1,,1,409,90,,3,1,1,1,1,
59WN00134,59,1,5240,1,32,320,4793,1,11,23,5,3,76,136,2,2,09,2,64,12,04,12,12,034,16,2,2,1,08,19,3,4657,1,11,140,32,1,,1,406,88,,3,1,5,2,1,3
