UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE2,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN
06WN00026,2006052222,06,H2222,05,2,88,30,e34,8,2,2,1.0,1,1,1,86,213,127,7,7.8,48,59,0.403,56,1,1,,,0,L,WSW,e33,ENTROPION,H0994,05,H1425,05,88,1,,0,5,4,91,2.18,122.8,1,79,0,,,Life,
06WN00027,2006052225,06,H2225,05,3,88,30,e31,5,1,1,1.0,1,1,1,86,213,127,3,11.7,71,87,0.593,83,1,3,,,0,M,WSW,,,H1159,05,H2151,05,82,V,,0,1,1,104,2.08,119.0,V,108,0,,,Life,
06WN00028,2006052227,06,H2227,05,3,88,30,05,9,3,2,2.0,2,2,2,86,215,129,8,5.3,45,61,0.432,57,1,1,,,0,M,.,,,H1063,05,H0861,05,83,V,,0,8,6,84,2.28,107.8,V,74,0,,,Vacc,
06WN00029,2006052228,06,H2228,05,2,88,30,05,9,3,2,2.0,2,2,2,86,215,129,2,7.0,41,57,0.388,54,1,1,,,0,M,.,,DEAD JULY,H1063,05,H0861,05,83,6,10,202,8,4,83,2.28,107.8,6,0,0,,,,
06WN00030,2006052229,06,H2229,05,1,88,30,05,8,2,2,2.0,2,2,2,87,215,128,11,10.2,68,81,0.553,77,1,3,,,0,M,.,,,H1063,05,H0755,05,82,3,93,255,5,5,100,1.94,127.4,3,96,0,,,,
06WN00031,2006052230,06,H2230,05,2,88,30,05,8,2,2,2.0,2,2,2,87,215,128,6,8.7,67,76,0.526,72,1,3,,,0,M,.,e32,,H1063,05,H0755,05,82,1,,0,5,5,102,1.94,127.4,1,99,0,,,,
06WN00032,2006052231,06,H2231,05,3,88,30,02,8,2,1,2.0,2,2,2,87,215,128,9,9.2,69,83,0.577,78,1,1,,,0,M,.,,,H1168,05,H0988,05,82,V,,0,3,2,93,2.11,103.3,V,99,0,,,Vacc,
06WN00033,2006052233,06,H2233,05,1,88,30,03,8,2,2,3.0,3,3,2,87,215,128,6,8.7,72,91,0.643,86,1,1,4,,0,M,.,,H4 X SCUR,H0471,05,H0702,05,88,3,93,255,5,6,119,2.2,157.9,3,109,0,,,,
06WN00034,2006052234,06,H2234,05,1,88,30,03,8,2,2,3.0,3,3,2,87,215,128,7,10.4,88,109,0.77,103,1,1,,,0,M,.,,,H0471,05,H0702,05,88,1,,0,5,4,128,2.2,157.9,1,126,0,,,,EXP
06WN00035,2006052236,06,H2236,05,1,88,30,02,9,3,2,7.0,7,5,2,87,215,128,3,9.7,62,78,0.534,74,1,1,,,0,M,.,,,H1168,05,A6723,04,81,3,93,255,8,5,94,2.11,117.8,3,92,0,,,,
06WN00036,2006052237,06,H2237,05,1,88,30,02,9,3,2,7.0,7,5,2,87,215,128,3,10.4,63,89,0.614,84,1,1,,,0,M,.,,,H1168,05,A6723,04,81,3,93,255,8,5,99,2.11,117.8,3,104,0,,,,
06WN00037,2006052239,06,H2239,05,2,00,33, 1,8,2,2,3.0,3,3,2,87,215,128,4,11.9,64,79,0.524,75,1,1,,,2,X,  5,  5,,K0000,64,H0484,05,88,2,92,264,5,5,97,2.2,145.1,2,96,102,,,,
06WN00038,2006052240,06,H2240,05,2,00,33, 1,8,2,2,3.0,3,3,2,87,215,128,7,10.2,66,79,0.538,75,1,3,,,2,X,.,,HAIRY,K0000,64,H0484,05,88,Z,93,263,5,5,97,2.2,145.1,Z,93,0,,,,
06WN00039,2006052241,06,H2241,05,1,88,30,02,8,2,2,2.0,2,2,2,87,215,128,5,10.0,41,59,0.383,56,1,1,,,0,M,.,,,H1168,05,H1161,05,83,3,93,255,5,5,77,2.11,100.8,3,71,0,,,,
06WN00040,2006052242,06,H2242,05,1,88,30,02,8,2,2,2.0,2,2,2,87,215,128,13,11.4,65,76,0.505,72,1,1,,,0,M,.,,,H1168,05,H1161,05,83,3,93,255,5,5,85,2.11,100.8,3,92,0,,,,
06WN00041,2006052243,06,H2243,05,1,88,30,01,9,3,2,2.0,2,2,2,87,215,128,8,10.2,57,74,0.498,70,1,1,,,0,M,.,,,H1311,05,H1342,05,83,3,93,255,8,4,90,2.44,114.7,3,87,0,,,,
06WN00042,2006052244,06,H2244,05,2,88,30,01,9,3,2,2.0,2,2,2,87,215,128,14,8.0,60,76,0.531,72,1,1,,,0,M,.,e33,,H1311,05,H1342,05,83,1,,0,8,6,96,2.44,114.7,1,97,0,,,,
06WN00043,2006052245,06,H2245,05,2,88,30,01,9,3,1,2.0,2,2,2,87,215,128,9,9.6,78,96,0.675,91,1,1,,,0,M,.,e31,,H1311,05,H1342,05,83,1,,0,7,2,106,2.44,114.7,1,113,0,,,,
06WN00044,2006052247,06,H2247,05,3,00,33, 1,5,1,1,5.0,5,4,2,88,215,127,2,12.5,76,89,0.602,85,1,1,,,2,X,.,,,K0000,64,A8499,04,84,3,93,270,1,1,0,1.93,128.8,3,106,0,,,,
06WN00045,2006052249,06,H2249,05,2,88,30,05,9,3,2,2.0,2,2,2,88,215,127,14,10.1,63,74,0.503,70,1,1,,,0,M,  1,  1,,H1063,05,H1341,05,83,2,92,264,8,5,94,2.28,113.0,2,90,96,,,,
06WN00046,2006052250,06,H2250,05,1,88,30,05,9,3,2,2.0,2,2,2,88,215,127,7,11.8,52,67,0.435,64,1,1,,,0,M,.,,,H1063,05,H1341,05,83,3,93,255,8,5,87,2.28,113.0,3,74,0,,,,
06WN00047,2006052252,06,H2252,05,1,88,30,01,9,3,2,2.0,2,2,2,88,215,127,13,9.3,53,59,0.391,56,1,1,,,0,M,.,,,H1311,05,H0833,05,83,3,93,255,8,5,92,2.28,132.0,3,76,0,,,,
06WN00048,2006052253,06,H2253,05,2,88,30,01,9,3,2,2.0,2,2,2,88,215,127,13,9.7,62,76,0.522,72,1,3,,,0,M,.,e32,,H1311,05,H0833,05,83,1,,0,8,5,105,2.28,132.0,1,97,0,,,,
06WN00049,2006052254,06,H2254,05,3,88,30,e33,5,1,1,1.0,1,1,1,88,213,125,5,15.5,75,91,0.604,88,1,1,,,0,M,WSW,,NICE LAMB,H1254,05,H1807,05,82,V,,0,1,1,107,2.08,120.0,V,114,0,,,Life,
06WN00050,2006052256,06,H2256,05,1,88,30,01,9,3,2,2.0,2,2,2,88,215,127,12,9.4,55,72,0.493,69,1,1,,,0,M,.,,,H1311,05,H1269,05,83,3,93,255,8,5,101,2.28,137.5,3,84,0,,,,
06WN00051,2006052257,06,H2257,05,1,88,30,01,9,3,2,2.0,2,2,2,88,215,127,7,11.0,77,93,0.646,88,1,1,,,0,M,.,,,H1311,05,H1269,05,83,1,,0,8,5,110,2.28,137.5,1,113,0,,,,EXP
06WN00052,2006052258,06,H2258,05,2,88,30,e34,5,1,1,1.0,1,1,1,88,213,125,4,7.4,56,69,0.493,67,1,1,,,0,L,WSW,e34,,H0994,05,H1500,05,88,1,,0,1,1,94,2.08,115.8,1,94,0,,,Life,
06WN00053,2006052260,06,H2260,05,3,88,30,02,8,2,1,2.0,2,2,2,88,215,127,11,8.7,63,82,0.577,78,1,1,,,0,M,.,,PINK,H1168,05,H0834,05,82,V,,0,3,2,101,2.11,118.4,V,98,0,,,Vacc,
06WN00054,2006052261,06,H2261,05,1,88,30,05,8,2,1,2.0,2,2,2,88,215,127,11,11.0,71,92,0.638,88,1,1,,,0,M,.,,,H1063,05,H1150,05,88,3,93,255,3,2,88,1.94,91.6,3,104,0,,,,
06WN00055,2006052263,06,H2263,05,2,88,30,04,5,1,1,2.0,2,2,2,88,215,127,2,11.7,84,96,0.664,91,1,1,,,0,M,.,e32,,H1112,05,H0873,05,83,1,,0,1,1,104,1.94,109.1,1,121,0,,,,
06WN00056,2006052264,06,H2264,05,3,88,30,e34,8,2,2,1.0,1,1,1,88,213,125,2,9.4,49,62,0.421,60,1,1,,,0,M,WSW,,,H0994,05,H1640,05,88,V,,0,5,5,94,2.18,124.4,V,78,0,,,Life,
06WN00057,2006052265,06,H2265,05,2,88,30,e34,8,2,2,1.0,1,1,1,88,213,125,6,8.3,44,52,0.35,50,1,1,,,0,L,WSW,e33,,H0994,05,H1640,05,88,1,,0,5,5,89,2.18,124.4,1,70,0,,,Life,
06WN00058,2006052266,06,H2266,05,2,88,30,05,8,2,2,2.0,2,2,2,89,215,126,5,11.6,63,77,0.519,74,1,1,,,0,M,.,e33,,H1063,05,H1261,05,83,1,,0,5,5,102,1.94,124.4,1,97,0,,,,
06WN00059,2006052267,06,H2267,05,2,88,30,05,8,2,2,2.0,2,2,2,89,215,126,1,10.1,64,81,0.563,78,1,1,,,0,M,.,e32,,H1063,05,H1261,05,83,1,,0,5,5,104,1.94,124.4,1,92,0,,,,
06WN00060,2006052268,06,H2268,05,1,88,30,04,8,2,2,2.0,2,2,2,89,215,126,6,14.6,74,89,0.59,85,1,1,,,0,M,.,,NICE LAMB,H1112,05,H0977,05,82,3,93,255,5,4,94,2.11,106.1,3,111,0,,,,
06WN00061,2006052269,06,H2269,05,2,88,30,04,8,2,2,2.0,2,2,2,89,215,126,7,11.0,55,69,0.46,66,1,1,,,0,M,  4,  4,,H1112,05,H0977,05,82,2,92,264,5,6,89,2.11,106.1,2,82,88,,,,
06WN00062,2006052270,06,H2270,05,2,88,30,03,8,2,2,2.0,2,2,2,89,215,126,14,10.2,68,83,0.578,80,1,1,,,0,M,.,e34,,H0471,05,H0793,05,82,1,,0,5,5,107,1.94,129.0,1,98,0,,,,
06WN00063,2006052271,06,H2271,05,3,88,30,03,8,2,2,2.0,2,2,2,89,215,126,1,9.3,69,87,0.617,83,9,1,,,0,M,.,,BLACK,H0471,05,H0793,05,82,3,93,270,5,5,109,1.94,129.0,3,109,0,,,BLCK,
06WN00064,2006052272,06,H2272,05,2,00,33, 1,8,2,2,6.0,6,4,2,89,215,126,1,10.2,64,79,0.546,76,1,1,,,2,X,  5,  5,,K0000,64,00657,00,88,2,92,264,5,5,92,2.1,116.6,2,96,93,,,,
06WN00065,2006052273,06,H2273,05,3,00,33, 1,8,2,2,6.0,6,4,2,89,215,126,12,10.3,67,88,0.617,84,1,1,,,2,X,.,,FX.RIBS,K0000,64,00657,00,88,3,93,270,5,5,0,2.1,116.6,3,105,0,,,,
06WN00066,2006052274,06,H2274,05,2,88,30,02,8,2,2,2.0,2,2,2,89,215,126,2,10.7,54,68,0.455,65,1,1,,,0,M,.,e33,,H1168,05,H0867,05,82,1,,0,5,5,86,2.11,103.1,1,81,0,,,,
06WN00067,2006052275,06,H2275,05,1,88,30,02,8,2,2,2.0,2,2,2,89,215,126,4,10.9,58,76,0.517,73,1,1,,,0,M,.,,,H1168,05,H0867,05,82,3,93,255,5,5,86,2.11,103.1,3,91,0,,,,
06WN00068,2006052276,06,H2276,05,2,88,30,e34,8,2,1,1.0,1,1,1,89,213,124,15,7.8,58,69,0.494,67,1,1,,,0,L,WSW,e33,,H0994,05,H1451,05,88,1,,0,3,2,94,2.18,115.8,1,88,0,,,Life,
06WN00069,2006052278,06,H2278,05,2,88,30,e34,5,1,1,1.0,1,1,1,89,213,124,12,13.1,74,90,0.62,88,1,1,,,0,L,WSW,e32,,H0994,05,H1527,05,83,1,,0,1,1,107,2.08,120.0,1,109,0,,,Life,
06WN00070,2006052279,06,H2279,05,1,88,30,02,8,2,2,2.0,2,2,2,89,215,126,2,9.4,56,71,0.489,68,1,1,,,0,M,.,,,H1168,05,H1202,05,82,3,93,255,5,5,95,1.94,125.3,3,83,0,,,,
06WN00071,2006052280,06,H2280,05,1,88,30,02,8,2,2,2.0,2,2,2,89,215,126,7,10.6,75,98,0.694,94,1,1,,,0,M,.,,,H1168,05,H1202,05,82,1,,0,5,5,108,1.94,125.3,1,111,0,,,,EXP
06WN00072,2006052281,06,H2281,05,2,88,30,e34,8,2,1,1.0,1,1,1,89,213,124,3,8.6,64,76,0.544,74,1,1,,,0,M,WSW,,MSG?,H0994,05,H1627,05,82,7,97,250,3,2,98,2.18,117.2,7,0,0,,,Life,
06WN00073,2006052283,06,H2283,05,2,88,30,02,9,3,2,7.0,7,5,2,89,215,126,14,11.6,73,86,0.59,82,1,1,,,0,M,.,e34,,H1168,05,90743,09,88,1,,0,8,4,105,1.92,121.9,1,104,0,,,,
06WN00074,2006052284,06,H2284,05,1,88,30,02,9,3,2,7.0,7,5,2,89,215,126,2,9.6,43,61,0.408,59,1,1,,,0,M,.,,,H1168,05,90743,09,88,3,93,255,8,6,88,1.92,121.9,3,73,0,,,,
06WN00075,2006052286,06,H2286,05,2,00,33, 1,3,4,1,6.0,6,4,2,89,215,126,11,8.2,81,85,0.61,81,1,1,,,2,X,.,e.0,,K0000,64,01328,00,88,1,,0,7,2,96,2.5,118.8,1,103,0,,,,
06WN00076,2006052289,06,H2289,05,2,88,30,03,8,2,2,7.0,7,5,2,90,215,125,6,10.8,67,83,0.578,80,1,1,,,0,M,.,e34,,H0471,05,A6849,04,88,1,,0,5,6,110,2.2,134.9,1,101,0,,,,
06WN00077,2006052290,06,H2290,05,1,88,30,03,8,2,2,7.0,7,5,2,90,215,125,1,13.2,81,99,0.686,96,1,1,,,0,M,.,,,H0471,05,A6849,04,88,1,,0,5,4,113,2.2,134.9,1,119,0,,,,CTL
06WN00078,2006052291,06,H2291,05,3,00,33, 4,8,2,1,6.0,6,4,1,90,213,123,2,12.4,73,79,0.541,77,1,1,,,2,X,.,,,K0000,64,A7171,04,88,3,93,270,3,2,0,2.1,125.2,3,115,0,,,,
06WN00079,2006052293,06,H2293,05,3,00,33, 1,8,2,2,5.0,5,4,2,90,215,125,3,9.7,68,82,0.578,79,1,1,,,2,X,.,,,K0000,64,A8393,04,81,3,93,270,5,5,0,2.04,114.1,3,96,0,,,,
06WN00080,2006052294,06,H2294,05,2,00,33, 1,8,2,2,5.0,5,4,2,90,215,125,1,10.2,66,79,0.55,76,1,1,,,2,X,.,e.0,,K0000,64,A8393,04,81,1,,0,5,5,91,2.04,114.1,1,92,0,,,,
06WN00081,2006052295,06,H2295,05,1,88,30,04,8,2,2,2.0,2,2,2,90,215,125,6,11.2,47,61,0.398,59,1,1,,,0,M,.,,,H1112,05,H0853,05,83,3,93,255,5,5,96,2.11,136.8,3,72,0,,,,
06WN00082,2006052296,06,H2296,05,3,88,30,04,8,2,2,2.0,2,2,2,90,215,125,6,11.8,72,88,0.61,85,1,1,,,0,M,.,,HAIRY,H1112,05,H0853,05,83,V,,0,5,5,114,2.11,136.8,V,104,0,,,Vacc,
06WN00083,2006052297,06,H2297,05,1,88,30,01,8,2,2,7.0,7,5,2,90,215,125,10,11.4,54,72,0.485,70,1,1,,,0,M,.,,BUSHY,H1311,05,A6341,04,81,3,93,255,5,5,103,1.92,139.7,3,92,0,,,,
06WN00084,2006052298,06,H2298,05,2,88,30,01,8,2,2,7.0,7,5,2,90,215,125,1,10.7,77,93,0.658,90,1,1,,,0,M,.,e33,,H1311,05,A6341,04,81,1,,0,5,5,118,1.92,139.7,1,108,0,,,,
06WN00085,2006052299,06,H2299,05,3,88,30,05,5,1,2,5.0,5,4,2,90,215,125,8,13.1,69,92,0.631,89,1,1,,,0,M,.,,,H1063,05,A8310,04,84,3,93,270,3,4,117,2.37,139.1,3,108,0,,,,
06WN00086,2006052300,06,H2300,05,2,88,30,e33,5,1,1,1.0,1,1,1,90,213,123,6,14.2,82,92,0.633,90,1,1,,,0,L,WSW,e31,SCOURS TX.,H1254,05,H1546,05,82,1,,0,1,1,109,2.08,120.4,1,115,0,,,Life,
06WN00087,2006052301,06,H2301,05,2,00,33, 2,8,2,2,5.0,5,4,2,90,215,125,9,12.7,72,75,0.498,73,1,1,,,2,X,.,,BLK.EYE,K0000,64,A8670,04,83,Z,93,263,5,5,92,2.04,130.0,Z,97,0,,,,
06WN00088,2006052302,06,H2302,05,3,00,33, 2,8,2,2,5.0,5,4,2,90,215,125,2,11.2,66,80,0.55,77,1,1,,,2,X,.,,4TEATS,K0000,64,A8670,04,83,3,93,270,5,5,0,2.04,130.0,3,90,0,,,,
06WN00089,2006052303,06,H2303,05,2,88,30,04,8,2,2,7.0,7,5,2,90,215,125,6,10.2,62,74,0.51,71,1,1,,,0,M,.,e33,,H1112,05,A6295,04,88,1,,0,5,6,95,1.92,112.9,1,91,0,,,,
06WN00090,2006052304,06,H2304,05,1,88,30,04,8,2,2,7.0,7,5,2,90,215,125,11,12.6,71,94,0.651,91,1,1,,,0,M,.,,,H1112,05,A6295,04,88,1,,0,5,4,100,1.92,112.9,1,105,0,,,,EXP
06WN00091,2006052305,06,H2305,05,3,00,33, 2,8,2,1,4.0,4,4,2,90,215,125,9,13.2,79,100,0.694,97,1,1,,,2,X,.,,,K0000,64,A9683,04,81,3,93,270,3,2,0,1.83,118.0,3,122,0,,,,
06WN00092,2006052306,06,H2306,05,3,00,33, 4,8,2,2,4.0,4,4,2,90,215,125,3,13.1,70,87,0.591,84,1,1,,,2,X,.,,,K0000,64,P0208,05,81,3,93,270,5,5,0,2.21,129.8,3,91,0,,,,
06WN00093,2006052307,06,H2307,05,3,00,33, 4,8,2,2,4.0,4,4,2,90,215,125,12,14.5,74,99,0.676,96,1,1,,,2,X,.,,,K0000,64,P0208,05,81,3,93,270,5,5,0,2.21,129.8,3,112,0,,,,
06WN00094,2006052308,06,H2308,05,3,88,30,e31,5,1,1,1.0,1,1,1,90,213,123,4,11.2,66,80,0.559,78,1,1,,,0,M,WSW,,,H1159,05,H1567,05,83,V,,0,1,1,101,2.08,118.0,V,104,0,,,Life,
06WN00095,2006052309,06,H2309,05,2,88,30,e34,9,3,1,1.0,1,1,1,90,213,123,13,5.3,55,71,0.534,69,1,1,,,0,L,WSW,e33,,H0994,05,H1922,05,88,1,,0,7,2,95,2.28,116.2,1,90,0,,,Life,
06WN00096,2006052312,06,H2312,05,2,00,33, 2,9,3,2,4.0,4,4,2,90,215,125,8,11.0,63,81,0.56,78,1,1,,,2,X,.,e.0,HAIRY 4TEATS,K0000,64,A9359,04,83,1,,0,8,5,97,2.46,131.1,1,98,0,,,,
06WN00097,2006052313,06,H2313,05,3,00,33, 2,9,3,2,4.0,4,4,2,90,215,125,8,10.9,69,88,0.617,85,2,1,,,2,X,.,,4TEATS,K0000,64,A9359,04,83,3,93,270,8,5,0,2.46,131.1,3,108,0,,,,
06WN00098,2006052314,06,H2314,05,3,00,33, 2,9,3,1,4.0,4,4,1,90,213,123,7,8.1,72,93,0.69,91,1,1,,,2,X,.,,HAIRY 4TEATS,K0000,64,A9359,04,83,3,93,270,7,2,0,2.46,131.1,3,116,0,,,,
06WN00099,2006052315,06,H2315,05,2,00,33, 2,8,2,2,6.0,6,4,2,90,215,125,7,12.5,70,79,0.532,76,1,1,,,2,X,.,e.0,4TEATS,K0000,64,A7591,04,82,1,,0,5,5,96,2.0,134.6,1,100,0,,,,
06WN00100,2006052316,06,H2316,05,2,00,33, 2,8,2,2,6.0,6,4,2,90,215,125,7,12.2,71,89,0.614,86,1,1,,,2,X,.,e.0,Save with X's,K0000,64,A7591,04,82,1,,0,5,5,104,2.0,134.6,1,104,0,,,,
06WN00101,2006052317,06,H2317,05,2,88,30,e32,6,2,1,1.0,1,1,1,90,213,123,11,8.0,61,78,0.569,76,1,1,,,0,L,WSW,e32,"WEAK, HAIRY",H0596,05,H2128,05,82,1,,0,3,2,100,2.18,117.6,1,101,0,,,Life,
06WN00102,2006052318,06,H2318,05,3,00,33, 1,9,3,2,6.0,6,4,1,91,213,122,11,11.5,65,79,0.553,78,1,1,,,2,X,.,,,K0000,64,A7262,04,82,3,93,270,8,3,0,2.7,141.0,3,101,0,,,,
06WN00103,2006052319,06,H2319,05,2,00,33, 1,9,3,2,6.0,6,4,1,91,213,122,5,8.1,59,75,0.548,74,1,1,,,2,X,  5,  5,,K0000,64,A7262,04,82,2,92,264,8,7,96,2.7,141.0,2,99,98,,,,
06WN00104,2006052321,06,H2321,05,3,00,33, 1,8,2,2,4.0,4,4,1,91,213,122,11,14.0,44,58,0.361,57,1,1,,,2,X,.,,BLK.EAR,K0000,64,A9432,04,82,3,93,270,5,5,0,2.08,115.8,3,87,0,,,,
06WN00105,2006052322,06,H2322,05,3,00,33, 1,8,2,2,4.0,4,4,1,91,213,122,6,12.3,73,92,0.653,91,1,1,,,2,X,.,,,K0000,64,A9432,04,82,3,93,270,5,5,0,2.08,115.8,3,108,0,,,,
06WN00106,2006052323,06,H2323,05,1,88,30,02,9,3,2,7.0,7,5,1,91,213,122,16,10.5,61,76,0.537,75,1,1,,,0,M,.,,,H1168,05,91108,09,88,3,93,255,8,5,102,2.47,134.4,3,95,0,,,,
