UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,MELA,VACC,SAMP,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
89WN00011, 89033344,89,03,L3344,2,71,30,P3,2,1,3,2,1.0,1,1,1,86,134,6,72,100,693,05,,C,,,G.3,,,1,1,1,0,207,1295,,,,,1244,03,1875,03,,90,726,71,1,116
89WN00012, 89033345,89,03,L3345,3,7x,30,P3,2,1,3,2,1.0,1,1,1,87,133,10,71,88,608,07,,,,,,,,1,1,2,0,207,1265,93,,,,1244,03,2407,03,,80,618,70,3,101
89WN00013, 89033346,89,03,L3346,3,7x,30,P3,2,1,3,2,1.0,1,1,1,87,133,22,71,104,729,06,,,,,,,,1,1,2,0,207,1265,93,,282,,1244,03,2407,03,,95,756,70,3,118
89WN00014, 89033347,89,03,L3347,3,71,30,P4,2,1,3,2,1.0,1,1,1,87,133,19,69,82,565,05,,,,,,,,1,1,1,0,207,1239,93,,,,1347,03,2270,03,,75,588,71,3,93
89WN00015, 89033348,89,03,L3348,3,71,30,P4,2,1,3,2,1.0,1,1,1,87,133,3,62,89,623,04,,,,,,,,1,1,2,0,207,1239,93,,,,1347,03,2270,03,,81,623,71,3,101
89WN00016, 89033349,89,03,L3349,3,71,30,P3,2,1,3,2,1.0,1,1,1,87,133,23,74,97,674,07,,,,,,,,1,1,2,0,207,1183,93,,,,1244,03,2103,03,,88,703,71,3,112
89WN00017, 89033351,89,03,L3351,3,71,30,P1,1,1,1,1,1.0,1,1,1,87,133,26,93,103,705,07,,,,,,,,1,1,1,0,197,1197,93,,282,,1509,03,2223,03,,94,671,71,3,117
89WN00018, 89033353,89,03,L3353,1,7x,30,P1,2,1,3,2,1.0,1,1,4,88,131,12,74,102,722,08,,,,,,,,1,1,2,0,207,1175,93,,,4,1509,03,1903,03,,94,674,71,3,110
89WN00019, 89033356,89,03,L3356,2,71,30,P3,1,1,1,1,1.0,1,1,4,88,131,14,87,89,613,06,,C,,,G.6,,,1,1,1,0,197,1161,,,,4,1244,03,2348,03,,82,581,71,1,91
89WN00020, 89033357,89,03,L3357,2,70,30,P1,2,1,3,2,1.0,1,1,1,88,132,25,74,88,611,07,,B,BL,,G.5,,,1,1,1,0,207,1179,,,,,1509,03,2237,03,,81,673,70,1,104
89WN00021, 89033359,89,03,L3359,2,70,30,P5,1,1,1,1,1.0,1,1,4,88,131,10,108,102,696,06,,A,,,G.4,,,1,1,1,0,197,1187,,,,4,1206,03,2177,03,,94,658,70,1,106
89WN00022, 89033360,89,03,L3360,3,70,30,P3,2,1,3,2,1.0,1,1,1,88,132,11,79,74,501,08,,,,,,,,1,1,1,0,207,1135,93,,,,1244,03,2312,03,,68,513,70,3,86
89WN00023, 89033363,89,03,L3363,2,7x,30,P1,1,1,1,1,1.0,1,1,3,89,125,2,103,92,654,05,,B,,,G.7,,,1,1,1,0,197,1179,,,,3,1509,03,2417,03,,89,632,71,1,98
89WN00024, 89033365,89,03,L3365,1,71,30,P1,1,1,1,1,1.0,1,1,1,89,131,1,140,111,740,08,,C,,,,,,1,1,2,0,197,1207,93,,282,,1509,03,2301,03,,103,671,71,3,116
89WN00025, 89033366,89,03,L3366,2,70,30,P1,1,1,1,1,1.0,1,1,3,89,125,1,100,83,584,06,,,,,,,,1,1,1,0,197,1159,93,59,,3,1509,03,1973,03,,80,560,70,3,87
89WN00026, 89033367,89,03,L3367,3,71,30,P4,1,1,1,1,1.0,1,1,1,89,131,13,74,82,569,04,,,,,,,,1,1,2,0,197,1153,93,02,,,1347,03,2061,03,,76,517,71,3,97
89WN00027, 89033368,89,03,L3368,3,70,30,P4,2,1,3,2,1.0,1,1,1,89,131,1,81,94,656,04,,,,,,,,1,1,2,0,207,1261,93,,,,1347,03,2534,03,,87,654,70,3,106
89WN00028, 89033369,89,03,L3369,2,70,30,P4,2,1,3,2,1.0,1,1,1,89,131,3,81,85,587,06,,A,,,G.8,,,1,1,1,0,207,1261,,,,,1347,03,2534,03,,79,618,70,1,94
89WN00029, 89033370,89,03,L3370,2,7x,30,P1,1,1,1,1,1.0,1,1,1,90,130,2,100,89,608,06,,B,,,G.6,,,1,1,1,0,197,1175,,,,,1509,03,2170,03,,83,622,70,1,97
89WN00030, 89033371,89,03,L3371,1,70,30,P4,1,1,1,1,1.0,1,1,3,90,124,5,88,86,623,06,,,,,,,,1,1,2,0,197,1157,93,21,,3,1347,03,1957,03,,84,525,70,3,89
89WN00031, 89033372,89,03,L3372,3,71,30,P1,1,1,1,1,1.0,1,1,1,90,130,10,103,94,644,06,,,,,,,,1,1,2,0,197,1177,93,21,,,1509,03,2095,03,,88,589,71,3,103
89WN00032, 89033373,89,03,L3373,2,71,30,P3,1,1,1,1,1.0,1,1,1,90,130,4,64,88,628,07,,A,BL,,G.1,,,1,1,1,0,197,1173,,,,,1244,03,2007,03,,82,645,71,1,102
89WN00033, 89033374,89,03,L3374,3,70,30,P1,2,2,5,4,1.0,1,1,1,90,130,26,74,77,535,07,,,,,,,,1,1,1,0,207,1307,93,,,,1509,03,2088,03,,72,617,70,3,99
89WN00034, 89033375,89,03,L3375,2,70,30,P1,2,2,5,6,1.0,1,1,1,90,130,13,58,74,525,07,,,,,024,,N,1,1,1,0,207,1307,92,34,264,,1509,03,2088,03,,69,671,70,2,90
89WN00035, 89033376,89,03,L3376,2,71,30,P2,1,1,1,1,1.0,1,1,1,90,130,15,75,84,588,06,,A,,,G.2,,,1,1,1,0,197,1169,,,,,1233,03,1874,03,,78,621,71,1,99
89WN00036, 89033377,89,03,L3377,2,70,30,P5,1,1,1,1,1.0,1,1,3,90,124,8,88,96,703,05,,B,,,G.5,,,1,1,1,0,197,1189,,21,,3,1206,03,2079,03,,93,690,70,1,103
89WN00037, 89033378,89,03,L3378,2,70,30,P2,2,1,3,2,1.0,1,1,1,90,130,3,59,82,585,08,,C,,,G.5,,,1,1,1,0,207,1161,,,,,1233,03,2199,03,,76,616,70,1,91
89WN00038, 89033381,89,03,L3381,2,70,30,P5,1,1,1,1,1.0,1,1,1,91,129,22,96,81,553,07,,A,,,G.6,,,1,1,1,0,197,1167,,95,,,1206,03,2236,03,,76,597,70,1,92
89WN00039, 89033382,89,03,L3382,1,71,30,P5,1,1,1,1,1.0,1,1,4,91,128,7,105,95,660,05,,,,,,,,1,1,3,0,197,1163,93,14,,4,1206,03,2141,03,,90,539,71,3,100
89WN00040, 89033383,89,03,L3383,3,70,30,P5,2,1,3,2,1.0,1,1,1,91,129,5,65,91,655,07,,,,,,,,2,1,1,0,207,1171,93,,,,1206,03,2142,03,,85,661,70,3,96
89WN00041, 89033385,89,03,L3385,2,7x,30,P4,1,1,1,1,1.0,1,1,1,92,128,12,83,77,537,06,,B,,,G.1,,,1,9,1,0,197,1157,,08,,,1347,03,2035,03,,73,567,70,1,89
89WN00042, 89033387,89,03,L3387,2,71,30,P4,2,1,3,2,1.0,1,1,1,92,128,17,85,56,371,08,,,,,021,,,3,1,1,0,207,1117,92,,264,,1347,03,2174,03,,53,424,71,2,69
89WN00043, 89033388,89,03,L3388,2,7x,30,P4,1,1,1,1,1.0,1,1,3,92,123,8,115,102,736,05,,B,,,G.2,,,1,1,1,0,197,1203,,,,3,1347,03,2482,03,,100,724,71,1,112
89WN00044, 89033389,89,03,L3389,2,71,30,P2,1,1,1,1,1.0,1,1,3,92,123,17,72,76,559,06,,,,,023,,,1,1,1,0,197,1153,92,14,264,3,1233,03,1906,03,,74,560,71,2,83
89WN00045, 89033390,89,03,L3390,2,70,30,P2,3,1,7,2,1.0,1,1,1,92,128,20,71,102,741,04,,C,,,G.6,,,1,1,1,0,217,1211,,,,,1233,03,2056,03,,96,799,70,1,115
89WN00046, 89033393,89,03,L3393,2,71,30,P2,2,2,5,5,1.0,1,1,1,92,128,15,74,67,466,07,,,,,018,,,1,1,1,0,207,1305,92,,264,,1233,03,2428,03,,63,579,71,2,80
89WN00047, 89033394,89,03,L3394,1,71,30,P2,2,2,5,5,1.0,1,1,1,92,128,19,82,81,569,07,,,,,,,,1,1,2,0,207,1305,93,,,,1233,03,2428,03,,76,639,71,3,86
89WN00048, 89033395,89,03,L3395,2,7x,30,P5,1,1,1,1,1.0,1,1,3,92,122,1,110,84,598,04,,A,,,G.5,,,1,1,1,0,197,1165,,,,3,1206,03,2462,03,,83,577,70,1,86
89WN00049, 89033398,89,03,L3398,3,7x,30,P1,2,1,3,2,1.0,1,1,1,93,127,14,82,93,668,06,,,,,,,,1,1,1,0,207,1181,93,16,,,1509,03,1877,03,,88,688,70,3,110
89WN00050, 89033399,89,03,L3399,1,71,30,P1,1,1,1,1,1.0,1,1,4,93,126,12,105,106,758,06,,,,,,,,1,1,2,0,197,1191,93,14,,4,1509,03,2152,03,,101,646,71,3,115
89WN00051, 89033400,89,03,L3400,2,71,30,P2,2,1,3,2,1.0,1,1,4,93,126,6,94,103,743,05,,A,,,G.3,,,1,1,1,0,207,1285,,21,,4,1233,03,2099,03,,99,719,71,1,112
89WN00052, 89033401,89,03,L3401,2,71,30,P2,2,1,3,2,1.0,1,1,1,93,127,4,79,86,615,04,,A,BL,,G.1,,,1,1,1,0,207,1285,,,,4,1233,03,2099,03,,82,650,71,1,98
89WN00053, 89033402,89,03,L3402,2,70,30,P2,2,1,3,2,1.0,1,1,1,93,127,21,61,88,645,04,,,,,,,,1,1,1,0,207,1183,93,97,,,1233,03,2379,03,,83,705,70,3,98
89WN00054, 89033404,89,03,L3404,2,71,30,P4,2,1,3,2,1.0,1,1,1,93,127,17,74,89,643,06,,A,,,G.4,,,1,1,1,0,207,1185,,,,,1347,03,2020,03,,85,697,71,1,102
89WN00055, 89033406,89,03,L3406,1,71,30,P2,1,1,1,1,1.0,1,1,4,93,126,11,114,114,814,06,,,,,,,,1,1,7,0,197,1205,93,19,,4,1233,03,1983,03,,109,700,71,3,110
89WN00056, 89033407,89,03,L3407,2,71,30,P5,1,1,1,1,1.0,1,1,1,93,127,15,84,87,619,07,,B,,,G.4,,,1,1,1,0,197,1179,,95,,,1206,03,1941,03,,83,654,71,1,98
89WN00057, 89033408,89,03,L3408,2,70,30,P1,3,1,7,2,1.0,1,1,1,93,127,4,64,94,690,07,,A,BL,,G.6,,,1,1,1,0,217,1189,,,,,1509,03,2198,03,,89,725,70,1,105
89WN00058, 89033410,89,03,L3410,2,70,30,P4,2,1,3,2,1.0,1,1,4,93,126,10,78,85,613,06,,A,,,G.7,,,1,1,1,0,207,1159,,,,4,1347,03,2160,03,,81,595,70,1,91
89WN00059, 89033412,89,03,L3412,2,70,30,P1,1,1,1,1,1.0,1,1,1,93,127,26,62,79,573,06,,C,BL,,G.7,,,1,1,1,0,197,1167,,,,,1509,03,2455,03,,75,624,70,1,93
89WN00060, 89033413,89,03,L3413,2,71,30,P3,1,1,1,1,1.0,1,1,1,93,127,12,97,85,593,06,,B,,,G.8,,,1,1,1,0,197,1175,,,,,1244,03,2460,03,,81,624,71,1,101
89WN00061, 89033414,89,03,L3414,1,70,30,P4,1,1,1,1,1.0,1,1,1,93,127,13,116,116,822,06,,,,,,,,1,1,2,0,197,1225,93,,282,,1347,03,2248,03,,110,773,70,3,124
89WN00062, 89033415,89,03,L3415,2,71,30,P5,1,1,1,1,1.0,1,1,3,94,120,5,110,91,667,04,,A,BL,,G.4,,,1,1,1,0,197,1183,,95,,3,1206,03,2350,03,,91,653,71,1,91
89WN00063, 89033416,89,03,L3416,1,71,30,P3,1,1,1,1,1.0,1,1,3,94,120,5,124,81,572,08,,,,,,,,1,1,2,0,197,1153,93,,,3,1244,03,1984,03,,81,477,71,3,84
89WN00064, 89033418,89,03,L3418,1,71,30,P1,2,1,3,2,1.0,1,1,1,94,126,6,70,91,667,07,,C,,,,,,1,1,2,0,207,1175,,,,3,1509,03,2184,03,,87,676,71,1,95
89WN00065, 89033419,89,03,L3419,1,7x,30,P4,2,1,3,2,1.0,1,1,3,94,121,1,94,79,575,07,,,,,,,,1,1,2,0,207,1145,93,,,3,1347,03,2408,03,,78,541,70,3,9
89WN00066, 89033421,89,03,L3421,3,70,30,P1,1,1,1,1,1.0,1,1,1,94,126,25,90,87,619,05,,,,,,,,1,1,1,0,197,1173,93,,,,1509,03,2343,03,,83,588,70,3,98
89WN00067, 89033422,89,03,L3422,1,7x,30,P5,1,1,1,1,1.0,1,1,3,94,121,20,125,112,822,07,,,,,,,,1,1,3,0,197,1219,93,21,,3,1206,03,2046,03,,111,748,70,3,106
89WN00068, 89033424,89,03,L3424,2,71,30,P5,1,1,1,1,1.0,1,1,4,95,124,7,83,76,546,05,,,,,023,,,1,1,1,0,197,1143,92,,264,4,1206,03,2271,03,,74,509,71,2,83
89WN00069, 89033425,89,03,L3425,1,71,30,P4,2,1,3,2,1.0,1,1,4,95,124,7,97,93,672,07,,V,PS,,,,,1,1,3,0,207,1165,,,,4,1347,03,2250,03,,90,622,71,1,95
89WN00070, 89033427,89,03,L3427,1,70,30,P1,1,1,1,1,1.0,1,1,4,95,124,8,105,101,730,08,,,,,,,,1,1,1,0,197,1181,93,,,4,1509,03,1936,03,,98,613,70,3,107
89WN00071, 89033429,89,03,L3429,2,71,30,P1,2,1,3,2,1.0,1,1,1,95,125,15,56,81,603,05,,B,,,G.1,,,1,1,1,0,207,1171,,,,,1509,03,2397,03,,78,656,71,1,91
89WN00072, 89033431,89,03,L3431,2,71,30,P3,2,1,3,2,1.0,1,1,1,95,125,5,89,97,705,07,,B,,,G.2,,,1,1,1,0,207,1199,,,,,1244,03,2269,03,,93,743,71,1,109
89WN00073, 89033433,89,03,L3433,2,71,30,P1,1,1,1,1,1.0,1,1,3,96,119,2,91,79,587,06,,A,,,G.7,,,1,1,1,0,197,1159,,,,3,1509,03,2023,03,,80,569,71,1,80
89WN00074, 89033434,89,03,L3434,1,71,30,P4,1,1,1,1,1.0,1,1,3,96,119,4,95,104,794,07,,C,,,,,,1,1,2,0,197,1199,93,,,3,1347,03,2390,03,,105,698,71,3,102
89WN00075, 89033435,89,03,L3435,2,7x,30,P3,1,1,1,1,1.0,1,1,3,96,119,13,104,97,728,08,,B,,,G.3,,,1,1,1,0,197,1199,,,,3,1244,03,1898,03,,98,726,70,1,107
89WN00076, 89033436,89,03,L3436,2,7x,30,P1,1,1,1,1,1.0,1,1,1,96,124,14,75,72,520,04,,,,,022,,,1,1,1,0,197,1153,92,,264,,1509,03,2131,03,,70,556,71,2,88
89WN00077, 89033437,89,03,L3437,2,70,30,P3,1,1,1,1,1.0,1,1,1,96,124,6,96,93,673,06,,C,,,G.8,,,1,1,1,0,197,1193,,,,,1244,03,2077,03,,90,697,70,1,105
89WN00078, 89033438,89,03,L3438,2,70,30,P3,2,2,5,5,1.0,1,1,2,96,126,19,69,60,421,10,,,,,021,,,1,1,1,0,207,1261,92,,264,,1244,03,2034,03,,57,538,70,2,71
89WN00079, 89033439,89,03,L3439,3,70,30,P3,2,2,5,5,1.0,1,1,2,96,126,27,70,63,444,08,,,,,,,,1,1,2,0,207,1261,93,,,,1244,03,2034,03,,60,524,70,3,74
89WN00080, 89033440,89,03,L3440,2,7x,30,P4,2,2,5,6,1.0,1,1,1,96,124,23,59,52,372,08,,,,,,,,1,1,1,0,207,1267,93,97,352,,1347,03,2032,03,,51,537,71,3,66
89WN00081, 89033441,89,03,L3441,1,7x,30,P4,2,2,5,4,1.0,1,1,1,96,124,19,75,71,512,07,,,,,,,,1,1,1,0,207,1267,93,,,,1347,03,2032,03,,69,589,71,3,79
89WN00082, 89033442,89,03,L3442,1,7x,30,P3,1,1,1,1,1.0,1,1,4,97,122,13,109,96,698,07,,,,,,,,1,1,1,0,197,1175,93,,,4,1244,03,2531,03,,95,590,70,3,104
89WN00083, 89033443,89,03,L3443,2,71,30,714,2,2,5,5,5.0,5,4,1,97,123,25,75,51,354,06,,,,,,,,1,1,1,0,208,1057,93,97,352,,1985,03,7315,02,,50,425,71,3,57
89WN00084, 89033444,89,03,L3444,3,71,30,714,2,2,5,5,5.0,5,4,1,97,123,3,70,66,480,06,,,,,,,,1,1,1,0,208,1057,93,,,,1985,03,7315,02,,65,470,71,3,80
89WN00085, 89033445,89,03,L3445,2,71,30,P5,2,1,3,2,1.0,1,1,4,97,122,6,85,86,635,06,,C,,,G.8,,,1,1,1,0,207,1165,,,,4,1206,03,2396,03,,85,614,71,1,94
89WN00086, 89033447,89,03,L3447,2,7x,30,P2,1,1,1,1,1.0,1,1,4,97,122,11,86,86,634,07,,A,,,G.8,,,1,1,1,0,197,1167,01,,311,4,1233,03,2136,03,,85,604,71,1,94
89WN00087, 89033448,89,03,L3448,2,71,30,P4,2,1,3,2,1.0,1,1,4,97,122,11,71,97,737,08,,A,,,G.5,,,1,1,1,0,207,1189,,,,4,1347,03,2000,03,,96,723,71,1,108
89WN00088, 89033450,89,03,L3450,1,71,30,P3,2,2,5,5,1.0,1,1,1,97,123,18,80,67,480,07,,,,,,,,1,1,2,0,207,1293,93,97,,,1244,03,2375,03,,66,552,71,3,74
89WN00089, 89033451,89,03,L3451,1,71,30,P3,2,2,5,5,1.0,1,1,1,97,123,22,82,73,527,08,,,,,,,,1,1,3,0,207,1293,93,,,,1244,03,2375,03,,71,605,71,3,80
89WN00090, 89033452,89,03,L3452,3,70,30,P2,1,1,1,1,1.0,1,1,1,97,123,14,122,84,584,06,,,,,,,,2,1,1,0,197,1167,93,,,,1233,03,1976,03,,82,540,70,3,101
89WN00091, 89033453,89,03,L3453,2,70,30,P1,2,1,3,2,1.0,1,1,4,97,122,10,73,79,588,05,,B,,,G.8,,,1,1,1,0,207,1151,,,,4,1509,03,2319,03,,78,573,70,1,84
89WN00092, 89033456,89,03,L3456,2,71,30,P5,2,1,3,2,1.0,1,1,1,98,122,24,91,73,524,08,,,,,017,,,1,1,1,0,207,1161,92,,264,,1206,03,1885,03,,72,592,71,2,85
89WN00093, 89033457,89,03,L3457,1,70,30,P3,1,1,1,1,1.0,1,1,1,98,122,18,130,102,730,07,,,,,,,,1,1,2,0,197,1207,93,,,,1244,03,2205,03,,101,692,70,3,108
89WN00094, 89033458,89,03,L3458,1,70,30,P5,2,2,5,5,1.0,1,1,1,98,122,10,77,80,593,05,,,,,,,,1,1,1,0,207,1319,93,97,,,1206,03,2335,03,,79,654,70,3,90
89WN00095, 89033459,89,03,L3459,2,70,30,P5,2,2,5,5,1.0,1,1,1,98,122,5,78,71,518,05,,,,,016,,,1,1,1,0,207,1319,92,,264,,1206,03,2335,03,,70,621,70,2,87
89WN00096, 89033460,89,03,L3460,1,7x,30,P4,1,1,1,1,1.0,1,1,1,98,122,12,82,81,597,08,,,,,,,,1,1,2,0,197,1163,93,,,,1347,03,1899,03,,80,550,70,3,87
89WN00097, 89033461,89,03,L3461,1,7x,30,732,2,2,5,5,1.5,1,1,1,98,122,5,95,82,594,07,,,,,,,,1,1,2,0,207,1321,93,,,,0860,03,1431,03,,81,648,73,3,90
89WN00098, 89033462,89,03,L3462,2,7x,30,732,2,2,5,5,1.5,1,1,1,98,122,17,84,69,497,07,,,,,018,,,1,1,1,0,207,1321,92,,264,,0860,03,1431,03,,68,617,73,2,80
89WN00099, 89033464,89,03,L3464,2,7x,30,P3,1,1,1,1,1.0,1,1,1,98,122,2,95,84,611,09,,B,,,G.2,,,1,1,1,0,197,1175,,,,,1244,03,1960,03,,83,631,71,1,100
89WN00100, 89033465,89,03,L3465,2,71,30,P1,1,1,1,1,1.0,1,1,1,98,122,12,91,86,630,06,,B,,,G.5,,,1,1,1,0,197,1183,,,,,1509,03,1966,03,,85,664,71,1,103
89WN00101, 89033467,89,03,L3467,1,71,30,P1,1,1,1,1,1.0,1,1,1,98,122,22,102,103,761,06,,V,,,,,,1,1,1,0,197,1209,,,,,1509,03,2520,03,,101,729,71,1,120
89WN00102, 89033468,89,03,L3468,2,70,30,P1,2,2,5,6,1.0,1,1,1,98,122,10,62,67,498,06,,,,,019,,,1,1,1,0,207,1301,92,,264,,1509,03,1998,03,,66,645,70,2,79
89WN00103, 89033469,89,03,L3469,1,70,30,P1,2,2,5,4,1.0,1,1,1,98,122,11,78,74,543,07,,,,,,,,1,1,2,0,207,1301,93,,,,1509,03,1998,03,,73,610,70,3,84
89WN00104, 89033470,89,03,L3470,1,70,30,P2,2,1,3,2,1.0,1,1,3,99,116,17,85,96,754,07,,V,,,,,,1,1,3,0,207,1267,,,,3,1233,03,1945,03,,99,747,70,1,99
89WN00105, 89033471,89,03,L3471,1,70,30,P2,1,1,1,1,1.0,1,1,3,99,116,1,82,86,671,04,,,,,,,,3,1,2,0,197,1167,93,,,3,1233,03,2089,03,,89,573,70,3,9
89WN00106, 89033472,89,03,L3472,2,70,30,P2,2,2,5,6,1.0,1,1,1,99,121,24,84,63,451,09,,,,,020,,,1,1,1,0,207,1267,92,,264,3,1233,03,1945,03,,63,619,70,2,76
89WN00107, 89033473,89,03,L3473,2,71,30,P4,2,1,3,2,1.0,1,1,1,99,121,17,60,85,653,08,,B,,,G.4,,,1,1,1,0,207,1185,,,,,1347,03,1938,03,,84,711,71,1,98
89WN00108, 89033475,89,03,L3475,2,7x,30,731,2,1,3,2,2.5,2,2,1,99,121,3,79,89,670,05,,B,,,G.6,,,1,1,1,0,177,908,,,,,1256,03,9865,02,,88,662,76,1,100
89WN00109, 89033477,89,03,L3477,1,70,30,P3,2,1,3,2,1.0,1,1,3,99,116,20,102,94,722,07,,,,,,,,1,1,2,0,207,1189,93,,,3,1244,03,1925,03,,97,719,70,3,97
89WN00110, 89033479,89,03,L3479,2,71,30,713,3,2,8,5,3.0,3,3,3,99,115,2,70,78,617,05,,B,,,,,,1,1,2,0,204,1360,24,,296,3,2370,03,9575,02,,81,616,71,1,81
89WN00111, 89033480,89,03,L3480,1,71,30,713,3,2,8,5,3.0,3,3,3,99,115,2,68,80,637,06,,V,PS,,,,,1,1,3,0,204,1360,,,,3,2370,03,9575,02,,83,586,71,1,84
89WN00112, 89033481,89,03,L3481,1,71,30,713,3,1,7,2,3.0,3,3,1,99,121,5,84,113,864,05,,V,,,,,,1,1,2,0,204,1360,,,,3,2370,03,9575,02,,112,810,71,1,119
89WN00113, 89033482,89,03,L3482,2,71,30,713,3,2,8,4,5.0,5,4,1,99,121,18,89,78,571,07,,B,,,G.7,,,1,1,1,0,208,1271,,,,,2370,03,7131,02,,77,612,71,1,96
89WN00114, 89033483,89,03,L3483,1,71,30,713,3,2,8,6,5.0,5,4,1,99,121,16,75,80,599,07,,C,,,,,,1,1,2,0,208,1271,,95,,,2370,03,7131,02,,79,663,71,1,88
89WN00115, 89033484,89,03,L3484,3,7x,30,P4,2,2,5,5,1.0,1,1,1,99,121,11,54,67,509,06,,,,,,,,1,1,1,0,207,1257,93,,,,1347,03,2138,03,,66,572,71,3,77
89WN00116, 89033485,89,03,L3485,3,7x,30,P4,2,2,5,5,1.0,1,1,1,99,121,12,57,56,416,06,,,,,,,,1,1,2,0,207,1257,93,,,,1347,03,2138,03,,56,481,71,3,70
89WN00117, 89033486,89,03,L3486,2,7x,30,735,2,2,5,5,1.5,1,1,1,99,121,2,86,79,582,06,,A,,,G.5,,,1,1,1,0,207,1369,,,,,1079,03,1695,03,,78,681,76,1,94
89WN00118, 89033487,89,03,L3487,1,7x,30,735,2,2,5,5,1.5,1,1,1,99,121,12,83,96,725,07,,V,,,,,,1,1,1,0,207,1369,,14,,,1079,03,1695,03,,95,790,76,1,102
89WN00119, 89033489,89,03,L3489,1,70,30,P4,2,1,3,2,1.0,1,1,4,100,119,7,91,98,747,05,,,,,,,,1,1,2,0,207,1181,93,,,4,1347,03,2134,03,,99,700,70,3,99
89WN00120, 89033491,89,03,L3491,2,71,30,714,1,1,1,1,2.0,2,2,4,100,119,12,101,85,629,08,,C,,,G.7,,,1,1,1,0,194,1149,,14,,4,1985,03,0678,03,,86,557,71,1,91
89WN00121, 89033492,89,03,L3492,2,70,30,P2,2,2,5,5,1.0,1,1,1,100,120,4,70,67,500,07,,,,,,,,1,1,1,0,207,1315,93,97,258,,1233,03,2151,03,,67,603,70,5,79
89WN00122, 89033493,89,03,L3493,2,70,30,P2,2,2,5,5,1.0,1,1,1,100,120,17,65,73,554,06,,,,,016,,,1,1,1,0,207,1315,92,,264,,1233,03,2151,03,,73,676,70,2,87
89WN00123, 89033494,89,03,L3494,1,7x,30,731,3,2,8,4,5.0,5,4,4,100,119,10,108,91,674,04,,,,,,,,1,1,3,0,175,1067,93,,,4,1256,03,6465,02,,92,618,73,3,97
89WN00124, 89033495,89,03,L3495,2,7x,30,731,3,2,8,6,5.0,5,4,4,100,119,13,86,83,625,06,,C,,,G.7,,,1,1,1,0,175,1067,,21,,4,1256,03,6465,02,,84,656,73,1,91
89WN00125, 89033498,89,03,L3498,2,70,30,P5,2,2,5,3,1.0,1,1,1,100,120,20,87,71,519,06,,,,,018,,,1,1,1,0,207,1279,92,,264,,1206,03,1996,03,,71,624,70,2,80
