UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,HGRP
05WN00033,105051449,05,H1449,05,3,88,30,e11,5,1,1,1.0,1,1,2,95,223,128,15,12.2,0,74,0.483,70,1,1,,,0,M,.,,SCOURS,H0571,05,H0883,05,83,3,93,273,1,1,0,2.09,124.0,3,89,0,,0.088,,
05WN00034,105051450,05,H1450,05,3,88,30,07P,8,2,2,2.0,2,2,1,95,221,126,3,9.4,0,78,0.544,75,1,1,,,0,M,.,,,H0630,05,H0675,05,88,3,93,273,5,5,0,2.11,137.8,3,90,0,,0.055,,
05WN00035,105051451,05,H1451,05,2,88,30,07P,8,2,2,2.0,2,2,1,95,221,126,9,8.6,66,85,0.606,81,1,1,,,0,M,.,e34,,H0630,05,H0675,05,88,1,,0,5,5,103,2.11,137.8,1,98,99,,0.055,Life,1
05WN00036,105051453,05,H1453,05,3,88,30,e11,7,2,1,1.0,1,1,2,95,223,128,11,9.0,0,83,0.578,78,1,1,,,0,M,.,,,H0571,05,H1178,05,82,3,93,273,3,2,0,2.19,125.6,3,94,0,,0.039,,
05WN00037,105051454,05,H1454,05,2,88,30,e11,5,1,1,1.0,1,1,2,96,223,127,13,11.4,0,81,0.548,77,1,1,,,0,M,.,e33,,H0571,05,H0979,05,82,1,,0,1,1,96,2.09,125.4,1,95,0,,0.07,Life,5
05WN00038,105051455,05,H1455,05,3,88,30,e10,5,1,1,1.0,1,1,2,96,223,127,11,10.4,0,92,0.643,87,1,1,,,0,M,.,,,A9073,04,H0793,05,82,3,93,273,1,1,0,2.09,127.4,3,107,0,,0.055,,
05WN00039,105051456,05,H1456,05,3,88,30,e12,8,2,1,1.0,1,1,2,96,223,127,13,8.7,0,104,0.75,99,1,1,,,0,M,.,,,P0098,05,H1355,05,82,6,11,237,3,2,0,2.19,129.8,6,0,0,,0.046,,
05WN00040,105051458,05,H1458,05,3,88,30,e10,5,1,1,1.0,1,1,2,96,223,127,4,8.1,65,82,0.582,78,1,1,,,0,M,.,,IMM,A9073,04,H1261,05,83,3,93,273,1,1,0,2.09,125.6,3,96,94,,0.06,,
05WN00041,105051459,05,H1459,05,3,88,30,e11,8,2,1,1.0,1,1,2,96,223,127,5,9.0,0,86,0.606,82,1,1,,,0,M,.,,,H0571,05,H0834,05,82,3,93,273,3,2,0,2.19,135.2,3,98,0,,0.064,,
05WN00042,105051460,05,H1460,05,2,88,30,e11,8,2,1,1.0,1,1,2,96,223,127,6,9.0,0,93,0.661,88,1,1,,,0,M,.,e34,,H0571,05,H0834,05,82,1,,0,3,2,106,2.19,135.2,1,107,0,,0.064,Life,2
05WN00043,105051461,05,H1461,05,3,88,30,e11,5,1,1,1.0,1,1,2,96,223,127,1,8.1,0,85,0.606,81,1,1,,,0,M,HEN,,BLK 1/2 HEAD,H0571,05,H1351,05,83,3,93,273,1,1,0,2.09,126.2,3,85,0,,0.058,,
05WN00044,105051462,05,H1462,05,2,88,30,e12,8,2,2,1.0,1,1,2,96,223,127,7,8.3,0,97,0.698,92,1,1,,,0,M,.,e32,,P0098,05,H0891,05,83,1,,0,5,5,106,2.19,132.6,1,108,0,,0.04,Life,1
05WN00045,105051463,05,H1463,05,2,88,30,e12,8,2,2,1.0,1,1,2,96,223,127,7,9.0,0,70,0.48,67,1,1,,,0,M,  5,,,P0098,05,H0891,05,83,2,92,265,5,5,94,2.19,132.6,2,79,75,,0.04,,
05WN00046,105051468,05,H1468,05,3,88,30,e12,5,1,1,1.0,1,1,2,97,223,126,5,9.0,0,89,0.635,85,1,1,,,0,M,.,,,P0098,05,H1180,05,82,3,93,273,1,1,0,2.09,127.0,3,100,0,,0.06,,
05WN00047,105051469,05,H1469,05,2,88,30,e11,8,2,2,1.0,1,1,2,97,223,126,7,8.0,0,66,0.46,63,1,1,,,0,M,  5,,,H0571,05,H0833,05,83,2,92,265,5,5,94,2.19,137.0,2,80,78,,0.055,,
05WN00048,105051470,05,H1470,05,2,88,30,e11,8,2,2,1.0,1,1,2,97,223,126,4,8.7,0,75,0.526,72,1,1,,,0,M,.,,,H0571,05,H0833,05,83,6,11,237,5,5,98,2.19,137.0,6,0,0,,0.055,,
05WN00049,105051472,05,H1472,05,3,88,30,e11,5,1,1,1.0,1,1,2,97,223,126,1,10.8,0,109,0.779,104,1,1,,,0,M,.,,SCOURS,H0571,05,H0888,05,83,3,93,273,1,1,0,2.09,130.8,3,122,0,,0.056,,
05WN00050,105051473,05,H1473,05,2,83,30,04P,8,2,2,4.0,4,4,2,97,223,126,6,7.5,0,80,0.575,77,1,1,,,0,W,.,e33,"IMM, WEAK",A9232,04,A8851,04,82,1,,0,5,5,94,2.12,122.5,1,96,0,,0.046,Life,5
05WN00051,105051474,05,H1474,05,2,83,30,04P,8,2,2,4.0,4,4,2,97,223,126,6,6.6,0,76,0.551,73,1,1,,,0,W,.,e34,"IMM, WEAK",A9232,04,A8851,04,82,1,,0,5,5,92,2.12,122.5,1,90,0,,0.046,Life,1
05WN00052,105051475,05,H1475,05,2,88,30,e10,8,2,2,1.0,1,1,2,97,223,126,10,6.5,0,65,0.464,62,1,1,,,0,M,  5,,WEAK LAMB,A9073,04,H1044,05,82,2,92,265,5,6,93,2.19,135.8,2,79,81,,0.065,,
05WN00053,105051476,05,H1476,05,2,88,30,e10,8,2,2,1.0,1,1,2,97,223,126,3,7.9,0,70,0.493,67,1,1,,,0,M,  3,,,A9073,04,H1044,05,82,2,92,265,5,4,95,2.19,135.8,2,85,84,,0.065,,
05WN00054,105051477,05,H1477,05,3,88,30,e11,5,1,1,1.0,1,1,2,98,223,125,4,12.7,0,97,0.674,94,1,1,,,0,M,.,,,H0571,05,H1160,05,82,3,93,273,1,1,0,2.09,128.8,3,115,0,,0.058,,
05WN00055,105051478,05,H1478,05,2,88,30,e12,8,2,1,1.0,1,1,2,98,223,125,13,8.7,0,84,0.602,81,1,1,,,0,M,.,e33,,P0098,05,H1357,05,83,1,,0,3,2,102,2.19,134.8,1,98,0,,0.04,Life,1
05WN00056,105051479,05,H1479,05,3,88,30,e12,8,2,1,1.0,1,1,2,98,223,125,15,8.5,0,89,0.644,86,1,1,,,0,M,.,,,P0098,05,H1357,05,83,3,93,273,3,2,0,2.19,134.8,3,104,0,,0.04,,
05WN00057,105051480,05,H1480,05,3,88,30,e10,5,1,1,1.0,1,1,2,98,223,125,12,11.4,0,97,0.685,94,1,1,,,0,M,.,,,A9073,04,H0755,05,82,3,93,273,1,1,0,2.09,128.8,3,116,0,,0.065,,
05WN00058,105051481,05,H1481,05,3,88,30,e10,5,1,1,1.0,1,1,2,98,223,125,1,12.5,0,94,0.652,91,1,1,,,0,M,.,,,A9073,04,H1333,05,82,3,93,273,1,1,0,2.09,128.2,3,102,0,,0.05,,
05WN00059,105051482,05,H1482,05,3,88,30,e11,8,2,2,1.0,1,1,2,98,223,125,14,10.8,0,73,0.498,71,1,1,,,0,M,.,,SCOURS,H0571,05,H1169,05,82,6,11,237,5,4,0,2.19,139.2,6,0,0,,0.044,,
05WN00060,105051483,05,H1483,05,3,88,30,e11,8,2,2,1.0,1,1,2,98,223,125,14,8.1,0,78,0.559,75,1,1,,,0,M,.,,SCOURS,H0571,05,H1169,05,82,3,93,273,5,6,0,2.19,139.2,3,94,0,,0.044,,
05WN00061,105051485,05,H1485,05,2,82,30,24P,8,2,1,3.0,3,3,2,98,223,125,2,6.7,0,93,0.69,90,1,1,,,0,C,.,e33,,A9088,04,A9841,04,84,1,,0,3,2,105,2.17,132.4,1,108,0,,0.049,Life,2
05WN00062,105051488,05,H1488,05,2,83,30,04P,9,3,1,4.0,4,4,2,98,223,125,15,5.5,0,72,0.532,69,1,1,,,0,W,  7,,,A9232,04,A8394,04,82,2,92,265,7,2,84,2.12,108.1,2,83,83,,0.047,,
05WN00063,105051490,05,H1490,05,2,83,30,01P,9,3,2,3.0,3,3,2,99,223,124,7,6.5,0,78,0.577,76,1,1,,,0,W,.,e33,SCOURS,A7284,04,A9597,04,81,1,,0,8,5,104,2.45,145.6,1,93,0,,0.063,Life,3
05WN00064,105051491,05,H1491,05,1,83,30,01P,9,3,2,3.0,3,3,2,99,223,124,7,6.2,0,69,0.506,67,1,1,,,0,W,.,,SCOURS,A7284,04,A9597,04,81,3,93,252,8,5,93,2.45,145.6,3,75,0,,0.063,,
05WN00065,105051492,05,H1492,05,2,83,30,01P,9,3,1,3.0,3,3,H,99,227,128,5,7.7,0,101,0.729,95,1,1,,,0,W,.,e23,,A7284,04,A9597,04,81,1,,0,7,2,114,2.45,145.6,1,111,0,,0.063,SxP,
05WN00066,105051496,05,H1496,05,3,88,30,e11,8,2,1,1.0,1,1,2,99,223,124,14,8.1,0,83,0.604,81,1,1,,,0,M,.,,SCOURS,H0571,05,H0892,05,83,3,93,273,3,2,0,2.19,126.2,3,100,0,,0.049,,
05WN00067,105051499,05,H1499,05,3,88,30,e10,5,1,1,1.0,1,1,2,99,223,124,14,11.2,0,82,0.571,80,1,1,,,0,M,.,,PNEU.,A9073,04,H1042,05,83,3,93,273,1,1,0,2.09,126.0,3,98,0,,0.084,,
05WN00068,105051500,05,H1500,05,2,88,30,e12,8,2,1,1.0,1,1,2,100,223,123,1,7.1,0,82,0.609,80,1,1,,,0,M,.,e34,HAIRY,P0098,05,H1369,05,88,1,,0,3,2,97,2.19,126.0,1,98,0,,0.039,Life,2
05WN00069,105051503,05,H1503,05,1,83,30,03P,8,2,1,3.0,3,3,2,100,223,123,10,9.2,0,102,0.754,100,1,1,2,,0,W,.,,H2,A7199,04,P0208,05,81,3,93,252,3,2,100,2.31,127.5,3,116,0,,0.046,,
05WN00070,105051505,05,H1505,05,1,82,30,11P,9,3,1,7.0,7,5,2,100,223,123,4,12.2,0,96,0.681,94,1,1,4,,0,C,.,,H4 X,H0656,05,A5103,04,82,3,93,252,7,2,105,2.49,144.4,3,113,0,,0.063,,
05WN00071,105051507,05,H1507,05,2,88,30,e11,8,2,2,1.0,1,1,2,100,223,123,8,10.3,0,76,0.534,74,1,1,,,0,M,.,,,H0571,05,H1013,05,82,6,11,237,5,5,100,2.19,139.0,6,0,0,,0.072,,
05WN00072,105051508,05,H1508,05,3,88,30,e11,8,2,2,1.0,1,1,2,100,223,123,15,11.3,0,72,0.493,71,1,1,,,0,M,.,,,H0571,05,H1013,05,82,3,97,251,5,5,0,2.19,139.0,7,0,0,,0.072,,
05WN00073,105051509,05,H1509,05,2,88,30,e12,8,2,2,1.0,1,1,2,100,223,123,5,9.1,0,74,0.528,72,1,1,,,0,M,  4,,HAIRY,P0098,05,H0877,05,83,2,92,265,5,5,99,2.19,138.2,2,82,85,,0.042,,
05WN00074,105051510,05,H1510,05,3,88,30,e12,8,2,2,1.0,1,1,2,100,223,123,6,8.2,0,71,0.511,69,1,1,,,0,M,.,,,P0098,05,H0877,05,83,3,93,273,5,5,0,2.19,138.2,3,86,0,,0.042,,
05WN00075,105051511,05,H1511,05,3,88,30,e11,8,2,2,1.0,1,1,2,100,223,123,1,9.1,0,67,0.471,66,1,1,,,0,M,.,,1CRYPTORCHID,H0571,05,H1080,05,83,3,93,273,5,5,0,2.19,138.0,3,83,0,,0.06,,
05WN00076,105051512,05,H1512,05,3,88,30,e11,8,2,2,1.0,1,1,2,100,223,123,3,10.0,0,76,0.537,74,1,1,,,0,M,.,,,H0571,05,H1080,05,83,3,93,273,5,5,0,2.19,138.0,3,91,0,,0.06,,
05WN00077,105051513,05,H1513,05,2,88,30,e10,5,1,1,1.0,1,1,2,101,223,122,6,8.3,0,73,0.53,72,1,1,,,0,M,  6,,,A9073,04,H1202,05,82,2,92,265,1,1,93,2.09,124.4,2,92,90,,0.067,,
05WN00078,105051514,05,H1514,05,2,88,30,e12,5,1,1,1.0,1,1,2,101,223,122,14,9.0,0,65,0.459,64,1,1,,,0,M,  7,,,P0098,05,H1093,05,83,2,92,265,1,1,88,2.09,122.8,2,82,83,,0.041,,
05WN00079,105051515,05,H1515,05,2,88,30,e10,5,1,1,1.0,1,1,2,101,223,122,8,10.6,0,89,0.643,88,1,1,,,0,M,.,e34,,A9073,04,H1058,05,88,1,,0,1,1,102,2.09,127.6,1,101,0,,0.071,Life,4
05WN00080,105051516,05,H1516,05,1,88,30,06P,8,2,2,3.0,3,3,2,101,223,122,12,10.5,0,81,0.578,80,1,1,4,,0,M,.,,H4 X,A9588,04,A9927,04,84,3,93,252,5,5,104,2.17,157.9,3,90,0,,0.044,,
05WN00081,105051517,05,H1517,05,2,88,30,06P,8,2,2,3.0,3,3,2,101,223,122,15,11.9,0,94,0.673,93,1,1,,,0,M,.,e24,,A9588,04,A9927,04,84,1,,0,5,5,118,2.17,157.9,1,110,0,,0.044,SxP,
05WN00082,105051518,05,H1518,05,2,88,30,07P,8,2,2,5.0,5,4,2,101,223,122,6,10.7,0,92,0.666,91,1,1,,,0,M,.,e32,,H0630,05,A7265,04,82,1,,0,5,4,106,2.08,132.7,1,108,0,,0.066,Life,2
05WN00083,105051519,05,H1519,05,2,88,30,07P,8,2,2,5.0,5,4,2,101,223,122,14,8.3,0,75,0.547,74,1,1,,,0,M,  3,,,H0630,05,A7265,04,82,2,92,265,5,6,97,2.08,132.7,2,89,94,,0.066,,
05WN00084,105051520,05,H1520,05,2,83,30,04P,5,1,1,2.0,2,2,2,101,223,122,1,11.3,0,101,0.735,100,1,1,,,0,W,.,e23,,A9232,04,H0684,05,88,1,,0,1,1,107,2.11,125.8,1,114,0,,0.047,SxP,
05WN00085,105051521,05,H1521,05,3,83,30,03P,6,2,2,4.0,4,4,2,101,223,122,12,6.7,0,74,0.552,73,1,1,,,0,W,.,,RAT,A7199,04,A8505,04,84,3,93,273,5,7,0,2.0,124.0,3,92,0,,0.047,,
05WN00086,105051522,05,H1522,05,3,83,30,03P,8,2,2,3.0,3,3,2,101,223,122,11,8.0,0,69,0.5,68,1,1,,,0,W,.,,HAIRY,A7199,04,A9964,04,83,3,93,273,5,5,0,2.17,123.0,3,82,0,,0.276,,
05WN00087,105051523,05,H1523,05,3,83,30,03P,8,2,2,3.0,3,3,2,101,223,122,12,9.2,0,76,0.548,75,1,1,,,0,W,.,,,A7199,04,A9964,04,83,3,93,273,5,5,0,2.17,123.0,3,90,0,,0.276,,
05WN00088,105051524,05,H1524,05,2,83,30,04P,8,2,2,2.0,2,2,2,101,223,122,7,10.4,0,76,0.538,75,1,1,,,0,W,.,e31,HAIRY,A9232,04,H0439,05,88,1,,0,5,5,101,2.11,139.9,1,87,0,,0.056,Life,1
05WN00089,105051525,05,H1525,05,2,83,30,04P,8,2,2,2.0,2,2,2,101,223,122,5,10.3,0,84,0.604,83,1,1,,,0,W,.,e32,,A9232,04,H0439,05,88,1,,0,5,5,105,2.11,139.9,1,99,0,,0.056,Life,2
05WN00090,105051526,05,H1526,05,2,82,30,16P,5,1,1,5.0,5,4,2,101,223,122,15,12.0,0,102,0.738,101,1,1,,,0,C,.,e23,,A9442,04,A7512,04,81,1,,0,1,1,114,2.08,138.7,1,116,0,,0.064,SxP,
05WN00091,105051527,05,H1527,05,2,83,30,01P,5,1,1,4.0,4,4,2,101,223,122,13,12.8,0,89,0.625,88,1,1,,,0,W,.,e34,NICE LAMB,A7284,04,A8597,04,84,1,,0,1,1,105,2.12,134.6,1,99,0,,0.037,Life,2
05WN00092,105051528,05,H1528,05,1,88,30,07P,9,3,2,6.0,6,4,2,101,223,122,12,10.2,0,84,0.605,83,1,1,,,0,M,.,,,H0630,05,A6608,04,88,3,93,252,8,5,98,2.42,140.6,3,86,0,,0.063,,
05WN00093,105051529,05,H1529,05,2,88,30,07P,9,3,2,6.0,6,4,2,101,223,122,1,9.6,0,69,0.487,68,1,1,,,0,M,  1,,,H0630,05,A6608,04,88,2,92,265,8,5,98,2.42,140.6,2,85,87,,0.063,,
05WN00094,105051530,05,H1530,05,2,88,30,07P,9,3,2,6.0,6,4,1,101,221,120,12,7.9,0,80,0.601,80,1,1,,,0,M,.,e31,,H0630,05,A6608,04,88,1,,0,8,6,104,2.42,140.6,1,91,0,,0.063,Life,2
05WN00095,105051531,05,H1531,05,3,88,30,e11,8,2,2,1.0,1,1,1,102,221,119,11,8.2,0,75,0.561,76,1,1,,,0,M,.,,PNEU.,H0571,05,H1039,05,88,3,93,273,5,5,0,2.19,140.6,3,88,0,,0.07,,
05WN00096,105051532,05,H1532,05,3,88,30,e11,8,2,2,1.0,1,1,1,102,221,119,3,7.4,0,76,0.576,77,1,1,,,0,M,.,,,H0571,05,H1039,05,88,3,93,273,5,5,0,2.19,140.6,3,88,0,,0.07,,
05WN00097,105051533,05,H1533,05,3,83,30,04P,5,1,1,6.0,6,4,1,102,221,119,3,11.4,0,97,0.719,98,1,1,,,0,W,.,,,A9232,04,A6723,04,81,3,93,273,1,1,0,2.12,120.7,3,114,0,,0.047,,
05WN00098,105051535,05,H1535,05,1,82,30,13P,8,2,2,5.0,5,4,2,102,223,121,4,11.8,0,100,0.729,99,1,1,,,0,C,.,,SHAGGY,H0471,05,A7491,04,88,3,93,252,5,4,110,2.3,150.9,3,104,0,,0.052,,
05WN00099,105051536,05,H1536,05,1,82,30,13P,8,2,2,5.0,5,4,2,102,223,121,1,9.8,0,93,0.688,92,1,1,,,0,C,.,,,H0471,05,A7491,04,88,1,,0,5,6,107,2.3,150.9,1,107,0,,0.052,,
05WN00100,105051537,05,H1537,05,2,88,30,05P,9,3,3,3.0,3,3,1,102,221,119,14,6.2,0,66,0.503,67,1,1,,,0,M,.,e24,,H0596,05,A9062,04,84,1,,0,9,8,104,2.31,155.5,1,75,0,,0.061,SxP,
05WN00101,105051538,05,H1538,05,1,88,30,05P,9,3,3,3.0,3,3,1,102,221,119,14,9.1,0,70,0.512,71,1,1,,,0,M,.,,,H0596,05,A9062,04,84,3,93,252,9,8,99,2.31,155.5,3,74,0,,0.061,,
05WN00102,105051539,05,H1539,05,1,88,30,05P,9,3,3,3.0,3,3,1,102,221,119,7,9.1,0,78,0.579,79,1,1,,,0,M,.,,,H0596,05,A9062,04,84,3,93,252,9,8,103,2.31,155.5,3,83,0,,0.061,,
05WN00103,105051540,05,H1540,05,3,88,30,06P,9,3,2,2.0,2,2,1,102,221,119,6,9.0,0,80,0.597,81,1,1,,,0,M,.,,,A9588,04,H0688,05,88,3,93,273,8,5,0,2.45,140.5,3,92,0,,0.054,,
05WN00104,105051541,05,H1541,05,3,88,30,06P,9,3,2,2.0,2,2,1,102,221,119,3,8.3,0,70,0.518,71,1,1,,,0,M,.,,,A9588,04,H0688,05,88,3,93,273,8,5,0,2.45,140.5,3,83,0,,0.054,,
