UID,ID9,SEX,BRD,ETAG,GRADE,FLGR1,GRFL,BANDSH,DAYSH,DATE,RMK,INV96,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
96SH00015, 90100347,2,10,S0347,60,4,7.6,1,71,1996-03-11,,Y,07,6.0,170,1996-04-29,1,53,96
96SH00016, 91101413,2,10,S1413,62,3,7.8,1,71,1996-03-11,,Y,07,5.0,166,1996-04-23,1,55,96
96SH00017, 91101614,2,10,S1614,62,3,9.6,1,71,1996-03-11,,Y,42,5.0,173,1996-04-23,1,60,96
96SH00018, 94104763,2,10,S4763,60,4,9.6,1,71,1996-03-11,,Y,07,2.0,156,1996-05-10,2,73,96
96SH00019, 93636696,2,63,K6696,60,4,10.8,1,71,1996-03-11,,Y,06,3.0,174,1996-06-17,5,,96
96SH00020, 92102340,2,10,S2340,60,4,9.2,1,71,1996-03-11,,Y,07,4.0,139,1996-04-23,1,,96
96SH00021, 93636950,2,63,K6950,58,5,9.2,1,71,1996-03-11,,Y,06,3.0,157,1996-05-07,1,,96
96SH00022, 94105035,2,10,S5035,62,3,9.2,1,71,1996-03-11,,Y,07,2.0,117,1996-04-29,1,63,96
96SH00023, 90100777,2,10,S0777,60,4,13.2,1,71,1996-03-11,,Y,41,6.0,134,1996-05-15,2,91,96
96SH00024, 90634988,2,63,K4988,58,5,11.0,1,71,1996-03-11,,Y,06,6.0,204,1996-04-29,1,,96
96SH00025, 94637670,2,63,K7670,58,5,12.6,1,71,1996-03-11,,Y,06,2.0,217,1996-05-07,1,,96
96SH00026, 90100357,2,10,S0357,58,5,12.2,1,71,1996-03-11,,Y,07,6.0,193,1996-04-26,2,72,96
96SH00027, 90100733,2,10,S0733,60,4,9.2,1,71,1996-03-11,,Y,07,6.0,158,1996-05-01,2,64,96
96SH00028, 93636763,2,63,K6763,54,7,9.8,1,71,1996-03-11,,Y,05,3.0,189,1996-04-29,1,,96
96SH00029, 92102413,2,10,S2413,60,4,10.8,1,71,1996-03-11,,Y,07,4.0,151,1996-04-29,1,77,96
96SH00030, 92102380,2,10,S2380,60,4,11.4,1,71,1996-03-11,,Y,42,4.0,158,1996-05-01,2,75,96
96SH00031, 88633688,2,63,K3688,54,7,11.6,1,71,1996-03-11,,Y,06,8.0,220,1996-04-23,1,,96
96SH00032, 93104286,2,10,S4286,60,4,8.6,1,71,1996-03-11,,Y,07,3.0,128,1996-05-10,2,66,96
96SH00033, 93636861,2,63,K6861,54,7,11.2,1,71,1996-03-11,,Y,06,3.0,203,1996-05-07,1,,96
96SH00034, 90100794,2,10,S0794,60,4,8.8,1,71,1996-03-11,,Y,07,6.0,163,1996-06-17,5,80,96
96SH00035, 90100602,2,10,S0602,60,4,10.6,1,71,1996-03-11,,Y,41,6.0,153,1996-05-01,2,80,96
96SH00036, 94104673,2,10,S4673,62,3,8.4,1,71,1996-03-11,,Y,07,2.0,121,1996-05-15,2,73,96
96SH00037, 93103808,2,10,S3808,60,4,7.8,1,71,1996-03-11,,Y,08,3.0,169,1996-06-17,5,,96
96SH00038, 94105009,2,10,S5009,62,3,11.6,1,71,1996-03-11,,Y,07,2.0,166,1996-05-07,1,81,96
96SH00039, 92635941,2,63,K5941,60,4,14.0,1,71,1996-03-11,,Y,06,4.0,197,1996-05-01,2,,96
96SH00040, 91101731,2,10,S1731,60,4,10.0,1,71,1996-03-11,,Y,07,5.0,137,1996-05-07,1,,96
96SH00041, 90634943,2,63,K4943,56,6,12.0,1,71,1996-03-11,,Y,06,6.0,223,1996-04-23,1,,96
96SH00042, 93636881,2,63,K6881,60,4,7.8,1,71,1996-03-11,,Y,06,3.0,188,1996-05-01,2,,96
96SH00043, 94104459,2,10,S4459,62,3,9.8,1,71,1996-03-11,,Y,07,2.0,147,1996-04-29,1,75,96
96SH00044, 90100596,2,10,S0596,56,6,12.8,1,71,1996-03-11,,Y,41,6.0,157,1996-05-01,2,95,96
96SH00045, 94104618,2,10,S4618,58,5,11.0,1,71,1996-03-11,,Y,43,2.0,163,1996-05-10,2,91,96
96SH00046, 92102934,2,10,S2934,62,3,7.6,1,71,1996-03-11,,Y,07,4.0,144,1996-04-26,2,52,96
96SH00047, 90100877,2,10,S0877,64,2,9.6,1,71,1996-03-11,,Y,07,6.0,180,1996-04-23,1,70,96
96SH00048, 94104784,2,10,S4784,62,3,8.8,1,71,1996-03-11,,Y,42,2.0,127,1996-05-10,2,78,96
96SH00049, 92636532,2,63,K6532,58,5,11.2,1,71,1996-03-11,,Y,06,4.0,212,1996-04-29,1,,96
96SH00050, 91101380,2,10,S1380,62,3,8.6,1,71,1996-03-11,,Y,07,5.0,180,1996-05-07,1,63,96
96SH00051, 94104943,2,10,S4943,60,4,9.8,1,71,1996-03-11,,Y,07,2.0,148,1996-04-23,1,70,96
96SH00052, 94104810,2,10,S4810,64,2,8.0,1,71,1996-03-11,,Y,07,2.0,126,1996-04-23,1,62,96
96SH00053, 94637064,2,63,K7064,54,7,10.4,1,71,1996-03-11,,Y,06,2.0,187,1996-04-26,2,,96
96SH00054, 89199884,2,19,S9884,62,3,8.4,1,71,1996-03-11,,Y,07,7.0,174,1996-04-29,1,,96
96SH00055, 93104166,2,10,S4166,60,4,8.6,1,71,1996-03-11,,Y,07,3.0,154,1996-05-10,2,,96
96SH00056, 94104688,2,10,S4688,60,4,13.0,1,71,1996-03-11,,Y,42,2.0,162,1996-04-29,1,82,96
96SH00057, 92102299,2,10,S2299,64,2,9.8,1,71,1996-03-11,,Y,42,4.0,147,1996-04-23,1,64,96
96SH00058, 91101645,2,10,S1645,62,3,10.0,1,71,1996-03-11,,Y,07,5.0,155,1996-04-29,1,64,96
96SH00059, 94104973,2,10,S4973,60,4,9.4,1,71,1996-03-11,,Y,07,2.0,145,1996-04-29,1,88,96
96SH00060, 92636211,2,63,K6211,58,5,10.2,1,71,1996-03-11,,Y,06,4.0,193,1996-04-23,1,,96
96SH00061, 90100563,2,10,S0563,60,4,9.8,1,71,1996-03-11,,Y,41,6.0,131,1996-05-01,2,84,96
96SH00062, 93103870,2,10,S3870,62,3,7.2,1,71,1996-03-11,,Y,07,3.0,157,1996-04-29,1,,96
96SH00063, 92636492,2,63,K6492,62,3,11.6,1,71,1996-03-11,,Y,06,4.0,188,1996-04-29,1,,96
96SH00064, 92636322,2,63,K6322,54,7,12.2,1,71,1996-03-11,,Y,06,4.0,199,1996-04-26,2,,96
96SH00065, 92103143,2,10,S3143,64,2,10.0,1,71,1996-03-11,,Y,07,4.0,184,1996-04-26,2,,96
96SH00066, 91635654,2,63,K5654,58,5,11.4,1,71,1996-03-11,,Y,06,5.0,268,1996-04-26,2,,96
96SH00067, 94104564,2,10,S4564,62,3,9.6,1,71,1996-03-11,,Y,07,2.0,173,1996-04-29,1,70,96
96SH00068, 92102623,2,10,S2623,62,3,9.6,1,71,1996-03-11,,Y,07,4.0,192,1996-05-07,1,53,96
96SH00069, 92102971,2,10,S2971,60,4,9.2,1,71,1996-03-11,,Y,07,4.0,175,1996-04-23,1,79,96
96SH00070, 94637034,2,63,K7034,56,6,12.4,1,71,1996-03-11,,Y,06,2.0,200,1996-04-23,1,,96
96SH00071, 93636764,2,63,K6764,58,5,13.2,1,71,1996-03-11,,Y,06,3.0,176,1996-04-23,1,,96
96SH00072, 91635572,2,63,K5572,58,5,13.8,1,71,1996-03-11,,Y,06,5.0,196,1996-05-07,1,,96
96SH00073, 94104731,2,10,S4731,62,3,8.4,1,71,1996-03-11,,Y,42,2.0,144,1996-04-29,1,78,96
96SH00074, 94104559,2,10,S4559,64,2,8.2,1,71,1996-03-11,,Y,07,2.0,137,1996-04-23,1,78,96
96SH00075, 94104956,2,10,S4956,62,3,8.8,1,71,1996-03-11,,Y,07,2.0,147,1996-05-01,2,69,96
96SH00076, 94637596,2,63,K7596,60,4,9.2,1,71,1996-03-11,,Y,06,2.0,134,1996-06-17,X,,96
96SH00077, 89634090,2,63,K4090,62,3,9.2,1,71,1996-03-11,,Y,06,7.0,215,1996-05-01,2,,96
96SH00078, 92102317,2,10,S2317,62,3,10.4,1,71,1996-03-11,,Y,07,4.0,170,1996-04-26,2,62,96
96SH00079, 92102363,2,10,S2363,60,4,11.0,1,71,1996-03-11,,Y,42,4.0,163,1996-04-26,2,80,96
96SH00080, 94104903,2,10,S4903,62,3,9.0,1,71,1996-03-11,,Y,07,2.0,156,1996-04-26,2,58,96
96SH00081, 93103647,2,10,S3647,62,3,8.2,1,71,1996-03-11,,Y,08,3.0,163,1996-04-26,2,,96
96SH00082, 94105100,2,10,S5100,62,3,9.8,1,71,1996-03-11,,Y,07,2.0,152,1996-04-26,2,65,96
96SH00083, 90100707,2,10,S0707,58,5,12.4,1,71,1996-03-11,,Y,41,6.0,148,1996-05-01,2,76,96
96SH00084, 94637496,2,63,K7496,58,5,11.4,1,71,1996-03-11,,Y,06,2.0,199,1996-06-17,5,,96
96SH00085, 94104439,2,10,S4439,58,5,12.4,1,71,1996-03-11,,Y,42,2.0,140,1996-04-23,1,80,96
96SH00086, 91102064,2,10,S2064,62,3,9.6,1,71,1996-03-11,,Y,07,5.0,174,1996-05-01,2,63,96
96SH00087, 94104616,2,10,S4616,60,4,9.4,1,71,1996-03-11,,Y,07,2.0,160,1996-05-01,2,64,96
96SH00088, 93636680,2,63,K6680,56,6,8.8,1,71,1996-03-11,,Y,06,3.0,165,1996-04-23,1,,96
96SH00089, 92103335,2,10,S3335,60,4,9.6,1,71,1996-03-11,,Y,07,4.0,189,1996-05-01,2,70,96
96SH00090, 92102654,2,10,S2654,60,4,10.4,1,71,1996-03-11,,Y,42,4.0,174,1996-05-07,1,72,96
96SH00091, 94104492,2,10,S4492,60,4,10.0,1,71,1996-03-11,,Y,42,2.0,144,1996-04-26,2,65,96
96SH00092, 91101910,2,10,S1910,58,5,8.6,1,71,1996-03-11,,Y,07,5.0,210,1996-04-23,1,60,96
96SH00093, 94637661,2,63,K7661,58,5,11.6,1,71,1996-03-11,,Y,06,2.0,162,1996-06-17,5,,96
96SH00094, 94104605,2,10,S4605,62,3,11.0,1,71,1996-03-11,,Y,42,2.0,146,1996-05-15,2,75,96
96SH00095, 94637234,2,63,K7234,58,5,12.4,1,71,1996-03-11,,Y,06,2.0,179,1996-05-01,2,,96
96SH00096, 90634603,2,63,K4603,58,5,11.0,1,71,1996-03-11,,Y,06,6.0,220,1996-05-01,2,,96
96SH00097, 92102580,2,10,S2580,60,4,9.6,1,71,1996-03-11,,Y,07,4.0,187,1996-04-26,2,62,96
96SH00098, 93636862,2,63,K6862,58,5,12.8,1,71,1996-03-11,,Y,06,3.0,184,1996-04-23,1,,96
96SH00099, 93103848,2,10,S3848,60,4,9.8,1,71,1996-03-11,,Y,07,3.0,160,1996-05-01,2,73,96
96SH00100, 90635054,2,63,K5054,58,5,11.0,1,71,1996-03-11,,Y,06,6.0,185,1996-05-10,2,,96
96SH00101, 91101481,2,10,S1481,60,4,9.6,1,71,1996-03-11,,Y,42,5.0,163,1996-04-23,1,83,96
96SH00102, 94104977,2,10,S4977,60,4,8.4,1,71,1996-03-11,,Y,07,2.0,147,1996-05-07,1,79,96
96SH00103, 94637145,2,63,K7145,60,4,8.8,1,71,1996-03-11,,Y,06,2.0,176,1996-04-26,2,,96
96SH00104, 92635971,2,63,K5971,58,5,10.6,1,71,1996-03-11,,Y,06,4.0,209,1996-04-29,1,,96
96SH00105, 93636917,2,63,K6917,58,5,12.4,1,71,1996-03-11,,Y,06,3.0,197,1996-04-23,1,,96
96SH00106, 89199748,2,19,S9748,62,3,8.2,1,71,1996-03-11,,Y,07,7.0,181,1996-04-29,1,,96
96SH00107, 91101885,2,10,S1885,60,4,10.6,1,71,1996-03-11,,Y,07,5.0,175,1996-04-26,2,67,96
96SH00108, 94104539,2,10,S4539,60,4,9.8,1,71,1996-03-11,,Y,07,2.0,129,1996-04-23,1,76,96
96SH00109, 87198416,2,19,S8416,60,4,9.4,1,71,1996-03-11,,Y,07,9.0,186,1996-05-07,1,80,96
96SH00110, 90100569,2,10,S0569,60,4,9.2,1,71,1996-03-11,,Y,41,6.0,108,1996-05-07,1,74,96
96SH00111, 94104851,2,10,S4851,60,4,8.6,1,71,1996-03-11,,Y,07,2.0,155,1996-05-01,2,73,96
96SH00112, 90100823,2,10,S0823,60,4,11.8,1,71,1996-03-11,,Y,41,6.0,165,1996-05-10,2,83,96
96SH00113, 90634972,2,63,K4972,58,5,7.8,1,71,1996-03-11,,Y,06,6.0,0,,*,,96
96SH00114, 94104987,2,10,S4987,60,4,9.8,1,71,1996-03-11,,Y,07,2.0,0,,*,65,96
96SH00115, 91635369,2,63,K5369,56,6,10.0,1,71,1996-03-11,,Y,06,5.0,216,1996-04-29,1,,96
96SH00116, 90100381,2,10,S0381,60,4,9.2,1,71,1996-03-11,,Y,41,6.0,122,1996-05-15,2,68,96
96SH00117, 94104657,2,10,S4657,60,4,10.2,1,71,1996-03-11,,Y,42,2.0,157,1996-04-26,2,74,96
96SH00118, 92635866,2,63,K5866,58,5,8.8,1,71,1996-03-11,,Y,06,4.0,162,1996-04-23,1,,96
96SH00119, 92102692,2,10,S2692,60,4,9.4,1,71,1996-03-11,DEAD 3/20,Y,07,4.0,0,,*,72,96
96SH00120, 94637138,2,63,K7138,58,5,11.8,1,71,1996-03-11,,Y,06,2.0,208,1996-05-15,2,,96
96SH00121, 90100640,2,10,S0640,60,4,10.0,1,71,1996-03-11,,Y,41,6.0,224,1996-05-07,1,80,96
96SH00122, 94637283,2,63,K7283,56,6,12.2,1,71,1996-03-11,,Y,06,2.0,195,1996-04-26,2,,96
96SH00123, 94105163,2,10,S5163,58,5,9.6,1,71,1996-03-11,,Y,42,2.0,134,1996-04-29,1,80,96
96SH00124, 90100512,2,10,S0512,60,4,9.6,1,71,1996-03-11,,Y,41,6.0,137,1996-04-29,1,80,96
96SH00125, 94637567,2,63,K7567,58,5,8.6,1,71,1996-03-11,,Y,06,2.0,180,1996-04-29,1,,96
96SH00126, 93636730,2,63,K6730,56,6,9.8,1,71,1996-03-11,,Y,06,3.0,185,1996-04-26,2,,96
96SH00127, 91101977,2,10,S1977,60,4,9.0,1,71,1996-03-11,,Y,07,5.0,184,1996-04-23,1,,96
96SH00128, 92636216,2,63,K6216,56,6,12.2,1,71,1996-03-11,,Y,06,4.0,167,1996-05-15,2,,96
96SH00129, 92635835,2,63,K5835,58,5,9.6,1,71,1996-03-11,,Y,06,4.0,184,1996-04-23,1,,96
96SH00130, 92636189,2,63,K6189,58,5,9.8,1,71,1996-03-11,,Y,06,4.0,229,1996-04-23,1,,96
96SH00131, 94104840,2,10,S4840,60,4,9.8,1,71,1996-03-11,,Y,07,2.0,175,1996-04-26,2,77,96
96SH00132, 94104922,2,10,S4922,58,5,10.0,1,71,1996-03-11,,Y,42,2.0,152,1996-05-07,1,74,96
96SH00133, 94104876,2,10,S4876,64,2,7.2,1,71,1996-03-11,,Y,07,2.0,174,1996-04-23,1,60,96
96SH00134, 93636904,2,63,K6904,58,5,11.0,1,71,1996-03-11,,Y,06,3.0,180,1996-05-01,2,,96
96SH00135, 92102901,2,10,S2901,60,4,8.4,1,71,1996-03-11,,Y,07,4.0,140,1996-04-29,1,70,96
96SH00136, 90635110,2,63,K5110,54,7,14.2,1,71,1996-03-11,,Y,06,6.0,246,1996-05-07,1,,96
96SH00137, 94637121,2,63,K7121,56,6,12.0,1,71,1996-03-11,,Y,06,2.0,192,1996-04-23,1,,96
96SH00138, 91101312,2,10,S1312,64,2,11.8,1,71,1996-03-11,,Y,42,5.0,160,1996-05-01,2,67,96
96SH00139, 93103907,2,10,S3907,60,4,8.4,1,71,1996-03-11,,Y,08,3.0,176,1996-05-01,2,,96
96SH00140, 91635295,2,63,K5295,54,7,14.6,1,71,1996-03-11,,Y,06,5.0,247,1996-05-07,1,,96
96SH00141, 94104833,2,10,S4833,62,3,7.4,1,71,1996-03-11,,Y,42,2.0,156,1996-04-29,1,70,96
96SH00142, 93103846,2,10,S3846,60,4,10.4,1,71,1996-03-11,,Y,43,3.0,172,1996-05-07,1,82,96
96SH00143, 94104868,2,10,S4868,60,4,8.2,1,71,1996-03-11,,Y,07,2.0,157,1996-04-26,2,76,96
96SH00144, 92635868,2,63,K5868,62,3,8.2,1,71,1996-03-11,,Y,06,4.0,206,1996-04-23,1,,96
96SH00145, 94637554,2,63,K7554,58,5,11.4,1,71,1996-03-11,,Y,06,2.0,162,1996-05-01,2,,96
96SH00146, 90100867,2,10,S0867,60,4,8.4,1,71,1996-03-11,,Y,07,6.0,183,1996-04-26,2,63,96
96SH00147, 90100519,2,10,S0519,62,3,8.6,1,71,1996-03-11,,Y,41,6.0,150,1996-05-01,2,75,96
96SH00148, 90100328,2,10,S0328,60,4,8.8,1,71,1996-03-11,,Y,07,6.0,159,1996-04-26,2,63,96
96SH00149, 94105184,2,10,S5184,64,2,9.6,1,71,1996-03-11,,Y,42,2.0,165,1996-04-26,2,70,96
96SH00150, 92103128,2,10,S3128,62,3,8.6,1,71,1996-03-11,,Y,07,4.0,160,1996-04-29,1,,96
96SH00151, 91635493,2,63,K5493,56,6,12.4,1,71,1996-03-11,,Y,06,5.0,196,1996-04-23,1,,96
96SH00152, 90100959,2,10,S0959,62,3,9.2,1,71,1996-03-11,,Y,07,6.0,167,1996-05-10,2,70,96
96SH00153, 94104554,2,10,S4554,60,4,10.6,1,71,1996-03-11,,Y,07,2.0,169,1996-04-23,1,78,96
96SH00154, 93103837,2,10,S3837,58,5,7.4,1,71,1996-03-11,,Y,07,3.0,182,1996-04-23,1,,96
96SH00155, 92636239,2,63,K6239,58,5,9.8,1,71,1996-03-11,,Y,06,4.0,197,1996-05-01,2,,96
96SH00156, 92636278,2,63,K6278,56,6,10.4,1,71,1996-03-11,,Y,06,4.0,183,1996-05-01,2,,96
96SH00157, 91635711,2,63,K5711,58,5,11.2,1,71,1996-03-11,,Y,06,5.0,196,1996-05-01,2,,96
96SH00158, 89199928,2,19,S9928,60,4,8.2,1,71,1996-03-11,,Y,07,7.0,175,1996-04-26,2,67,96
96SH00159, 93636761,2,63,K6761,56,6,9.2,1,71,1996-03-11,,Y,05,3.0,171,1996-05-01,2,,96
96SH00160, 94104630,2,10,S4630,58,5,10.8,1,71,1996-03-11,,Y,42,2.0,145,1996-04-29,1,92,96
96SH00161, 93103779,2,10,S3779,60,4,9.8,1,71,1996-03-11,,Y,43,3.0,155,1996-05-01,2,63,96
96SH00162, 93103773,2,10,S3773,58,5,12.6,1,71,1996-03-11,,Y,43,3.0,185,1996-04-29,1,87,96
96SH00163, 94104886,2,10,S4886,60,4,7.4,1,71,1996-03-11,,Y,07,2.0,137,1996-04-29,1,70,96
96SH00164, 90100688,2,10,S0688,58,5,10.6,1,71,1996-03-11,,Y,41,6.0,167,1996-04-26,2,89,96
96SH00165, 92102318,2,10,S2318,60,4,10.2,1,71,1996-03-11,,Y,42,4.0,176,1996-05-07,1,82,96
96SH00166, 92635879,2,63,K5879,58,5,8.6,1,71,1996-03-11,,Y,06,4.0,174,1996-04-23,1,,96
96SH00167, 93104136,2,10,S4136,60,4,11.8,1,71,1996-03-11,,Y,07,3.0,157,1996-05-10,2,68,96
96SH00168, 92636038,2,63,K6038,58,5,9.8,1,71,1996-03-11,,Y,06,4.0,206,1996-05-01,2,,96
96SH00169, 90100578,2,10,S0578,58,5,10.2,1,71,1996-03-11,,Y,41,6.0,142,1996-04-23,1,100,96
96SH00170, 92636364,2,63,K6364,58,5,10.0,1,71,1996-03-11,,Y,06,4.0,206,1996-05-07,1,,96
96SH00171, 91101895,2,10,S1895,60,4,9.6,1,71,1996-03-11,,Y,07,5.0,169,1996-04-29,1,74,96
96SH00172, 93103871,2,10,S3871,60,4,10.4,1,71,1996-03-11,,Y,08,3.0,175,1996-04-23,1,,96
96SH00173, 89199576,2,19,S9576,62,3,10.0,1,71,1996-03-11,,Y,07,7.0,176,1996-04-29,1,57,96
96SH00174, 94105131,2,10,S5131,58,5,9.4,1,71,1996-03-11,,Y,07,2.0,139,1996-04-29,1,71,96
96SH00175, 91101556,2,10,S1556,60,4,9.4,1,71,1996-03-11,,Y,07,5.0,183,1996-04-23,1,75,96
96SH00176, 94104560,2,10,S4560,60,4,8.0,1,71,1996-03-11,,Y,07,2.0,163,1996-05-07,1,79,96
96SH00177, 94637270,2,63,K7270,60,4,8.6,1,71,1996-03-11,,Y,06,2.0,191,1996-04-23,1,,96
96SH00178, 94637101,2,63,K7101,60,4,8.2,1,71,1996-03-11,,Y,05,2.0,150,1996-04-23,1,,96
96SH00179, 92102370,2,10,S2370,58,5,8.4,1,71,1996-03-11,,Y,07,4.0,180,1996-04-26,2,68,96
96SH00180, 94104924,2,10,S4924,62,3,10.0,1,71,1996-03-11,,Y,07,2.0,147,1996-04-23,1,73,96
96SH00181, 94637281,2,63,K7281,62,3,8.2,1,71,1996-03-11,,Y,06,2.0,168,1996-04-29,1,,96
96SH00182, 92103088,2,10,S3088,62,3,8.6,1,71,1996-03-11,,Y,07,4.0,154,1996-05-07,1,63,96
96SH00183, 94104711,2,10,S4711,60,4,13.2,1,71,1996-03-11,,Y,42,2.0,170,1996-04-23,1,83,96
96SH00184, 94105086,2,10,S5086,58,5,11.6,1,71,1996-03-11,,Y,07,2.0,191,1996-05-07,1,70,96
96SH00185, 93103558,2,10,S3558,60,4,6.6,1,71,1996-03-11,,Y,08,3.0,162,1996-05-01,2,,96
96SH00186, 93103824,2,10,S3824,60,4,9.8,1,71,1996-03-11,,Y,43,3.0,172,1996-04-26,2,70,96
96SH00187, 94104397,2,10,S4397,58,5,8.0,1,71,1996-03-11,,Y,07,2.0,135,1996-04-23,1,79,96
96SH00188, 92102768,2,10,S2768,60,4,9.8,1,71,1996-03-11,,Y,07,4.0,179,1996-04-23,1,,96
96SH00189, 92102351,2,10,S2351,58,5,10.2,1,71,1996-03-11,,Y,42,4.0,155,1996-04-23,1,68,96
96SH00190, 90100536,2,10,S0536,64,2,7.8,1,71,1996-03-11,,Y,07,6.0,142,1996-04-23,1,60,96
96SH00191, 94104536,2,10,S4536,56,6,10.2,1,71,1996-03-11,,Y,07,2.0,170,1996-05-07,1,89,96
96SH00192, 93636911,2,63,K6911,56,6,9.4,1,71,1996-03-11,,Y,06,3.0,179,1996-04-26,2,,96
96SH00193, 94105299,2,10,S5299,62,3,8.8,1,71,1996-03-11,,Y,07,2.0,140,1996-04-23,1,73,96
96SH00194, 94105042,2,10,S5042,58,5,11.2,1,71,1996-03-11,,Y,42,2.0,170,1996-05-07,1,82,96
96SH00195, 89199777,2,19,S9777,60,4,10.0,1,71,1996-03-11,,Y,07,7.0,175,1996-04-23,1,56,96
96SH00196, 94637321,2,63,K7321,58,5,9.6,1,71,1996-03-11,,Y,06,2.0,172,1996-04-26,2,,96
96SH00197, 91635267,2,63,K5267,58,5,12.4,1,71,1996-03-11,,Y,06,5.0,194,1996-05-07,1,,96
96SH00198, 90634849,2,63,K4849,58,5,10.0,1,71,1996-03-11,,Y,06,6.0,192,1996-05-01,2,,96
96SH00199, 90100784,2,10,S0784,60,4,8.6,1,71,1996-03-11,,Y,41,6.0,179,1996-05-01,2,64,96
96SH00200, 92102365,2,10,S2365,62,3,9.0,1,71,1996-03-11,,Y,07,4.0,145,1996-04-23,1,62,96
96SH00201, 91101810,2,10,S1810,60,4,9.4,1,71,1996-03-11,,Y,42,5.0,196,1996-05-07,1,67,96
96SH00202, 94637214,2,63,K7214,58,5,12.6,1,71,1996-03-11,,Y,06,2.0,180,1996-04-29,1,,96
96SH00203, 90100932,2,10,S0932,58,5,9.8,1,71,1996-03-11,,Y,07,6.0,162,1996-04-23,1,70,96
96SH00204, 91102100,2,10,S2100,62,3,9.4,1,71,1996-03-11,,Y,42,5.0,164,1996-04-29,1,60,96
96SH00205, 94104703,2,10,S4703,60,4,9.4,1,71,1996-03-11,,Y,07,2.0,190,1996-04-23,1,71,96
96SH00206, 90634490,2,63,K4490,58,5,9.2,1,71,1996-03-11,,Y,06,6.0,151,1996-06-17,5,,96
96SH00207, 90100675,2,10,S0675,60,4,11.4,1,71,1996-03-11,,Y,07,6.0,171,1996-04-26,2,69,96
96SH00208, 90100657,2,10,S0657,58,5,11.4,1,71,1996-03-11,,Y,07,6.0,188,1996-04-23,1,75,96
96SH00209, 92102399,2,10,S2399,60,4,9.2,1,71,1996-03-11,,Y,07,4.0,188,1996-04-26,2,82,96
96SH00210, 93103503,2,10,S3503,60,4,10.2,1,71,1996-03-11,,Y,43,3.0,190,1996-04-29,1,73,96
96SH00211, 89100031,2,10,S0031,64,2,10.2,1,71,1996-03-11,,Y,07,7.0,173,1996-04-23,1,56,96
96SH00212, 94104659,2,10,S4659,58,5,10.2,1,71,1996-03-11,,Y,07,2.0,175,1996-04-23,1,72,96
96SH00213, 90100795,2,10,S0795,58,5,10.4,1,71,1996-03-11,,Y,41,6.0,161,1996-05-07,1,70,96
96SH00214, 94104497,2,10,S4497,62,3,7.0,1,71,1996-03-11,,Y,07,2.0,160,1996-05-07,1,62,96
96SH00215, 93104002,2,10,S4002,62,3,9.0,1,71,1996-03-11,,Y,07,3.0,154,1996-04-23,1,,96
96SH00216, 89100072,2,10,S0072,60,4,8.6,1,71,1996-03-11,,Y,07,7.0,160,1996-04-23,1,59,96
96SH00217, 94105059,2,10,S5059,58,5,9.6,1,71,1996-03-11,,Y,07,2.0,176,1996-05-01,2,75,96
96SH00218, 88198826,2,19,S8826,62,3,9.8,1,71,1996-03-11,,Y,07,8.0,167,1996-04-26,2,66,96
96SH00219, 91101516,2,10,S1516,60,4,9.6,1,71,1996-03-11,,Y,07,5.0,208,1996-04-23,1,79,96
96SH00220, 91101449,2,10,S1449,60,4,12.6,1,71,1996-03-11,,Y,42,5.0,125,1996-04-23,1,88,96
