UID,ID9,ABN,YR,SEX,BRD,ETAG,LINE,STM,DAYSH,BAND,GRP,SPWT,GRFL,L,CLFL,FLGR1,SIGR,THGR,YLD,HRN,JAW,F,D,N,T,C,WTFEB,SCFEB,RGRP,MICRON,DEV,CRIMP,DIGR,WT_JULY,YEAR,AGE
91SH00030, 84025888, 0,84,2,02,Y5888,83,30,141,X,,154,8.2,0,,6,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00031, 84025953, 0,84,2,02,Y5953,73,30,140,5,,144,6.8,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00032, 84026000, 0,84,2,02,Y6000,73,30,140,X,,178,7.6,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00033, 84026002, 0,84,2,02,Y6002,73,30,140,X,,141,5.9,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00034, 84026048, 0,84,2,02,Y6048,73,30,141,5,,163,5.4,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00035, 84026080, 0,84,2,02,Y6080,73,39,140,X,,97,7.9,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00036, 84026099, 0,84,2,02,Y6099,72,30,140,5,,150,9.4,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00037, 84026108, 0,84,2,02,Y6108,73,30,140,X,,140,10.8,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00038, 84026118, 0,84,2,02,Y6118,73,30,140,X,,136,10.3,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00039, 84026134, 0,84,2,02,Y6134,72,30,140,5,,153,6.1,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00040, 84026173, 0,84,2,02,Y6173,72,30,141,5,,170,10.7,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00041, 84026201, 0,84,2,02,Y6201,73,30,140,5,,123,4.0,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00042, 84026203, 0,84,2,02,Y6203,73,30,140,5,,170,10.3,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00043, 84026222, 0,84,2,02,Y6222,72,30,141,5,,148,8.6,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00044, 84026262, 0,84,2,02,Y6262,73,30,140,5,,136,9.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00045, 84026270, 0,84,2,02,Y6270,73,30,140,5,,138,10.2,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00046, 84026273, 0,84,2,02,Y6273,73,30,140,X,,102,6.1,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00047, 84026370, 0,84,2,02,Y6370,73,30,140,5,,172,9.1,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00048, 84026428, 0,84,2,02,Y6428,73,30,140,5,,160,10.4,0,,3,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00049, 84026429, 0,84,2,02,Y6429,73,30,140,5,,143,7.0,0,,4,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00050, 84026439, 0,84,2,02,Y6439,73,30,137,5,,140,8.5,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00051, 84026488, 0,84,2,02,Y6488,73,30,141,5,,164,9.9,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00052, 84026760, 0,84,2,02,Y6760,73,30,140,5,,156,8.0,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00053, 84026882, 0,84,2,02,Y6882,73,30,140,5,,123,9.5,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00054, 84026974, 0,84,2,02,Y6974,82,30,137,1,,127,5.3,0,,6,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00055, 84027041, 0,84,2,02,Y7041,82,30,137,2,,153,5.8,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00056, 84027043, 0,84,2,02,Y7043,80,30,137,1,,116,5.2,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00057, 84027063, 0,84,2,02,Y7063,82,30,136,1,,162,7.8,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00058, 84027102, 0,84,2,02,Y7102,82,30,136,1,,143,9.3,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00059, 84027113, 0,84,2,02,Y7113,73,30,140,5,,164,11.4,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00060, 84027131, 0,84,2,02,Y7131,82,30,137,1,,171,7.1,0,,6,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00061, 84027134, 0,84,2,02,Y7134,80,30,137,X,,93,8.0,0,,4,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00062, 84027138, 0,84,2,02,Y7138,81,30,136,1,,155,8.5,0,,6,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00063, 84027164, 0,84,2,02,Y7164,72,30,141,5,,207,9.1,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00064, 84027166, 0,84,2,02,Y7166,73,30,137,5,,173,11.5,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00065, 84027241, 0,84,2,02,Y7241,80,30,137,2,,151,6.7,0,,5,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00066, 84027247, 0,84,2,02,Y7247,80,30,137,2,,138,8.6,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00067, 84027344, 0,84,2,02,Y7344,81,30,136,2,,162,9.0,0,,7,,,,,,,,,,,,,,,,,,  0,91,7.0
91SH00068, 84027383, 0,84,2,02,Y7383,73,30,140,X,,145,9.2,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00069, 84027384, 0,84,2,02,Y7384,73,30,140,5,,164,9.6,0,,5,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00070, 84027437, 0,84,2,02,Y7437,80,30,140,X,,135,9.0,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00071, 84027463, 0,84,2,02,Y7463,73,30,140,5,,142,7.0,0,,5,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00072, 84027518, 0,84,2,02,Y7518,73,30,140,5,,133,7.4,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00073, 84027521, 0,84,2,02,Y7521,73,30,140,X,,126,5.2,0,,7,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00074, 84027540, 0,84,2,02,Y7540,72,30,140,5,,129,7.6,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00075, 84027563, 0,84,2,02,Y7563,73,30,140,5,,154,10.8,0,,5,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00076, 84027577, 0,84,2,02,Y7577,72,30,140,5,,151,7.2,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00077, 84027589, 0,84,2,02,Y7589,73,30,140,5,,128,6.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00078, 84027594, 0,84,2,02,Y7594,73,39,140,X,,143,7.7,0,,5,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00079, 84027600, 0,84,2,02,Y7600,73,30,140,5,,143,9.3,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00080, 84027630, 0,84,2,02,Y7630,81,30,137,1,,126,7.7,0,,5,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00081, 84027636, 0,84,2,02,Y7636,73,35,140,5,,163,10.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00082, 84027660, 0,84,2,02,Y7660,73,30,140,5,,150,12.1,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00083, 84027663, 0,84,2,02,Y7663,73,39,140,5,,168,11.1,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00084, 84027676, 0,84,2,02,Y7676,73,30,140,5,,160,11.3,0,,5,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00085, 84027678, 0,84,2,02,Y7678,73,30,140,5,,145,8.5,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00086, 84027686, 0,84,2,02,Y7686,73,35,140,5,,140,10.4,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00087, 84027687, 0,84,2,02,Y7687,73,35,140,5,,151,8.7,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00088, 84027722, 0,84,2,02,Y7722,72,30,140,5,,145,6.6,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00089, 84027736, 0,84,2,02,Y7736,80,30,141,X,,130,10.3,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00090, 84027745, 0,84,2,02,Y7745,73,30,137,5,,128,9.5,0,,4,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00091, 84027763, 0,84,2,02,Y7763,81,30,137,2,,109,7.3,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00092, 84027768, 0,84,2,02,Y7768,73,30,140,5,,160,7.9,0,,7,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00093, 84027787, 0,84,2,02,Y7787,81,30,141,H,,177,10.0,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00094, 84027789, 0,84,2,02,Y7789,73,30,137,5,,135,8.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,6.5
91SH00095, 84027796, 0,84,2,02,Y7796,81,30,137,1,,119,8.3,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.5
91SH00096, 84027807, 0,84,2,02,Y7807,00,30,142,B,B,152,8.9,0,,6,,,,,,,,,,,,,1,,,,,  0,91,6.5
91SH00097, 85027864, 0,85,2,02,Y7864,80,30,136,2,,141,5.8,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00098, 85027866, 0,85,2,02,Y7866,81,30,136,1,,147,7.4,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00099, 85027962, 0,85,2,02,Y7962,82,30,137,1,,143,8.4,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00100, 85027999, 0,85,2,02,Y7999,83,30,137,1,,120,7.6,0,,4,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00101, 85028015, 0,85,2,02,Y8015,83,30,137,2,,156,4.9,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00102, 85028038, 0,85,2,02,Y8038,83,30,137,1,,131,6.5,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00103, 85028085, 0,85,2,02,Y8085,81,30,141,2,,156,7.5,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00104, 85028110, 0,85,2,02,Y8110,80,30,136,1,,159,9.9,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00105, 85028154, 0,85,2,02,Y8154,80,30,137,1,,137,7.3,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00106, 85028181, 0,85,2,02,Y8181,83,30,137,2,,123,7.2,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00107, 85028189, 0,85,2,02,Y8189,83,30,136,2,,172,5.4,0,,5,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00108, 85028261, 0,85,2,02,Y8261,80,30,136,1,,151,6.5,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00109, 85028299, 0,85,2,02,Y8299,83,30,137,1,,134,6.9,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00110, 85028300, 0,85,2,02,Y8300,81,30,137,2,,124,5.6,0,,6,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00111, 85028302, 0,85,2,02,Y8302,81,30,137,1,,173,6.0,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00112, 85028305, 0,85,2,02,Y8305,82,30,136,2,,151,5.7,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00113, 85028313, 0,85,2,02,Y8313,82,30,136,2,,163,9.2,0,,5,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00114, 85028371, 0,85,2,02,Y8371,81,30,136,1,,160,6.7,0,,7,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00115, 85028408, 0,85,2,02,Y8408,80,30,140,X,,150,7.2,0,,5,,,,,,,,,,,,,,,,,,  0,91,6.0
91SH00116, 85028450, 0,85,2,02,Y8450,72,30,141,X,,95,8.5,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00117, 85028453, 0,85,2,02,Y8453,83,30,137,2,,152,5.7,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00118, 85028462, 0,85,2,02,Y8462,83,30,137,1,,171,8.7,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00119, 85028464, 0,85,2,02,Y8464,73,30,140,5,,141,9.0,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00120, 85028476, 0,85,2,02,Y8476,72,30,140,5,,155,7.0,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00121, 85028477, 0,85,2,02,Y8477,72,30,140,5,,164,6.9,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00122, 85028479, 0,85,2,02,Y8479,73,30,140,5,,138,10.2,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00123, 85028484, 0,85,2,02,Y8484,72,30,141,5,,183,8.3,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00124, 85028499, 0,85,2,02,Y8499,72,30,141,5,,176,7.4,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00125, 85028526, 0,85,2,02,Y8526,73,30,140,5,,135,6.0,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00126, 85028568, 0,85,2,02,Y8568,83,30,137,1,,124,6.9,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00127, 85028571, 0,85,2,02,Y8571,73,30,140,5,,159,8.6,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00128, 85028582, 0,85,2,02,Y8582,72,30,141,5,,163,7.4,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00129, 85028600, 0,85,2,02,Y8600,73,30,141,5,,164,11.2,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00130, 85028612, 0,85,2,02,Y8612,73,30,140,5,,155,10.9,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00131, 85028632, 0,85,2,02,Y8632,73,30,141,5,,156,7.2,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00132, 85028639, 0,85,2,02,Y8639,73,30,140,5,,146,10.2,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00133, 85028648, 0,85,2,02,Y8648,73,30,141,5,,157,7.8,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00134, 85028668, 0,85,2,02,Y8668,73,30,136,T,X,141,7.5,0,,4,,,,,,,,,,,,,2,,,,,  0,91,5.5
91SH00135, 85028669, 0,85,2,02,Y8669,73,30,140,5,,147,7.3,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00136, 85028675, 0,85,2,02,Y8675,73,30,140,5,,148,6.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00137, 85028677, 0,85,2,02,Y8677,83,30,137,2,,152,6.9,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00138, 85028692, 0,85,2,02,Y8692,73,30,140,5,,151,10.6,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00139, 85028703, 0,85,2,02,Y8703,73,30,140,5,,153,6.9,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00140, 85028717, 0,85,2,02,Y8717,73,30,140,5,,170,7.7,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00141, 85028719, 0,85,2,02,Y8719,73,30,140,5,,156,9.6,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00142, 85028747, 0,85,2,02,Y8747,72,30,140,5,,163,10.3,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00143, 85028748, 0,85,2,02,Y8748,72,30,140,5,,157,7.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00144, 85028750, 0,85,2,02,Y8750,73,30,140,5,,154,7.0,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00145, 85028759, 0,85,2,02,Y8759,73,30,137,5,,140,9.5,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00146, 85028771, 0,85,2,02,Y8771,72,30,141,X,,153,9.0,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00147, 85028785, 0,85,2,02,Y8785,73,30,140,5,,147,8.6,0,,3,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00148, 85028802, 0,85,2,02,Y8802,80,30,137,2,,158,6.5,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00149, 85028842, 0,85,2,02,Y8842,00,30,142,B,B,148,7.1,0,,7,,,,,,,,,,,,,1,,,,,  0,91,5.5
91SH00150, 85028863, 0,85,2,02,Y8863,73,30,140,5,,154,7.4,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00151, 85028878, 0,85,2,02,Y8878,72,30,141,5,,175,9.6,0,,3,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00152, 85028895, 0,85,2,02,Y8895,81,30,137,1,,140,5.5,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00153, 85028922, 0,85,2,02,Y8922,72,30,141,5,,150,5.5,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00154, 85028924, 0,85,2,02,Y8924,73,30,137,5,,139,8.9,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00155, 85028926, 0,85,2,02,Y8926,73,30,140,5,,159,9.0,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00156, 85028930, 0,85,2,02,Y8930,73,30,140,5,,164,6.5,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00157, 85028942, 0,85,2,02,Y8942,73,30,140,5,,153,8.7,0,,3,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00158, 85028944, 0,85,2,02,Y8944,73,30,140,5,,134,6.7,0,,7,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00159, 85028947, 0,85,2,02,Y8947,73,30,137,5,,153,10.4,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00160, 85028964, 0,85,2,02,Y8964,83,30,137,2,,136,9.5,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00161, 85028995, 0,85,2,02,Y8995,73,30,140,5,,164,9.0,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00162, 85029009, 0,85,2,02,Y9009,73,30,140,5,,163,7.9,0,,4,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00163, 85029044, 0,85,2,02,Y9044,80,30,136,1,,164,9.7,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.5
91SH00164, 85029053, 0,85,2,02,Y9053,73,30,140,5,,179,7.6,0,,5,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00165, 85029054, 0,85,2,02,Y9054,73,30,140,5,,193,8.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,5.5
91SH00166, 86029064, 0,86,2,02,Y9064,80,30,136,1,,176,7.1,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00167, 86029067, 0,86,2,02,Y9067,00,30,142,2,B,139,6.5,0,,7,,,,,,,,,,,,,1,,,,,  0,91,5.0
91SH00168, 86029073, 0,86,2,02,Y9073,83,30,137,1,,135,6.9,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00169, 86029081, 0,86,2,02,Y9081,83,30,136,1,,166,6.8,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00170, 86029094, 0,86,2,02,Y9094,82,30,136,2,,145,6.9,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00171, 86029096, 0,86,2,02,Y9096,83,30,136,2,,145,6.9,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00172, 86029104, 0,86,2,02,Y9104,82,30,137,2,,115,6.6,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00173, 86029112, 0,86,3,02,Y9112,00,30,142,B,W,161,6.0,0,,7,,,,,,,,,,,,,1,,,,,  0,91,5.0
91SH00174, 86029140, 0,86,2,02,Y9140,82,30,137,1,,141,8.8,0,,4,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00175, 86029143, 0,86,2,02,Y9143,82,30,137,1,,136,7.7,0,,4,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00176, 86029163, 0,86,2,02,Y9163,84,30,137,2,,140,7.9,0,,4,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00177, 86029164, 0,86,2,02,Y9164,82,30,137,1,,119,7.1,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00178, 86029165, 0,86,2,02,Y9165,82,30,136,1,,138,7.4,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00179, 86029167, 0,86,2,02,Y9167,82,30,136,1,,152,6.0,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00180, 86029192, 0,86,2,02,Y9192,82,30,137,1,,161,6.5,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00181, 86029198, 0,86,2,02,Y9198,82,30,136,2,,178,9.9,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00182, 86029215, 0,86,2,02,Y9215,80,30,137,1,,136,7.3,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00183, 86029223, 0,86,2,02,Y9223,82,30,137,2,,156,8.5,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00184, 86029245, 0,86,2,02,Y9245,81,30,137,1,,110,7.7,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00185, 86029312, 0,86,2,02,Y9312,83,30,137,1,,128,7.1,0,,7,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00186, 86029319, 0,86,2,02,Y9319,81,30,136,1,,175,8.8,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00187, 86029331, 0,86,2,02,Y9331,80,30,136,2,,149,8.8,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00188, 86029335, 0,86,2,02,Y9335,84,30,137,2,,163,6.7,0,,6,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00189, 86029343, 0,86,2,02,Y9343,80,30,136,2,,169,6.7,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
91SH00190, 86029347, 0,86,2,02,Y9347,80,30,137,2,,121,6.7,0,,5,,,,,,,,,,,,,,,,,,  0,91,5.0
