UID,ID9,YR,BRD,ETAG,ID_COW,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
95SH00040, 94104840,94,10,S4840,,2,11,111,2.84,6.3,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00041, 94104669,94,10,S4669,,2,13,103,2.8,6.2,60,4,,73,1995-03-14,1995-04-28,1,,95,42,1.0
95SH00042, 94105288,94,10,S5288,,2,10,123,2.8,6.2,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00043, 94444440,94,44,T4440,,2,41,105,2.72,6.0,60,4,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00044, 94040786,94,04,A0786,,2,81,99,1.68,3.7,58,5,,73,1995-03-14,1995-04-24,2,,95,30,1.0
95SH00045, 94637556,94,63,K7556,,2,00,128,3.16,7.0,58,5,,73,1995-03-14,1995-04-24,1,,95,05,1.0
95SH00046, 94637133,94,63,K7133,,2,61,121,3.3,7.3,60,4,,73,1995-03-14,1995-04-24,1,,95,06,1.0
95SH00047, 94041099,94,04,A1099,,2,ch,102,2.2,4.9,60,4,,73,1995-03-14,1995-05-23,2,,95,30,1.0
95SH00048, 94637380,94,63,K7380,,2,00,101,2.64,5.8,58,5,,73,1995-03-14,1995-05-23,2,,95,05,1.0
95SH00049, 94637050,94,63,K7050,,2,00,118,2.9,6.4,58,5,,73,1995-03-14,1995-05-05,1,,95,05,1.0
95SH00050, 94444403,94,44,T4403,,2,41,137,3.18,7.0,60,4,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00051, 94637643,94,63,K7643,,2,00,146,2.58,5.7,58,5,,73,1995-03-14,1995-04-24,2,,95,05,1.0
95SH00052, 94104566,94,10,S4566,,2,13,101,3.36,7.4,60,4,,73,1995-03-14,1995-04-24,1,,95,42,1.0
95SH00053, 94040911,94,04,A0911,,2,82,100,2.36,5.2,58,5,,73,1995-03-14,1995-05-22,5,,95,30,1.0
95SH00054, 94041236,94,04,A1236,,2,ch,143,2.4,5.3,58,5,,73,1995-03-14,1995-04-24,2,,95,30,1.0
95SH00055, 94041248,94,04,A1248,,2,82,0,2.06,4.5,56,6,,73,1995-03-14,,,,95,30,1.0
95SH00056, 94104784,94,10,S4784,,2,13,98,3.12,6.9,58,5,,73,1995-03-14,1995-05-09,2,,95,42,1.0
95SH00057, 94105144,94,10,S5144,,2,10,113,3.88,8.6,60,4,,73,1995-03-14,1995-04-28,1,,95,07,1.0
95SH00058, 94041439,94,04,A1439,,2,82,128,2.4,5.3,60,4,,73,1995-03-14,1995-05-05,1,,95,30,1.0
95SH00059, 94104539,94,10,S4539,,2,13,104,2.86,6.3,62,3,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00060, 94444388,94,44,T4388,,2,41,123,3.2,7.1,58,5,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00061, 94444294,94,44,T4294,,2,42,103,2.4,5.3,60,4,,73,1995-03-14,1995-05-23,2,,95,02,1.0
95SH00062, 94637592,94,63,K7592,,2,60,159,3.06,6.8,58,5,,73,1995-03-14,1995-04-28,2,,95,06,1.0
95SH00063, 94104674,94,10,S4674,,2,13,120,3.66,8.1,58,5,,73,1995-03-14,1995-05-09,2,,95,42,1.0
95SH00064, 94041314,94,04,A1314,,2,ch,88,2.6,5.7,60,4,,73,1995-03-14,1995-05-23,2,,95,31,1.0
95SH00065, 94104393,94,10,S4393,,2,12,112,3.46,7.6,62,3,,73,1995-03-14,1995-05-22,5,,95,43,1.0
95SH00066, 94104410,94,10,S4410,,2,13,112,3.3,7.3,64,2,,73,1995-03-14,1995-05-09,2,,95,42,1.0
95SH00067, 94444229,94,44,T4229,,2,42,87,2.04,4.5,62,3,,73,1995-03-14,1995-05-22,5,,95,02,1.0
95SH00068, 94104608,94,10,S4608,,2,10,114,3.3,7.3,60,4,,73,1995-03-14,1995-04-24,1,,95,43,1.0
95SH00069, 94104438,94,10,S4438,,2,13,134,2.8,6.2,62,3,,73,1995-03-14,1995-04-24,2,,95,42,1.0
95SH00070, 94104737,94,10,S4737,,2,10,126,2.92,6.4,62,3,,73,1995-03-14,1995-05-22,5,,95,42,1.0
95SH00071, 94637113,94,63,K7113,,2,61,136,4.82,10.6,58,5,,73,1995-03-14,1995-05-22,5,,95,06,1.0
95SH00072, 94637058,94,63,K7058,,2,62,113,2.8,6.2,60,4,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00073, 94105363,94,10,S5363,,2,ch,90,3.18,7.0,60,4,,73,1995-03-14,1995-05-09,2,,95,07,1.0
95SH00074, 94637170,94,63,K7170,,2,61,152,3.9,8.6,58,5,,73,1995-03-14,1995-04-28,1,,95,06,1.0
95SH00075, 94104835,94,10,S4835,,2,13,118,3.6,7.9,58,5,,73,1995-03-14,1995-05-05,1,,95,43,1.0
95SH00076, 94041121,94,04,A1121,,2,ch,96,3.22,7.1,58,5,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00077, 94040754,94,04,A0754,,2,82,101,2.48,5.5,58,5,,73,1995-03-14,1995-04-28,2,,95,30,1.0
95SH00078, 94104728,94,10,S4728,,2,12,115,3.82,8.4,60,4,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00079, 94104497,94,10,S4497,,2,12,108,2.06,4.5,62,3,,73,1995-03-14,1995-05-05,1,,95,07,1.0
95SH00080, 94444219,94,44,T4219,,2,42,101,2.38,5.3,60,4,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00081, 94041188,94,04,A1188,,2,81,114,1.96,4.3,60,4,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00082, 94041228,94,04,A1228,,2,ch,131,2.9,6.4,58,5,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00083, 94040798,94,04,A0798,,2,82,114,1.94,4.3,62,3,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00084, 94104911,94,10,S4911,,2,11,113,2.76,6.1,58,5,,73,1995-03-14,1995-05-05,1,,95,07,1.0
95SH00085, 94637471,94,63,K7471,,2,00,142,2.86,6.3,58,5,,73,1995-03-14,1995-05-22,5,,95,05,1.0
95SH00086, 94105254,94,10,S5254,,2,12,105,3.34,7.4,58,5,,73,1995-03-14,1995-05-15,2,,95,42,1.0
95SH00087, 94637702,94,63,K7702,,2,00,121,2.86,6.3,58,5,,73,1995-03-14,1995-05-05,1,,95,05,1.0
95SH00088, 94040929,94,04,A0929,,2,81,133,2.3,5.1,60,4,,73,1995-03-14,1995-04-24,2,,95,30,1.0
95SH00089, 94104424,94,10,S4424,,2,10,121,3.06,6.8,58,5,,73,1995-03-14,1995-04-24,2,,95,07,1.0
95SH00090, 94104560,94,10,S4560,,2,10,109,2.5,5.5,60,4,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00091, 94104924,94,10,S4924,,2,12,118,3.3,7.3,62,3,BLK SPT WOOL,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00092, 94041125,94,04,A1125,,2,ch,107,2.02,4.5,62,3,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00093, 94041449,94,04,A1449,,2,82,157,1.72,3.8,58,5,,73,1995-03-14,1995-05-09,2,,95,30,1.0
95SH00094, 94104709,94,10,S4709,,2,10,106,2.68,5.9,62,3,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00095, 94040939,94,04,A0939,,2,ch,122,2.16,4.8,60,4,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00096, 94041133,94,04,A1133,,2,ch,103,2.12,4.7,60,4,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00097, 94104657,94,10,S4657,,2,13,111,3.9,8.6,60,4,,73,1995-03-14,1995-05-15,2,,95,42,1.0
95SH00098, 94041088,94,04,A1088,,2,ch,106,1.98,4.4,58,5,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00099, 94637040,94,63,K7040,,2,61,125,3.88,8.6,58,5,,73,1995-03-14,1995-05-15,2,,95,06,1.0
95SH00100, 94444292,94,44,T4292,,2,42,120,1.92,4.2,62,3,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00101, 94104711,94,10,S4711,,2,12,146,4.52,10.0,58,5,,73,1995-03-14,1995-05-05,1,,95,42,1.0
95SH00102, 94105041,94,10,S5041,,2,11,129,2.56,5.6,64,2,,73,1995-03-14,1995-05-09,2,,95,07,1.0
95SH00103, 94041000,94,04,A1000,,2,ch,116,1.8,4.0,60,4,,73,1995-03-14,1995-05-19,2,,95,31,1.0
95SH00104, 94104564,94,10,S4564,,2,10,131,3.6,7.9,64,2,,73,1995-03-14,1995-04-28,2,,95,07,1.0
95SH00105, 94104850,94,10,S4850,,2,11,105,2.3,5.1,62,3,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00106, 94104522,94,10,S4522,,2,12,97,3.5,7.7,58,5,,73,1995-03-14,1995-04-28,2,,95,07,1.0
95SH00107, 94637101,94,63,K7101,,2,00,118,3.2,7.1,58,5,,73,1995-03-14,1995-04-28,1,,95,05,1.0
95SH00108, 94104694,94,10,S4694,,2,12,101,2.22,4.9,62,3,,73,1995-03-14,1995-05-09,2,,95,07,1.0
95SH00109, 94041293,94,04,A1293,,2,ch,110,1.68,3.7,60,4,,73,1995-03-14,1995-05-19,2,,95,31,1.0
95SH00110, 94041097,94,04,A1097,,2,ch,0,2.32,5.1,58,5,,73,1995-03-14,,,,95,30,1.0
95SH00111, 94637387,94,63,K7387,,2,61,123,3.0,6.6,58,5,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00112, 94104828,94,10,S4828,,2,11,112,2.92,6.4,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00113, 94041198,94,04,A1198,,2,ch,104,1.9,4.2,58,5,,73,1995-03-14,1995-05-09,2,,95,30,1.0
95SH00114, 93040602,93,04,A0602,,2,73,108,2.0,4.4,58,5,FL EWE,73,1995-03-14,1995-05-09,2,,95,30,1.5
95SH00115, 94040805,94,04,A0805,,2,82,0,2.6,5.7,60,4,,73,1995-03-14,,,,95,30,1.0
95SH00116, 94444232,94,44,T4232,,2,42,98,2.48,5.5,62,3,,73,1995-03-14,1995-05-22,5,,95,02,1.0
95SH00117, 94040711,94,04,A0711,,2,81,148,2.3,5.1,58,5,,73,1995-03-14,1995-05-05,1,,95,30,1.0
95SH00118, 94105164,94,10,S5164,,2,10,110,2.48,5.5,60,4,,73,1995-03-14,1995-05-23,2,,95,42,1.0
95SH00119, 94104619,94,10,S4619,,2,12,116,2.52,5.6,60,4,,73,1995-03-14,1995-05-05,1,,95,07,1.0
95SH00120, 94444379,94,44,T4379,,2,ch,125,2.76,6.1,60,4,,73,1995-03-14,1995-05-15,2,,95,01,1.0
95SH00121, 94041151,94,04,A1151,,2,81,144,2.54,5.6,60,4,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00122, 94040719,94,04,A0719,,2,82,111,2.28,5.0,58,5,,73,1995-03-14,1995-05-22,5,,95,30,1.0
95SH00123, 94104492,94,10,S4492,,2,10,103,2.6,5.7,62,3,,73,1995-03-14,1995-05-22,5,,95,42,1.0
95SH00124, 94637560,94,63,K7560,,2,00,139,3.4,7.5,58,5,,73,1995-03-14,1995-05-05,1,,95,05,1.0
95SH00125, 94105059,94,10,S5059,,2,11,112,3.28,7.2,58,5,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00126, 94637509,94,63,K7509,,2,60,143,3.4,7.5,62,3,,73,1995-03-14,1995-05-23,2,,95,06,1.0
95SH00127, 94105163,94,10,S5163,,2,10,107,3.0,6.6,60,4,,73,1995-03-14,1995-05-19,2,,95,42,1.0
95SH00128, 94444320,94,44,T4320,,2,41,120,2.96,6.5,58,5,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00129, 94040709,94,04,A0709,,2,81,137,2.4,5.3,56,6,,73,1995-03-14,1995-04-28,1,,95,30,1.0
95SH00130, 94637212,94,63,K7212,,2,60,147,3.84,8.5,60,4,,73,1995-03-14,1995-04-28,1,,95,06,1.0
95SH00131, 94041347,94,04,A1347,,2,ch,120,2.62,5.8,60,4,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00132, 94040956,94,04,A0956,,2,ch,98,1.9,4.2,58,5,,73,1995-03-14,1995-05-23,2,,95,30,1.0
95SH00133, 94637263,94,63,K7263,,2,60,149,5.28,11.6,54,7,,73,1995-03-14,1995-04-28,2,,95,06,1.0
95SH00134, 94040961,94,04,A0961,,2,ch,111,2.14,4.7,58,5,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00135, 94637284,94,63,K7284,,2,61,146,3.38,7.5,60,4,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00136, 94104616,94,10,S4616,,2,12,109,3.03,6.7,60,4,,73,1995-03-14,1995-04-24,1,,95,07,1.0
95SH00137, 94444556,94,44,T4556,,2,41,103,2.74,6.0,58,5,,73,1995-03-14,1995-05-23,2,,95,02,1.0
95SH00138, 94041503,94,04,A1503,,2,82,115,2.32,5.1,60,4,,73,1995-03-14,1995-05-15,2,,95,30,1.0
95SH00139, 94041451,94,04,A1451,,2,82,94,1.96,4.3,58,5,?,73,1995-03-14,1995-05-09,2,,95,30,1.0
95SH00140, 94637692,94,63,K7692,,2,61,140,2.72,6.0,58,5,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00141, 94104865,94,10,S4865,,2,12,107,2.06,4.5,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00142, 94104943,94,10,S4943,,2,10,100,2.86,6.3,62,3,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00143, 94105393,94,10,S5393,,2,ch,119,2.82,6.2,58,5,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00144, 94104640,94,10,S4640,,2,12,128,4.46,9.8,60,4,,73,1995-03-14,1995-05-05,1,,95,43,1.0
95SH00145, 94104668,94,10,S4668,,2,11,119,2.96,6.5,62,3,,73,1995-03-14,1995-05-05,1,,95,07,1.0
95SH00146, 94041469,94,04,A1469,,2,82,106,1.76,3.9,58,5,,73,1995-03-14,1995-05-22,5,,95,30,1.0
95SH00147, 94104392,94,10,S4392,,2,12,99,1.98,4.4,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00148, 94041279,94,04,A1279,,2,ch,110,2.44,5.4,58,5,,73,1995-03-14,1995-05-25,C,,95,30,1.0
95SH00149, 94041129,94,04,A1129,,2,ch,104,2.54,5.6,60,4,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00150, 94637253,94,63,K7253,,2,60,144,4.54,10.0,60,4,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00151, 94104466,94,10,S4466,,2,11,109,3.3,7.3,60,4,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00152, 94104396,94,10,S4396,,2,12,105,2.3,5.1,58,5,,73,1995-03-14,1995-05-09,2,,95,07,1.0
95SH00153, 94637668,94,63,K7668,,2,00,137,3.22,7.1,56,6,,73,1995-03-14,1995-05-22,5,,95,05,1.0
95SH00154, 94105180,94,10,S5180,,2,10,121,3.32,7.3,58,5,,73,1995-03-14,1995-05-15,2,,95,43,1.0
95SH00155, 94104801,94,10,S4801,,2,10,126,2.1,4.6,62,3,,73,1995-03-14,1995-04-24,2,,95,07,1.0
95SH00156, 94105111,94,10,S5111,,2,10,120,2.68,5.9,62,3,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00157, 94041397,94,04,A1397,,2,81,116,2.42,5.3,58,5,,73,1995-03-14,1995-04-28,2,,95,30,1.0
95SH00158, 94040819,94,04,A0819,,2,81,102,1.96,4.3,62,3,,73,1995-03-14,1995-04-28,1,,95,30,1.0
95SH00159, 94104833,94,10,S4833,,2,10,121,2.72,6.0,60,4,,73,1995-03-14,1995-05-05,1,,95,42,1.0
95SH00160, 94041338,94,04,A1338,,2,ch,108,3.1,6.8,58,5,,73,1995-03-14,1995-05-15,2,,95,31,1.0
95SH00161, 94637219,94,63,K7219,,2,61,136,3.8,8.4,58,5,,73,1995-03-14,1995-05-05,1,,95,06,1.0
95SH00162, 94444459,94,44,T4459,,2,41,134,2.64,5.8,58,5,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00163, 94637027,94,63,K7027,,2,60,149,3.62,8.0,56,6,,73,1995-03-14,1995-04-24,2,,95,06,1.0
95SH00164, 94444364,94,44,T4364,,2,ch,131,3.76,8.3,58,5,,73,1995-03-14,1995-05-09,2,,95,01,1.0
95SH00165, 94444395,94,44,T4395,,2,41,125,2.4,5.3,60,4,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00166, 94104886,94,10,S4886,,2,10,104,2.52,5.6,60,4,,73,1995-03-14,1995-04-28,2,,95,07,1.0
95SH00167, 94105303,94,10,S5303,,2,ch,100,2.84,6.3,62,3,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00168, 94637577,94,63,K7577,,2,60,153,3.6,7.9,58,5,,73,1995-03-14,1995-04-28,2,,95,06,1.0
95SH00169, 94040774,94,04,A0774,,2,82,112,2.08,4.6,60,4,,73,1995-03-14,1995-04-24,1,,95,30,1.0
95SH00170, 94104714,94,10,S4714,,2,13,98,2.8,6.2,60,4,,73,1995-03-14,1995-05-15,2,,95,42,1.0
95SH00171, 94041286,94,04,A1286,,2,ch,100,1.9,4.2,60,4,,73,1995-03-14,1995-05-25,C,,95,31,1.0
95SH00172, 94041161,94,04,A1161,,2,ch,91,2.72,6.0,58,5,,73,1995-03-14,1995-05-09,2,,95,31,1.0
95SH00173, 94637281,94,63,K7281,,2,61,130,2.6,5.7,62,3,,73,1995-03-14,1995-04-28,2,,95,06,1.0
95SH00174, 94637349,94,63,K7349,,2,60,0,3.02,6.7,60,4,,73,1995-03-14,,,,95,06,1.0
95SH00175, 94104742,94,10,S4742,,2,13,107,3.1,6.8,60,4,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00176, 94105086,94,10,S5086,,2,11,140,4.22,9.3,60,4,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00177, 94104688,94,10,S4688,,2,13,117,4.14,9.1,58,5,,73,1995-03-14,1995-05-22,5,,95,42,1.0
95SH00178, 94104817,94,10,S4817,,2,10,134,3.77,8.3,60,4,,73,1995-03-14,1995-05-09,2,,95,42,1.0
95SH00179, 94104503,94,10,S4503,,2,10,115,3.0,6.6,62,3,,73,1995-03-14,1995-04-28,1,,95,43,1.0
95SH00180, 94444236,94,44,T4236,,2,41,136,3.1,6.8,58,5,,73,1995-03-14,1995-05-09,2,,95,02,1.0
95SH00181, 94104890,94,10,S4890,,2,13,102,2.66,5.9,58,5,,73,1995-03-14,1995-05-22,5,,95,42,1.0
95SH00182, 94041047,94,04,A1047,,2,ch,119,2.32,5.1,62,3,,73,1995-03-14,1995-05-15,2,,95,31,1.0
95SH00183, 94444415,94,44,T4415,,2,41,124,2.82,6.2,60,4,,73,1995-03-14,1995-05-05,1,,95,02,1.0
95SH00184, 94637341,94,63,K7341,,2,61,136,3.2,7.1,54,7,,73,1995-03-14,1995-05-05,1,,95,06,1.0
95SH00185, 94041169,94,04,A1169,,2,ch,97,2.06,4.5,60,4,,73,1995-03-14,1995-05-19,2,,95,31,1.0
95SH00186, 94041014,94,04,A1014,,2,81,122,3.2,7.1,60,4,,73,1995-03-14,1995-05-23,2,,95,30,1.0
95SH00187, 94041079,94,04,A1079,,2,ch,118,1.96,4.3,64,2,,73,1995-03-14,1995-05-15,2,,95,31,1.0
95SH00188, 94041101,94,04,A1101,,2,81,111,2.56,5.6,58,5,,73,1995-03-14,1995-04-28,2,,95,30,1.0
95SH00189, 94444343,94,44,T4343,,2,ch,153,3.68,8.1,54,7,,73,1995-03-14,1995-05-19,2,,95,32,1.0
95SH00190, 94041074,94,04,A1074,,2,81,119,1.74,3.8,58,5,,73,1995-03-14,1995-05-22,5,,95,30,1.0
95SH00191, 94444553,94,44,T4553,,2,42,125,2.14,4.7,62,3,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00192, 94040952,94,04,A0952,,2,82,113,1.52,3.4,62,3,,73,1995-03-14,1995-04-28,2,,95,30,1.0
95SH00193, 94637034,94,63,K7034,,2,62,142,3.88,8.6,54,7,,73,1995-03-14,1995-05-09,2,,95,06,1.0
95SH00194, 94444354,94,44,T4354,,2,42,96,2.2,4.9,60,4,,73,1995-03-14,1995-05-23,2,,95,02,1.0
95SH00195, 94041131,94,04,A1131,,2,ch,103,1.96,4.3,62,3,,73,1995-03-14,1995-04-28,2,,95,31,1.0
95SH00196, 94104810,94,10,S4810,,2,11,112,2.3,5.1,62,3,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00197, 94637554,94,63,K7554,,2,61,151,3.94,8.7,58,5,,73,1995-03-14,1995-05-15,2,,95,06,1.0
95SH00198, 94104754,94,10,S4754,,2,13,118,3.18,7.0,62,3,,73,1995-03-14,1995-05-19,2,,95,07,1.0
95SH00199, 94104834,94,10,S4834,,2,10,113,3.52,7.8,60,4,,73,1995-03-14,1995-05-09,2,,95,43,1.0
95SH00200, 94104916,94,10,S4916,,2,10,94,3.04,6.7,62,3,,73,1995-03-14,1995-05-05,1,,95,43,1.0
95SH00201, 94104675,94,10,S4675,,2,12,117,3.24,7.1,60,4,,73,1995-03-14,1995-05-23,2,,95,07,1.0
95SH00202, 94637183,94,63,K7183,,2,60,127,3.4,7.5,58,5,,73,1995-03-14,1995-05-19,2,,95,06,1.0
95SH00203, 94637138,94,63,K7138,,2,60,156,4.06,9.0,58,5,,73,1995-03-14,1995-05-22,5,,95,06,1.0
95SH00204, 94041026,94,04,A1026,,2,82,116,1.7,3.8,64,2,,73,1995-03-14,1995-04-24,2,,95,30,1.0
95SH00205, 94637313,94,63,K7313,,2,61,120,3.76,8.3,58,5,,73,1995-03-14,1995-05-22,5,,95,06,1.0
95SH00206, 94105100,94,10,S5100,,2,10,127,3.16,7.0,60,4,,73,1995-03-14,1995-04-24,2,,95,07,1.0
95SH00207, 94041134,94,04,A1134,,2,ch,102,2.14,4.7,60,4,,73,1995-03-14,1995-04-28,2,,95,31,1.0
95SH00208, 94444186,94,44,T4186,,2,41,126,3.36,7.4,58,5,,73,1995-03-14,1995-05-15,2,,95,02,1.0
