UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDAR,CLR,ALTID,INBRL,CULLPILE,YRREC
21IN00056,2019060356,A0356,06,A0356,19,2,,1,30,38,H9917,05,H9443,05,7,,,1,,1,,164,172,2,,,,,,,2.0,.,,,,1,,0.042,,2021
21IN00057,2019060363,A0363,06,A0363,19,2,,1,30,38,H9917,05,H9598,05,,,,1,,1,,147,152,2,,,,,,,2.0,.,,,,1,,0.032,,2021
21IN00058,2019060370,A0370,06,A0370,19,2,,1,30,35,H9845,05,H8054,05,0,,,1,,1,,160,171,2,,,,,,,2.0,.,,,,1,,0.03,,2021
21IN00059,2019060373,A0373,06,A0373,19,2,,1,30,32,H9641,05,H9460,05,,,,2,,1,,134,153,2,,92,0916,,,,2.0,.,,,15134,1,,0.035,,2021
21IN00060,2019060376,A0376,06,A0376,19,2,,1,30,31,H9421,05,H9380,05,7,,,2,,2,,186,182,2,,92,0916,,,,2.0,IMPATIENT,,,15165,1,,0.038,,2021
21IN00061,2019060377,A0377,06,A0377,19,2,,1,30,31,H9421,05,H9380,05,7,,,6,,,,0,0,0,,03,0215,,,,2.0,FROM.A2,,,,1,,0.038,,2021
21IN00062,2019060378,A0378,06,A0378,19,2,,1,30,34,H9784,05,H9229,05,,,,6,,,,0,0,0,,43,0321,,,,2.0,+AbdomRupture,,,,1,,0.033,,2021
21IN00063,2019060379,A0379,06,A0379,19,1,,1,30,34,H9784,05,H9229,05,,,,2,,M,,255,268,0,,92,0825,,,,2.0,Scurs,,,3053,1,,0.033,,2021
21IN00064,2019060380,A0380,06,A0380,19,2,,1,30,33,H9684,05,H9117,05,0,,,1,,1,,134,158,2,,,,,,,2.0,.,,,,1,,0.036,,2021
21IN00065,2019060388,A0388,06,A0388,19,2,,1,30,37,H9879,05,H9430,05,,,,2,,2,,185,158,2,,92,0916,,,,2.0,.,,,15173,1,,0.037,,2021
21IN00066,2019060389,A0389,06,A0389,19,2,,1,30,37,H9879,05,H9430,05,,,,1,,D,,193,202,2,,,,,,,2.0,.,,,,1,,0.037,,2021
21IN00067,2019060390,A0390,06,A0390,19,1,,1,30,34,H9784,05,H9512,05,0,,,3,,M,,223,233,0,,93,0912,,,,2.0,To MARC,,,3100,1,,0.047,,2021
21IN00068,2019060393,A0393,06,A0393,19,2,,1,30,34,H9784,05,H9891,05,0,,,3,,1,,195,180,9,,93,1004,,,,2.0,X Bag,,,15402,1,,0.039,,2021
21IN00069,2019060395,A0395,06,A0395,19,2,,1,30,33,H9684,05,H9299,05,0,,,2,,1,,160,166,2,,92,0916,,,,2.0,SMBAG,,,15164,1,,0.034,,2021
21IN00070,2019060397,A0397,06,A0397,19,1,,1,30,32,H9641,05,H8958,05,0,,,3,,M,,196,220,0,,93,1210,,,,2.0,.,,,15751,1,,0.034,,2021
21IN00071,2019060404,A0404,06,A0404,19,2,,1,30,37,H9879,05,H8981,05,0,,,1,,1,,172,169,2,,,,,,,2.0,SM.BAG,,,,1,,0.032,,2021
21IN00072,2019060407,A0407,06,A0407,19,2,,1,30,32,H9641,05,H7877,05,0,,,1,,2,,226,220,2,,,,,,,2.0,NICE LAMB,,,,1,,0.033,,2021
21IN00073,2019060408,A0408,06,A0408,19,2,,1,30,32,H9641,05,H9528,05,0,,,7,,1,,176,0,0,,97,0906,,,,2.0,.,,,,1,,0.038,,2021
21IN00074,2019060416,A0416,06,A0416,19,1,,1,30,31,H9421,05,H9754,05,0,,,2,,M,,216,246,0,,92,0825,,,,2.0,Scurs,,,3050,1,,0.037,,2021
21IN00075,2019060432,A0432,06,A0432,19,2,,1,30,38,H9917,05,H9882,05,0,,,1,,1,,178,182,2,,,,,,,2.0,.,,,,1,,0.033,,2021
21IN00076,2019060433,A0433,06,A0433,19,2,,1,30,32,H9641,05,H9170,05,0,,,3,,1,,163,161,2,,93,0912,,,,2.0,To MARC,,,3129,1,,0.037,,2021
21IN00077,2019060434,A0434,06,A0434,19,2,,1,30,33,H9684,05,H8786,05,0,,,3,,D,,138,155,5,,93,1018,,,,2.0,X Bag,,,15674,1,,0.028,,2021
21IN00078,2019060435,A0435,06,A0435,19,2,,1,30,33,H9684,05,H8786,05,0,,,1,,1,,158,157,2,,,,,,,2.0,SM.BAG,,,,1,,0.028,,2021
21IN00079,2019060437,A0437,06,A0437,19,2,,1,30,33,H9684,05,H9591,05,7,,,1,,2,,157,172,4,,,,,,,2.0,SM.BAG,,,,1,,0.035,,2021
21IN00080,2019060443,A0443,06,A0443,19,2,,1,30,37,H9879,05,H9455,05,0,,,3,,1,,197,209,1,,93,1018,,,,2.0,Shitty mom,,,15557,1,,0.035,,2021
21IN00081,2019060444,A0444,06,A0444,19,2,,1,30,37,H9879,05,H9455,05,0,,,1,,2,,158,158,2,,,,,,,2.0,.,Trip,,,1,,0.035,,2021
21IN00082,2019060446,A0446,06,A0446,19,2,,1,30,33,H9684,05,H9327,05,0,,,3,,D,,172,188,1,,93,1004,,,,2.0,.,,,15396,1,,0.038,,2021
21IN00083,2019060456,A0456,06,A0456,19,2,,1,30,38,H9917,05,H9095,05,7,,,1,,1,,152,157,2,,,,,,,2.0,.,,,,1,,0.026,,2021
21IN00084,2019060459,A0459,06,A0459,19,1,,1,30,38,H9917,05,H9833,05,,,,1,,M,,215,249,0,,,,,,,2.0,.,,,,1,,0.035,,2021
21IN00085,2019060460,A0460,06,A0460,19,2,,1,30,38,H9917,05,H9833,05,,,,1,,1,,151,176,2,,,,,,,2.0,.,,,,1,,0.035,,2021
21IN00086,2019060471,A0471,06,A0471,19,2,,1,30,32,H9641,05,H8927,05,0,,,3,,1,,161,183,2,,93,0912,,,,2.0,To MARC,,,3143,1,,0.038,,2021
21IN00087,2019060473,A0473,06,A0473,19,2,,1,30,34,H9784,05,H8540,05,0,,,2,,1,,143,152,2,,92,0916,,,,2.0,PINK,,,15145,1,,0.039,,2021
21IN00088,2019060479,A0479,06,A0479,19,2,,1,30,36,H9866,05,H9694,05,0,,,1,,1,,151,147,2,,,,,,,2.0,.,,,,1,,0.037,,2021
21IN00089,2019060484,A0484,06,A0484,19,2,,1,30,38,H9917,05,H8450,05,0,,,3,,1,,166,177,12,,93,1018,,,,2.0,X Bag,,,15554,1,,0.031,,2021
21IN00090,2019060498,A0498,06,A0498,19,2,,1,30,35,H9845,05,H8933,05,,,,1,,1,,188,191,2,,,,,,,2.0,.,,,,1,,0.035,,2021
21IN00091,2019060499,A0499,06,A0499,19,2,,1,30,38,H9917,05,H9270,05,0,,,1,,1,,180,194,2,,,,,,,2.0,.,,,,1,,0.031,,2021
21IN00092,2019060506,A0506,06,A0506,19,2,,1,30,38,H9917,05,H8925,05,0,,,1,,1,,150,165,2,,,,,,,2.0,.,,,,1,,0.037,,2021
21IN00093,2019060508,A0508,06,A0508,19,1,,1,30,38,H9917,05,H8925,05,0,,,1,,M,,239,243,0,,,,,,,2.0,.,Trip,,,1,,0.037,,2021
21IN00094,2019060512,A0512,06,A0512,19,2,,1,30,31,H9421,05,H9935,05,0,,,7,,1,,128,0,0,,97,0906,,,,2.0,.,,,,2,,0.03,,2021
21IN00095,2019060516,A0516,06,A0516,19,2,,1,30,38,H9917,05,H9549,05,0,,,1,,2,,193,182,2,,,,,,,2.0,.,,,,1,,0.032,,2021
21IN00096,2019060522,A0522,06,A0522,19,2,,1,30,31,H9421,05,H9525,05,0,,,3,,1,,150,157,2,,93,0912,,,,2.0,To MARC,,,3154,1,,0.038,,2021
21IN00097,2019060524,A0524,06,A0524,19,1,,1,30,38,H9917,05,H9415,05,0,,,1,,M,,207,218,0,,,,,,,2.0,.,,,,1,,0.028,,2021
21IN00098,2019060533,A0533,06,A0533,19,2,,1,30,31,H9421,05,H9488,05,0,,,1,,1,,157,166,1,,,,,,,2.0,TRYONE,,,,1,,0.038,,2021
21IN00099,2019060535,A0535,06,A0535,19,2,,1,30,33,H9684,05,H9317,05,,,,1,,2,,166,172,2,,,,,,,2.0,.,,,,2,,0.03,,2021
21IN00100,2019060545,A0545,06,A0545,19,2,,1,30,36,H9866,05,H9597,05,,,,1,,2,,186,191,2,,,,,,,2.0,.,,,,1,,0.038,,2021
21IN00101,2019060562,A0562,06,A0562,19,1,,1,30,37,H9879,05,H8908,05,0,,,2,,M,,248,240,0,,92,0825,,,,2.0,.,,,3052,1,,0.031,,2021
21IN00102,2019060563,A0563,06,A0563,19,2,,1,30,37,H9879,05,H8908,05,0,,,3,,1,,154,168,9,,93,1018,,,,2.0,X Bag,,,15626,1,,0.031,,2021
21IN00103,2019060564,A0564,06,A0564,19,2,,1,30,35,H9845,05,H9293,05,7,,,1,,1,,178,164,2,,,,,,,2.0,.,,,,1,,0.039,,2021
21IN00104,2019060569,A0569,06,A0569,19,2,,1,30,34,H9784,05,H9497,05,,,,1,,2,,160,165,3,,,,,,,2.0,.,,,,1,,0.035,,2021
21IN00105,2019060583,A0583,06,A0583,19,2,,1,30,34,H9784,05,H9055,05,0,,,3,,1,,131,149,2,,93,0912,,,,2.0,To MARC,,,3146,1,,0.033,,2021
21IN00106,2019060587,A0587,06,A0587,19,2,,1,30,33,H9684,05,H9900,05,7,,,1,,1,,139,153,2,,,,,,,2.0,SMBAG,,,,1,,0.03,,2021
21IN00107,2019060590,A0590,06,A0590,19,2,,1,30,36,H9866,05,H8005,05,,,,1,,1,,191,190,2,,,,,,,2.0,.,,,,1,,0.031,,2021
21IN00108,2019060591,A0591,06,A0591,19,2,,1,30,36,H9866,05,H8005,05,,,,1,,2,,167,174,2,,,,,,,2.0,.,,,,1,,0.031,,2021
21IN00109,2019060607,A0607,06,A0607,19,2,,1,30,31,H9421,05,H8097,05,0,,,1,,2,,193,182,2,,,,,,,2.0,.,Trip,,,1,,0.028,,2021
21IN00110,2019060609,A0609,06,A0609,19,2,,1,30,36,H9866,05,H9762,05,7,,,1,,2,,189,169,2,,,,,,,2.0,SMBAG,,,,1,,0.042,,2021
21IN00111,2019060611,A0611,06,A0611,19,2,,1,30,34,H9784,05,H9419,05,7,,,1,,2,,158,165,3,,,,,,,2.0,LTRS,,,,1,,0.032,,2021
21IN00112,2019060615,A0615,06,A0615,19,2,,1,30,34,H9784,05,H9923,05,7,,,1,,D,,213,221,2,,,,,,,2.0,.,,,,1,,0.042,,2021
21IN00113,2019060622,A0622,06,A0622,19,2,,1,30,38,H9917,05,H8955,05,0,,,1,,1,,144,173,2,,,,,,,2.0,.,,,,1,,0.036,,2021
21IN00114,2019060632,A0632,06,A0632,19,2,,1,30,35,H9845,05,H8492,05,,,,1,,1,,172,176,2,,,,,,,2.0,.,,,,1,,0.039,,2021
21IN00115,2019060636,A0636,06,A0636,19,2,,1,30,32,H9641,05,H8765,05,,,,3,,2,,174,191,3,,93,0912,,,,2.0,To MARC,,,3123,1,,0.032,,2021
21IN00116,2019060640,A0640,06,A0640,19,2,,1,30,35,H9845,05,H9393,05,0,,,3,,D,,174,188,2,,93,1004,,,,2.0,LAMBNOTFOUND,,,15536,1,,0.038,,2021
21IN00117,2019060641,A0641,06,A0641,19,2,,1,30,35,H9845,05,H9393,05,0,,,1,,1,,128,154,2,,,,,,,2.0,SMBAG,,,,1,,0.038,,2021
21IN00118,2019060645,A0645,06,A0645,19,1,,1,30,31,H9421,05,H9583,05,0,,,3,,M,,211,208,0,,93,0912,,,,2.0,To MARC,Trip,,3095,1,,0.03,,2021
21IN00119,2019060648,A0648,06,A0648,19,2,,1,30,32,H9641,05,H9325,05,7,,,1,,1,,201,199,2,,,,,,,2.0,.,,,,1,,0.038,,2021
21IN00120,2019060654,A0654,06,A0654,19,2,,1,30,38,H9917,05,H9310,05,7,,,1,,1,,165,169,2,,,,,,,2.0,.,,,,1,,0.033,,2021
21IN00121,2019060658,A0658,06,A0658,19,2,,1,30,37,H9879,05,H9756,05,0,,,2,,1,,161,163,1,,92,0916,,,,2.0,.,,,15183,1,,0.038,,2021
21IN00122,2019060668,A0668,06,A0668,19,2,,1,30,33,H9684,05,H8495,05,7,,,1,,H,,141,156,2,,,,,,,2.0,LAME,,,,1,,0.033,,2021
21IN00123,2019060669,A0669,06,A0669,19,1,,1,30,33,H9684,05,H8495,05,7,,,2,,M,,197,213,0,,92,0825,,,,2.0,Scurs,,,3051,1,,0.033,,2021
21IN00124,2019060673,A0673,06,A0673,19,2,,1,30,33,H9684,05,H9834,05,,,,1,,1,,125,167,2,,,,,,,2.0,SMBAG,,,,1,,0.037,,2021
21IN00125,2019060676,A0676,06,A0676,19,2,,1,30,33,H9684,05,H9167,05,7,,,6,,,,0,0,0,,01,0326,,,,2.0,SMBAG,,,,1,,0.024,,2021
21IN00126,2019060677,A0677,06,A0677,19,1,,1,30,33,H9684,05,H9167,05,7,,,3,,M,,185,207,0,,93,0818,,,,2.0,Scurs,,,3017,1,,0.024,,2021
21IN00127,2019060678,A0678,06,A0678,19,1,,1,30,35,H9845,05,H8668,05,0,,,1,,M,,213,217,0,,,,,,,2.0,Tom->Bitter,,,,1,,0.036,,2021
21IN00128,2019060681,A0681,06,A0681,19,1,,1,30,34,H9784,05,H9306,05,0,,,6,,,,0,0,0,,54,0131,,,,2.0,Fighting,,,,1,,0.038,,2021
21IN00129,2019060684,A0684,06,A0684,19,2,,1,30,33,H9684,05,H9025,05,7,,,3,,1,,165,171,9,,93,1018,,,,2.0,X Bag,,,15708,1,,0.033,,2021
21IN00130,2019060687,A0687,06,A0687,19,2,,1,30,36,H9866,05,H9149,05,,,,1,,1,,193,178,2,,,,,,,2.0,.,,,,1,,0.034,,2021
21IN00131,2019060699,A0699,06,A0699,19,1,,1,30,36,H9866,05,H8664,05,,,,3,,M,,237,230,0,,93,0818,,,,2.0,X>Tom>X,Trip,,3101,1,,0.031,,2021
21IN00132,2019060705,A0705,06,A0705,19,2,,1,30,36,H9866,05,H9544,05,0,,,6,,,,0,0,0,,01,0319,,,,2.0,UK.Hemorrhage,,,,1,,0.04,,2021
21IN00133,2019060712,A0712,06,A0712,19,2,,1,30,35,H9845,05,H9465,05,,,,3,,1,,185,171,9,,93,1018,,,,2.0,X Bag,,,15623,1,,0.038,,2021
21IN00134,2014058492,H8492,05,H8492,14,2,,1,30,e9,H7881,05,H8307,05,,,,3,.,2,,187,175,9,,93,1018,,,,7.0,MANYWARTS,EC,M.Ovis,15698,1,,0.036,,2021
21IN00135,2014058511,H8511,05,H8511,14,2,,1,30,10,H5934,05,H7476,05,0,,,3,.,D,,200,187,2,,93,1018,,,,7.0,WARTS,EC,M.Ovis,15583,1,,0.029,,2021
21IN00136,2014058519,H8519,05,H8519,14,2,,1,30,10,H5934,05,H3898,05,,,,3,GRN,1,,196,180,9,,93,1004,,,,7.0,LTRS,EC,M.Ovis,15523,1,,0.027,,2021
21IN00137,2014058524,H8524,05,H8524,14,2,,1,30,10,H5934,05,H7496,05,7,,,3,GRN,2,,179,169,3,,93,1004,,,,7.0,.,,M.Ovis,15347,1,,0.03,,2021
21IN00138,2014058571,H8571,05,H8571,14,2,,1,30,14,H7835,05,H5668,05,0,,,3,.,D,,171,0,0,,93,0614,.,,,7.0,X ThinFevered,EC,M.Ovis,2882,1,,0.033,,2021
21IN00139,2014058601,H8601,05,H8601,14,2,,1,30,12,H7783,05,H6832,05,0,,,6,.,,,0,0,0,,48,0329,.,,,7.0,.,EC,M.Ovis,,1,,0.042,,2021
21IN00140,2014058602,H8602,05,H8602,14,2,,1,30,11,H6969,05,H7233,05,0,,,3,GRN,D,,141,0,0,,93,0614,.,,,7.0,X Thin,,M.Ovis,2881,1,,0.029,,2021
21IN00141,2014058694,H8694,05,H8694,14,2,,1,30,15,H7508,05,H7935,05,0,,,3,.,1,,177,182,2,,93,1018,,,,7.0,.,,,15694,1,,0.029,,2021
21IN00142,2014058709,H8709,05,H8709,14,2,,1,30,15,H7508,05,H4333,05,,,,3,GRN,2,,191,165,2,,93,1004,,,,7.0,.,,M.Ovis,15537,1,,0.029,,2021
21IN00143,2014058760,H8760,05,H8760,14,2,,1,30,15,H7508,05,H6068,05,0,,,3,GRN,1,,222,185,4,,93,1004,.,,,7.0,FAT,,M.Ovis,15522,1,,0.028,,2021
21IN00144,2015058874,H8874,05,H8874,15,2,,1,30,13,H7424,05,H7426,05,7,,,3,.,1,,168,191,3,,93,0912,,,,6.0,To MARC,EC,M.Ovis,3151,1,,0.027,,2021
21IN00145,2015058908,H8908,05,H8908,15,2,,1,30,16,H8061,05,H5725,05,0,,,3,,1,,215,195,2,,93,1004,.,,,6.0,SMBAG,,M.Ovis,15357,1,,0.026,,2021
21IN00146,2015058909,H8909,05,H8909,15,2,,1,30,16,H8061,05,H5725,05,0,,,1,,1,,179,172,2,,,,.,,,6.0,.,EC,M.Ovis,,1,,0.026,,2021
21IN00147,2015058927,H8927,05,H8927,15,2,,1,30,15,H7809,05,H8146,05,0,,,1,,2,,195,198,2,,,,,,,6.0,.,,M.Ovis,,1,,0.022,,2021
21IN00148,2015058931,H8931,05,H8931,15,2,,1,30,16,H8061,05,H7592,05,7,,,1,GRN,1,,190,178,2,,,,,,,6.0,WARTS,,M.Ovis,,1,,0.021,,2021
