UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
95LA00011,95,A0050,04,82, 22,L9786,03,2.0,30,2,0,n,C,0412,102,8,3,3,6.9,1,3,A2039,04,82,30,,0,,,,,"PINK,SUNBURN",,,,J,2,,0,0,0,1,1,1.0,69,1,48,181,2,1995-04-12,0.061
95LA00012,95,A0051,04,82, 23,L9720,03,2.0,30,2,0,n,C,0401,91,2,2,2,3.8,1,1,,,82,30,0,0,,S566310,+,,,,,,Y,1,,1,1,2,0,0,0.5,0,,0,0,,1995-04-01,0.063
95LA00013,95,A0051,04,82, 23,L9720,03,2.0,30,2,0,n,C,0401,91,2,2,3,5.4,1,1,A1768,04,82,30,3,92,93,,8,,"IMM.RAT,HAIRY",,,,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-01,0.063
95LA00014,95,A0058,04,82, 24,A0043,04,2.0,30,2,0,n,C,0413,103,6,1,,0.0,,,,,82,30,0,0,,,,,MUMMY,,,,N,2,,0,0,0,0,0,0.0,0,,0,0,,1995-04-13,0.068
95LA00015,95,A0058,04,82, 24,A0043,04,2.0,30,2,0,n,C,0413,103,6,1,3,7.8,1,1,A2076,04,82,30,,0,,,,"BLIND,NO BAG",,,,,N,1,,1,1,2,1,1,1.0,72,1,54,181,2,1995-04-13,0.068
95LA00016,95,A0068,04,82, 25,L9734,03,2.0,30,2,0,n,C,0411,101,8,3,1,10.8,1,1,A2005,04,82,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,74,1,57,180,1,1995-04-11,0.042
95LA00017,95,A0068,04,82, 25,L9734,03,2.0,30,2,0,n,C,0411,101,8,3,1,11.1,1,1,A2006,04,82,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,82,1,64,180,1,1995-04-11,0.042
95LA00018,95,A0084,04,82, 26,A0054,04,2.0,30,2,0,n,C,0420,110,9,3,2,8.3,1,1,A2427,04,82,30,3,110,93,,8,,,,,,J,1,,1,1,3,1,0,0.0,0,,0,0,,1995-04-20,0.054
95LA00019,95,A0084,04,82, 26,A0054,04,2.0,30,2,0,n,C,0420,110,9,3,1,9.0,1,1,A2428,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,74,1,37,181,2,1995-04-20,0.054
95LA00020,95,A0084,04,82, 26,A0054,04,2.0,30,2,0,n,C,0420,110,9,3,2,7.5,1,1,A2429,04,82,30,,0,,,,,,,,,J,3,,0,0,0,1,1,1.0,75,1,44,181,2,1995-04-20,0.054
95LA00021,95,A0113,04,82, 27,A0099,04,2.0,30,2,0,n,C,0414,104,8,1,1,10.1,1,1,A2125,04,82,30,,0,,,,SM BAG,"FEVER,URI",,,,J,1,,1,1,2,1,1,1.0,89,1,65,181,2,1995-04-14,0.073
95LA00022,95,A0113,04,82, 27,A0099,04,2.0,30,2,0,n,C,0414,104,8,1,3,9.4,1,1,A2126,04,82,30,3,106,93,,8,,,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-14,0.073
95LA00023,95,A0120,04,82, 28,A0161,04,2.0,30,2,0,n,C,0405,95,5,3,1,12.1,1,1,A1799,04,82,30,,0,,,,,LF DIGIT ABS,,,,J,1,,1,1,1,1,1,1.0,102,1,80,181,2,1995-04-05,0.059
95LA00024,95,A0129,04,81, 03,A0038,04,2.0,30,2,0,n,M,0413,103,5,3,2,11.0,1,1,A2094,04,81,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,96,1,65,181,2,1995-04-13,0.082
95LA00025,95,A0147,04,81, 02,L9898,03,2.0,30,2,0,n,M,0417,107,8,3,2,5.1,1,1,A2254,04,81,30,3,120,93, VET,8,,RAT,,,,J,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-17,0.086
95LA00026,95,A0147,04,81, 02,L9898,03,2.0,30,2,0,n,M,0417,107,8,3,2,4.6,1,1,A2255,04,81,30,,0,,,,,RAT,,,,J,2,,0,0,0,1,1,1.0,75,1,49,180,1,1995-04-17,0.086
95LA00027,95,A0152,04,81, 04,L9892,03,2.0,30,2,0,y,M,0410,100,8,4,2,6.5,1,1,A1976,04,81,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,59,1,46,180,1,1995-04-10,0.05
95LA00028,95,A0152,04,81, 04,L9892,03,2.0,30,2,0,y,M,0410,100,8,4,2,9.0,1,1,A1977,04,81,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,80,1,55,180,1,1995-04-10,0.05
95LA00029,95,A0153,04,82, 29,L9819,03,2.0,30,2,0,n,C,0409,99,7,2,2,6.0,1,1,,,82,30,1,0,,,,,,,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1995-04-09,0.067
95LA00030,95,A0153,04,82, 29,L9819,03,2.0,30,2,0,n,C,0409,99,7,2,2,8.6,1,1,A1945,04,82,30,,0,,,,X UT.PROLAPSE,,,,,J,1,,1,1,2,1,1,1.0,83,1,65,180,1,1995-04-09,0.067
95LA00031,95,A0162,04,82, 30,A0057,04,2.0,30,2,0,n,C,0419,109,9,3,2,5.2,1,1,A2405,04,82,30,3,110,93,,8,,,,,,Y,1,,1,1,3,1,0,0.0,0,,0,0,,1995-04-19,0.066
95LA00032,95,A0162,04,82, 30,A0057,04,2.0,30,2,0,n,C,0419,109,9,3,2,6.9,1,1,A2406,04,82,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,64,1,37,180,1,1995-04-19,0.066
95LA00033,95,A0162,04,82, 30,A0057,04,2.0,30,2,0,n,C,0419,109,9,3,3,8.8,1,1,A2407,04,82,30,,0,,,,,BLKDOT BACK,,,,Y,3,,0,0,0,1,1,1.0,76,1,50,180,1,1995-04-19,0.066
95LA00034,95,A0165,04,81, 01,00000,97,2.0,30,2,0,n,X,0507,127,8,2,2,10.8,5,1,Z3444,81,00,80,3,128,93,,8,,,,,,J,1,2,1,1,2,1,0,0.0,0,,0,0,,1995-05-07,0.0
95LA00035,95,A0165,04,81, 01,00000,97,2.0,30,2,0,n,X,0507,127,8,2,3,10.7,5,1,Z3445,81,00,80,,0,,,,,,,,,J,2,2,0,0,0,1,1,1.0,91,1,48,181,2,1995-05-07,0.0
95LA00036,95,A0166,04,81, 02,L9898,03,2.0,30,2,0,y,M,0406,96,8,3,2,6.6,1,1,A1855,04,81,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,72,1,54,181,2,1995-04-06,0.082
95LA00037,95,A0166,04,81, 02,L9898,03,2.0,30,2,0,y,M,0406,96,8,3,3,10.2,1,1,A1856,04,81,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,86,1,63,181,2,1995-04-06,0.082
95LA00038,95,A0171,04,82, 31,L9883,03,2.0,30,2,0,n,C,0416,106,8,4,1,10.7,1,1,A2208,04,82,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,104,1,68,180,1,1995-04-16,0.064
95LA00039,95,A0171,04,82, 31,L9883,03,2.0,30,2,0,n,C,0416,106,8,4,1,9.4,1,1,A2209,04,82,30,7,180,97,,,,UMBILI.HERNIA,,,,Y,2,,0,0,0,1,0,0.0,0,,0,0,1,1995-04-16,0.064
95LA00040,95,A0181,04,81, 04,L9892,03,2.0,30,2,0,n,M,0417,107,8,3,2,8.5,1,1,A2257,04,81,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,83,1,53,180,1,1995-04-17,0.059
95LA00041,95,A0181,04,81, 04,L9892,03,2.0,30,2,0,n,M,0417,107,8,3,1,10.3,1,1,A2258,04,81,30,3,120,93, VET,8,,,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-17,0.059
95LA00042,95,A0184,04,82, 20,A0118,04,2.0,30,2,0,n,C,0418,108,9,3,2,6.0,1,1,A2315,04,82,30,,0,,,,,,,,,J,1,,1,1,3,1,1,1.0,75,1,46,180,1,1995-04-18,0.071
95LA00043,95,A0184,04,82, 20,A0118,04,2.0,30,2,0,n,C,0418,108,9,3,2,5.2,1,1,A2316,04,82,30,3,109,93,,8,,4TEATS,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-18,0.071
95LA00044,95,A0184,04,82, 20,A0118,04,2.0,30,2,0,n,C,0418,108,9,3,1,7.4,1,1,A2317,04,82,30,7,180,97,,,,,,,,J,3,,0,0,0,1,0,0.0,0,,0,0,1,1995-04-18,0.071
95LA00045,95,A0185,04,82, 21,L9859,03,2.0,30,2,0,y,C,0419,109,8,3,1,8.2,1,1,A2381,04,82,30,,0,,,,,PINK,,,,J,1,,1,1,2,1,1,1.0,70,1,49,180,1,1995-04-19,0.059
95LA00046,95,A0185,04,82, 21,L9859,03,2.0,30,2,0,y,C,0419,109,8,3,1,9.0,1,1,A2382,04,82,30,,0,,,,,HAIRY,,,,J,2,,0,0,0,1,1,1.0,79,1,57,180,1,1995-04-19,0.059
95LA00047,95,A0187,04,82, 22,L9786,03,2.0,30,2,0,n,C,0413,103,8,3,2,9.0,1,1,A2066,04,82,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,80,1,56,181,2,1995-04-13,0.065
95LA00048,95,A0187,04,82, 22,L9786,03,2.0,30,2,0,n,C,0413,103,8,3,1,9.3,1,1,A2067,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,61,1,47,181,2,1995-04-13,0.065
95LA00049,95,A0210,04,81, 03,A0038,04,2.0,30,2,0,y,M,0408,98,8,3,3,9.1,1,1,A1905,04,81,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,83,1,62,180,1,1995-04-08,0.052
95LA00050,95,A0210,04,81, 03,A0038,04,2.0,30,2,0,y,M,0408,98,8,3,3,8.2,1,1,A1906,04,81,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,86,1,64,180,1,1995-04-08,0.052
95LA00051,95,A0214,04,82, 23,L9720,03,2.0,30,2,0,n,C,0418,108,9,3,1,9.8,1,1,A2294,04,82,30,,0,,,,,,,,,J,1,,1,1,3,1,1,1.0,79,1,50,180,1,1995-04-18,0.069
95LA00052,95,A0214,04,82, 23,L9720,03,2.0,30,2,0,n,C,0418,108,9,3,2,7.1,1,1,A2295,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,72,1,44,180,1,1995-04-18,0.069
95LA00053,95,A0214,04,82, 23,L9720,03,2.0,30,2,0,n,C,0418,108,9,3,1,9.9,1,1,A2296,04,82,30,6,114,23,T232344,-,,GRAFT STARVE,,,,J,3,,0,0,0,1,0,0.0,0,0,0,0,,1995-04-18,0.069
95LA00054,95,A0218,04,82, 24,A0043,04,2.0,30,2,0,y,C,0417,107,8,3,3,8.3,1,1,A2259,04,82,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,65,1,45,180,1,1995-04-17,0.071
95LA00055,95,A0218,04,82, 24,A0043,04,2.0,30,2,0,y,C,0417,107,8,3,3,6.4,1,1,A2260,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,73,1,46,180,1,1995-04-17,0.071
95LA00056,95,A0241,04,00,972,Z0468,81,2.0,30,1,1,y,,0409,99,0,0,2,3.0,5,1,,,00,80,0,0,,,,,,,,BLK,Y,1,3,1,1,1,0,0,0.0,0,,0,0,,1995-04-09,0.0
95LA00057,95,A0252,04,73,741,A0485,04,1.5,30,2,6,y,,0403,93,8,1,2,6.1,1,1,A1776,04,73,30,3,95,93,,8,,4TEATS,,,-FL,Y,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-03,0.029
95LA00058,95,A0252,04,73,741,A0485,04,1.5,30,2,6,y,,0403,93,8,1,2,6.4,1,1,A1777,04,73,30,,0,,,,,4TEATS,,,-FL,Y,2,,0,0,0,1,1,1.0,71,1,51,180,1,1995-04-03,0.029
95LA00059,95,A0255,04,73,742,A0560,04,1.5,30,2,6,y,,0405,95,8,2,2,6.4,1,1,A1804,04,73,30,7,180,97,,,,,,,-FL,J,1,,1,1,2,1,0,0.0,0,,0,0,2,1995-04-05,0.038
95LA00060,95,A0255,04,73,742,A0560,04,1.5,30,2,6,y,,0405,95,8,2,2,6.0,1,1,A1805,04,73,30,,0,,,,,,,,-FL,J,2,,0,0,0,1,1,1.0,71,1,55,181,H,1995-04-05,0.038
95LA00061,95,A0257,04,72,743,A0386,04,1.5,30,2,6,y,,0412,102,5,3,2,12.7,1,1,A2040,04,73,30,,0,,,,,,,,-FL,J,1,,1,1,1,1,1,1.0,98,1,70,181,H,1995-04-12,0.034
95LA00062,95,A0258,04,72,744,A0478,04,1.5,30,2,6,y,,0409,99,8,3,3,8.0,1,1,A1964,04,73,30,6,127,14,,,,"FEVER,SCOURS",,,-FL,J,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-09,0.046
95LA00063,95,A0258,04,72,744,A0478,04,1.5,30,2,6,y,,0409,99,8,3,2,9.8,1,1,A1965,04,73,30,,0,,,,,4TEATS,,,-FL,J,2,,0,0,0,1,1,1.0,72,1,56,181,H,1995-04-09,0.046
95LA00064,95,A0269,04,73,741,A0485,04,1.5,30,2,6,y,,0413,103,9,1,2,5.5,1,1,A2070,04,73,30,,0,,,,,RAT#1,,,-FL,J,1,,1,1,3,1,1,1.0,73,1,52,181,H,1995-04-13,0.034
95LA00065,95,A0269,04,73,741,A0485,04,1.5,30,2,6,y,,0413,103,9,1,2,4.2,1,1,A2071,04,73,30,3,104,93,,8,,RAT#2,,,-FL,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-13,0.034
95LA00066,95,A0269,04,73,741,A0485,04,1.5,30,2,6,y,,0413,103,9,1,3,4.5,1,1,A2072,04,73,30,3,103,93,,8,,RAT#3,,,-FL,J,3,,0,0,0,1,0,0.0,0,,0,0,,1995-04-13,0.034
95LA00067,95,A0271,04,73,742,A0560,04,1.5,30,2,6,y,,0414,104,5,3,3,7.9,1,1,A2142,04,73,30,,0,,,,,,,,-FL,J,1,,1,1,1,1,1,1.0,79,1,48,181,H,1995-04-14,0.071
95LA00068,95,A0276,04,73,743,A0386,04,1.5,30,2,6,y,,0419,109,8,2,2,7.5,1,1,A2378,04,73,30,3,109,93,,8,,3TEATS,,,-FL,J,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-19,0.059
95LA00069,95,A0276,04,73,743,A0386,04,1.5,30,2,6,y,,0419,109,8,2,2,8.8,1,1,A2379,04,73,30,,0,,,,,4TEATS,,,-FL,J,2,,0,0,0,1,1,1.0,80,1,53,181,H,1995-04-19,0.059
95LA00070,95,A0282,04,73,744,A0478,04,1.5,30,2,6,y,,0421,111,5,3,1,12.8,1,1,A2486,04,73,30,6,112,29,K847263,+,,ATRESIA ANI,,,-FL,J,1,,1,1,1,1,0,0.5,0,,0,0,,1995-04-21,0.039
95LA00071,95,A0287,04,73,741,A0485,04,1.5,30,2,6,y,,0416,106,8,2,3,8.5,1,1,A2196,04,73,30,6,110,19,,,FEVER,URI,,,-FL,J,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-16,0.027
95LA00072,95,A0287,04,73,741,A0485,04,1.5,30,2,6,y,,0416,106,8,2,3,10.4,1,1,A2197,04,73,30,,0,,,,,"FEVER,URI",,,-FL,J,2,,0,0,0,1,1,1.0,91,1,65,181,H,1995-04-16,0.027
95LA00073,95,A0290,04,72,742,A0560,04,1.5,30,2,6,y,,0413,103,9,3,2,4.8,1,1,A2087,04,73,30,3,104,93,,8,,,,,-FL,Y,1,,1,1,3,1,0,0.0,0,,0,0,,1995-04-13,0.052
95LA00074,95,A0290,04,72,742,A0560,04,1.5,30,2,6,y,,0413,103,9,3,3,5.4,1,1,A2088,04,73,30,6,128,01,,,,,,,-FL,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-13,0.052
95LA00075,95,A0290,04,72,742,A0560,04,1.5,30,2,6,y,,0413,103,9,3,3,6.8,1,1,A2089,04,73,30,,0,,,,,,,,-FL,Y,3,,0,0,0,1,1,1.0,58,1,35,181,H,1995-04-13,0.052
95LA00076,95,A0291,04,72,743,A0386,04,1.5,30,2,6,y,,0421,111,8,3,3,9.6,1,1,A2500,04,73,30,,0,,,,DYSTOCIA 95,,,,-FL,J,1,,1,1,2,1,1,1.0,78,1,45,181,H,1995-04-21,0.03
95LA00077,95,A0291,04,72,743,A0386,04,1.5,30,2,6,y,,0421,111,8,3,3,10.2,1,1,A2501,04,73,30,3,128,93, VET,8,,,,,-FL,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-21,0.03
95LA00078,95,A0302,04,73,744,A0478,04,1.5,30,2,6,y,,0418,108,8,3,2,7.5,1,1,A2324,04,73,30,,0,,,,,BRN SPOT,,,-FL,J,1,,1,1,2,1,1,1.0,51,1,33,181,H,1995-04-18,0.035
95LA00079,95,A0302,04,73,744,A0478,04,1.5,30,2,6,y,,0418,108,8,3,2,6.9,1,1,A2325,04,73,30,,0,,,,,4TEATS,,,-FL,J,2,,0,0,0,1,1,1.0,59,1,39,181,H,1995-04-18,0.035
95LA00080,95,A0317,04,73,743,A0386,04,1.5,30,2,6,y,,0421,111,8,3,3,10.6,1,1,A2488,04,73,30,,0,,,,,,,,-FL,J,1,,1,1,2,1,1,1.0,62,1,45,181,H,1995-04-21,0.033
95LA00081,95,A0317,04,73,743,A0386,04,1.5,30,2,6,y,,0421,111,8,3,3,9.4,1,1,A2489,04,73,30,,0,,,,,,,,-FL,J,2,,0,0,0,1,1,1.0,63,1,39,181,H,1995-04-21,0.033
95LA00082,95,A0320,04,73,741,A0485,04,1.5,30,2,6,y,,0407,97,5,2,3,10.0,1,1,A1882,04,73,30,,0,,,,THIN,,,,-FL,J,1,,1,1,1,1,1,1.0,79,1,61,181,H,1995-04-07,0.028
95LA00083,95,A0326,04,73,744,A0478,04,1.5,30,2,6,y,,0412,102,8,3,2,7.3,1,1,A2052,04,73,30,,0,,,,,,,,-FL,Y,1,,1,1,2,1,1,1.0,71,1,53,181,H,1995-04-12,0.036
95LA00084,95,A0326,04,73,744,A0478,04,1.5,30,2,6,y,,0412,102,8,3,3,7.2,1,1,A2053,04,73,30,6,127,14,,,,HAIRY,,,-FL,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-12,0.036
95LA00085,95,A0328,04,73,741,A0485,04,1.5,30,2,6,y,,0409,99,5,3,3,10.8,1,1,A1944,04,73,30,,0,,,,,,,,-FL,J,1,,1,1,1,1,1,1.0,86,1,67,181,H,1995-04-09,0.036
95LA00086,95,A0332,04,73,742,A0560,04,1.5,30,2,6,y,,0406,96,8,2,2,8.7,1,3,A1831,04,73,30,,0,,,,,,,,-FL,J,1,,1,1,2,1,1,1.0,75,1,60,181,H,1995-04-06,0.062
95LA00087,95,A0332,04,73,742,A0560,04,1.5,30,2,6,y,,0406,96,8,2,2,8.0,1,1,A1832,04,73,30,,0,,,,,,,,-FL,J,2,,0,0,0,1,1,1.0,69,1,51,181,H,1995-04-06,0.062
95LA00088,95,A0333,04,73,743,A0386,04,1.5,30,2,6,y,,0416,106,8,2,3,7.8,1,1,A2210,04,73,30,,0,,,,,,,,-FL,Y,1,,1,1,2,1,1,1.0,59,1,39,181,H,1995-04-16,0.04
95LA00089,95,A0333,04,73,743,A0386,04,1.5,30,2,6,y,,0416,106,8,2,2,7.3,1,1,A2211,04,73,30,3,111,93,,8,,,,,-FL,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-16,0.04
95LA00090,95,A0351,04,73,744,A0478,04,1.5,30,2,6,y,,0418,108,8,2,3,10.4,1,1,A2341,04,73,30,3,109,93,,8,,,,,-FL,Y,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-18,0.037
95LA00091,95,A0351,04,73,744,A0478,04,1.5,30,2,6,y,,0418,108,8,2,2,9.5,1,1,A2342,04,73,30,6,117,23,,,,,,,-FL,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-18,0.037
95LA00092,95,A0354,04,72,741,A0485,04,1.5,30,2,6,y,,0406,96,8,3,2,7.6,1,1,A1850,04,73,30,,0,,,,,,,,-FL,Y,1,,1,1,2,1,1,1.0,65,1,50,181,H,1995-04-06,0.052
95LA00093,95,A0354,04,72,741,A0485,04,1.5,30,2,6,y,,0406,96,8,3,3,8.3,1,1,A1851,04,73,30,,0,,,,,,,,-FL,Y,2,,0,0,0,1,1,1.0,73,1,50,181,H,1995-04-06,0.052
95LA00094,95,A0355,04,73,742,A0560,04,1.5,30,2,6,y,,0405,95,,,,0.0,,,,,73,30,,0,,S591710,+,GRAFT ONLY,GRAFT ONLY,,,-FL,J,G,,0,0,0,0,0,0.5,0,,0,0,,1995-04-05,0.054
95LA00095,95,A0355,04,73,742,A0560,04,1.5,30,2,6,y,,0405,95,8,2,3,7.4,1,1,A1802,04,73,30,7,180,97,S145110,-,,,,,-FL,J,1,,1,1,2,1,0,0.0,0,0,0,0,2,1995-04-05,0.054
95LA00096,95,A0355,04,73,742,A0560,04,1.5,30,2,6,y,,0405,95,8,2,2,7.4,1,1,A1803,04,73,30,,0,,S145110,-,,,,,-FL,J,2,,0,0,0,1,1,0.5,84,0,56,181,2,1995-04-05,0.054
95LA00097,95,A0361,04,72,744,00000,97,1.5,30,2,6,y,X,0430,120,8,3,2,8.5,5,1,Z3368,81,00,80,,0,,,,,,,,-FL,J,1,2,1,1,2,1,1,1.0,55,1,27,181,2,1995-04-30,0.0
95LA00098,95,A0361,04,72,744,00000,97,1.5,30,2,6,y,X,0430,120,8,3,2,8.2,5,1,Z3369,81,00,80,,0,,,,,,,,-FL,J,2,2,0,0,0,1,1,1.0,63,1,33,181,2,1995-04-30,0.0
95LA00099,95,A0366,04,73,741,A0485,04,1.5,30,2,6,y,,0406,96,8,3,2,11.2,1,1,A1839,04,73,30,,0,,,,,,,,-FL,Y,1,,1,1,2,1,1,1.0,64,1,47,181,H,1995-04-06,0.029
95LA00100,95,A0366,04,73,741,A0485,04,1.5,30,2,6,y,,0406,96,8,3,2,8.2,1,3,A1840,04,73,30,,0,,,,,URI 063095,,,-FL,Y,2,,0,0,0,1,1,1.0,58,1,42,181,H,1995-04-06,0.029
95LA00101,95,A0375,04,72,742,A0560,04,1.5,30,2,6,y,,0409,99,8,2,3,5.2,1,1,A1962,04,73,30,3,104,93,,8,PINK-EYE,"HAIRY,POOR",,,-FL,J,1,,1,1,2,1,0,0.0,0,,0,0,,1995-04-09,0.054
95LA00102,95,A0375,04,72,742,A0560,04,1.5,30,2,6,y,,0409,99,8,2,2,5.2,1,1,A1963,04,73,30,6,103,67,,8,,POOR LAMB,,,-FL,J,2,,0,0,0,1,0,0.0,0,,0,0,,1995-04-09,0.054
95LA00103,95,A0379,04,72,743,A0386,04,1.5,30,2,6,y,,0417,107,5,2,2,9.2,1,1,A2273,04,73,30,,0,,,,WILD,3TEATS,,,-FL,Y,1,,1,1,1,1,1,1.0,77,1,53,181,H,1995-04-17,0.031
95LA00104,95,A0387,04,72,744,A0478,04,1.5,30,2,6,y,,0412,102,8,4,2,9.1,1,1,A2057,04,73,30,,0,,,,,,,,-FL,Y,1,,1,1,2,1,1,1.0,77,1,48,181,H,1995-04-12,0.048
95LA00105,95,A0387,04,72,744,A0478,04,1.5,30,2,6,y,,0412,102,8,4,2,8.5,1,3,A2058,04,73,30,,0,,,,,VAG.DISCHARGE,,,-FL,Y,2,,0,0,0,1,1,1.0,69,1,50,181,H,1995-04-12,0.048
95LA00106,95,A0395,04,73,741,A0485,04,1.5,30,2,6,y,,0414,104,8,3,3,10.9,1,1,A2123,04,73,30,,0,,,,DYSTOCIA 95,,,,-FL,N,1,,1,1,2,1,1,1.0,70,1,48,181,H,1995-04-14,0.032
95LA00107,95,A0395,04,73,741,A0485,04,1.5,30,2,6,y,,0414,104,8,3,2,9.6,1,1,A2124,04,73,30,,0,,,,,,,,-FL,N,2,,0,0,0,1,1,1.0,56,1,40,181,H,1995-04-14,0.032
95LA00108,95,A0397,04,73,742,A0560,04,1.5,30,2,6,y,,0410,100,0,1,,0.0,,,,,73,30,0,0,,,,DYSTOCIA 95,,,,-FL,J,1,,1,1,1,0,0,0.0,0,,0,0,,1995-04-10,0.0
95LA00109,95,A0401,04,73,743,A0386,04,1.5,30,2,6,y,,0417,107,1,3,,0.0,,,,,73,30,1,107,01,A226404,+,LOSTLAMB-DROP,,,,-FL,Y,1,,1,1,1,0,0,0.5,0,,0,0,,1995-04-17,0.0
