UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,FERT,LOT,NAX,STUDY,STUDY2,STUDY3,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,FLPBV,FLBVB,FLBVG,FLBVR
03RA00011,A7284,04,00,1,82,30,21,C,2,2,5.0,M,103,99,118,0.742,248,193,72,0.328,3.8,3.8,60,8.6,8.6,0.0347,24.0,0.0,0.0,60,2,1,1-,1.98,113.1,A5530,04,A4686,04,,,,0,0.348,3.0,NICE >works,1,CTL,,92,92,,D3w,DUD,STUD,100.0,01P,,FLWT,.,FLWT,0,,,,,,,,0,,5,10,7,03,,,0,-2.362,-2.1736,-1.0548,-0.0166
03RA00012,A7351,04,00,1,82,30,31,C,3,1,5.0,,104,98,118,0.725,0,192,72,0.329,0.0,0.0,60,11.8,11.8,0.0,0.0,0.0,0.0,0,.,1,.,2.24,135.3,A5024,04,A1936,04,,,,0,0.343,3.0,TEASER RAM,3,CTL,,,,,D4,DUD,,0.0,TEAZ,,TEAZ,TEAZ,cull,0,,,,,,,,0,,4,11,8,03,93,0505,0,-0.979,-1.1892,-0.2498,-0.0106
03RA00013,A7402,04,00,1,82,30,24,C,3,2,4.0,,105,78,117,0.597,0,164,72,0.301,0.0,0.0,60,8.8,8.8,0.0,0.0,0.0,0.0,0,.,1,.,2.43,128.9,A5144,04,A5301,04,,,,0,0.307,3.0,"X,3"" ABS.CHIN",6,CTL,,,,,D3,DUD,,0.0,LIB,,HOMO,.,dead,0,,,,,,,,0,,4,11,7,03,50,0325,0,-0.657,-0.6105,-0.0189,-0.007
03RA00014,A7432,04,00,1,81,30,02,M,3,2,5.0,,105,83,117,0.64,0,163,72,0.28,0.0,0.0,60,12.2,12.2,0.0,0.0,0.0,0.0,0,.,1,.,2.31,101.7,A5515,04,A4524,04,,,,0,0.281,3.0,,3,LWW,,,,,S0,B,,0.0,LIB,,HETR,MKT,cull,0,,,,,,,,0,,5,13,6,03,93,0505,0,-0.171,-0.2954,0.1496,-0.0046
03RA00015,A7436,04,00,1,82,30,30,C,2,2,5.0,M,105,74,117,0.552,183,133,72,0.206,0.0,0.0,58,9.8,9.8,0.0536,0.0,0.0,0.0,0,.,1,.,2.09,135.8,A5528,04,A4653,04,,,,0,0.224,3.0,"TEASER, H5",V,CTL,,,,,S1,A,,0.0,TEAZ,,TEAZ,TEAZ,Teaser,0,,,,,,,,0,,5,11,9,03,,,0,-0.902,-1.2377,-1.0033,-0.0101
03RA00016,A7459,04,00,1,81,30,01,M,2,2,7.0,,106,87,115,0.66,0,173,72,0.3,0.0,0.0,58,8.6,8.6,0.0,0.0,0.0,0.0,0,.,1,.,2.29,151.0,A5198,04,L9966,03,,,,0,0.31,3.0,,3,LWW,,,,,D4,DUD,,0.0,LIB,,HOMO,SALE,cull,0,,,,,,,,0,,7,16,12,03,93,0505,0,-0.397,-0.6149,0.2369,-0.0073
03RA00017,A7460,04,00,1,88,30,42-,.,2,2,4.5,M,106,94,115,0.724,239,182,72,0.307,0.0,0.0,58,13.4,13.4,0.0561,0.0,0.0,0.0,0,.,1,.,1.93,132.8,A4528,04,A4913,04,,,,0,0.348,3.0,"F3-, Top Idx",3,GXE,,,,,D4,DUD,,0.0,-2-,,BISX,BHV,cull,0,,,,,,,,0,,4,7,7,03,93,0819,0,0.389,-0.7315,-0.0499,-0.0077
03RA00018,A7553,04,00,1,88,30,45-,.,3,2,4.0,M,108,83,113,0.654,211,162,72,0.275,0.0,0.0,54,11.4,11.4,0.054,0.0,0.0,0.0,0,.,1,.,2.43,140.5,A5346,04,A5089,04,,,,0,0.238,3.0,H2,V,GXE,,,,,S2,AA,,0.0,BHV,,HETR,BHV,Behave,0,,,,,,,,0,,4,11,8,03,,,0,0.665,-0.1864,0.4537,-0.0047
03RA00019,A7595,04,00,1,88,30,45-,.,2,2,6.5,,109,98,112,0.755,0,158,72,0.209,0.0,0.0,58,9.8,9.8,0.0,0.0,0.0,0.0,0,.,1,.,2.1,115.4,A5346,04,A2690,04,,,,0,0.193,3.0,,3,GXE,,,,,S1,A,,0.0,.,,HETR,MKT,cull,0,,,,,,,,0,,6,14,10,03,93,0505,0,-1.55,-1.7847,-1.2528,-0.0141
03RA00020,A7640,04,00,1,82,30,30,C,3,3,5.0,M,109,77,112,0.604,213,162,72,0.296,0.0,0.0,62,9.6,9.6,0.0451,0.0,0.0,0.0,0,.,1,.,2.09,140.6,A5528,04,A4267,04,,,,0,0.292,3.0,H3,V,CTL,,,,,D3,DUD,,0.0,BHV,R,HOMO,BHV,Behave,0,,,,,,,,0,,5,11,10,03,,,0,-1.115,-1.4776,-0.9978,-0.0119
03RA00021,A7659,04,00,1,82,30,27,C,4,4,7.0,M,110,70,114,0.526,202,143,72,0.257,0.0,0.0,60,7.2,7.2,0.0356,0.0,0.0,0.0,0,.,1,.,2.58,152.7,A5341,04,A0761,04,,,,0,0.27,3.0,PINK QUAD pd1,V,CTL,,,,,S3,AA,,0.0,BHV,,HETR,BHV,Behave,0,,,,,,,,0,,7,20,18,03,,,0,-1.876,-1.681,-1.4418,-0.013
03RA00022,A7852,04,00,1,81,30,02,M,2,2,5.0,M,113,86,109,0.684,239,170,72,0.294,0.0,0.0,58,10.0,10.0,0.0418,0.0,0.0,0.0,0,.,1,.,2.03,116.6,A5515,04,A3318,04,,,,0,0.346,3.0,,V,LWW,,,,,D4w,DUD,,0.0,BHV,,HETR,BHV,Behave,0,,,,,,,,0,,5,11,8,03,,,0,-0.613,-0.9712,-0.4277,-0.0087
03RA00023,A7896,04,00,1,88,30,44-,.,4,1,4.5,M,114,90,108,0.748,207,161,72,0.248,2.8,2.8,62,8.0,8.0,0.0386,24.0,0.0,0.0,60,1,1,2+,2.52,102.7,A4920,04,A3834,04,,,,0,0.263,3.0,,1,GXE,,78,83,,SP,B,,0.0,26P,,FLWT,.,FLWT,0,,,,,,,,0,,4,12,5,03,,,0,-2.163,-2.0548,-1.6671,-0.0157
03RA00024,A7913,04,00,1,82,30,21,C,4,2,6.0,M,114,81,108,0.673,239,182,72,0.353,0.0,0.0,58,10.2,10.2,0.0427,0.0,0.0,0.0,0,.,1,.,2.3,137.1,A5530,04,A3604,04,,,,0,0.343,3.0,,V,CTL,,,,,SP,B-,,0.0,BHV,R,ASEX,BHV,Behave,0,,,,,,,,0,,6,16,12,03,,,0,-1.427,-1.6114,-0.7904,-0.0127
03RA00025,A8038,04,00,1,81,30,04,M,3,2,8.0,,116,66,106,0.53,0,166,72,0.35,0.0,0.0,60,9.4,9.4,0.0,0.0,0.0,0.0,0,.,1,.,2.25,167.2,A5472,04,L9102,03,,,,0,0.376,3.0,RCVR<,3,LWW,,,,,D3,DUD,,0.0,LIB,,HOMO,.,cull,0,,,,,,,,0,,8,18,16,03,93,0505,0,-1.535,-1.4512,-0.8744,-0.0121
03RA00026,A8075,04,00,1,82,30,22,C,2,1,4.0,M,117,79,105,0.663,195,152,72,0.255,0.0,0.0,58,11.4,11.4,0.0585,0.0,0.0,0.0,0,.,1,.,1.8,82.9,A5569,04,A5070,04,,,,0,0.284,3.0,,3,CTL,,,,,SP,B,,0.0,-3-,,BISX,BHV,cull,0,,,,,,,,0,,3,6,4,03,93,0819,0,-0.165,-0.7639,-0.4592,-0.0069
03RA00027,A8193,04,01,1,81,30,01,M,2,2,3.0,M,94,97,126,0.694,226,189,72,0.319,3.5,3.5,58,13.6,13.6,0.0602,25.5,0.0,0.0,58,1,1,2+,1.82,124.3,A6761,04,A6341,04,,,,0,0.0,2.0,,V,LWW,,100,115,,D3,DUD,,0.0,BHV,,IDX,BHV,Behave,0,,,,,,,,0,,3,4,4,03,,,0,0.504,-0.0352,0.3842,-0.0027
03RA00028,A8234,04,01,1,84,30,52,N,4,2,6.0,M,98,86,120,0.633,201,154,72,0.234,0.0,0.0,62,9.0,9.0,0.0448,0.0,0.0,0.0,0,.,1,.,1.9,116.3,A6853,04,A3564,04,,,,0,0.0,2.0,,V,INB,,,,,D3,DUD,,0.0,OSU,,INBR,BHV,OSU,0,,,,,,,,0,,5,12,11,03,,,0,-1.135,-0.6273,0.0657,-0.006
03RA00029,A8248,04,01,1,81,30,03,M,1,1,3.0,M,98,113,120,0.854,237,196,72,0.286,0.0,0.0,60,10.8,10.8,0.0456,0.0,0.0,0.0,0,.,1,.,1.82,118.8,A6934,04,A6306,04,,,,0,0.0,2.0,"TB1,TRT.L.EYE",V,LWW,,,,,?,?,,0.0,BHV,,LWW,BHV,Behave,0,,,,,,,,0,,3,4,4,03,,,0,-0.537,0.0304,0.6888,-0.0036
03RA00030,A8249,04,01,1,82,30,25,C,1,1,5.0,M,98,110,120,0.818,230,185,72,0.259,0.0,0.0,60,10.4,10.4,0.0452,0.0,0.0,0.0,0,.,1,.,1.87,120.8,A6216,04,A4624,04,,,,0,0.0,2.0,TB 1,3,CTL,,,,,?,,,0.0,XVL,,CTL,BHV,cull,0,,,,,,,,0,,5,9,7,03,93,0819,0,-1.192,-1.036,-0.4526,-0.009
03RA00031,A8315,04,01,1,81,30,03,M,2,2,3.0,M,100,89,118,0.653,238,194,72,0.362,4.7,4.7,58,14.8,14.8,0.0622,24.0,0.0,0.0,60,1,1,1-,2.25,126.4,A6934,04,A6720,04,260,,,0,0.0,2.0,,2,LWW,,109,129,N,S2,AA,STUD,97.0, 58,,IDX,.,sale,0,,,,,,,,1,,3,7,5,03,92,0918,4402,1.116,0.4362,1.1563,-0.001
03RA00032,A8325,04,01,1,84,30,56,N,2,2,5.0,M,100,100,120,0.707,238,202,72,0.354,0.0,0.0,60,10.6,10.6,0.0445,0.0,0.0,0.0,0,.,1,.,1.87,111.1,A6672,04,A4477,04,,,,0,0.0,2.0,,V,INB,,,,,Sx,STD,STUD,90.0,OSU,,INBR,BHV,OSU,0,,,,,,,,0,,4,9,7,03,,,0,-1.305,-0.7343,-0.4933,-0.0065
03RA00033,A8331,04,01,1,82,30,31,C,3,1,6.0,M,101,83,119,0.618,192,149,72,0.229,0.0,0.0,60,12.4,12.4,0.0646,0.0,0.0,0.0,0,.,1,.,2.23,122.5,A6655,04,A2021,04,,,,0,0.0,2.0,H2,3,CTL,,,,,?,,,0.0,XVL,,CTL,.,cull,0,,,,,,,,0,,5,14,11,03,93,0602,0,1.055,-0.1574,0.0134,-0.002
03RA00034,A8337,04,01,1,82,30,29,C,2,2,3.0,M,101,80,119,0.597,205,162,72,0.285,3.1,3.1,62,9.2,9.2,0.0449,24.0,0.0,0.0,60,2,1,2-,2.25,141.4,A6925,04,A6589,04,,,,0,0.0,2.0,,V,CTL,,99,91,,D3,DUD,,0.0,OSU,,IDX,BHV,OSU,0,,,,,,,,0,,3,7,6,03,,,0,-0.95,-0.7568,-0.5474,-0.0065
03RA00035,A8379,04,01,1,83,30,41,W,2,2,4.5,M,101,90,119,0.661,204,177,72,0.302,3.7,3.7,58,9.4,9.4,0.0461,27.0,0.0,0.0,56,1,1,2,2.3,150.7,A6827,04,A4918,04,,,,0,0.0,2.0,BRITCHY,1,FW,,106,93,,S2,AA,STUD,73.0,.,,FLWT,.,FLWT,0,,,,,,,,0,,4,10,9,03,,,0,-1.472,-1.6391,-0.9606,-0.0125
03RA00036,A8403,04,01,1,82,30,27,C,3,2,7.0,M,102,97,118,0.737,220,180,72,0.288,2.4,2.4,60,9.4,9.4,0.0427,24.0,0.0,0.0,60,2,1,1-,2.49,145.9,A6220,04,A1503,04,,,,0,0.0,2.0,"RCVR, H2",1,CTL,,99,88,,?,?,,0.0,.,,IDX,.,IDX,0,,,,,,,,0,,7,19,14,03,,,0,-1.103,-0.4067,0.0263,-0.0038
03RA00037,A8427,04,01,1,84,30,53,N,2,1,5.5,M,103,94,115,0.704,204,179,72,0.293,3.1,3.1,58,11.4,11.4,0.0559,24.0,0.0,0.0,60,1,1,3+,1.98,128.5,A6501,04,A3675,04,226,,,0,0.0,2.0,NO SALE 9/19,2,INB,,96,103,N,S0,B,,0.0, 61,,INBR,.,sale,0,,,,,,,,0,,5,10,8,03,92,0918,3050,-0.006,-0.123,-0.0865,-0.0011
03RA00038,A8431,04,01,1,83,30,43,W,3,2,4.0,M,103,77,117,0.583,180,150,72,0.253,0.0,0.0,62,9.4,9.4,0.0522,0.0,0.0,0.0,0,.,1,.,2.18,117.6,A6327,04, 8462,00,,,,0,0.0,2.0,,3,FW,,,,,?,,,0.0,XVL,,FLWT,.,cull,0,,,,,,,,0,,4,9,6,03,93,0602,0,-1.146,-1.2108,-0.8194,-0.0102
03RA00039,A8432,04,01,1,83,30,43,W,3,2,4.0,M,103,88,117,0.676,209,164,72,0.264,0.0,0.0,60,8.2,8.2,0.0392,0.0,0.0,0.0,0,.,1,.,2.18,117.6,A6327,04, 8462,00,,,,0,0.0,2.0,,V,FW,,,,,?,?,,0.0,BHV,,FLWT,BHV,Behave,0,,,,,,,,0,,4,9,6,03,,,0,-1.829,-1.2108,-0.8194,-0.0102
03RA00040,A8457,04,01,1,84,30,53,N,2,2,6.5,M,103,89,117,0.655,211,171,72,0.285,0.0,0.0,58,12.6,12.6,0.0597,0.0,0.0,0.0,0,.,1,.,1.9,114.5,A6501,04,A2639,04,,,,0,0.0,2.0,NICE,V,INB,,,,,?,?,,0.0,BHV,,INBR,BHV,Behave,0,,,,,,,,0,,6,12,9,03,,,0,0.43,0.3611,0.3412,0.0028
03RA00041,A8479,04,01,1,82,30,23,C,2,2,7.0,M,104,92,116,0.695,214,188,72,0.333,0.0,0.0,60,10.0,10.0,0.0467,0.0,0.0,0.0,0,.,1,.,2.07,124.2,A6863,04,A2165,04,,,,0,0.0,2.0,4TEATS,V,CTL,,,,,?,?,,0.0,BHV,,CTL,BHV,Behave,0,,,,,,,,0,,6,15,14,03,,,0,-0.523,-0.5661,-0.1542,-0.005
03RA00042,A8496,04,01,1,83,30,41,W,3,2,5.5,M,104,96,114,0.725,244,196,72,0.345,3.7,3.7,58,11.2,11.2,0.0459,25.5,0.0,0.0,58,2,1,1-,2.31,146.1,A6827,04,A3867,04,,,,0,0.0,2.0,,V,FW,,109,103,,D3,DUD,,0.0,OSU,,FLWT,BHV,OSU,0,,,,,,,,0,,5,13,10,03,,,0,-1.686,-1.8471,-1.3358,-0.0136
03RA00043,A8512,04,01,1,83,30,42,W,2,1,3.0,M,105,102,113,0.799,229,179,72,0.266,0.0,0.0,60,11.0,11.0,0.048,0.0,0.0,0.0,0,.,1,.,1.97,108.6,A6529,04, 8392,00,,,,0,0.0,2.0,,V,FW,,,,,?,?,,0.0,BHV,,FLWT,BHV,Behave,0,,,,,,,,0,,3,5,3,03,,,0,-1.101,-1.5921,-1.5787,-0.012
03RA00044,A8544,04,01,1,84,30,52,N,3,1,6.5,M,106,101,116,0.766,223,187,72,0.301,3.2,3.2,60,9.0,9.0,0.0404,24.0,0.0,0.0,60,2,1,2,2.2,149.3,A6853,04,A2733,04,,,,0,0.0,2.0,,1,INB,,104,91,,?,?,,0.0,.,,IDX,.,IDX,0,,,,,,,,0,,6,15,14,03,,,0,-0.983,-0.5173,0.3129,-0.0054
03RA00045,A8545,04,01,1,81,30,04,M,2,2,3.0,M,106,85,112,0.663,225,173,72,0.303,3.2,3.2,60,10.0,10.0,0.0444,23.0,0.0,0.0,62,1,1,2,2.25,142.3,A6970,04,A6108,04,,,,0,0.0,2.0,"LUMP JAW, X",3,LWW,,102,97,,S1,A,,0.0,.,,IDX,.,cull,0,,,,,,,,0,,3,7,6,03,93,0819,0,-1.175,-0.2269,0.3435,-0.0046
03RA00046,A8563,04,01,1,83,30,43,W,2,2,6.0,M,106,83,112,0.633,192,154,72,0.245,0.0,0.0,60,9.4,9.4,0.049,0.0,0.0,0.0,0,.,1,.,1.6,108.2,A6327,04,A3300,04,,,,0,0.0,2.0,KEEP! R.TSTS?,V,FW,,,,,?,?,,0.0,OSU,,FLWT,BHV,OSU,0,,,,,,,,0,,5,9,9,03,,,0,-1.701,-1.5048,-0.8764,-0.0118
03RA00047,A8579,04,01,1,84,30,52,N,3,2,5.5,M,106,89,112,0.665,236,195,72,0.366,3.1,3.1,60,10.2,10.2,0.0432,25.5,0.0,0.0,58,2,1,2+,2.42,159.9,A6853,04,A3881,04,,,,0,0.0,2.0,,1,INB,,114,95,,S3,AA,STUD,91.0,e.9,,IDX,.,IDX,0,,,,,,,,0,,5,14,12,03,,,0,-1.244,-0.5573,0.0914,-0.0052
03RA00048,A8582,04,01,1,82,30,23,C,2,1,4.0,M,107,98,111,0.781,203,177,72,0.272,0.0,0.0,58,11.4,11.4,0.0562,0.0,0.0,0.0,0,.,1,.,1.9,109.3,A6863,04,A4581,04,,,,0,0.0,2.0,,V,CTL,,,,,Sx,STD,,0.0,OSU,,CTL,BHV,OSU,0,,,,,,,,0,,4,7,5,03,,,0,-0.338,-1.2369,-0.9181,-0.0095
03RA00049,A8584,04,01,1,82,30,31,C,2,2,2.0,M,107,72,111,0.56,238,184,72,0.386,3.6,3.6,60,11.8,11.8,0.0496,23.0,0.0,0.0,62,1,1,2+,2.17,135.6,A6655,04,A6666,04,261,,,0,0.0,2.0,,2,CTL,,109,109,N,S4,AAA,STUD,93.0, 56,,IDX,.,sale,0,,,,,,,,1,,2,4,3,03,92,0918,4404,-0.635,-0.8846,-0.3513,-0.0083
03RA00050,A8587,04,01,1,84,30,51,N,3,1,5.5,M,107,93,111,0.75,236,191,72,0.338,0.0,0.0,58,12.4,12.4,0.0525,0.0,0.0,0.0,0,.,1,.,2.42,137.9,A6998,04,A3969,04,,,,0,0.0,2.0,H3+,3,INB,,,,,?,,,0.0,XVL,,INBR,.,cull,0,,,,,,,,0,,5,14,10,03,93,0602,0,-0.2,0.3466,0.8817,-0.0004
03RA00051,A8590,04,01,1,81,30,01,M,2,2,7.0,M,107,88,111,0.689,216,176,72,0.303,3.2,3.2,58,14.2,14.2,0.0657,24.0,0.0,0.0,60,3,1,2,1.94,131.6,A6761,04,A1397,04,231,,,0,0.0,2.0,,2,LWW,,101,118,N,S3,AA,,0.0, 62,,IDX,.,sale,0,,,,,,,,0,,7,13,13,03,92,0918,4407,1.185,0.2014,0.9391,-0.0021
03RA00052,A8591,04,01,1,81,30,01,M,2,2,7.0,M,107,75,111,0.563,237,179,72,0.359,3.5,3.5,58,14.8,14.8,0.0624,24.0,0.0,0.0,60,1,1,2+,1.94,131.6,A6761,04,A1397,04,,,,0,0.0,2.0,"DEAD, JULY",6,LWW,,107,122,,S2,AA,,0.0,.,,IDX,.,dead,0,,,,,,,,0,,7,13,13,03,01,0715,0,0.732,0.2014,0.9391,-0.0021
03RA00053,A8606,04,01,1,82,30,27,C,2,2,5.0,M,107,80,111,0.623,192,165,72,0.293,0.0,0.0,62,8.8,8.8,0.0458,0.0,0.0,0.0,0,.,1,.,2.09,135.8,A6220,04,A4653,04,,,,0,0.0,2.0,64 ?,V,CTL,,,,,?,?,,0.0,OSU,,CTL,BHV,OSU,0,,,,,,,,0,,5,11,9,03,,,0,-1.536,-1.0779,-0.6549,-0.0083
03RA00054,A8607,04,01,1,82,30,27,C,2,2,5.0,M,107,82,111,0.652,201,158,72,0.262,0.0,0.0,62,8.8,8.8,0.0438,0.0,0.0,0.0,0,.,1,.,2.09,135.8,A6220,04,A4653,04,,,,0,0.0,2.0,,V,CTL,,,,,?,?,,0.0,OSU,,CTL,BHV,OSU,0,,,,,,,,0,,5,11,9,03,,,0,-1.453,-1.0779,-0.6549,-0.0083
03RA00055,A8641,04,01,1,82,30,28,C,1,1,6.0,M,108,87,110,0.676,181,153,72,0.228,0.0,0.0,60,12.0,12.0,0.0663,0.0,0.0,0.0,0,.,1,.,1.6,108.1,A6198,04,A2919,04,,,,0,0.0,2.0,"LUMP JAW, TB1",V,CTL,,,,,?,?,,0.0,OSU,,CTL,BHV,OSU,0,,,,,,,,0,,6,9,8,03,,,0,0.379,0.0071,0.6906,-0.0032
03RA00056,A8647,04,01,1,83,30,41,W,2,2,3.0,M,108,87,110,0.72,214,165,72,0.269,3.5,3.5,58,8.6,8.6,0.0402,25.5,0.0,0.0,58,3,1,2,2.11,150.6,A6827,04,A6338,04,,,,0,0.0,2.0,,1,FW,,102,89,,S5,AAA,,0.0,02P,,FLWT,.,FLWT,0,,,,,,,,0,,3,6,6,03,,,0,-2.357,-1.6762,-1.0977,-0.0137
03RA00057,A8681,04,01,1,83,30,43,W,3,2,5.0,M,109,72,109,0.573,193,154,72,0.283,0.0,0.0,60,5.8,5.8,0.0301,0.0,0.0,0.0,0,.,1,.,2.09,110.8,A6327,04,A4598,04,,,,0,0.0,2.0,,V,FW,,,,,?,?,,0.0,BHV,,FLWT,BHV,Behave,0,,,,,,,,0,,4,11,7,03,,,0,-3.075,-1.7143,-1.4105,-0.0132
03RA00058,A8687,04,01,1,82,30,20,C,2,2,7.0,M,110,86,108,0.69,212,164,72,0.269,0.0,0.0,62,8.4,8.4,0.0396,0.0,0.0,0.0,0,.,1,.,2.58,152.7,A6599,04,A0761,04,,,,0,0.0,2.0,H3,3,CTL,,,,,?,,,0.0,XVL,,CTL,.,cull,0,,,,,,,,0,,7,20,18,03,93,0602,0,-1.729,-1.2423,-0.6457,-0.01
03RA00059,A8706,04,01,1,84,30,56,N,2,1,3.0,M,110,86,108,0.681,208,187,72,0.348,3.7,3.7,58,12.4,12.4,0.0596,24.0,0.0,0.0,60,2,1,2,2.11,103.4,A6672,04,90830,09,247,,,0,0.0,2.0,,2,INB,,93,111,N,S2,AA,,0.0, 60,,IDX,.,sale,0,,,,,,,,1,,3,6,3,03,92,0918,4401,0.238,-1.0668,-0.6357,-0.0096
03RA00060,A8711,04,01,1,81,30,04,M,4,1,4.0,M,111,96,109,0.8,196,165,72,0.24,3.9,3.9,62,9.8,9.8,0.05,24.0,0.0,0.0,60,1,1,2,2.4,154.0,A6970,04,A4523,04,231,,,0,0.0,2.0,FIX tag A8711,2,LWW,,104,99,N,S2,AA,,0.0, 53,,IDX,.,sale,0,,,,,,,,1,,4,11,9,03,92,0918,4399,-0.951,-0.1682,0.5867,-0.0045
