UID,ETAG,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,YRREC
94RA00011,A0074,93,1,82,30,67,C,4,1,3.0,Y,122,82,95,0.785,131,131,137,0.172,2.1,64,3.3,53.9,1.8,23.9,60,2,1,2-,2.55,106.7,704203,4952,03,153,192,0.209,1.0,X SM. TESTES,3,CTL,80,75,W,L4952,S0,B,0.0,,,,,0,,,,,,1994
94RA00012,A0078,93,1,80,30,P01,M,3,2,3.0,Y,122,83,95,0.761,146,146,137,0.221,2.5,64,4.9,51.6,2.5,20.7,64,2,1,2,2.26,135.3,687403,5580,03,159,192,0.224,1.0,X BACK,3,LBW,100,94,W,L5580,S1,A,0.0,,,,,0,,,,,,1994
94RA00013,A0079,93,1,80,30,P01,M,3,2,3.0,Y,122,77,95,0.709,134,134,137,0.2,1.7,64,4.4,61.7,2.7,21.8,64,1,1,2,2.26,135.3,687403,5580,03,160,192,0.244,1.0,JAF DUD PEN,2,LBW,99,87,W,L5580,MO,MOR,0.0,LIB,,,,0,,,NO,C,,1994
94RA00014,A0080,93,1,80,30,P03,M,3,2,4.0,Y,122,81,95,0.739,153,153,137,0.253,2.3,62,5.5,68.1,3.7,24.2,60,2,1,3,2.3,119.9,678403,3722,03,176,192,0.279,1.0,X BRITCHY,3,LBW,102,109,W,L3722,D3,DUD,0.0,LIB,,,,0,,,,,,1994
94RA00015,A0089,93,1,80,30,P02,M,3,2,4.0,Y,123,70,94,0.639,133,133,137,0.221,2.5,62,4.9,64.1,3.1,22.2,62,5,1,2,2.3,140.0,760003,4032,03,163,192,0.274,1.0,X 5 SCUR,3,LBW,109,103,W,L4032,S4,AAA,0.0,,,,,0,,,,,,1994
94RA00016,A0092,93,1,82,30,64,C,2,2,5.0,Y,123,83,94,0.77,151,151,137,0.239,2.4,62,5.7,60.8,3.5,23.1,62,2,1,2,2.17,133.0,732403,2056,03,156,192,0.215,1.0,,2,CTL,105,107,W,L2056,S2,AA,0.0,071,,,,0,,,YES,C,,1994
94RA00017,A0099,93,1,82,30,69,C,3,2,5.0,Y,123,70,94,0.64,143,143,137,0.256,2.1,64,4.4,61.6,2.7,21.9,64,2,1,2+,2.06,108.8,708803,2141,03,168,192,0.288,1.0,GET FROM MKTS,1,CTL,90,91,W,L2141,S1,A,90.0, 27,C,55,3,0,0,E,,,,1994
94RA00018,A0102,93,1,82,30,63,C,2,2,2.0,Y,123,77,94,0.721,144,144,137,0.235,2.5,64,4.4,62.4,2.7,20.9,64,2,1,2,2.14,127.2,675603,6971,03,173,192,0.282,1.0,,2,CTL,100,97,W,L6971,S1,A,0.0,069,,,,0,,,YES,C,,1994
94RA00019,A0105,93,1,80,30,P02,M,2,2,4.0,Y,123,80,94,0.743,139,139,137,0.207,2.5,64,4.9,66.1,3.2,23.5,60,2,1,2,2.05,130.5,760003,3544,03,164,192,0.247,1.0,,2,LBW,104,103,W,L3544,S2,AA,0.0,068,,,,0,,,YES,C,,1994
94RA00020,A0117,93,1,82,30,69,C,3,2,2.0,Y,124,65,93,0.617,135,135,137,0.246,2.0,58,4.4,59.4,2.6,23.2,62,2,1,2,2.31,136.4,708803,7038,03,157,192,0.271,1.0,LUPINE,6,CTL,101,87,W,L7038,,,0.0,,,,,0,,,,,,1994
94RA00021,A0118,93,1,82,30,61,C,2,2,6.0,Y,124,70,93,0.66,130,130,137,0.211,2.7,58,4.9,67.7,3.3,21.9,64,2,1,2-,2.12,120.1,673403,0546,03,148,192,0.229,1.0,,1,CTL,99,109,W,L0546,S3,AA,100.0, 20,C,70,4,0,0,E,,,,1994
94RA00022,A0156,93,1,80,30,P04,M,2,2,2.0,Y,126,78,91,0.738,158,158,137,0.281,2.2,64,2.6,67.5,1.8,21.2,64,2,1,2,2.14,130.2,684903,6556,03,184,192,0.312,1.0,,2,LBW,95,79,W,L6556,S2,AA,0.0,076,,,,0,,,YES,C,,1994
94RA00023,A0161,93,1,82,30,60,C,3,2,5.0,Y,126,77,91,0.722,131,131,137,0.189,2.7,60,4.0,64.9,2.6,20.8,64,2,1,3+,2.5,132.3,723903,2453,03,154,192,0.226,1.0,,1,CTL,100,98,W,L2453,S2,AA,100.0, 28,C,60,3,10,9,S,,,,1994
94RA00024,A0167,93,1,82,30,68,C,3,3,5.0,Y,126,64,91,0.59,137,137,137,0.256,2.2,56,3.7,58.6,2.2,21.2,64,2,1,2+,2.17,125.6,780303,2140,03,164,192,0.294,1.0,MM,1,CTL,95,85,W,L2140,MO,MOR,0.0,,W,50,3,0,5,S,,,,1994
94RA00025,A0174,93,1,82,30,65,C,3,2,5.0,Y,126,69,91,0.637,132,132,137,0.221,2.3,60,4.2,62.8,2.6,25.2,58,1,1,2+,2.06,105.6,687203,2077,03,158,192,0.262,1.0,,3,CTL,87,90,W,L2077,S0,B,0.0,,,,,0,,,,,,1994
94RA00026,A0177,93,1,82,30,65,C,3,2,4.0,Y,126,66,91,0.632,124,124,137,0.204,2.0,62,3.1,62.7,1.9,20.2,70,2,2,2,2.05,125.6,687203,4018,03,143,192,0.226,1.0,"X SIZE, MOR",3,CTL,90,79,W,L4018,MO,MOR,0.0,LIB,,,,0,,,,,,1994
94RA00027,A0180,93,1,80,30,P02,M,2,2,4.0,Y,126,82,91,0.76,144,144,137,0.218,2.3,62,4.9,59.9,2.9,22.2,62,1,2,2,2.05,131.3,760003,3804,03,171,192,0.262,1.0,,2,LBW,102,97,W,L3804,S4,AAA,0.0,070,,,,0,,,YES,C,,1994
94RA00028,A0190,93,1,80,30,P04,M,2,2,4.0,Y,127,74,90,0.709,153,153,137,0.277,2.4,64,4.2,57.1,2.4,19.5,64,2,1,2,1.8,122.8,684903,3390,03,181,192,0.315,1.0,,2,LBW,97,93,W,L3390,S3,AA,0.0,083,,,,0,,,YES,1,,1994
94RA00029,A0191,93,1,80,30,P04,M,2,2,4.0,Y,127,83,90,0.791,145,145,137,0.218,2.3,56,5.1,57.7,2.9,23.0,60,1,1,2,1.8,122.8,684903,3390,03,168,192,0.25,1.0,,2,LBW,97,96,W,L3390,S4,AAA,0.0,082,,,,0,,,YES,1,,1994
94RA00030,A0194,93,1,82,30,69,C,2,2,7.0,Y,127,67,90,0.614,128,128,137,0.214,2.2,64,4.4,57.5,2.5,22.3,62,2,1,2,1.89,111.9,708803,9140,43,152,192,0.25,1.0,X PINK,3,CTL,89,89,W,Y9140,S0,B,0.0,,,,,0,,,,,,1994
94RA00031,A0198,93,1,82,30,66,C,2,2,4.0,Y,128,76,89,0.73,140,140,137,0.225,2.4,64,4.4,60.8,2.7,21.8,64,2,1,2,1.8,106.8,677303,3369,03,165,192,0.262,1.0,X RAGGY,3,CTL,89,95,W,L3369,S0,B,0.0,,,,,0,,,,,,1994
94RA00032,A0219,93,1,82,30,68,C,2,2,4.0,Y,130,68,85,0.662,149,149,137,0.282,2.0,62,4.0,58.7,2.3,20.7,64,2,1,2+,1.93,109.7,780303,3433,03,174,192,0.31,1.0,,3,CTL,88,85,W,L3433,S0,B,0.0,,,,,0,,,,,,1994
94RA00033,A0225,93,1,TT,30,R-0,c,2,2,6.0,Y,131,68,84,0.71,132,132,137,0.223,0.0,60,4.4,0.0,,0.0,,,1,,2.12,121.1,000003,0833,03,143,192,0.219,1.0,,1,ctl,,,.,L0833,S3,AA,0.0,X,,,,0,,,,,,1994
94RA00034,A0261,93,2,73,30,  5,,3,1,6.0,F,232,71,102,0.61,124,124,137,0.315,0.0,58,5.1,0.0,,0.0,,,1,,1.17,67.5,L9440,1301,03,144,192,0.327,0.5,,1,FL,85,,.,L1301,S3,AA,0.0,FL,C,70,4,0,0,E,,,,1994
94RA00035,A0267,93,2,73,30,  7,,1,1,8.0,F,232,64,102,0.51,130,130,137,0.393,0.0,58,5.1,0.0,,0.0,,,3,,1.38,85.0,L9477,9053,02,146,192,0.368,0.5,,1,FL,103,,.,Y9053,D1,B,0.0,FL,C,75,4,0,0,E,,,,1994
94RA00036,A0277,93,2,73,30,  3,,1,1,2.0,F,233,61,101,0.502,128,128,137,0.399,0.0,62,4.2,0.0,,0.0,,,1,,0.5,27.5,L9422,7849,03,145,192,0.377,0.5,X SEMEN,3,FL,55,,.,L7849,,,0.0,FL,M,50,3,0,20,U,,,,1994
94RA00037,A0285,93,2,73,30,  7,,2,2,2.0,F,233,72,101,0.597,136,136,137,0.381,0.0,58,5.5,0.0,,0.0,,,1,,1.0,57.5,L9477,8230,03,155,192,0.372,0.5,,1,FL,80,,.,L8230,S4,AAA,0.0,FL,C,55,2,0,0,S,,,,1994
94RA00038,A0288,93,2,73,30,  9,,1,1,6.0,F,233,63,101,0.495,141,141,137,0.464,0.0,56,7.3,0.0,,0.0,,,1,,1.0,85.2,L9460,1137,03,131,192,0.305,0.5,,1,FL,98,,.,L1137,S3,AA,0.0,FL,C,70,4,0,0,E,,,,1994
94RA00039,A0292,93,2,72,30,721,,2,2,5.0,F,234,69,100,0.584,135,135,137,0.393,0.0,58,4.2,0.0,,0.0,,,1,,1.2,88.8,L6028,3168,03,150,192,0.363,0.5,,1,FL,106,,.,L3168,D1,B,0.0,FL,C,60,3,0,5,S,,,,1994
94RA00040,A0304,93,2,73,30,  6,,3,2,2.5,F,235,58,99,0.517,113,113,137,0.327,0.0,58,4.6,0.0,,0.0,,,1,,2.5,90.5,L9578,7117,03,129,192,0.318,0.5,,1,FL,103,,.,L7117,S1,A,0.0,FL,C,50,3,0,0,E,,,,1994
94RA00041,A0311,93,2,72,30,721,,1,1,5.0,F,235,74,99,0.6,142,142,137,0.405,0.0,58,6.0,0.0,,0.0,,,1,,0.8,79.4,L6028,3075,03,167,192,0.417,0.5,,1,FL,102,,.,L3075,D1,B,0.0,FL,C,60,3,0,0,E,,,,1994
94RA00042,A0316,93,2,73,30, 10,,3,2,6.0,F,235,60,99,0.524,120,120,137,0.357,0.0,60,5.1,0.0,,0.0,,,1,,2.0,101.0,L9630,1411,03,128,192,0.305,0.5,,1,FL,111,,.,L1411,S3,AA,0.0,FL,C,70,4,0,0,E,,,,1994
94RA00043,A0340,93,2,73,30,  1,,1,1,2.0,F,236,78,98,0.684,130,130,137,0.31,0.0,58,6.2,0.0,,0.0,,,2,,0.5,36.5,L9410,7894,03,149,192,0.318,0.5,,1,FL,58,,.,L7894,D1,B,0.0,FL,C,60,4,0,15,Q,,,,1994
94RA00044,A0341,93,2,73,30,  8,,2,2,4.0,F,237,53,97,0.423,124,124,137,0.423,0.0,56,3.7,0.0,,0.0,,,1,,1.0,73.5,L9603,4587,03,147,192,0.422,0.5,X BAD EYE,3,FL,98,,.,L4587,,,0.0,FL,M,60,3,0,2,S,,,,1994
94RA00045,A0342,93,2,73,30,  8,,2,2,4.0,F,237,60,97,0.505,124,124,137,0.381,0.0,60,4.0,0.0,,0.0,,,1,,1.0,73.5,L9603,4587,03,142,192,0.368,0.5,,1,FL,93,,.,L4587,D1,B,0.0,FL,W,40,4,5,0,S,,,,1994
94RA00046,A0347,93,2,73,30,  9,,2,2,6.0,F,237,59,97,0.497,131,131,137,0.429,0.0,58,6.8,0.0,,0.0,,,1,,1.33,80.2,L9460,1499,03,137,192,0.35,0.5,,1,FL,97,,.,L1499,S2,AA,0.0,FL,C,60,4,0,0,E,,,,1994
94RA00047,A0349,93,2,73,30,  9,,2,2,5.0,F,237,52,97,0.422,120,120,137,0.405,0.0,58,5.1,0.0,,0.0,,,2,,1.8,89.8,L9460,2863,03,147,192,0.426,0.5,X OVERSHOT,3,FL,112,,W,L2863,,,0.0,FL,,,,0,,,,,,1994
94RA00048,A0350,93,2,73,30,  9,,2,2,5.0,F,237,62,97,0.515,142,142,137,0.476,0.0,56,6.0,0.0,,0.0,,,1,,1.8,89.8,L9460,2863,03,155,192,0.417,0.5,,1,FL,111,,.,L2863,S4,AAA,0.0,FL,M,60,3,0,0,E,,,,1994
94RA00049,A0356,93,2,73,30,  3,,2,2,6.0,F,238,59,96,0.497,130,130,137,0.423,0.0,58,5.7,0.0,,0.0,,,1,,1.33,86.3,L9422,1196,03,145,192,0.386,0.5,,1,FL,105,,.,L1196,MO,MOR,0.0,FL,W,70,4,0,0,S,,,,1994
94RA00050,A0358,93,2,73,30, 10,,1,1,3.0,F,238,82,96,0.715,149,149,137,0.399,0.0,58,6.6,0.0,,0.0,,,2,,0.67,26.0,L9630,6145,03,145,192,0.283,0.5,,1,FL,46,,.,L6145,S3,AA,0.0,FL,C,70,4,0,0,E,,,,1994
94RA00051,A0359,93,2,73,30,  3,,1,1,7.0,F,238,62,96,0.515,121,121,137,0.351,0.0,58,5.5,0.0,,0.0,,,1,,1.29,59.9,L9422,9959,02,130,192,0.305,0.5,,1,FL,76,,.,Y9959,D1,B,0.0,FL,C,75,3,0,0,E,,,,1994
94RA00052,A0360,93,2,72,30,721,,2,2,7.0,F,238,54,96,0.456,98,98,137,0.262,0.0,58,3.3,0.0,,0.0,,,1,,1.29,102.4,L6028,0131,03,114,192,0.269,0.5,"TWIN,IDX120",1,FL,109,,.,L0131,S1,A,0.0,FL,C,60,3,0,0,E,,,,1994
94RA00053,A0368,93,2,73,30,  5,,2,2,5.0,F,238,66,96,0.561,121,121,137,0.327,0.0,58,5.3,0.0,,0.0,,,1,,1.4,77.4,L9440,3215,03,140,192,0.332,0.5,,1,FL,93,,.,L3215,S1,A,0.0,FL,C,75,4,0,2,S,,,,1994
94RA00054,A0376,93,2,72,30,723,,2,1,4.0,F,239,64,95,0.576,147,147,137,0.494,0.0,62,4.4,0.0,,0.0,,,1,,1.5,77.0,L8217,4552,03,166,192,0.457,0.5,,1,FL,103,,.,L4552,S3,AA,0.0,FL,C,50,3,0,6,S,,,,1994
94RA00055,A0386,93,2,73,30,  5,,1,1,3.5,F,240,69,94,0.579,133,133,137,0.381,0.0,56,7.7,0.0,,0.0,,,1,,1.33,103.3,L9440,5700,03,148,192,0.354,0.5,,1,FL,117,,.,L5700,S1,A,94.0,743,M,60,3,0,0,E,,,,1994
94RA00056,A0415,93,2,73,30,  2,,1,1,2.0,F,241,58,93,0.502,138,138,137,0.476,0.0,56,5.7,0.0,,0.0,,,1,,0.5,28.0,L9451,7848,03,149,192,0.408,0.5,,1,FL,58,,.,L7848,D1,B,0.0,FL,C,60,3,0,0,E,,,,1994
94RA00057,A0421,93,2,73,30,  6,,1,1,3.5,F,241,57,93,0.483,119,119,137,0.369,0.0,58,5.5,0.0,,0.0,,,1,,1.67,79.7,L9578,5724,03,142,192,0.381,0.5,,1,FL,99,,.,L5724,D1,B,0.0,FL,C,60,3,0,0,E,,,,1994
94RA00058,A0443,93,2,73,30,  4,,2,2,4.0,F,243,58,91,0.521,112,112,137,0.321,0.0,58,6.4,0.0,,0.0,,,1,,1.75,78.8,L9542,4660,03,114,192,0.251,0.5,,1,FL,88,,.,L4660,S3,AA,0.0,FL,C,75,4,0,0,E,,,,1994
94RA00059,A0447,93,2,73,30, 10,,1,1,5.0,F,243,57,91,0.491,121,121,137,0.381,0.0,60,4.2,0.0,,0.0,,,1,,1.4,55.2,L9630,2680,03,141,192,0.377,0.5,,1,FL,78,,.,L2680,S2,AA,0.0,FL,W,20,3,0,8,Q,,,,1994
94RA00060,A0459,93,2,73,30,  8,,1,1,6.0,F,244,66,90,0.566,119,119,137,0.315,0.0,58,5.5,0.0,,0.0,,,1,,1.33,109.8,L9603,1696,03,126,192,0.269,0.5,"FACEok,137IDX",1,FL,115,,.,L1696,S0,B,0.0,FL,C,70,4,0,6,S,,,,1994
94RA00061,Z0468,91,1,97,97,397,,2,2,4.0,M,91,97,121,0.746,254,154,137,0.198,0.0,0,0.0,0.0,,0.0,,,1,,2.0,167.5,656980,8284,80,287,192,0.316,3.0,,1,BF,,,.,X8284,S2,AA,93.0,972,W,40,3,0,3,S,,,,1994
94RA00062,A0477,93,2,73,30,  2,,2,2,5.0,F,245,54,89,0.476,124,124,137,0.417,0.0,58,6.2,0.0,,0.0,,,1,,1.4,85.4,L9451,2578,03,139,192,0.381,0.5,,1,FL,104,,.,L2578,MO,MOR,0.0,FL,C,75,4,0,0,E,,,,1994
94RA00063,A0478,93,2,73,30,  1,,1,1,3.0,F,245,72,89,0.667,132,132,137,0.357,0.0,56,5.5,0.0,,0.0,,,1,,1.33,99.7,L9410,5860,03,157,192,0.381,0.5,,1,FL,116,,.,L5860,S5,AAA,88.0,744,C,60,3,0,0,E,,,,1994
94RA00064,A0484,93,2,73,30, 10,,3,2,4.0,F,245,69,89,0.66,133,133,137,0.381,0.0,58,5.3,0.0,,0.0,,,1,,2.0,121.3,L9630,4591,03,139,192,0.314,0.5,,1,FL,129,,.,L4591,MO,MOR,0.0,FL,C,75,4,0,0,E,,,,1994
94RA00065,A0485,93,2,73,30, 10,,3,2,4.0,F,245,59,89,0.548,128,128,137,0.411,0.0,58,5.7,0.0,,0.0,,,1,,2.0,121.3,L9630,4591,03,142,192,0.372,0.5,,1,FL,134,,.,L4591,S3,AA,100.0,741,M,50,2,0,0,S,,,,1994
94RA00066,A0487,93,2,72,30,721,,2,2,5.0,F,245,62,89,0.564,131,131,137,0.411,0.0,58,5.5,0.0,,0.0,,,1,,1.0,69.8,L6028,2581,03,149,192,0.39,0.5,,1,FL,92,,.,L2581,MO,MOR,0.0,FL,W,20,2,0,0,Q,,,,1994
94RA00067,A0505,93,2,73,30,  4,,2,1,8.0,F,247,66,87,0.652,128,128,137,0.369,0.0,60,3.3,0.0,,0.0,,,1,,1.75,100.6,L9542,8526,02,141,192,0.336,0.5,CHK TESTES,1,FL,113,,.,Y8526,S1,A,0.0,FL,C,60,4,0,0,E,,,,1994
94RA00068,Z0512,91,1,97,97,397,,2,1,5.0,M,93,117,119,0.756,202,156,137,0.135,0.0,0,0.0,0.0,,0.0,,,1,,1.6,118.2,656980,6211,80,223,192,0.233,3.0,X RCVR THIN,3,BF,,,.,X6211,S2,AA,0.0,X,C,60,3,0,0,E,,,,1994
94RA00069,A0513,93,2,73,30,  6,,2,2,5.0,F,247,62,87,0.58,131,131,137,0.411,0.0,58,7.7,0.0,,0.0,,,3,,1.8,97.4,L9578,2937,03,143,192,0.363,0.5,,1,FL,113,,.,L2937,S2,AA,0.0,FL,M,70,4,0,0,E,,,,1994
94RA00070,A0517,93,2,73,30,  8,,2,2,4.0,F,247,46,87,0.41,136,136,137,0.536,0.0,56,4.6,0.0,,0.0,,,3,,1.25,88.0,L9603,4616,03,152,192,0.475,0.5,,1,FL,114,,.,L4616,S1,A,0.0,FL,C,60,4,0,15,Q,,,,1994
94RA00071,A0518,93,2,73,30,  8,,2,2,4.0,F,247,52,87,0.472,129,129,137,0.458,0.0,58,5.5,0.0,,0.0,,,1,,1.25,88.0,L9603,4616,03,146,192,0.422,0.5,EYE TRT,1,FL,110,,.,L4616,S2,AA,0.0,FL,C,60,3,0,0,E,,,,1994
94RA00072,A0526,93,2,72,30,723,,2,1,6.0,F,248,68,86,0.662,132,132,137,0.381,0.0,58,3.5,0.0,,0.0,,,1,,1.0,65.3,L8217,1304,03,153,192,0.381,0.5,,1,FL,87,,.,L1304,S1,A,0.0,FL,W,60,4,0,0,S,,,,1994
94RA00073,Z0552,91,1,97,97,197,,1,1,6.0,M,94,150,118,0.862,212,167,137,0.059,0.0,0,0.0,0.0,,0.0,,,2,,1.67,111.0,398880,3829,80,253,192,0.152,3.0,,1,BF,,,.,X3829,S3,AA,0.0,,W,20,2,95,10,U,,,,1994
94RA00074,A0557,93,2,73,30,  5,,2,2,3.5,F,250,66,84,0.644,120,120,137,0.321,0.0,54,6.8,0.0,,0.0,,,1,,2.0,123.0,L9440,5185,03,137,192,0.318,0.5,JUMPER,1,FL,131,,.,L5185,S0,B,0.0,FL,C,40,2,20,0,Q,,,,1994
94RA00075,A0560,93,2,73,30,  7,,2,2,4.5,F,250,58,84,0.593,110,110,137,0.31,0.0,58,4.4,0.0,,0.0,,,1,,2.0,108.3,L9477,3880,03,130,192,0.323,0.5,,1,FL,119,,.,L3880,S1,A,100.0,742,C,70,4,0,0,E,,,,1994
94RA00076,A0561,93,2,73,30,  7,,2,2,4.5,F,250,60,84,0.585,114,114,137,0.321,0.0,58,4.9,0.0,,0.0,,,1,,2.0,108.3,L9477,3880,03,134,192,0.332,0.5,,1,FL,119,,.,L3880,MO,MOR,0.0,FL,C,70,4,0,0,E,,,,1994
94RA00077,Z0581,91,1,97,97,297,,2,1,5.0,M,94,131,118,0.852,220,142,137,0.038,0.0,0,0.0,0.0,,0.0,,,2,,1.0,91.0,422480,6273,80,240,192,0.175,3.0,,1,BF,,,.,X6273,S3,AA,0.0,,W,30,3,0,0,S,,,,1994
94RA00078,Z0582,91,1,97,97,297,,2,1,5.0,M,94,100,120,0.0,216,164,137,0.115,0.0,0,0.0,0.0,,0.0,,,,,1.0,91.0,422480,6273,80,250,192,0.204,3.0,HANK FROM '91,1,BF,,,.,X6273,S4,AAA,0.0,WR,C,50,3,0,3,S,,,,1994
94RA00079,A0588,93,2,73,30,  7,,2,2,4.0,F,255,55,79,0.559,113,113,137,0.345,0.0,56,4.0,0.0,,0.0,,,1,,1.25,101.5,L9477,4464,03,127,192,0.323,0.5,,1,FL,113,,.,L4464,S2,AA,0.0,FL,C,70,3,0,0,E,,,,1994
94RA00080,A0597,93,2,73,30,  5,,1,1,3.5,F,256,68,78,0.706,122,122,137,0.321,0.0,60,4.9,0.0,,0.0,,,1,,1.67,96.3,L9440,4852,03,139,192,0.318,0.5,,1,FL,108,,.,L4852,S0,B,0.0,FL,W,50,3,0,0,S,,,,1994
94RA00081,Z0629,91,1,97,97,197,,2,2,4.0,M,96,105,116,0.83,169,135,137,0.104,0.0,0,0.0,0.0,,0.0,,,1,,1.75,124.5,398880,8339,80,203,192,0.241,3.0,X SM TSTS,3,BF,,,.,X8339,S2,AA,0.0,X,W,40,2,95,0,U,,,,1994
94RA00082,Z0643,91,1,97,97,297,,1,1,5.0,M,96,118,116,0.783,205,136,137,0.063,0.0,0,0.0,0.0,,0.0,,,1,,1.4,118.0,422480,5836,80,234,192,0.204,3.0,,1,BF,,,.,X5836,S2,AA,0.0,,W,60,3,0,0,S,,,,1994
94RA00083,Z0649,91,1,97,97,297,,2,2,3.0,M,97,99,115,0.777,212,130,137,0.108,0.0,0,0.0,0.0,,0.0,,,1,,1.5,144.0,422480,5938,80,228,192,0.193,3.0,,1,BF,,,.,X5938,S3,AA,0.0,,W,70,3,0,0,E,,,,1994
94RA00084,Z0650,91,1,97,97,397,,1,1,5.0,M,97,106,115,0.722,186,135,137,0.101,0.0,0,0.0,0.0,,0.0,,,2,,1.2,103.8,656980,6084,80,212,192,0.19,3.0,X Q SEMEN,1,BF,,,.,X6084,S1,A,0.0,X,W,60,4,0,15,Q,,,,1994
94RA00085,Z0664,91,1,97,97,297,,2,1,3.0,M,97,125,115,0.793,210,148,137,0.08,0.0,0,0.0,0.0,,0.0,,,2,,1.33,72.3,422480,5625,80,243,192,0.187,3.0,,1,BF,,,.,X5625,S2,AA,0.0,,W,50,3,0,4,S,,,,1994
94RA00086,Z0801,91,1,97,97,397,,2,2,2.0,M,109,92,103,0.827,189,139,137,0.163,0.0,0,0.0,0.0,,0.0,,,1,,2.0,112.0,656980,8240,80,229,192,0.279,3.0,,1,BF,,,.,X8240,S3,AA,0.0,WR,C,70,4,0,0,E,,,,1994
94RA00087,Z0858,91,1,97,97,397,,3,2,5.0,M,111,89,101,0.746,196,133,137,0.153,0.0,0,0.0,0.0,,0.0,,,1,,2.17,125.8,656980,1452,80,227,192,0.239,3.0,ABS JAW X,3,BF,,,.,X1452,S2,AA,0.0,,,,,0,0,,,,,1994
