UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,MICRON,SD
96PR00023,A1820,1,30,81,95,1,1.0,0,M,,2,2,6.5,2.6,,26.79,5.38
96PR00024,A1821,1,30,81,95,1,1.0,0,M,,2,2+,7.0,2.8,,27.3,6.13
96PR00025,A1857,1,30,81,95,1,1.0,0,M,,1,3-,7.0,2.8,,23.06,4.68
96PR00026,A1889,1,30,82,95,1,1.0,0,C,,2,3,6.0,2.4,,23.35,3.99
96PR00027,A1901,1,30,82,95,1,1.0,0,C,,2,2-,6.5,2.6,,23.94,4.78
96PR00028,A1929,1,30,82,95,1,1.0,0,C,,2,2,6.1,2.4,,22.39,4.13
96PR00029,A1935,1,30,82,95,1,1.0,0,C,,2,3,6.2,2.4,,20.87,3.59
96PR00030,A1942,1,30,81,95,1,1.0,0,M,,2,2+,7.3,2.9,,22.46,3.44
96PR00031,A1946,1,30,82,95,1,1.0,0,C,,2,2,6.8,2.7,,22.99,4.05
96PR00032,A1960,1,30,81,95,1,1.0,0,M,,5,2-,6.6,2.6,X HORN5,23.01,4.35
96PR00033,A1985,1,30,82,95,1,1.0,0,C,,2,2+,8.0,3.1,,21.45,4.14
96PR00034,A1994,1,30,81,95,1,1.0,0,M,,1,2-,8.7,3.4,,23.98,4.67
96PR00035,A1999,1,30,82,95,1,1.0,0,C,,2,3+,7.2,2.8,,24.26,4.29
96PR00036,A2001,1,30,81,95,1,1.0,0,M,,2,2+,8.0,3.1,,23.38,5.13
96PR00037,A2002,1,30,81,95,1,1.0,0,M,,2,2,7.5,3.0,,21.26,4.19
96PR00038,A2006,1,30,82,95,1,1.0,0,C,,2,1-,8.0,3.1,,25.91,5.13
96PR00039,A2009,1,30,82,95,1,1.0,0,C,,2,2-,5.5,2.2,,19.32,3.72
96PR00040,A2011,1,30,82,95,1,1.0,0,C,,2,2-,7.5,3.0,,24.43,4.61
96PR00041,A2026,1,30,82,95,1,1.0,0,C,,2,3+,7.6,3.0,,24.15,4.41
96PR00042,A2027,1,30,82,95,1,1.0,0,C,,2,2-,6.7,2.6,,24.39,4.97
96PR00043,A2036,1,30,82,95,1,1.0,0,C,,2,1,7.0,2.8,lbw 169 !,22.7,3.79
96PR00044,A2059,1,30,81,95,1,1.0,0,M,,1,3+,8.2,3.2,,24.32,4.59
96PR00045,A2062,1,30,82,95,1,1.0,0,C,,2,2-,7.6,3.0,,23.06,4.39
96PR00046,A2074,1,30,82,95,1,1.0,0,C,,2,2,7.0,2.8,,21.29,3.83
96PR00047,A2085,1,30,82,95,1,1.0,0,C,,1,2-,7.0,2.8,,24.98,5.01
96PR00048,A2086,1,30,82,95,1,1.0,0,C,,2,2,7.0,2.8,,22.74,4.88
96PR00049,A2096,1,30,81,95,1,1.0,0,M,,2,2-,8.0,3.1,,24.46,4.36
96PR00050,A2117,1,30,82,95,1,1.0,0,C,,2,2+,6.3,2.5,,21.03,3.7
96PR00051,A2118,1,30,82,95,1,1.0,0,C,,3,3+,7.6,3.0,,24.29,4.25
96PR00052,A2143,1,30,82,95,1,1.0,0,C,,2,2-,7.0,2.8,4TEATS,20.88,4.59
96PR00053,A2144,1,30,82,95,1,1.0,0,C,,2,2+,5.4,2.1,,21.93,4.08
96PR00054,A2146,1,30,81,95,1,1.0,0,M,,2,2+,7.2,2.8,,23.56,4.73
96PR00055,A2159,1,30,81,95,1,1.0,0,M,,2,2-,7.3,2.9,,23.07,4.11
96PR00056,A2160,1,30,81,95,1,1.0,0,M,,2,2,7.8,3.1,,22.18,4.66
96PR00057,A2164,1,30,81,95,1,1.0,0,M,,2,2-,7.5,3.0,,25.04,6.33
96PR00058,A2191,1,30,82,95,1,1.0,0,C,,2,2,7.5,3.0,,23.43,5.09
96PR00059,A2208,1,30,82,95,1,1.0,0,C,,2,2,5.8,2.3,,21.68,3.69
96PR00060,A2232,1,30,81,95,1,1.0,0,M,,2,2,7.1,2.8,,22.86,4.4
96PR00061,A2245,1,30,82,95,1,1.0,0,C,,2,1-,7.0,2.8,,19.75,3.61
96PR00062,A2246,1,30,82,95,1,1.0,0,C,,2,2-,4.5,1.8,,22.87,4.15
96PR00063,A2261,1,30,82,95,1,1.0,0,C,,2,3+,6.5,2.6,,21.72,4.16
96PR00064,A2274,1,30,81,95,1,1.0,0,M,,2,2,6.3,2.5,,21.37,3.69
96PR00065,A2285,1,30,82,95,1,1.0,0,C,,2,2,6.0,2.4,SAVE sub,21.76,3.66
96PR00066,A2346,1,30,82,95,1,1.0,0,C,,2,2,5.5,2.2,,21.07,3.61
96PR00067,A2359,1,30,81,95,1,1.0,0,M,,2,2+,6.4,2.5,,22.48,4.29
96PR00068,A2373,1,30,82,95,1,1.0,0,C,,,,0.0,0.0,withJIM graft,0.0,0.0
96PR00069,A2390,1,30,81,95,1,1.0,0,M,,1,3+,6.4,2.5,,20.79,3.48
96PR00070,A2408,1,30,82,95,1,1.0,0,C,,1,2-,7.7,3.0,,20.1,3.77
96PR00071,A2416,1,30,81,95,1,1.0,0,M,,2,3+,7.3,2.9,,24.42,4.57
96PR00072,A2465,1,30,82,95,1,1.0,0,C,,2,2,8.2,3.2,,21.89,4.17
96PR00073,A2494,1,30,82,95,1,1.0,0,C,,2,3+,6.6,2.6,,24.52,4.86
96PR00074,K7048,1,06,60,94,1,2.0,0,M,,1,3,11.0,4.3,,32.49,6.58
96PR00075,K7067,1,06,62,94,1,2.0,0,C,,2,1-,8.3,3.3,4TEATS,27.33,5.62
96PR00076,K7070,1,06,60,94,1,2.0,0,M,,2,2-,10.0,3.9,,27.92,5.14
96PR00077,K7076,1,06,62,94,1,2.0,0,C,,1,2+,7.0,2.8,4TEATS,28.02,5.55
96PR00078,K7083,1,06,60,94,1,2.0,0,M,,1,2-,9.4,3.7,,29.37,4.53
96PR00079,K7095,1,05,00,94,1,2.0,0,H,,2,2-,8.0,3.1,"ENTR, ?CLPG",27.83,4.83
96PR00080,K7143,1,06,61,94,1,2.0,0,R,,2,2-,9.6,3.8,,32.05,6.19
96PR00081,K7169,1,06,62,94,1,2.0,0,C,,1,3-,10.0,3.9,,27.81,4.83
96PR00082,K7189,1,05,00,94,1,2.0,0,H,,1,2-,9.2,3.6,@HQ7/9/96DEAD,30.43,5.07
96PR00083,K7197,1,06,60,94,1,2.0,0,M,,2,3+,8.3,3.3,,24.35,3.73
96PR00084,K7229,1,06,60,94,1,2.0,0,M,,1,2,9.5,3.7,,27.79,4.59
96PR00085,K7244,1,05,00,94,1,2.0,0,H,,2,3+,10.0,3.9,ENTRmsg082595,27.94,5.1
96PR00086,K7245,1,05,00,94,1,2.0,0,H,,2,2+,7.6,3.0,ENTR,28.79,5.29
96PR00087,K7259,1,06,61,94,1,2.0,0,R,,1,3+,7.7,3.0,,26.63,5.62
96PR00088,K7266,1,06,61,94,1,2.0,0,R,,,,0.0,0.0,MSG 2/29/96,0.0,0.0
96PR00089,K7370,1,06,62,94,1,2.0,0,C,,1,2+,9.2,3.6,4TEATS,28.58,5.07
96PR00090,K7455,1,06,62,94,1,2.0,0,C,,1,3+,8.0,3.1,4TEATS,27.37,5.82
96PR00091,K7481,1,06,61,94,1,2.0,0,R,,2,3+,8.8,3.5,,30.87,7.42
96PR00092,K7499,1,06,62,94,1,2.0,0,C,,1,2-,8.2,3.2,,24.85,3.85
96PR00093,K7502,1,06,62,94,1,2.0,0,C,,1,2,8.2,3.2,,27.86,4.97
96PR00094,K7530,1,06,61,94,1,2.0,0,R,,1,2+,8.0,3.1,HUGE,27.36,5.18
96PR00095,K7544,1,06,61,94,1,2.0,0,R,,1,2-,8.4,3.3,,30.48,5.43
96PR00096,K7548,1,06,61,94,1,2.0,0,R,,1,2,8.4,3.3,LAME RF 10-11,27.74,5.85
96PR00097,K7551,1,06,62,94,1,2.0,0,C,,1,3+,8.2,3.2,,26.91,5.35
96PR00098,K7568,1,06,62,94,1,2.0,0,C,,2,2-,7.7,3.0,4TEATS,25.62,3.9
96PR00099,K7631,1,06,61,94,1,2.0,0,R,,2,3+,9.3,3.7,4TEATS,25.17,4.07
96PR00100,K7656,1,05,00,94,1,2.0,0,H,,1,3+,9.0,3.5,4TEATS,29.35,6.23
96PR00101,K7726,1,05,00,94,1,2.0,0,H,,2,2+,6.7,2.6,@HQ 7/9/96,28.56,4.71
96PR00102,K7769,1,06,60,95,1,1.0,0,M,,2,2,8.3,3.3,,24.92,6.23
96PR00103,K7793,1,06,60,95,1,1.0,0,M,,2,3+,9.0,3.5,,25.56,4.96
96PR00104,K7796,1,06,62,95,1,1.0,0,C,,1,2-,9.2,3.6,PINK?,21.93,4.15
96PR00105,K7800,1,06,61,95,1,1.0,0,R,,2,2,7.0,2.8,4TEATS,23.26,4.5
96PR00106,K7805,1,06,61,95,1,1.0,0,R,,2,2-,8.0,3.1,SAVE sub,24.28,4.68
96PR00107,K7812,1,06,62,95,1,1.0,0,C,,1,2,8.5,3.3,4TEATS,26.46,4.94
96PR00108,K7813,1,06,62,95,1,1.0,0,C,,2,2-,6.4,2.5,,26.84,6.61
96PR00109,K7819,1,05,00,95,1,1.0,0,H,,2,3+,9.0,3.5,SAVE RAM HM!,27.98,5.81
96PR00110,K7829,1,06,62,95,1,1.0,0,C,,2,3+,6.6,2.6,,23.32,4.85
96PR00111,K7831,1,06,60,95,1,1.0,0,M,,2,2-,7.3,2.9,4TEATS,26.28,5.36
96PR00112,K7838,1,05,00,95,1,1.0,0,H,,2,3,7.8,3.1,,25.4,5.51
96PR00113,K7842,1,06,62,95,1,1.0,0,C,,2,2-,7.9,3.1,NOT NICE,26.93,5.01
96PR00114,K7843,1,06,62,95,1,1.0,0,C,,2,3+,5.2,2.0,,24.14,4.64
96PR00115,K7853,1,06,62,95,1,1.0,0,C,,1,3+,8.0,3.1,4TEATS,25.85,5.38
96PR00116,K7863,1,06,62,95,1,1.0,0,C,,1,3,7.2,2.8,,22.47,4.96
96PR00117,K7886,1,05,00,95,1,1.0,0,H,,3,3,8.6,3.4,,23.6,5.4
96PR00118,K7895,1,06,62,95,1,1.0,0,C,,2,3,7.3,2.9,,27.78,5.93
96PR00119,K7896,1,06,62,95,1,1.0,0,C,,2,3,9.5,3.7,,25.83,5.78
96PR00120,K7901,1,06,61,95,1,1.0,0,R,,1,2-,7.6,3.0,,21.33,4.44
96PR00121,K7904,1,06,61,95,1,1.0,0,R,,1,3+,8.1,3.2,,22.0,4.33
96PR00122,K7921,1,06,61,95,1,1.0,0,R,,2,3-,10.4,4.1,"4TEATS,RFLAME",22.93,4.96
96PR00123,K7956,1,06,62,95,1,1.0,0,C,,3,3,9.5,3.7,X LEYE & TSTS,25.18,4.94
96PR00124,K7964,1,06,62,95,1,1.0,0,C,,1,3+,9.8,3.9,,24.2,4.82
96PR00125,K7965,1,06,60,95,1,1.0,0,M,,2,2-,8.2,3.2,SM SOFT TSTS,26.07,5.68
96PR00126,K7968,1,06,61,95,1,1.0,0,R,,2,3+,7.5,3.0,MSG/DEAD 0709,23.73,4.7
96PR00127,K7977,1,06,61,95,1,1.0,0,R,,2,3+,7.8,3.1,"NICE,LA200",25.69,4.61
96PR00128,K7983,1,06,61,95,1,1.0,0,R,,2,3+,8.3,3.3,,27.8,5.9
96PR00129,K7996,1,06,61,95,1,1.0,0,R,,2,2,8.2,3.2,,21.51,3.57
96PR00130,K8018,1,06,60,95,1,1.0,0,M,,2,3+,9.1,3.6,mr.BIG adg959,24.99,4.29
96PR00131,K8027,1,05,00,95,1,1.0,0,H,,2,3+,9.8,3.9,SAVE RAM HM!,26.59,4.76
96PR00132,K8072,1,06,61,95,1,1.0,0,R,,1,2-,9.0,3.5,4TEATS,24.82,5.84
96PR00133,K8080,1,05,00,95,1,1.0,0,H,,2,3,9.0,3.5,4TEATS,27.28,5.36
96PR00134,K8082,1,06,60,95,1,1.0,0,M,,2,3+,7.5,3.0,,24.69,4.42
96PR00135,K8083,1,06,60,95,1,1.0,0,M,,1,3+,7.6,3.0,4TEATS,23.63,4.39
96PR00136,K8090,1,06,61,95,1,1.0,0,R,,2,2-,8.3,3.3,,22.63,4.36
96PR00137,K8132,1,06,60,95,1,1.0,0,M,,2,3+,8.3,3.3,,23.75,4.48
96PR00138,K8135,1,06,62,95,1,1.0,0,C,,2,2+,8.8,3.5,,22.76,3.85
96PR00139,K8140,1,06,62,95,1,1.0,0,C,,2,3+,8.1,3.2,,22.92,4.95
96PR00140,K8144,1,06,62,95,1,1.0,0,C,,2,2-,7.0,2.8,4TEATS,24.21,4.54
96PR00141,K8145,1,06,60,95,1,1.0,0,M,,2,2-,9.8,3.9,"LAME RF,FEVER",22.54,4.23
96PR00142,K8184,1,06,61,95,1,1.0,0,R,,1,3+,8.0,3.1,,26.57,4.87
96PR00143,K8192,1,06,60,95,1,1.0,0,M,,2,3,9.6,3.8,NICE,23.19,4.65
96PR00144,K8218,1,06,60,95,1,1.0,0,M,,2,2-,8.3,3.3,NICE,23.34,5.59
96PR00145,K8253,1,06,62,95,1,1.0,0,C,,1,5+,7.8,3.1,LA200 05/30,23.97,5.09
96PR00146,K8271,1,06,61,95,1,1.0,0,R,,2,2-,7.5,3.0,hi ebv /sire,22.09,4.41
96PR00147,K8273,1,06,62,95,1,1.0,0,C,,2,3+,7.2,2.8,,24.4,4.53
96PR00148,K8313,1,06,62,95,1,1.0,0,C,,1,3+,10.0,3.9,BRITCHY,25.29,6.15
96PR00149,K8319,1,06,61,95,1,1.0,0,R,,1,2-,9.3,3.7,,22.9,5.13
96PR00150,K8325,1,06,62,95,1,1.0,0,C,,2,3,7.3,2.9,4TEATS,21.44,4.55
96PR00151,K8326,1,06,62,95,1,1.0,0,C,,1,3,6.1,2.4,,20.42,4.55
96PR00152,K8327,1,06,62,95,1,1.0,0,C,,1,3+,9.0,3.5,,23.85,5.9
96PR00153,K8336,1,06,61,95,1,1.0,0,R,,2,3-,6.7,2.6,,23.77,4.23
96PR00154,K8348,1,06,60,95,1,1.0,0,M,,2,3,9.0,3.5,4TEATS,25.57,5.13
96PR00155,K8349,1,05,00,95,1,1.0,0,H,,2,3+,6.8,2.7,,21.91,4.18
96PR00156,K8350,1,06,62,95,1,1.0,0,C,,2,2-,7.8,3.1,,23.47,4.46
96PR00157,K8351,1,06,62,95,1,1.0,0,C,,1,2-,8.6,3.4,,23.4,4.49
96PR00158,K8356,1,06,62,95,1,1.0,0,C,,1,3+,7.3,2.9,,23.89,4.02
96PR00159,K8363,1,05,00,95,1,1.0,0,H,,2,2-,6.5,2.6,BLK NOSE C3,24.8,5.03
96PR00160,K8379,1,06,62,95,1,1.0,0,C,,1,3+,8.6,3.4,"FEVER,URI",22.52,4.76
96PR00161,K8380,1,06,61,95,1,1.0,0,R,,2,2,8.4,3.3,,23.72,3.97
96PR00162,K8381,1,06,61,95,1,1.0,0,R,,2,2-,8.0,3.1,,27.89,4.61
96PR00163,K8384,1,05,00,95,1,1.0,0,H,,1,3,8.9,3.5,SAVE RAM HM!,27.36,5.26
96PR00164,K8387,1,06,60,95,1,1.0,0,M,,2,2-,7.0,2.8,,23.15,4.15
96PR00165,K8391,1,06,62,95,1,1.0,0,C,,1,5+,7.3,2.9,,23.49,4.06
96PR00166,K8394,1,06,62,95,1,1.0,0,C,,2,3,9.3,3.7,,21.6,4.26
96PR00167,K8395,1,06,62,95,1,1.0,0,C,,1,2,6.4,2.5,,22.42,4.33
96PR00168,K8418,1,06,62,95,1,1.0,0,C,,1,3+,8.1,3.2,,24.58,4.35
96PR00169,K8419,1,06,62,95,1,1.0,0,C,,1,3+,9.1,3.6,,21.35,4.21
96PR00170,K8429,1,06,60,95,1,1.0,0,M,,2,3,6.4,2.5,,26.96,5.0
96PR00171,K8438,1,06,62,95,1,1.0,0,C,,2,2-,8.1,3.2,SM SOFT TSTS,25.07,4.35
96PR00172,K8441,1,06,62,95,1,1.0,0,C,,1,3-,8.5,3.3,4+ FACE,24.73,5.38
96PR00173,K8444,1,06,62,95,1,1.0,0,C,,1,3,9.0,3.5,4TEATS,23.74,4.78
96PR00174,K8448,1,06,60,95,1,1.0,0,M,,2,3-,8.6,3.4,4TEATS,25.36,4.27
96PR00175,K8452,1,06,60,95,1,1.0,0,M,,1,3+,6.2,2.4,X ORCHITIS,24.0,0.0
96PR00176,K8455,1,06,62,95,1,1.0,0,C,,1,3,6.2,2.4,,23.0,4.74
96PR00177,S0011,2,07,13,89,1,7.0,0,F,,,,5.1,2.0,,24.21,4.16
96PR00178,S0031,2,07,13,89,1,7.0,0,F,,,,5.6,2.2,DYSTOCIA 93,21.53,3.59
96PR00179,S0047,2,07,12,89,1,7.0,0,C,,,,7.0,2.8,SM.BAG,24.69,3.51
96PR00180,S0061,2,07,10,89,1,7.0,0,M,,,,6.5,2.6,SUCK1SIDE,22.96,4.0
96PR00181,S0072,2,07,11,89,1,7.0,0,R,,,,5.9,2.3,"THIN,LBWN 192",22.82,3.61
96PR00182,S0121,2,07,12,89,1,7.0,0,C,,,,6.6,2.6,,27.05,4.53
96PR00183,S0127,2,07,11,89,1,7.0,0,R,,,,6.3,2.5,FLTS,22.58,4.01
96PR00184,S0128,2,07,10,89,1,7.0,0,M,,,,5.2,2.0,,20.86,3.75
96PR00185,S0138,2,07,13,89,1,7.0,0,F,,,,8.0,3.1,,24.17,4.31
96PR00186,S0150,2,07,13,89,1,7.0,0,F,,,,6.7,2.6,SW BAG,24.49,4.3
96PR00187,S0328,2,07,11,90,1,6.0,0,R,MER,,,6.3,2.5,BIGTAG95???,24.01,3.89
96PR00188,S0340,2,07,12,90,1,6.0,0,C,MER,,,6.7,2.6,,23.32,4.07
96PR00189,S0347,2,07,10,90,1,6.0,0,M,MER,,,5.3,2.1,VLTS,25.13,4.14
96PR00190,S0357,2,07,11,90,1,6.0,0,R,MER,,,7.2,2.8,,24.44,4.46
96PR00191,S0360,2,07,13,90,1,6.0,0,F,MER,,,7.7,3.0,,23.87,4.45
96PR00192,S0362,2,41,10,90,1,6.0,0,M,MER,,,8.5,3.3,,23.88,3.83
96PR00193,S0363,2,41,11,90,1,6.0,0,R,MER,,,7.6,3.0,,24.56,4.7
96PR00194,S0365,2,41,11,90,1,6.0,0,R,MER,,,7.9,3.1,LTS,23.66,4.55
96PR00195,S0366,2,41,10,90,1,6.0,0,M,MER,,,8.3,3.3,DROOPY,23.79,4.92
96PR00196,S0374,2,41,12,90,1,6.0,0,C,MER,,,7.3,2.9,"4"" HORNS",24.18,4.86
96PR00197,S0381,2,41,11,90,1,6.0,0,R,MER,,,6.8,2.7,,19.97,3.26
96PR00198,S0386,2,07,12,90,1,6.0,0,C,MER,,,8.0,3.1,,25.83,3.68
96PR00199,S0388,2,41,10,90,1,6.0,0,M,MER,,,8.4,3.3,,26.86,4.25
96PR00200,S0389,2,41,12,90,1,6.0,0,C,MER,,,9.2,3.6,SM BAG,28.59,5.21
96PR00201,S0401,2,41,10,90,1,6.0,0,M,MER,,,8.1,3.2,,19.61,3.65
96PR00202,S0415,2,41,13,90,1,6.0,0,F,MER,,,8.2,3.2,"1""LUMPDEWLAP",25.78,4.05
96PR00203,S0416,2,41,12,90,1,6.0,0,C,MER,,,7.5,3.0,,23.71,3.69
96PR00204,S0420,2,07,12,90,1,6.0,0,C,MER,,,6.6,2.6,ENTR,24.02,3.97
96PR00205,S0421,2,41,13,90,1,6.0,0,F,MER,,,8.0,3.1,BIGTAG95,19.99,4.56
96PR00206,S0433,2,41,12,90,1,6.0,0,C,MER,,,8.4,3.3,was msg 09-95,25.15,4.51
96PR00207,S0436,2,41,12,90,1,6.0,0,C,MER,,,8.8,3.5,,24.69,3.99
96PR00208,S0439,2,07,10,90,1,6.0,0,M,MER,,,8.3,3.3,,25.83,4.62
96PR00209,S0440,2,41,13,90,1,6.0,0,F,MER,,,8.8,3.5,THIN95,24.4,3.95
96PR00210,S0452,2,07,12,90,1,6.0,0,C,MER,,,6.4,2.5,,26.09,4.85
96PR00211,S0456,2,41,12,90,1,6.0,0,C,MER,,,8.0,3.1,"5"" HORNS",23.95,4.54
96PR00212,S0461,2,07,10,90,1,6.0,0,M,MER,,,6.8,2.7,ENTR,20.97,3.57
96PR00213,S0466,2,41,12,90,1,6.0,0,C,MER,,,7.7,3.0,,24.21,4.86
96PR00214,S0469,2,41,11,90,1,6.0,0,R,MER,,,7.2,2.8,SHEARCUT-NECK,22.98,3.75
96PR00215,S0476,2,41,13,90,1,6.0,0,F,MER,,,7.8,3.1,ROUGH95,24.17,3.95
96PR00216,S0484,2,41,10,90,1,6.0,0,M,MER,,,7.8,3.1,FLT SUCK1SIDE,22.05,3.94
96PR00217,S0509,2,41,11,90,1,6.0,0,R,MER,,,6.6,2.6,,18.7,3.37
96PR00218,S0512,2,41,12,90,1,6.0,0,C,MER,,,8.0,3.1,ENTR,20.7,4.04
96PR00219,S0519,2,41,10,90,1,6.0,0,M,MER,,,7.5,3.0,FLTS,20.25,3.93
96PR00220,S0521,2,41,10,90,1,6.0,0,M,MER,,,8.3,3.3,LATE2MILK,27.03,4.61
96PR00221,S0526,2,41,11,90,1,6.0,0,R,MER,,,7.7,3.0,ABS CHIN '96,24.35,4.12
96PR00222,S0527,2,41,11,90,1,6.0,0,R,MER,,,7.9,3.1,,25.93,4.29
96PR00223,S0528,2,41,13,90,1,6.0,0,F,MER,,,10.0,3.9,,24.84,4.02
96PR00224,S0536,2,07,13,90,1,6.0,0,F,MER,,,6.0,2.4,FIX HORN !!,19.94,3.25
96PR00225,S0563,2,41,13,90,1,6.0,0,F,MER,,,8.4,3.3,,23.77,3.78
96PR00226,S0569,2,41,13,90,1,6.0,0,F,MER,,,7.4,2.9,,23.28,4.02
96PR00227,S0573,2,07,10,90,1,6.0,0,M,MER,,,7.0,2.8,BIGTAG95,24.92,5.01
96PR00228,S0575,2,41,13,90,1,6.0,0,F,MER,,,9.2,3.6,,27.43,5.07
96PR00229,S0578,2,41,12,90,1,6.0,0,C,MER,,,10.0,3.9,,25.27,4.12
96PR00230,S0590,2,41,12,90,1,6.0,0,C,MER,,,7.3,2.9,,22.28,3.72
96PR00231,S0596,2,41,13,90,1,6.0,0,F,MER,,,9.5,3.7,THIN95,26.2,4.97
96PR00232,S0597,2,41,10,90,1,6.0,0,M,MER,,,8.6,3.4,,23.33,3.93
96PR00233,S0602,2,41,10,90,1,6.0,0,M,MER,,,8.0,3.1,,20.55,3.96
96PR00234,S0606,2,07,10,90,1,6.0,0,M,,,,4.8,1.9,,23.9,4.53
96PR00235,S0608,2,41,10,90,1,6.0,0,M,MER,,,7.1,2.8,THIN RACK,24.64,5.05
96PR00236,S0619,2,07,10,90,1,6.0,0,M,MER,,,6.5,2.6,SPEC3 BRDG,24.47,3.87
96PR00237,S0626,2,07,11,90,1,6.0,0,R,MER,,,5.6,2.2,SW BAG,22.06,3.51
96PR00238,S0628,2,07,11,90,1,6.0,0,R,,,,5.8,2.3,SUCK1SIDE,22.37,3.59
96PR00239,S0637,2,07,10,90,1,6.0,0,M,MER,,,0.0,0.0,,0.0,0.0
96PR00240,S0640,2,41,13,90,1,6.0,0,F,MER,,,8.0,3.1,,23.22,5.06
96PR00241,S0641,2,41,12,90,1,6.0,0,C,MER,,,8.5,3.3,,26.22,5.44
96PR00242,S0642,2,41,10,90,1,6.0,0,M,MER,,,8.6,3.4,,22.62,4.5
96PR00243,S0644,2,41,12,90,1,6.0,0,C,MER,,,8.1,3.2,FLTS,23.63,3.73
96PR00244,S0657,2,07,11,90,1,6.0,0,R,,,,7.5,3.0,LTS,27.49,4.51
96PR00245,S0675,2,07,11,90,1,6.0,0,R,,,,6.9,2.7,,25.96,4.43
96PR00246,S0679,2,07,10,90,1,6.0,0,M,,,,5.5,2.2,SW BAG,24.52,4.51
96PR00247,S0688,2,41,12,90,1,6.0,0,C,MER,,,8.9,3.5,BIGBAG,23.2,4.64
96PR00248,S0690,2,07,11,90,1,6.0,0,R,MER,,,7.2,2.8,ENTR.SM.BAG,23.36,3.9
96PR00249,S0691,2,41,11,90,1,6.0,0,R,MER,,,7.0,2.8,SUCK1SIDE,22.02,3.99
96PR00250,S0707,2,41,11,90,1,6.0,0,R,MER,,,7.6,3.0,,20.77,3.9
96PR00251,S0712,2,07,13,90,1,6.0,0,F,MER,,,7.8,3.1,,23.17,3.58
96PR00252,S0715,2,07,12,90,1,6.0,0,C,MER,,,6.3,2.5,,23.51,4.44
96PR00253,S0733,2,07,13,90,1,6.0,0,F,MER,,,6.4,2.5,"FEVER,-EATING",23.5,4.13
96PR00254,S0738,2,41,11,90,1,6.0,0,R,MER,,,7.0,2.8,SW BAG,20.84,3.43
96PR00255,S0740,2,07,10,90,1,6.0,0,M,MER,,,4.9,1.9,,23.77,3.97
96PR00256,S0750,2,41,12,90,1,6.0,0,C,MER,,,8.1,3.2,ENTR,21.5,3.46
96PR00257,S0754,2,07,10,90,1,6.0,0,M,MER,,,5.8,2.3,,23.98,4.38
96PR00258,S0759,2,07,11,90,1,6.0,0,R,MER,,,6.6,2.6,,24.83,4.02
96PR00259,S0767,2,41,13,90,1,6.0,0,F,MER,,,8.1,3.2,SW BAG,23.61,3.69
96PR00260,S0777,2,41,13,90,1,6.0,0,F,MER,,,9.1,3.6,DYS.BREECH,26.23,5.41
